Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,0.18710,0.18710,0.18140,0.18710,315,24560
05/16/2001,17:00:00,0.18910,0.18980,0.18450,0.18930,376,25121
05/17/2001,17:00:00,0.19360,0.19490,0.19360,0.19360,808,23912
05/18/2001,17:00:00,0.19340,0.19560,0.19010,0.19500,334,23912
05/21/2001,17:00:00,0.19500,0.19890,0.19240,0.19240,454,25320
05/22/2001,17:00:00,0.19410,0.19440,0.18780,0.18930,288,25541
05/23/2001,17:00:00,0.18980,0.18980,0.18300,0.18300,422,25471
05/24/2001,17:00:00,0.18440,0.18550,0.18440,0.18550,808,25070
05/28/2001,17:00:00,0.18600,0.18820,0.18400,0.18660,19,24837
05/29/2001,17:00:00,0.18500,0.18770,0.18050,0.18330,192,24824
05/30/2001,17:00:00,0.17870,0.18630,0.17870,0.17870,384,23020
05/31/2001,17:00:00,0.17850,0.17850,0.16960,0.17240,394,23095
06/04/2001,17:00:00,0.17470,0.17700,0.17200,0.17360,158,21962
06/05/2001,17:00:00,0.17310,0.17660,0.17080,0.17600,196,21631
06/06/2001,17:00:00,0.17570,0.18350,0.17500,0.18240,398,20891
06/07/2001,17:00:00,0.18110,0.18650,0.17920,0.18580,201,18205
06/08/2001,17:00:00,0.18650,0.19190,0.18500,0.19160,173,17880
06/11/2001,17:00:00,0.19150,0.19270,0.18800,0.18800,66,17271
06/12/2001,17:00:00,0.18700,0.19100,0.18600,0.19100,58,15723
06/13/2001,17:00:00,0.19710,0.20210,0.19710,0.20110,44,14840
06/14/2001,17:00:00,0.20150,0.20150,0.19560,0.19960,118,13659
06/15/2001,17:00:00,0.19700,0.20260,0.19610,0.19860,27,13055
06/18/2001,17:00:00,0.19740,0.19740,0.19740,0.19740,8,12494
06/19/2001,17:00:00,0.19740,0.19740,0.19740,0.19740,0,16327
06/22/2001,17:00:00,0.18760,0.18950,0.18570,0.18720,127,15800
06/25/2001,17:00:00,0.18850,0.18960,0.18660,0.18850,113,15730
06/26/2001,17:00:00,0.18820,0.19360,0.18740,0.19350,319,15948
06/27/2001,17:00:00,0.19340,0.19340,0.18670,0.19210,265,15813
06/28/2001,17:00:00,0.18960,0.19070,0.17740,0.17840,286,15779
06/29/2001,17:00:00,0.17770,0.18210,0.17620,0.18100,228,16828
07/02/2001,17:00:00,0.18140,0.18360,0.17960,0.18350,310,17557
07/03/2001,17:00:00,0.18220,0.18950,0.18200,0.18950,369,18386
07/05/2001,17:00:00,0.18900,0.19140,0.18540,0.18610,199,19147
07/06/2001,17:00:00,0.18470,0.18640,0.17570,0.17920,388,18005
07/09/2001,17:00:00,0.18010,0.18210,0.17620,0.18210,206,18260
07/10/2001,17:00:00,0.18260,0.18480,0.17950,0.18080,238,17873
07/11/2001,17:00:00,0.18360,0.18430,0.17640,0.17670,343,19773
