Date,Time,Open,High,Low,Close,Vol,OI
12/11/2017,17:00:00,38680.00000,38680.00000,38680.00000,38680.00000,0,0
12/12/2017,17:00:00,39260.00000,39260.00000,39260.00000,39260.00000,0,0
12/13/2017,17:00:00,39430.00000,39430.00000,39430.00000,39430.00000,0,0
12/14/2017,17:00:00,38975.00000,38975.00000,38975.00000,38975.00000,0,0
12/15/2017,17:00:00,40065.00000,41665.00000,40065.00000,41665.00000,0,0
12/18/2017,17:00:00,42815.00000,42815.00000,40510.00000,41265.00000,1054,215
12/19/2017,17:00:00,41300.00000,41890.00000,39345.00000,40365.00000,559,231
12/20/2017,17:00:00,39910.00000,40515.00000,38600.00000,39205.00000,784,306
12/21/2017,17:00:00,38565.00000,39435.00000,37245.00000,37495.00000,879,407
12/22/2017,17:00:00,37760.00000,37990.00000,34430.00000,36300.00000,2374,489
12/27/2017,17:00:00,37820.00000,38710.00000,36625.00000,36855.00000,507,493
12/28/2017,17:00:00,37315.00000,37445.00000,35525.00000,35910.00000,746,566
12/29/2017,17:00:00,36130.00000,37170.00000,36000.00000,36635.00000,1078,498
01/02/2018,17:00:00,36120.00000,37410.00000,35245.00000,37020.00000,734,596
01/03/2018,17:00:00,37065.00000,37615.00000,36815.00000,37140.00000,719,611
01/04/2018,17:00:00,37090.00000,37635.00000,36370.00000,37065.00000,760,642
01/05/2018,17:00:00,37250.00000,39010.00000,37035.00000,38755.00000,814,671
01/08/2018,17:00:00,38590.00000,38620.00000,36035.00000,37070.00000,958,642
01/09/2018,17:00:00,36840.00000,37530.00000,36350.00000,36915.00000,863,665
01/10/2018,17:00:00,36570.00000,36885.00000,35645.00000,36615.00000,887,690
01/11/2018,17:00:00,36665.00000,37075.00000,34985.00000,35550.00000,1298,727
01/12/2018,17:00:00,35165.00000,36245.00000,35015.00000,36110.00000,787,748
01/16/2018,17:00:00,35765.00000,36445.00000,33325.00000,33325.00000,2552,730
01/17/2018,17:00:00,33355.00000,33965.00000,31390.00000,33110.00000,2657,696
01/18/2018,17:00:00,33290.00000,34240.00000,32810.00000,33980.00000,1708,618
01/19/2018,17:00:00,33500.00000,34195.00000,33155.00000,33525.00000,979,560
01/22/2018,17:00:00,33465.00000,33995.00000,32120.00000,32520.00000,1137,509
01/23/2018,17:00:00,32790.00000,33515.00000,32030.00000,33260.00000,1241,410
01/24/2018,17:00:00,32955.00000,33620.00000,32600.00000,33280.00000,838,283
01/25/2018,17:00:00,33575.00000,33785.00000,32955.00000,33325.00000,380,830
01/26/2018,17:00:00,33185.00000,33745.00000,32375.00000,33090.00000,573,820
01/29/2018,17:00:00,33635.00000,33900.00000,33095.00000,33295.00000,463,867
01/30/2018,17:00:00,33245.00000,33370.00000,31845.00000,32065.00000,1137,849
01/31/2018,17:00:00,32125.00000,32400.00000,31625.00000,32125.00000,842,866
02/01/2018,17:00:00,32145.00000,32300.00000,30605.00000,31215.00000,2535,1082
02/02/2018,17:00:00,31015.00000,31200.00000,29875.00000,30710.00000,2535,1010
02/05/2018,17:00:00,30430.00000,30440.00000,28995.00000,29385.00000,2186,1228
02/06/2018,17:00:00,28975.00000,30045.00000,28095.00000,29675.00000,2234,1315
02/07/2018,17:00:00,29745.00000,30665.00000,29360.00000,30370.00000,1379,1402
02/08/2018,17:00:00,29915.00000,30815.00000,29770.00000,30450.00000,764,1277
02/09/2018,17:00:00,30290.00000,30895.00000,29840.00000,30735.00000,764,1277
02/12/2018,17:00:00,30505.00000,31045.00000,30200.00000,30985.00000,679,1170
02/13/2018,17:00:00,31050.00000,31125.00000,30460.00000,30825.00000,550,1104
02/14/2018,17:00:00,30630.00000,31515.00000,30630.00000,31415.00000,944,1159
02/15/2018,17:00:00,31525.00000,32305.00000,31500.00000,32215.00000,1783,940
02/16/2018,17:00:00,32215.00000,32390.00000,31800.00000,32145.00000,1101,877
02/20/2018,17:00:00,33185.00000,33885.00000,33185.00000,33860.00000,2080,594
02/21/2018,17:00:00,33365.00000,33465.00000,32345.00000,32495.00000,1326,459
02/22/2018,17:00:00,32625.00000,32990.00000,31885.00000,32220.00000,530,1284
02/23/2018,17:00:00,32005.00000,32465.00000,31655.00000,32075.00000,1473,1407
02/26/2018,17:00:00,31805.00000,32515.00000,31395.00000,32375.00000,745,1441
02/27/2018,17:00:00,32430.00000,33000.00000,32225.00000,32785.00000,761,1469
02/28/2018,17:00:00,32790.00000,33130.00000,32455.00000,32770.00000,1130,1387
03/01/2018,17:00:00,32575.00000,33225.00000,32345.00000,33190.00000,748,1332
03/02/2018,17:00:00,33160.00000,33340.00000,32885.00000,33185.00000,748,1332
03/05/2018,17:00:00,33475.00000,33825.00000,33465.00000,33740.00000,990,1479
