Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,14:20:00,24.04000,24.04000,24.03000,24.03000,16,0
05/16/2001,14:20:00,23.94000,23.94000,23.94000,23.94000,3,0
05/17/2001,14:20:00,23.87000,24.07000,23.87000,24.07000,16,0
05/18/2001,14:20:00,24.09000,24.18000,24.00000,24.00000,4,0
05/21/2001,14:20:00,23.99000,23.99000,23.98000,23.98000,6,0
05/22/2001,14:20:00,23.92000,23.94000,23.92000,23.94000,4,0
05/23/2001,14:20:00,24.02000,24.02000,24.02000,24.02000,8,0
05/24/2001,14:20:00,23.99000,23.99000,23.91000,23.91000,24,0
05/28/2001,14:20:00,23.89000,23.89000,23.82000,23.82000,1,0
05/30/2001,14:20:00,24.04000,24.12000,24.04000,24.09000,23,0
05/31/2001,14:20:00,24.16000,24.30000,24.16000,24.30000,1,0
06/01/2001,14:20:00,24.34000,24.63000,24.24000,24.63000,74,0
06/04/2001,14:20:00,24.54000,24.54000,24.29000,24.29000,14,0
06/05/2001,14:20:00,24.29000,24.34000,24.21000,24.21000,22,0
06/06/2001,14:20:00,24.15000,24.27000,24.15000,24.27000,1,0
06/07/2001,14:20:00,24.33000,24.42000,24.33000,24.42000,14,0
06/08/2001,14:20:00,24.42000,24.42000,24.42000,24.42000,0,0
06/11/2001,14:20:00,24.52000,24.87000,24.52000,24.87000,1,0
06/12/2001,14:20:00,24.87000,24.93000,24.81000,24.81000,53,0
06/13/2001,14:20:00,24.73000,24.81000,24.73000,24.73000,11,0
06/14/2001,14:20:00,24.75000,24.75000,24.47000,24.47000,6,0
06/15/2001,14:20:00,24.49000,24.49000,24.07000,24.07000,4,0
06/18/2001,14:20:00,24.16000,24.23000,24.09000,24.23000,6,0
06/19/2001,14:20:00,24.28000,24.29000,24.22000,24.29000,18,0
06/20/2001,14:20:00,24.29000,24.29000,24.29000,24.29000,0,0
06/21/2001,14:20:00,24.28000,24.34000,24.28000,24.31000,11,0
06/22/2001,14:20:00,24.27000,24.31000,24.23000,24.23000,6,0
06/25/2001,14:20:00,24.16000,24.23000,24.04000,24.04000,6,0
06/26/2001,14:20:00,24.04000,24.04000,24.04000,24.04000,0,0
06/27/2001,14:20:00,24.37000,24.39000,24.24000,24.24000,20,0
06/28/2001,14:20:00,24.24000,24.24000,24.24000,24.24000,0,0
06/29/2001,14:20:00,24.17000,24.17000,24.17000,24.17000,0,0
07/02/2001,14:20:00,24.45000,24.45000,24.45000,24.45000,0,0
07/03/2001,14:20:00,24.77000,25.74000,24.74000,25.00000,18,0
07/05/2001,14:20:00,25.00000,25.00000,25.00000,25.00000,0,0
07/06/2001,14:20:00,25.25000,25.25000,25.25000,25.25000,0,0
07/09/2001,14:20:00,25.25000,25.25000,25.25000,25.25000,0,0
07/10/2001,14:20:00,25.56000,25.72000,25.56000,25.72000,15,0
07/11/2001,14:20:00,25.74000,26.14000,25.74000,26.14000,9,0
07/12/2001,14:20:00,26.00000,27.33000,25.89000,27.33000,56,0
07/13/2001,14:20:00,27.30000,27.84000,27.04000,27.46000,105,0
07/16/2001,14:20:00,27.46000,27.46000,27.14000,27.14000,20,0
07/17/2001,14:20:00,27.12000,27.83000,27.12000,27.83000,52,0
07/18/2001,14:20:00,27.94000,27.94000,27.20000,27.20000,38,0
07/19/2001,14:20:00,27.20000,27.24000,27.19000,27.19000,30,0
07/20/2001,14:20:00,27.13000,27.40000,26.63000,26.63000,6,0
07/23/2001,14:20:00,26.13000,26.81000,26.13000,26.81000,10,0
07/24/2001,14:20:00,27.03000,27.04000,26.65000,26.65000,14,0
07/25/2001,14:20:00,26.87000,26.87000,26.80000,26.80000,3,0
07/26/2001,14:20:00,26.92000,26.94000,26.91000,26.91000,3,0
07/27/2001,14:20:00,26.91000,26.91000,26.91000,26.91000,0,0
07/30/2001,14:20:00,27.37000,27.39000,27.28000,27.39000,8,0
07/31/2001,14:20:00,27.39000,27.39000,27.39000,27.39000,0,0
08/01/2001,14:20:00,28.19000,28.19000,27.78000,27.78000,15,0
08/02/2001,14:20:00,27.78000,27.78000,27.78000,27.78000,0,0
08/03/2001,14:20:00,27.35000,27.35000,27.35000,27.35000,0,0
08/06/2001,14:20:00,27.04000,27.04000,27.04000,27.04000,0,0
08/07/2001,14:20:00,27.40000,27.76000,27.40000,27.76000,9,0
08/08/2001,14:20:00,27.76000,27.88000,27.76000,27.88000,26,0
08/09/2001,14:20:00,27.88000,27.88000,27.88000,27.88000,0,0
08/10/2001,14:20:00,27.68000,28.08000,27.68000,28.08000,1,0
08/13/2001,14:20:00,28.08000,28.08000,28.08000,28.08000,0,0
08/14/2001,14:20:00,28.28000,28.28000,27.93000,27.93000,1,0
08/15/2001,14:20:00,27.90000,27.90000,27.78000,27.86000,10,0
08/16/2001,14:20:00,27.74000,27.74000,27.47000,27.47000,1,0
08/17/2001,14:20:00,27.47000,27.47000,27.47000,27.47000,0,0
08/20/2001,14:20:00,27.28000,27.28000,26.77000,26.77000,39,0
08/21/2001,14:20:00,26.88000,26.99000,26.75000,26.75000,9,0
08/22/2001,14:20:00,26.62000,26.75000,26.29000,26.29000,13,0
08/23/2001,14:20:00,26.33000,26.33000,26.13000,26.13000,2,0
08/24/2001,14:20:00,26.13000,26.13000,26.13000,26.13000,2,0
08/27/2001,14:20:00,26.28000,26.28000,26.28000,26.28000,0,0
08/28/2001,14:20:00,26.42000,26.42000,26.42000,26.42000,0,0
08/29/2001,14:20:00,25.99000,26.14000,25.99000,26.14000,1,0
08/30/2001,14:20:00,25.98000,25.98000,25.71000,25.71000,1,0
08/31/2001,14:20:00,25.71000,25.71000,25.71000,25.71000,1,0
09/04/2001,14:20:00,25.65000,25.65000,25.65000,25.65000,0,0
09/05/2001,14:20:00,25.50000,25.50000,25.50000,25.50000,0,0
09/06/2001,14:20:00,25.50000,25.50000,25.50000,25.50000,0,0
09/07/2001,14:20:00,25.16000,25.16000,25.16000,25.16000,0,0
09/10/2001,14:20:00,25.24000,25.24000,25.24000,25.24000,1,0
09/13/2001,14:20:00,25.08000,25.08000,25.08000,25.08000,1,0
09/14/2001,14:20:00,25.21000,25.21000,25.21000,25.21000,0,0
09/17/2001,14:20:00,24.93000,25.08000,24.83000,25.08000,21,0
09/18/2001,14:20:00,25.08000,25.08000,25.08000,25.08000,0,0
09/19/2001,14:20:00,25.09000,25.09000,25.09000,25.09000,0,0
09/20/2001,14:20:00,25.08000,25.08000,25.08000,25.08000,0,0
09/21/2001,14:20:00,25.08000,25.18000,25.08000,25.18000,6,0
09/24/2001,14:20:00,25.18000,25.18000,25.18000,25.18000,5,0
09/25/2001,14:20:00,25.31000,25.40000,25.31000,25.40000,5,0
09/26/2001,14:20:00,25.14000,25.19000,25.14000,25.19000,67,0
09/27/2001,14:20:00,25.19000,25.23000,24.85000,24.85000,6,0
09/28/2001,14:20:00,24.85000,24.85000,24.85000,24.85000,12,0
10/01/2001,14:20:00,24.08000,24.08000,23.89000,23.89000,396,0
10/02/2001,14:20:00,23.89000,23.89000,23.89000,23.89000,0,0
10/03/2001,14:20:00,24.01000,24.01000,23.83000,23.83000,21,0
10/04/2001,14:20:00,23.89000,23.95000,23.89000,23.95000,16,0
10/05/2001,14:20:00,24.01000,24.01000,23.82000,23.82000,55,0
10/08/2001,14:20:00,23.97000,23.97000,23.77000,23.77000,8,0
10/09/2001,14:20:00,23.78000,24.02000,23.77000,24.02000,58,0
10/10/2001,14:20:00,24.08000,24.12000,24.02000,24.02000,14,0
10/11/2001,14:20:00,24.02000,24.02000,23.96000,23.96000,2,0
10/12/2001,14:20:00,23.96000,23.96000,23.56000,23.56000,24,0
10/15/2001,14:20:00,23.53000,23.56000,23.48000,23.48000,16,0
10/16/2001,14:20:00,23.49000,23.49000,23.44000,23.44000,20,0
10/17/2001,14:20:00,23.43000,23.77000,23.43000,23.77000,21,0
10/18/2001,14:20:00,23.82000,23.82000,23.70000,23.70000,37,0
10/19/2001,14:20:00,23.70000,23.70000,23.70000,23.70000,25,0
