Date,Time,Open,High,Low,Close,Vol,OI
09/11/2000,17:00:00,1.26480,1.26480,1.26480,1.26480,0,0
09/12/2000,17:00:00,1.26480,1.26480,1.26300,1.26300,0,0
09/13/2000,17:00:00,1.26360,1.26360,1.26360,1.26360,0,0
09/14/2000,17:00:00,1.26360,1.26360,1.26100,1.26100,0,0
09/15/2000,17:00:00,1.26100,1.26100,1.25360,1.25360,0,0
09/18/2000,17:00:00,1.26020,1.26020,1.26020,1.26020,0,0
09/19/2000,17:00:00,1.26020,1.26440,1.26020,1.26440,0,0
09/20/2000,17:00:00,1.26400,1.27240,1.26400,1.26400,0,0
09/21/2000,17:00:00,1.29060,1.29060,1.29060,1.29060,0,0
09/22/2000,17:00:00,1.31320,1.32640,1.31320,1.31320,0,0
09/25/2000,17:00:00,1.30480,1.30480,1.30480,1.30480,0,0
09/26/2000,17:00:00,1.31680,1.31680,1.31680,1.31680,0,0
09/27/2000,17:00:00,1.31800,1.31800,1.30940,1.31800,0,0
09/28/2000,17:00:00,1.31820,1.31840,1.31820,1.31820,0,0
09/29/2000,17:00:00,1.33000,1.33640,1.33000,1.33000,0,0
10/02/2000,17:00:00,1.32360,1.32360,1.32340,1.32360,0,0
10/03/2000,17:00:00,1.31220,1.31220,1.31220,1.31220,0,0
10/04/2000,17:00:00,1.31440,1.31840,1.31440,1.31440,0,0
10/05/2000,17:00:00,1.30540,1.30940,1.29980,1.29980,19,2
10/06/2000,17:00:00,1.29780,1.29780,1.29640,1.29780,0,2
10/09/2000,17:00:00,1.29780,1.29780,1.29780,1.29780,0,2
10/10/2000,17:00:00,1.30620,1.30840,1.30620,1.30620,0,2
10/11/2000,17:00:00,1.31380,1.32040,1.31380,1.31380,0,2
10/12/2000,17:00:00,1.32360,1.32640,1.32360,1.32360,0,2
10/13/2000,17:00:00,1.30500,1.30500,1.30500,1.30500,0,2
10/16/2000,17:00:00,1.30020,1.30640,1.29440,1.30020,0,2
10/17/2000,17:00:00,1.30220,1.30220,1.28940,1.30220,0,2
10/18/2000,17:00:00,1.29580,1.31440,1.29240,1.29580,0,2
10/19/2000,17:00:00,1.29800,1.29940,1.29340,1.29800,0,2
10/20/2000,17:00:00,1.30280,1.30440,1.29440,1.30280,0,2
10/23/2000,17:00:00,1.30560,1.30840,1.30560,1.30560,0,2
10/24/2000,17:00:00,1.30280,1.30280,1.30140,1.30280,0,2
10/25/2000,17:00:00,1.28800,1.28800,1.28240,1.28800,0,2
10/26/2000,17:00:00,1.28700,1.28700,1.27440,1.28700,0,2
10/27/2000,17:00:00,1.30640,1.30640,1.30640,1.30640,0,2
10/30/2000,17:00:00,1.30480,1.31140,1.30440,1.30480,0,2
