Date,Time,Open,High,Low,Close,Vol,OI
01/05/1999,16:00:00,70.04000,70.25000,69.80000,69.80000,562,540
01/06/1999,16:00:00,69.96000,70.16000,69.96000,70.01000,150,515
01/07/1999,16:00:00,70.07000,70.24000,69.84000,69.87000,723,835
01/08/1999,16:00:00,69.90000,70.15000,69.90000,70.06000,118,767
01/11/1999,16:00:00,69.90000,70.12000,69.22000,69.22000,698,770
01/12/1999,16:00:00,69.37000,69.99000,68.50000,69.99000,1347,1305
01/13/1999,16:00:00,70.01000,70.80000,69.89000,70.27000,4813,4959
01/14/1999,16:00:00,70.13000,70.56000,70.13000,70.56000,2257,5211
01/15/1999,16:00:00,70.72000,70.92000,70.31000,70.43000,3846,6626
01/18/1999,16:00:00,70.39000,70.64000,70.39000,70.64000,528,6491
01/19/1999,16:00:00,70.58000,70.75000,70.41000,70.72000,1876,7838
01/20/1999,16:00:00,70.62000,70.62000,70.29000,70.31000,2638,9974
01/21/1999,16:00:00,70.49000,70.76000,70.48000,70.76000,1058,9163
01/22/1999,16:00:00,70.89000,71.04000,70.85000,70.97000,2123,12009
01/25/1999,16:00:00,71.14000,71.16000,70.89000,70.94000,3308,12517
01/26/1999,16:00:00,70.83000,71.18000,70.79000,70.91000,1177,14009
01/27/1999,16:00:00,70.82000,70.97000,70.64000,70.97000,1337,14874
01/28/1999,16:00:00,71.04000,71.09000,70.76000,70.94000,1401,15242
01/29/1999,16:00:00,70.88000,70.94000,70.81000,70.81000,3850,16467
02/01/1999,16:00:00,70.78000,70.78000,70.27000,70.27000,5005,19235
02/02/1999,16:00:00,70.00000,70.43000,70.00000,70.43000,4822,22579
02/03/1999,16:00:00,70.32000,70.32000,69.83000,69.99000,6322,25405
02/04/1999,16:00:00,70.05000,70.07000,69.27000,69.34000,8116,30870
02/05/1999,16:00:00,69.30000,69.64000,69.18000,69.53000,2933,32623
02/08/1999,16:00:00,69.27000,69.28000,68.81000,68.93000,5562,31952
02/09/1999,16:00:00,69.19000,69.63000,69.19000,69.56000,8769,36588
02/10/1999,16:00:00,69.80000,69.80000,69.60000,69.60000,10386,38204
02/11/1999,16:00:00,69.46000,69.85000,69.39000,69.80000,5469,39612
02/12/1999,16:00:00,69.82000,69.83000,68.97000,68.97000,6273,39682
02/15/1999,16:00:00,68.90000,68.95000,68.43000,68.43000,3265,40559
02/16/1999,16:00:00,68.65000,68.94000,68.43000,68.43000,11273,45419
02/17/1999,16:00:00,68.69000,68.81000,68.24000,68.77000,4391,42414
02/18/1999,16:00:00,68.86000,69.02000,68.52000,68.58000,3830,44830
02/19/1999,16:00:00,68.42000,68.89000,68.42000,68.79000,6123,45609
02/22/1999,16:00:00,68.76000,69.12000,68.66000,69.12000,5669,46660
02/23/1999,16:00:00,69.01000,69.45000,68.99000,69.34000,11984,47359
02/24/1999,16:00:00,69.23000,69.39000,68.95000,69.06000,10916,46773
02/25/1999,16:00:00,68.71000,68.86000,67.74000,67.78000,25596,35938
02/26/1999,16:00:00,67.95000,68.01000,67.43000,67.72000,17895,34626
03/01/1999,16:00:00,67.81000,67.97000,66.81000,66.95000,19525,32525
03/02/1999,16:00:00,66.93000,67.32000,66.72000,67.14000,22656,30349
03/03/1999,16:00:00,67.20000,67.52000,66.55000,66.69000,30450,29150
03/04/1999,16:00:00,66.55000,66.76000,66.28000,66.56000,27571,24271
03/05/1999,16:00:00,66.54000,68.02000,66.52000,68.01000,32085,13127
03/08/1999,16:00:00,66.74000,66.84000,66.45000,66.53000,417632,607450
03/09/1999,16:00:00,66.53000,66.88000,65.91000,66.27000,805083,568149
03/10/1999,16:00:00,66.44000,66.68000,66.24000,66.48000,633466,558059
03/11/1999,16:00:00,66.40000,67.64000,66.25000,67.28000,834733,547094
03/12/1999,16:00:00,67.39000,67.61000,66.85000,67.01000,654709,563844
03/15/1999,16:00:00,67.19000,67.38000,66.90000,67.03000,433650,557166
03/16/1999,16:00:00,67.08000,67.63000,66.92000,67.62000,637701,532511
03/17/1999,16:00:00,67.64000,67.93000,67.48000,67.70000,641733,536836
03/18/1999,16:00:00,67.69000,67.97000,67.58000,67.85000,517812,549117
03/19/1999,16:00:00,67.84000,68.00000,67.60000,67.68000,412594,524868
03/22/1999,16:00:00,67.56000,67.56000,67.15000,67.51000,421008,508859
03/23/1999,16:00:00,67.36000,67.37000,66.99000,67.15000,582195,517438
03/24/1999,16:00:00,67.30000,67.40000,67.13000,67.23000,521114,553976
03/25/1999,16:00:00,67.44000,67.58000,67.24000,67.33000,451815,539258
03/26/1999,16:00:00,67.21000,67.23000,66.56000,66.82000,606532,508049
03/29/1999,16:00:00,66.62000,66.85000,66.41000,66.73000,518988,537092
03/30/1999,16:00:00,66.70000,67.06000,66.63000,67.04000,394922,522354
03/31/1999,16:00:00,67.19000,67.53000,67.01000,67.24000,567123,543563
04/01/1999,16:00:00,67.26000,67.51000,67.15000,67.18000,312714,544453
04/06/1999,16:00:00,67.59000,68.34000,67.59000,68.33000,491133,551091
04/07/1999,16:00:00,68.34000,68.40000,68.07000,68.27000,500654,560739
04/08/1999,16:00:00,68.34000,69.32000,68.11000,69.19000,702806,599678
04/09/1999,16:00:00,69.34000,69.38000,68.88000,69.01000,613268,580187
04/12/1999,16:00:00,69.21000,69.53000,69.14000,69.34000,434844,558990
04/13/1999,16:00:00,69.24000,69.32000,68.79000,68.92000,556240,553682
04/14/1999,16:00:00,68.99000,69.10000,68.90000,68.95000,398581,541751
04/15/1999,16:00:00,68.93000,69.19000,68.52000,68.60000,612686,525539
04/16/1999,16:00:00,68.58000,68.68000,68.41000,68.63000,496088,524806
04/19/1999,16:00:00,68.49000,68.79000,68.13000,68.77000,560667,597909
04/20/1999,16:00:00,68.99000,69.11000,68.80000,68.85000,510948,595985
04/21/1999,16:00:00,68.94000,69.13000,68.87000,68.97000,424345,576698
04/22/1999,16:00:00,68.91000,69.13000,68.79000,68.80000,450588,556880
04/23/1999,16:00:00,68.69000,69.22000,68.64000,68.90000,432316,562962
04/26/1999,16:00:00,68.88000,68.93000,68.51000,68.67000,434939,564077
04/27/1999,16:00:00,68.94000,69.09000,68.80000,69.00000,524779,573687
04/28/1999,16:00:00,68.98000,69.02000,68.69000,68.72000,568323,544298
04/29/1999,16:00:00,68.74000,69.33000,68.71000,69.26000,555264,589117
04/30/1999,16:00:00,69.19000,69.60000,68.50000,68.59000,773573,577695
05/03/1999,16:00:00,68.55000,69.00000,68.50000,68.90000,363901,560368
05/04/1999,16:00:00,68.88000,69.03000,68.19000,68.35000,746611,529577
05/05/1999,16:00:00,68.39000,68.49000,68.09000,68.44000,843104,541603
05/06/1999,16:00:00,68.46000,68.66000,67.71000,67.94000,913876,585530
05/07/1999,16:00:00,67.79000,68.35000,67.69000,68.06000,739297,560567
05/10/1999,16:00:00,67.89000,68.04000,67.49000,67.91000,743566,549240
05/11/1999,16:00:00,67.91000,68.02000,67.71000,67.84000,542580,520192
05/12/1999,16:00:00,67.59000,67.91000,67.34000,67.90000,761549,576685
05/14/1999,16:00:00,68.26000,68.32000,66.95000,67.06000,713588,529211
05/17/1999,16:00:00,67.06000,67.28000,66.98000,67.11000,492344,521449
05/18/1999,16:00:00,67.10000,67.50000,67.09000,67.48000,462369,508411
05/19/1999,16:00:00,67.32000,67.44000,67.07000,67.35000,627561,533364
