Date,Time,Open,High,Low,Close,Vol,OI
01/03/1980,13:30:00,5326.00000,5536.00000,5286.00000,5286.00000,973,3101
01/04/1980,13:30:00,5376.00000,5396.00000,5201.00000,5376.00000,405,3060
01/07/1980,13:30:00,5326.00000,5501.00000,5226.00000,5501.00000,370,3144
01/08/1980,13:30:00,5626.00000,5766.00000,5526.00000,5676.00000,299,3107
01/09/1980,13:30:00,5651.00000,5766.00000,5584.00000,5586.00000,485,3075
01/10/1980,13:30:00,5526.00000,5666.00000,5521.00000,5551.00000,274,3074
01/11/1980,13:30:00,5556.00000,5876.00000,5501.00000,5846.00000,322,3051
01/14/1980,13:30:00,5651.00000,5966.00000,5651.00000,5731.00000,410,3086
01/15/1980,13:30:00,5806.00000,5856.00000,5716.00000,5806.00000,451,3057
01/16/1980,13:30:00,5761.00000,5766.00000,5526.00000,5611.00000,278,3009
01/17/1980,13:30:00,5526.00000,5791.00000,5526.00000,5786.00000,457,3008
01/18/1980,13:30:00,5766.00000,5916.00000,5591.00000,5626.00000,494,2918
01/21/1980,13:30:00,5726.00000,5726.00000,5425.00000,5441.00000,455,2845
01/22/1980,13:30:00,5396.00000,5536.00000,5371.00000,5476.00000,474,2888
01/23/1980,13:30:00,5551.00000,5726.00000,5551.00000,5631.00000,388,2860
01/24/1980,13:30:00,5676.00000,5826.00000,5676.00000,5686.00000,623,2899
01/25/1980,13:30:00,5752.00000,5876.00000,5716.00000,5801.00000,370,2857
01/28/1980,13:30:00,5776.00000,5926.00000,5776.00000,5816.00000,663,2777
01/29/1980,13:30:00,5876.00000,6216.00000,5876.00000,6216.00000,253,2762
01/30/1980,13:30:00,6226.00000,6611.00000,6176.00000,6526.00000,875,2590
01/31/1980,13:30:00,6376.00000,6476.00000,6246.00000,6336.00000,969,2756
02/01/1980,13:30:00,6326.00000,6411.00000,6226.00000,6301.00000,795,2749
02/04/1980,13:30:00,6326.00000,6701.00000,6326.00000,6701.00000,479,2792
02/05/1980,13:30:00,6675.00000,6776.00000,6496.00000,6496.00000,483,2794
02/06/1980,13:30:00,6546.00000,6721.00000,6526.00000,6661.00000,463,2696
02/07/1980,13:30:00,6601.00000,6676.00000,6426.00000,6561.00000,337,2685
02/08/1980,13:30:00,6496.00000,6716.00000,6476.00000,6486.00000,437,2526
02/11/1980,13:30:00,6826.00000,7101.00000,6806.00000,7101.00000,643,3595
02/13/1980,13:30:00,7401.00000,7501.00000,7356.00000,7446.00000,1003,3991
02/14/1980,13:30:00,7446.00000,7556.00000,7226.00000,7326.00000,1180,4450
02/15/1980,13:30:00,7276.00000,7326.00000,6926.00000,6936.00000,1301,4664
02/19/1980,13:30:00,6906.00000,7051.00000,6536.00000,6536.00000,1450,4657
02/20/1980,13:30:00,6136.00000,6326.00000,6136.00000,6136.00000,976,4182
02/21/1980,13:30:00,6176.00000,6336.00000,5736.00000,5806.00000,1728,3844
02/22/1980,13:30:00,5756.00000,5851.00000,5406.00000,5501.00000,2204,3435
02/25/1980,13:30:00,5576.00000,5786.00000,5557.00000,5776.00000,2053,3010
02/26/1980,13:30:00,5776.00000,5926.00000,5626.00000,5626.00000,685,2967
02/27/1980,13:30:00,5751.00000,6026.00000,5706.00000,6016.00000,677,3030
02/28/1980,13:30:00,5976.00000,6046.00000,5676.00000,5691.00000,630,2994
02/29/1980,13:30:00,5476.00000,5776.00000,5476.00000,5661.00000,658,3047
03/03/1980,13:30:00,5776.00000,6061.00000,5776.00000,5991.00000,398,3044
03/04/1980,13:30:00,5926.00000,5986.00000,5826.00000,5911.00000,767,3057
03/05/1980,13:30:00,5876.00000,6276.00000,5876.00000,6261.00000,538,3146
03/06/1980,13:30:00,6151.00000,6176.00000,5926.00000,5926.00000,691,3156
03/07/1980,13:30:00,5826.00000,5926.00000,5676.00000,5816.00000,657,3204
03/10/1980,13:30:00,5771.00000,5876.00000,5601.00000,5661.00000,509,3168
03/11/1980,13:30:00,5661.00000,5976.00000,5661.00000,5826.00000,737,3122
03/12/1980,13:30:00,5936.00000,5975.00000,5666.00000,5725.00000,469,3075
03/13/1980,13:30:00,5426.00000,5626.00000,5356.00000,5476.00000,374,3062
03/14/1980,13:30:00,5476.00000,5766.00000,5476.00000,5651.00000,995,3040
03/17/1980,13:30:00,5497.00000,5576.00000,5441.00000,5476.00000,626,2898
03/18/1980,13:30:00,5626.00000,5876.00000,5626.00000,5876.00000,398,2932
03/19/1980,13:30:00,5926.00000,5946.00000,5776.00000,5836.00000,329,2693
03/20/1980,13:30:00,5951.00000,6016.00000,5812.00000,5926.00000,399,2727
03/21/1980,13:30:00,5876.00000,6206.00000,5831.00000,6201.00000,363,2560
03/24/1980,13:30:00,6176.00000,6576.00000,6176.00000,6466.00000,542,2372
