Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,0.63775,0.63785,0.63365,0.63765,1700,57985
05/16/2001,17:00:00,0.64075,0.64185,0.64065,0.64065,2685,57456
05/17/2001,17:00:00,0.64235,0.64245,0.64205,0.64205,1108,55906
05/18/2001,17:00:00,0.64235,0.64475,0.64095,0.64305,1411,55906
05/21/2001,17:00:00,0.64365,0.64425,0.64135,0.64145,2332,55365
05/22/2001,17:00:00,0.64155,0.64205,0.63835,0.64035,615,56661
05/23/2001,17:00:00,0.64015,0.64045,0.63555,0.63595,2483,58751
05/24/2001,17:00:00,0.63575,0.63755,0.63575,0.63755,1814,57477
05/28/2001,17:00:00,0.63755,0.64005,0.63655,0.63695,324,58099
05/29/2001,17:00:00,0.63815,0.64255,0.63675,0.64125,1924,57156
05/30/2001,17:00:00,0.63835,0.63895,0.63835,0.63875,2585,58507
05/31/2001,17:00:00,0.63825,0.64185,0.63555,0.64135,3313,54048
06/04/2001,17:00:00,0.64215,0.64485,0.64175,0.64195,961,53429
06/05/2001,17:00:00,0.64175,0.64515,0.64115,0.64475,2376,53868
06/06/2001,17:00:00,0.64455,0.64805,0.64375,0.64775,1886,53050
06/07/2001,17:00:00,0.64715,0.64935,0.64675,0.64835,1362,53650
06/08/2001,17:00:00,0.64835,0.65005,0.64775,0.64935,1091,45110
06/11/2001,17:00:00,0.64945,0.65095,0.64885,0.64915,273,37079
06/12/2001,17:00:00,0.64925,0.64925,0.64535,0.64725,490,33782
06/13/2001,17:00:00,0.64825,0.65165,0.64765,0.65155,182,28416
06/14/2001,17:00:00,0.65065,0.65215,0.64865,0.65005,220,24370
06/15/2001,17:00:00,0.64965,0.65095,0.64635,0.64835,30,19461
06/18/2001,17:00:00,0.64855,0.64875,0.64275,0.64275,29,18354
06/19/2001,17:00:00,0.64435,0.64465,0.64435,0.64465,10,17425
06/20/2001,17:00:00,0.64465,0.64465,0.64465,0.64465,0,49311
06/22/2001,17:00:00,0.64805,0.64865,0.64435,0.64655,1825,48615
06/25/2001,17:00:00,0.64805,0.65105,0.64785,0.64995,1725,48287
06/26/2001,17:00:00,0.64995,0.65185,0.64895,0.65035,1125,49095
06/27/2001,17:00:00,0.65025,0.65315,0.64945,0.65075,2246,49485
06/28/2001,17:00:00,0.65025,0.65175,0.64685,0.64865,1624,49123
06/29/2001,17:00:00,0.64785,0.65245,0.64705,0.65215,2366,51253
07/02/2001,17:00:00,0.65155,0.65215,0.65055,0.65155,1459,50134
07/03/2001,17:00:00,0.65175,0.65485,0.65125,0.65305,1822,49017
07/05/2001,17:00:00,0.65315,0.65465,0.65165,0.65225,1259,48865
07/06/2001,17:00:00,0.65215,0.65265,0.64775,0.64845,2275,49426
07/09/2001,17:00:00,0.64725,0.65045,0.64725,0.64835,1440,48324
07/10/2001,17:00:00,0.64925,0.64995,0.64775,0.64935,615,48618
07/11/2001,17:00:00,0.64955,0.65015,0.64525,0.64735,1982,48417
07/12/2001,17:00:00,0.64695,0.64775,0.64535,0.64575,780,48739
07/13/2001,17:00:00,0.64585,0.64585,0.63995,0.64115,4286,53072
07/16/2001,17:00:00,0.64225,0.64245,0.63965,0.64175,3329,50353
07/17/2001,17:00:00,0.64215,0.64305,0.64025,0.64085,1602,50209
07/18/2001,17:00:00,0.64165,0.64395,0.63995,0.64215,3171,50364
07/19/2001,17:00:00,0.64215,0.64265,0.63915,0.64065,2792,49016
07/20/2001,17:00:00,0.64015,0.64075,0.63775,0.63985,1751,48700
07/23/2001,17:00:00,0.63985,0.64005,0.63805,0.63885,1331,52559
07/24/2001,17:00:00,0.63905,0.64195,0.63885,0.64105,1080,52173
07/25/2001,17:00:00,0.64085,0.64285,0.64075,0.64255,1129,51449
07/26/2001,17:00:00,0.64255,0.64465,0.64145,0.64385,3363,50921
07/27/2001,17:00:00,0.64385,0.64565,0.64225,0.64415,2320,51525
07/30/2001,17:00:00,0.64415,0.64585,0.64365,0.64545,2579,52524
07/31/2001,17:00:00,0.64565,0.64745,0.64355,0.64385,2388,46473
08/01/2001,17:00:00,0.64365,0.64405,0.64185,0.64285,3228,46727
08/02/2001,17:00:00,0.64315,0.64385,0.64025,0.64355,3636,46336
08/03/2001,17:00:00,0.64325,0.64565,0.64235,0.64535,9327,46182
08/06/2001,17:00:00,0.64535,0.64825,0.64495,0.64755,10008,46508
08/07/2001,17:00:00,0.64745,0.64745,0.64295,0.64295,13255,47684
08/08/2001,17:00:00,0.64305,0.64515,0.64255,0.64335,8148,45447
08/09/2001,17:00:00,0.64345,0.64405,0.64065,0.64125,8700,46113
08/10/2001,17:00:00,0.64135,0.64165,0.63955,0.64045,7785,46001
08/13/2001,17:00:00,0.64125,0.64255,0.64085,0.64225,3159,45886
08/14/2001,17:00:00,0.64165,0.64295,0.64045,0.64275,8568,46213
08/15/2001,17:00:00,0.64265,0.64775,0.64225,0.64675,22344,47942
08/16/2001,17:00:00,0.64655,0.64745,0.64165,0.64215,13493,47476
08/17/2001,17:00:00,0.64245,0.64345,0.63815,0.63975,16648,48350
08/20/2001,17:00:00,0.64025,0.64025,0.63815,0.63965,10024,47136
08/21/2001,17:00:00,0.63905,0.63975,0.63675,0.63775,10464,50551
08/22/2001,17:00:00,0.63795,0.64105,0.63725,0.64055,7546,50532
08/23/2001,17:00:00,0.64095,0.64145,0.63975,0.64135,4259,51200
08/24/2001,17:00:00,0.64065,0.64255,0.64035,0.64145,6460,50986
08/27/2001,17:00:00,0.64145,0.64165,0.63955,0.64075,5329,51291
08/28/2001,17:00:00,0.64135,0.64195,0.63965,0.64145,2549,51291
08/29/2001,17:00:00,0.64135,0.64215,0.63845,0.63925,12140,50730
08/30/2001,17:00:00,0.63905,0.63975,0.63825,0.63945,5176,49621
08/31/2001,17:00:00,0.63955,0.64065,0.63685,0.63715,12531,52531
09/04/2001,17:00:00,0.63675,0.63895,0.63265,0.63345,16058,54253
09/05/2001,17:00:00,0.63325,0.63485,0.63155,0.63465,10305,53711
09/06/2001,17:00:00,0.63425,0.63515,0.63295,0.63425,7737,52690
09/07/2001,17:00:00,0.63425,0.63445,0.62925,0.63065,15053,52963
09/10/2001,17:00:00,0.63085,0.63245,0.62935,0.63195,3810,45648
09/11/2001,17:00:00,0.63115,0.63355,0.63035,0.63095,3810,45648
09/13/2001,17:00:00,0.63265,0.63305,0.63075,0.63165,18018,31735
09/14/2001,17:00:00,0.63225,0.63285,0.63015,0.63175,17756,58031
09/17/2001,17:00:00,0.63125,0.63205,0.62865,0.62935,7487,60388
09/18/2001,17:00:00,0.62895,0.62955,0.62785,0.62825,6679,61727
09/19/2001,17:00:00,0.62795,0.63055,0.62735,0.62955,8980,62387
09/20/2001,17:00:00,0.62925,0.63035,0.62775,0.62855,8736,64315
09/21/2001,17:00:00,0.62855,0.63215,0.62835,0.62885,9288,64945
09/24/2001,17:00:00,0.62885,0.63035,0.62835,0.62905,3233,63628
09/25/2001,17:00:00,0.62925,0.63085,0.62845,0.62885,9231,64602
09/26/2001,17:00:00,0.62875,0.62935,0.62695,0.62845,7690,66125
09/27/2001,17:00:00,0.62865,0.62865,0.62545,0.62575,10485,67978
09/28/2001,17:00:00,0.62605,0.62695,0.62475,0.62605,8165,69941
10/01/2001,17:00:00,0.62585,0.62825,0.62535,0.62785,13439,69917
10/02/2001,17:00:00,0.62835,0.63095,0.62725,0.63015,8705,69427
10/03/2001,17:00:00,0.63005,0.63095,0.62945,0.62995,9802,68004
10/04/2001,17:00:00,0.62995,0.63145,0.62915,0.62955,6894,67579
10/05/2001,17:00:00,0.62975,0.63305,0.62855,0.63295,14903,66817
10/08/2001,17:00:00,0.63245,0.63305,0.63185,0.63275,985,66702
10/09/2001,17:00:00,0.63295,0.63425,0.63075,0.63085,11628,68408
10/10/2001,17:00:00,0.63135,0.63275,0.62965,0.63045,7276,68320
10/11/2001,17:00:00,0.63025,0.63185,0.62915,0.63135,6067,68930
