Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,81.04000,81.12000,80.86000,80.87000,1755,0
05/16/2001,17:00:00,81.26000,81.32000,80.92000,81.29000,2702,0
05/17/2001,17:00:00,81.04000,81.07000,80.87000,80.91000,1244,0
05/18/2001,17:00:00,81.11000,82.10000,81.11000,82.10000,2081,0
05/21/2001,17:00:00,82.09000,82.39000,82.09000,82.23000,1535,0
05/22/2001,17:00:00,82.23000,82.23000,81.93000,81.93000,713,0
05/30/2001,17:00:00,80.91000,81.14000,80.85000,80.96000,1835,0
05/31/2001,17:00:00,80.72000,80.91000,80.41000,80.56000,3107,0
06/01/2001,17:00:00,80.67000,80.79000,80.12000,80.12000,2604,0
06/04/2001,17:00:00,80.45000,80.82000,80.32000,80.32000,5467,0
06/05/2001,17:00:00,80.26000,80.52000,80.26000,80.43000,2230,0
06/06/2001,17:00:00,80.43000,80.56000,79.85000,79.91000,4831,0
06/07/2001,17:00:00,79.84000,79.94000,79.60000,79.94000,2897,0
06/08/2001,17:00:00,80.04000,80.52000,79.99000,80.52000,2029,0
06/11/2001,17:00:00,80.59000,81.23000,80.59000,81.23000,2220,0
06/12/2001,17:00:00,81.13000,81.37000,80.99000,81.37000,2241,0
06/13/2001,17:00:00,81.36000,81.82000,81.28000,81.69000,5712,0
06/14/2001,17:00:00,80.82000,80.91000,80.63000,80.86000,2902,0
06/15/2001,17:00:00,81.08000,81.14000,80.54000,80.54000,1509,0
06/18/2001,17:00:00,80.47000,80.57000,79.58000,79.58000,1598,0
06/19/2001,17:00:00,79.59000,79.76000,79.42000,79.51000,1643,0
06/20/2001,17:00:00,79.52000,79.63000,79.27000,79.41000,1781,0
06/21/2001,17:00:00,78.53000,78.53000,78.53000,78.53000,0,0
06/22/2001,17:00:00,78.53000,78.53000,78.53000,78.53000,0,0
06/28/2001,17:00:00,77.63000,77.78000,77.36000,77.59000,3770,0
06/29/2001,17:00:00,77.71000,78.28000,77.67000,78.28000,3048,0
07/02/2001,17:00:00,78.34000,78.73000,77.98000,77.98000,2146,0
07/03/2001,17:00:00,78.02000,78.27000,77.68000,78.27000,3094,0
07/05/2001,17:00:00,78.77000,79.05000,78.48000,79.05000,3370,0
07/06/2001,17:00:00,79.03000,80.24000,79.03000,80.24000,2950,0
07/09/2001,17:00:00,80.12000,80.12000,79.62000,79.62000,2050,0
07/10/2001,17:00:00,79.58000,79.72000,79.48000,79.52000,2009,0
07/11/2001,17:00:00,79.54000,79.62000,78.95000,78.99000,4348,0
07/12/2001,17:00:00,78.96000,79.02000,78.53000,78.83000,2040,0
07/13/2001,17:00:00,78.88000,78.98000,78.52000,78.52000,1370,0
07/16/2001,17:00:00,78.50000,78.53000,78.20000,78.29000,731,0
07/17/2001,17:00:00,78.28000,78.56000,77.97000,77.97000,1463,0
07/18/2001,17:00:00,77.93000,77.98000,77.31000,77.31000,4638,0
07/19/2001,17:00:00,77.23000,77.61000,77.02000,77.59000,3334,0
07/20/2001,17:00:00,77.20000,78.32000,77.13000,78.32000,4134,0
07/23/2001,17:00:00,78.79000,78.98000,78.32000,78.50000,1207,0
07/24/2001,17:00:00,78.48000,78.69000,78.39000,78.69000,2213,0
07/25/2001,17:00:00,78.69000,79.22000,78.57000,79.22000,3448,0
07/26/2001,17:00:00,79.18000,79.38000,79.08000,79.11000,2827,0
07/27/2001,17:00:00,79.03000,79.40000,78.78000,79.40000,3099,0
