Date,Time,Open,High,Low,Close,Vol,OI
01/02/1980,14:20:00,985.25000,986.75000,982.25000,982.50000,96750,355630
01/03/1980,14:20:00,982.00000,983.00000,979.75000,982.50000,108085,345250
01/04/1980,14:20:00,982.00000,983.00000,980.00000,980.25000,95230,342285
01/09/1980,14:20:00,970.25000,970.25000,970.25000,970.25000,51465,338445
01/10/1980,14:20:00,960.25000,963.50000,960.25000,961.25000,91770,323315
01/11/1980,14:20:00,965.00000,969.50000,962.25000,968.75000,150290,309320
01/14/1980,14:20:00,967.00000,967.25000,963.50000,966.50000,99465,300040
01/15/1980,14:20:00,967.50000,968.25000,966.00000,967.25000,63195,302930
01/16/1980,14:20:00,964.00000,970.25000,964.00000,965.50000,106855,294375
01/17/1980,14:20:00,966.00000,974.00000,965.00000,972.75000,133445,286370
01/18/1980,14:20:00,972.50000,972.75000,969.00000,969.25000,81270,282730
01/21/1980,14:20:00,970.00000,972.00000,967.00000,967.25000,71990,277845
01/22/1980,14:20:00,966.75000,968.75000,965.25000,966.50000,69395,272875
01/23/1980,14:20:00,967.50000,971.50000,967.50000,970.75000,63820,269860
01/24/1980,14:20:00,970.00000,970.00000,968.00000,968.25000,70990,277120
01/25/1980,14:20:00,968.50000,969.25000,966.25000,966.50000,59160,276465
01/28/1980,14:20:00,967.75000,970.75000,966.75000,968.50000,73655,275495
01/29/1980,14:20:00,969.50000,970.00000,968.50000,969.25000,56325,270625
01/30/1980,14:20:00,970.50000,973.00000,970.25000,971.50000,88330,266315
01/31/1980,14:20:00,971.00000,971.00000,969.00000,970.75000,61740,269070
02/01/1980,14:20:00,972.00000,973.25000,970.75000,972.75000,79660,269235
02/04/1980,14:20:00,974.00000,976.00000,973.50000,974.75000,81995,271835
02/05/1980,14:20:00,975.50000,975.50000,973.00000,973.75000,76650,277510
02/06/1980,14:20:00,974.50000,977.00000,971.75000,971.75000,86980,260625
02/07/1980,14:20:00,972.00000,972.75000,970.50000,971.50000,73635,259985
02/08/1980,14:20:00,972.50000,972.50000,970.50000,970.75000,52930,258695
02/11/1980,14:20:00,970.50000,973.25000,970.50000,971.75000,60840,258015
02/12/1980,14:20:00,971.50000,971.50000,970.00000,970.25000,56005,253765
02/13/1980,14:20:00,970.00000,972.00000,970.00000,971.75000,47575,243250
02/14/1980,14:20:00,971.75000,972.25000,969.25000,969.50000,59375,244775
02/15/1980,14:20:00,969.50000,970.25000,968.25000,968.50000,71700,234035
02/19/1980,14:20:00,969.00000,969.00000,965.00000,965.50000,88260,217100
02/20/1980,14:20:00,966.00000,966.50000,965.00000,966.00000,47650,210705
02/21/1980,14:20:00,967.00000,967.00000,965.00000,965.25000,79295,198350
02/22/1980,14:20:00,965.75000,965.75000,963.00000,963.25000,54160,182590
02/25/1980,14:20:00,963.75000,965.75000,963.75000,964.50000,56680,287890
02/26/1980,14:20:00,965.50000,965.75000,963.50000,963.75000,41850,291985
02/27/1980,14:20:00,963.25000,963.75000,961.25000,961.50000,74275,296615
02/28/1980,14:20:00,961.75000,963.00000,960.50000,960.50000,99045,303270
02/29/1980,14:20:00,960.50000,961.00000,958.25000,958.50000,102790,304480
03/03/1980,14:20:00,957.25000,957.25000,956.00000,956.50000,76945,311940
03/04/1980,14:20:00,958.25000,962.25000,958.25000,959.25000,127420,309270
03/05/1980,14:20:00,959.75000,961.00000,959.50000,959.75000,70235,307895
03/06/1980,14:20:00,960.00000,961.75000,958.00000,958.00000,84685,312250
03/07/1980,14:20:00,957.25000,958.50000,956.50000,957.00000,80740,313530
03/10/1980,14:20:00,956.75000,957.25000,952.00000,954.00000,123515,316385
03/11/1980,14:20:00,955.00000,955.00000,953.00000,953.25000,84065,305885
03/12/1980,14:20:00,954.75000,956.25000,952.25000,955.50000,115750,286730
03/13/1980,14:20:00,955.25000,955.25000,952.25000,952.75000,69425,281760
03/14/1980,14:20:00,951.75000,955.75000,951.75000,955.50000,84715,273995
03/17/1980,14:20:00,952.75000,954.75000,951.50000,954.00000,66265,274620
03/18/1980,14:20:00,954.50000,955.50000,952.75000,953.00000,58300,275245
03/19/1980,14:20:00,954.25000,956.00000,954.25000,955.25000,57065,277675
03/20/1980,14:20:00,955.75000,957.00000,952.00000,952.50000,91390,271125
