Date,Time,Open,High,Low,Close,Vol,OI
01/02/1980,14:20:00,55.71000,56.41000,55.61000,56.36000,4748,22901
01/03/1980,14:20:00,56.46000,56.61000,55.36000,55.84000,5746,22491
01/04/1980,14:20:00,55.58000,55.98000,55.01000,55.51000,5160,22711
01/07/1980,14:20:00,54.41000,54.91000,53.71000,54.19000,7462,21558
01/08/1980,14:20:00,54.46000,54.81000,53.76000,53.86000,5464,21243
01/09/1980,14:20:00,53.91000,55.71000,53.91000,55.67000,6611,20642
01/10/1980,14:20:00,55.66000,56.71000,55.51000,56.08000,6641,20459
01/11/1980,14:20:00,55.76000,57.36000,55.46000,57.26000,6932,20557
01/14/1980,14:20:00,57.51000,58.16000,57.21000,57.75000,6511,20360
01/15/1980,14:20:00,57.51000,58.01000,57.26000,57.51000,5762,20171
01/16/1980,14:20:00,58.01000,58.61000,57.46000,57.50000,6517,19698
01/17/1980,14:20:00,57.52000,59.21000,57.52000,59.07000,7086,18794
01/18/1980,14:20:00,60.36000,60.36000,58.21000,58.35000,7485,18727
01/21/1980,14:20:00,58.91000,59.11000,57.86000,58.72000,5697,18005
01/22/1980,14:20:00,57.91000,60.71000,57.34000,60.56000,9458,17196
01/23/1980,14:20:00,60.61000,62.06000,60.61000,61.71000,7400,17350
01/24/1980,14:20:00,62.21000,62.96000,62.01000,62.85000,5865,16636
01/25/1980,14:20:00,62.76000,63.41000,61.46000,61.52000,6608,15630
01/28/1980,14:20:00,61.11000,63.21000,60.91000,63.09000,6012,15927
01/29/1980,14:20:00,63.96000,65.09000,63.51000,65.09000,6397,15537
01/30/1980,14:20:00,65.26000,66.09000,64.71000,65.26000,6954,15870
01/31/1980,14:20:00,64.96000,66.81000,64.53000,66.01000,6127,16002
02/01/1980,14:20:00,65.91000,67.71000,65.55000,67.42000,6787,16338
02/04/1980,14:20:00,69.42000,69.42000,68.71000,69.42000,1999,15877
02/05/1980,14:20:00,71.42000,71.42000,70.71000,70.76000,1697,15150
02/06/1980,14:20:00,69.51000,71.76000,68.76000,68.76000,6198,14284
02/07/1980,14:20:00,67.51000,68.46000,66.76000,66.76000,3855,14115
02/08/1980,14:20:00,67.81000,68.76000,67.21000,68.76000,4536,13459
02/11/1980,14:20:00,70.76000,70.76000,69.66000,70.01000,3921,12632
02/12/1980,14:20:00,69.06000,69.76000,68.01000,68.01000,3542,12078
02/13/1980,14:20:00,67.71000,69.21000,66.01000,68.16000,5019,9925
