Date,Time,Open,High,Low,Close,Vol,OI
01/21/1998,16:00:00,77.61000,77.90000,76.80000,77.40000,1833400,0
01/22/1998,16:00:00,76.71000,77.38000,76.46000,76.77000,1647400,0
01/23/1998,16:00:00,77.02000,77.27000,75.83000,76.41000,1693200,0
01/26/1998,16:00:00,76.90000,77.19000,76.46000,76.83000,1172700,0
01/27/1998,16:00:00,76.65000,78.08000,76.60000,77.72000,1435000,0
01/28/1998,16:00:00,77.90000,78.75000,77.74000,78.71000,1179700,0
01/29/1998,16:00:00,78.58000,79.77000,78.41000,79.02000,1459000,0
01/30/1998,16:00:00,79.46000,79.46000,78.49000,78.75000,1095600,0
02/02/1998,16:00:00,80.15000,80.83000,79.93000,80.49000,951800,0
02/03/1998,16:00:00,80.52000,81.19000,80.18000,81.18000,619400,0
02/04/1998,16:00:00,80.74000,81.18000,80.33000,80.82000,750600,0
02/05/1998,16:00:00,81.33000,81.43000,80.25000,80.72000,1061800,0
02/06/1998,16:00:00,81.02000,81.69000,80.88000,81.46000,1063000,0
02/09/1998,16:00:00,81.61000,81.77000,80.96000,81.40000,512900,0
02/10/1998,16:00:00,81.55000,82.86000,81.44000,82.52000,886400,0
02/11/1998,16:00:00,82.49000,82.91000,82.36000,82.68000,515000,0
02/12/1998,16:00:00,82.25000,83.63000,81.90000,83.25000,1062500,0
02/13/1998,16:00:00,82.86000,83.36000,82.69000,83.21000,578700,0
02/17/1998,16:00:00,83.83000,84.24000,83.41000,83.57000,837600,0
02/18/1998,16:00:00,83.60000,84.22000,83.36000,84.15000,767000,0
02/19/1998,16:00:00,84.16000,84.22000,83.35000,83.35000,804800,0
02/20/1998,16:00:00,83.60000,83.99000,82.83000,83.77000,538100,0
02/23/1998,16:00:00,84.52000,84.52000,83.49000,83.80000,634700,0
02/24/1998,16:00:00,83.65000,83.93000,83.05000,83.36000,673300,0
02/25/1998,16:00:00,83.77000,84.68000,83.60000,84.21000,684800,0
02/26/1998,16:00:00,84.13000,84.74000,83.93000,84.61000,437800,0
02/27/1998,16:00:00,84.63000,85.47000,84.41000,85.15000,450800,0
03/02/1998,16:00:00,85.27000,85.38000,84.80000,85.08000,1033100,0
03/03/1998,16:00:00,84.74000,85.65000,84.71000,85.63000,596600,0
03/04/1998,16:00:00,85.15000,85.40000,84.63000,85.04000,689300,0
03/05/1998,16:00:00,84.02000,84.79000,83.74000,84.05000,730700,0
03/06/1998,16:00:00,84.61000,85.54000,84.61000,85.41000,915600,0
03/09/1998,16:00:00,85.15000,86.10000,85.11000,85.50000,674600,0
03/10/1998,16:00:00,85.90000,86.27000,85.68000,86.19000,561600,0
03/11/1998,16:00:00,86.46000,86.75000,86.25000,86.50000,401400,0
03/12/1998,16:00:00,86.46000,86.58000,85.83000,86.41000,574100,0
03/13/1998,16:00:00,86.71000,86.77000,85.61000,85.71000,456400,0
03/16/1998,16:00:00,86.08000,86.83000,85.86000,86.83000,710400,0
03/17/1998,16:00:00,86.80000,87.30000,86.60000,87.29000,499900,0
03/18/1998,16:00:00,87.11000,87.54000,86.80000,87.47000,408500,0
03/19/1998,16:00:00,87.52000,87.82000,87.36000,87.72000,736600,0
03/20/1998,16:00:00,88.08000,88.93000,87.80000,88.75000,750800,0
03/23/1998,16:00:00,88.71000,88.71000,87.91000,88.00000,551600,0
03/24/1998,16:00:00,88.49000,89.38000,88.44000,88.96000,470300,0
03/25/1998,16:00:00,89.58000,89.58000,87.77000,88.40000,959100,0
03/26/1998,16:00:00,88.36000,88.82000,88.04000,88.15000,412800,0
03/27/1998,16:00:00,88.86000,88.93000,87.40000,87.72000,580100,0
03/30/1998,16:00:00,87.80000,88.08000,87.21000,87.58000,552100,0
03/31/1998,16:00:00,87.99000,88.83000,87.58000,87.71000,620000,0
04/01/1998,16:00:00,87.88000,88.72000,87.24000,88.46000,371700,0
04/02/1998,16:00:00,88.43000,89.77000,88.35000,89.68000,440600,0
04/03/1998,16:00:00,89.77000,90.18000,89.33000,89.57000,489800,0
04/06/1998,16:00:00,90.40000,90.77000,89.94000,90.16000,600500,0
04/07/1998,16:00:00,89.90000,89.91000,88.77000,89.41000,703300,0
04/08/1998,16:00:00,89.58000,89.58000,88.35000,88.66000,949000,0
04/09/1998,16:00:00,89.18000,89.99000,89.15000,89.85000,448200,0
04/13/1998,16:00:00,90.25000,90.25000,89.08000,89.86000,335900,0
04/14/1998,16:00:00,90.05000,91.04000,90.05000,91.02000,449500,0
04/15/1998,16:00:00,91.18000,91.46000,90.72000,91.35000,243600,0
04/16/1998,16:00:00,91.22000,91.22000,90.32000,90.63000,231800,0
04/17/1998,16:00:00,90.25000,91.27000,90.10000,91.11000,378400,0
04/20/1998,16:00:00,91.11000,91.18000,90.52000,90.88000,298900,0
04/21/1998,16:00:00,90.77000,91.44000,90.49000,91.25000,358500,0
04/22/1998,16:00:00,91.38000,91.63000,91.21000,91.24000,499400,0
04/23/1998,16:00:00,91.24000,91.55000,90.63000,90.83000,597400,0
04/24/1998,16:00:00,90.74000,91.08000,89.58000,90.07000,820000,0
04/27/1998,16:00:00,88.96000,89.40000,87.85000,88.77000,1916800,0
04/28/1998,16:00:00,89.58000,89.65000,88.21000,88.52000,437200,0
04/29/1998,16:00:00,88.80000,89.47000,88.44000,89.08000,290300,0
