Date,Time,Open,High,Low,Close,Vol,OI
11/21/1985,17:00:00,151.02700,151.25700,150.70700,150.78700,9536,966
11/22/1985,17:00:00,150.74700,150.90700,149.80700,149.85700,5863,1222
11/25/1985,17:00:00,149.92700,150.13700,149.65700,149.86700,3983,1122
11/26/1985,17:00:00,150.14700,150.20700,149.07700,149.39700,5345,668
11/27/1985,17:00:00,149.47700,149.77700,148.95700,149.38700,4623,917
11/29/1985,17:00:00,148.47700,148.68700,148.15700,148.40700,1943,898
12/02/1985,17:00:00,148.02700,149.02700,147.91700,148.80700,3566,1045
12/03/1985,17:00:00,149.50700,149.77700,149.13700,149.26700,3799,924
12/04/1985,17:00:00,148.72700,148.88700,148.54700,148.66700,2518,1107
12/05/1985,17:00:00,149.30700,149.39700,148.67700,148.74700,2577,943
12/06/1985,17:00:00,149.05700,149.52700,148.91700,149.30700,1668,810
12/09/1985,17:00:00,149.52700,149.99700,149.43700,149.74700,1390,792
12/10/1985,17:00:00,150.09700,150.44700,150.00700,150.25700,1664,771
12/11/1985,17:00:00,150.87700,151.40700,150.17700,150.31700,3332,896
12/12/1985,17:00:00,149.73700,149.97700,149.30700,149.80700,1945,752
12/13/1985,17:00:00,149.47700,149.97700,149.33700,149.97700,1295,922
12/16/1985,17:00:00,149.92700,150.05700,149.13700,149.30700,1396,748
12/17/1985,17:00:00,149.27700,149.49700,148.86700,149.45700,1682,850
12/18/1985,17:00:00,149.82700,150.42700,149.82700,150.35700,1267,914
12/19/1985,17:00:00,150.17700,150.27700,149.67700,149.84700,354,796
12/20/1985,17:00:00,149.92700,150.16700,149.48700,149.66700,461,800
12/23/1985,17:00:00,149.72700,149.84700,149.27700,149.47700,369,802
12/24/1985,17:00:00,149.52700,149.54700,149.22700,149.26700,24,777
12/26/1985,17:00:00,149.37700,149.45700,149.02700,149.29700,258,768
12/27/1985,17:00:00,148.37700,148.41700,147.56700,147.80700,1022,447
12/30/1985,17:00:00,147.62700,147.82700,147.21700,147.47700,196,437
12/31/1985,17:00:00,147.20700,147.24700,146.72700,146.77700,212,380
01/02/1986,17:00:00,146.85700,147.28700,146.21700,146.33700,1586,555
01/03/1986,17:00:00,147.57700,148.12700,147.47700,147.99700,1069,843
01/06/1986,17:00:00,148.07700,148.12700,147.27700,147.35700,1611,942
01/07/1986,17:00:00,146.87700,147.37700,146.72700,147.11700,2120,946
01/08/1986,17:00:00,147.09700,148.32700,147.09700,148.15700,1708,982
01/09/1986,17:00:00,148.07700,148.58700,146.07700,146.47700,2287,1178
01/10/1986,17:00:00,147.32700,148.12700,146.82700,147.75700,1373,993
01/13/1986,17:00:00,148.32700,148.84700,147.69700,148.11700,1261,1110
01/14/1986,17:00:00,148.27700,148.52700,147.90700,148.40700,633,1154
01/15/1986,17:00:00,148.22700,148.22700,147.57700,147.72700,1131,1500
01/16/1986,17:00:00,147.47700,148.20700,147.44700,148.05700,497,1601
01/17/1986,17:00:00,148.04700,148.17700,147.62700,148.15700,564,1536
01/20/1986,17:00:00,148.37700,148.61700,147.87700,148.05700,416,1502
01/21/1986,17:00:00,147.97700,148.34700,147.67700,148.07700,338,1555
01/22/1986,17:00:00,148.32700,148.47700,147.32700,148.22700,568,1684
01/23/1986,17:00:00,148.02700,148.20700,147.82700,147.83700,660,1464
01/24/1986,17:00:00,146.82700,147.02700,146.13700,146.34700,1604,1346
01/27/1986,17:00:00,146.12700,146.22700,145.79700,145.92700,707,1295
01/28/1986,17:00:00,145.72700,146.11700,145.47700,145.63700,296,1245
01/29/1986,17:00:00,145.30700,145.57700,145.17700,145.45700,266,1281
01/30/1986,17:00:00,145.48700,145.48700,144.62700,144.72700,316,1296
01/31/1986,17:00:00,145.12700,145.52700,144.92700,145.13700,736,1107
02/03/1986,17:00:00,145.32700,145.97700,145.27700,145.57700,427,1134
02/04/1986,17:00:00,146.62700,146.77700,146.03700,146.30700,602,1262
02/05/1986,17:00:00,146.02700,146.02700,144.83700,144.97700,1108,1632
02/06/1986,17:00:00,144.83700,145.82700,144.54700,145.42700,758,1786
