Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,1.09705,1.09795,1.09705,1.09785,4654,86361
05/16/2001,17:00:00,1.10305,1.10305,1.10195,1.10235,5876,86694
05/17/2001,17:00:00,1.10215,1.10245,1.10205,1.10215,4397,86803
05/18/2001,17:00:00,1.10205,1.10215,1.09475,1.09885,3771,86803
05/21/2001,17:00:00,1.09935,1.10125,1.09325,1.09665,3978,86431
05/22/2001,17:00:00,1.09635,1.09685,1.08195,1.08425,6718,90039
05/23/2001,17:00:00,1.08455,1.08555,1.07485,1.07605,5166,89201
05/24/2001,17:00:00,1.07555,1.07675,1.07475,1.07575,4391,90173
05/28/2001,17:00:00,1.07635,1.08195,1.07315,1.07745,367,90668
05/29/2001,17:00:00,1.07925,1.08045,1.07225,1.07455,2774,89249
05/30/2001,17:00:00,1.07645,1.07685,1.07605,1.07625,2502,88862
05/31/2001,17:00:00,1.07615,1.07615,1.06385,1.06495,5129,91898
06/04/2001,17:00:00,1.06655,1.07315,1.06285,1.06595,3581,92092
06/05/2001,17:00:00,1.06525,1.07405,1.06195,1.07355,4821,88772
06/06/2001,17:00:00,1.07355,1.07635,1.06405,1.06755,5069,86203
06/07/2001,17:00:00,1.06735,1.07105,1.06525,1.06995,3671,85087
06/08/2001,17:00:00,1.07055,1.07155,1.06535,1.07065,4404,77743
06/11/2001,17:00:00,1.06935,1.07355,1.06065,1.06285,2601,75505
06/12/2001,17:00:00,1.06265,1.07325,1.06095,1.07255,3135,63636
06/13/2001,17:00:00,1.06945,1.07395,1.06795,1.07135,1051,55888
06/14/2001,17:00:00,1.07165,1.08025,1.06635,1.07835,1101,45710
06/15/2001,17:00:00,1.07735,1.08435,1.07535,1.07895,759,36871
06/18/2001,17:00:00,1.08235,1.08235,1.07485,1.07495,143,32013
06/19/2001,17:00:00,1.07495,1.07495,1.07495,1.07495,0,72026
06/22/2001,17:00:00,1.07045,1.07355,1.06705,1.07165,2422,72865
06/25/2001,17:00:00,1.07255,1.07835,1.07235,1.07555,3819,75223
06/26/2001,17:00:00,1.07495,1.08115,1.07485,1.07925,4071,74281
06/27/2001,17:00:00,1.07955,1.08215,1.07465,1.07645,3890,73180
06/28/2001,17:00:00,1.07615,1.07755,1.05965,1.06055,7530,77555
06/29/2001,17:00:00,1.06075,1.06605,1.06005,1.06555,3029,76144
07/02/2001,17:00:00,1.06595,1.06675,1.06045,1.06305,2481,76994
07/03/2001,17:00:00,1.06385,1.06645,1.06185,1.06405,3562,75652
07/05/2001,17:00:00,1.06405,1.06435,1.05165,1.05245,7830,80524
07/06/2001,17:00:00,1.05245,1.06405,1.05155,1.06345,6303,81606
07/09/2001,17:00:00,1.06355,1.06765,1.06065,1.06705,4822,80477
07/10/2001,17:00:00,1.06585,1.07345,1.06515,1.07095,8534,81379
07/11/2001,17:00:00,1.07115,1.08025,1.06945,1.07565,8685,80995
07/12/2001,17:00:00,1.07505,1.07505,1.06695,1.06985,5995,80926
07/13/2001,17:00:00,1.06985,1.07235,1.06705,1.07015,3576,80843
07/16/2001,17:00:00,1.07075,1.07565,1.06885,1.06895,4251,80702
07/17/2001,17:00:00,1.06895,1.07705,1.06595,1.07505,4808,81829
07/18/2001,17:00:00,1.07575,1.09035,1.07335,1.09025,8152,84981
07/19/2001,17:00:00,1.08995,1.09415,1.08425,1.08685,6274,84053
07/20/2001,17:00:00,1.08725,1.09485,1.08675,1.08775,4378,84517
07/23/2001,17:00:00,1.08695,1.08785,1.08175,1.08515,3507,84286
07/24/2001,17:00:00,1.08565,1.09335,1.08505,1.09105,5141,84558
07/25/2001,17:00:00,1.09055,1.09755,1.08805,1.09705,7128,84452
07/26/2001,17:00:00,1.09725,1.09875,1.09105,1.09455,5144,83664
07/27/2001,17:00:00,1.09405,1.09705,1.08865,1.09275,5162,85387
07/30/2001,17:00:00,1.09295,1.09395,1.08875,1.09075,2329,85200
07/31/2001,17:00:00,1.09085,1.09455,1.08895,1.09225,2324,87073
08/01/2001,17:00:00,1.09265,1.09955,1.09265,1.09745,4771,89034
08/02/2001,17:00:00,1.09755,1.10065,1.09485,1.10025,5132,90496
08/03/2001,17:00:00,1.10025,1.10375,1.09375,1.10065,23773,93143
08/06/2001,17:00:00,1.09975,1.09985,1.09515,1.09815,14956,92667
08/07/2001,17:00:00,1.09765,1.09795,1.09185,1.09395,14869,91386
08/08/2001,17:00:00,1.09385,1.09735,1.09065,1.09685,13899,91447
08/09/2001,17:00:00,1.09725,1.11055,1.09515,1.10855,31686,95687
08/10/2001,17:00:00,1.10895,1.11235,1.10785,1.10985,17365,96639
08/13/2001,17:00:00,1.11035,1.11735,1.10905,1.11425,17917,97033
08/14/2001,17:00:00,1.11325,1.12035,1.11075,1.11995,19953,96094
08/15/2001,17:00:00,1.11985,1.13165,1.11885,1.13165,35151,107739
08/16/2001,17:00:00,1.13065,1.13695,1.12575,1.12875,27289,107647
08/17/2001,17:00:00,1.12835,1.13515,1.12695,1.13405,17468,109563
08/20/2001,17:00:00,1.13385,1.13735,1.12775,1.13125,19205,105584
08/21/2001,17:00:00,1.13115,1.13505,1.12465,1.13445,15159,105486
08/22/2001,17:00:00,1.13485,1.14065,1.13045,1.13185,26580,106192
08/23/2001,17:00:00,1.13135,1.13355,1.12675,1.13215,17944,103347
08/24/2001,17:00:00,1.13175,1.13355,1.12455,1.12985,19282,103868
08/27/2001,17:00:00,1.13065,1.13155,1.12545,1.12855,11613,104219
08/28/2001,17:00:00,1.12845,1.12985,1.11975,1.12935,10959,104219
08/29/2001,17:00:00,1.13005,1.13175,1.12555,1.12735,17033,106412
08/30/2001,17:00:00,1.12615,1.13545,1.12305,1.13395,31702,109056
08/31/2001,17:00:00,1.13355,1.13725,1.12385,1.12705,26026,106023
09/04/2001,17:00:00,1.12655,1.12735,1.10175,1.10535,49070,97105
09/05/2001,17:00:00,1.10555,1.10825,1.10165,1.10185,20074,93370
09/06/2001,17:00:00,1.10325,1.11405,1.09975,1.11365,28889,88355
09/07/2001,17:00:00,1.11255,1.12445,1.11025,1.12245,37286,78203
09/10/2001,17:00:00,1.12365,1.12485,1.11435,1.11515,4695,74109
09/11/2001,17:00:00,1.11495,1.12645,1.11275,1.12405,4695,74109
09/13/2001,17:00:00,1.12585,1.13195,1.12565,1.13165,35032,58904
09/14/2001,17:00:00,1.13155,1.14435,1.12835,1.14105,45428,98859
09/17/2001,17:00:00,1.14035,1.15055,1.13405,1.14345,34774,99932
09/18/2001,17:00:00,1.14245,1.14585,1.13635,1.14495,15899,99080
09/19/2001,17:00:00,1.14455,1.14965,1.14055,1.14445,23306,105856
09/20/2001,17:00:00,1.14475,1.14635,1.13985,1.14295,21047,104205
09/21/2001,17:00:00,1.14425,1.14495,1.12645,1.13045,31040,103348
09/24/2001,17:00:00,1.13115,1.13695,1.12795,1.13425,14849,103562
09/25/2001,17:00:00,1.13385,1.14235,1.13205,1.14025,22304,107385
09/26/2001,17:00:00,1.14055,1.14175,1.13705,1.14015,14664,106601
09/27/2001,17:00:00,1.14055,1.14075,1.13345,1.13555,20394,106788
09/28/2001,17:00:00,1.13555,1.13585,1.12545,1.12795,26222,106999
10/01/2001,17:00:00,1.12975,1.13515,1.12975,1.13505,28150,108663
