Date,Time,Open,High,Low,Close,Vol,OI
04/14/2003,16:00:00,11.14000,11.22000,11.14000,11.22000,93600,0
04/15/2003,16:00:00,11.29000,11.39000,11.29000,11.36000,421200,0
04/16/2003,16:00:00,11.48000,11.53000,11.48000,11.49000,9000,0
04/17/2003,16:00:00,11.55000,11.57000,11.53000,11.57000,17100,0
04/21/2003,16:00:00,11.58000,11.58000,11.56000,11.56000,72900,0
04/22/2003,16:00:00,11.56000,11.60000,11.53000,11.60000,19800,0
04/23/2003,16:00:00,11.61000,11.66000,11.57000,11.66000,31500,0
04/24/2003,16:00:00,11.57000,11.57000,11.40000,11.43000,90000,0
04/25/2003,16:00:00,11.27000,11.27000,11.22000,11.24000,102600,0
04/28/2003,16:00:00,11.27000,11.42000,11.27000,11.42000,91800,0
04/29/2003,16:00:00,11.60000,11.76000,11.60000,11.75000,76500,0
04/30/2003,16:00:00,11.72000,11.73000,11.69000,11.72000,228600,0
05/01/2003,16:00:00,11.68000,11.73000,11.67000,11.67000,234900,0
05/02/2003,16:00:00,11.71000,11.85000,11.71000,11.85000,67500,0
05/05/2003,16:00:00,11.89000,11.98000,11.89000,11.98000,47700,0
05/06/2003,16:00:00,11.98000,12.05000,11.97000,12.04000,109800,0
05/07/2003,16:00:00,11.99000,12.02000,11.98000,12.02000,313200,0
05/08/2003,16:00:00,11.94000,11.95000,11.90000,11.91000,417600,0
05/09/2003,16:00:00,11.93000,12.06000,11.93000,12.05000,63000,0
05/12/2003,16:00:00,12.11000,12.22000,12.10000,12.22000,752400,0
05/13/2003,16:00:00,12.18000,12.18000,12.12000,12.15000,276300,0
05/14/2003,16:00:00,12.15000,12.15000,12.07000,12.09000,206100,0
05/15/2003,16:00:00,12.11000,12.11000,12.08000,12.11000,337500,0
05/16/2003,16:00:00,12.12000,12.17000,12.09000,12.12000,256500,0
05/19/2003,16:00:00,12.04000,12.04000,11.79000,11.83000,128700,0
05/20/2003,16:00:00,11.86000,11.91000,11.83000,11.89000,53100,0
05/21/2003,16:00:00,11.87000,11.91000,11.81000,11.90000,45900,0
05/22/2003,16:00:00,11.91000,12.01000,11.91000,12.01000,84600,0
05/23/2003,16:00:00,12.09000,12.16000,12.09000,12.13000,74700,0
05/27/2003,16:00:00,12.16000,12.58000,12.16000,12.57000,864000,0
05/28/2003,16:00:00,12.57000,12.64000,12.57000,12.62000,396000,0
05/29/2003,16:00:00,12.61000,12.66000,12.59000,12.64000,306900,0
05/30/2003,16:00:00,12.67000,12.79000,12.64000,12.79000,368100,0
06/02/2003,16:00:00,12.82000,13.02000,12.82000,12.88000,587700,0
06/03/2003,16:00:00,12.89000,12.89000,12.67000,12.78000,244800,0
06/04/2003,16:00:00,12.78000,12.95000,12.78000,12.94000,241200,0
06/05/2003,16:00:00,12.99000,12.99000,12.87000,12.96000,509400,0
06/06/2003,16:00:00,13.03000,13.21000,13.03000,13.08000,608400,0
06/09/2003,16:00:00,13.10000,13.10000,12.93000,12.97000,208800,0
06/10/2003,16:00:00,12.97000,13.10000,12.97000,13.10000,233100,0
06/11/2003,16:00:00,13.09000,13.12000,13.00000,13.11000,294300,0
06/12/2003,16:00:00,13.13000,13.21000,13.12000,13.21000,402300,0
06/13/2003,16:00:00,13.18000,13.22000,13.17000,13.21000,694800,0
06/16/2003,16:00:00,13.24000,13.35000,13.23000,13.35000,163800,0
06/17/2003,16:00:00,13.48000,13.63000,13.48000,13.62000,352800,0
06/18/2003,16:00:00,13.59000,13.65000,13.54000,13.57000,171900,0
06/19/2003,16:00:00,13.68000,13.71000,13.56000,13.57000,225900,0
06/20/2003,16:00:00,13.61000,13.63000,13.53000,13.57000,300600,0
06/23/2003,16:00:00,13.53000,13.53000,13.24000,13.24000,332100,0
06/24/2003,16:00:00,13.18000,13.18000,13.07000,13.14000,188100,0
06/25/2003,16:00:00,13.17000,13.33000,13.17000,13.25000,1045800,0
06/26/2003,16:00:00,13.31000,13.40000,13.29000,13.39000,210600,0
06/27/2003,16:00:00,13.41000,13.42000,13.30000,13.33000,373500,0
06/30/2003,16:00:00,13.37000,13.37000,13.30000,13.32000,279900,0
07/01/2003,16:00:00,13.37000,13.48000,13.33000,13.47000,679500,0
07/02/2003,16:00:00,13.62000,13.79000,13.62000,13.78000,1129500,0
07/03/2003,16:00:00,13.82000,13.83000,13.79000,13.82000,110700,0
07/07/2003,16:00:00,13.97000,14.16000,13.97000,14.16000,569700,0
07/08/2003,16:00:00,14.19000,14.23000,14.14000,14.20000,347400,0
07/09/2003,16:00:00,14.19000,14.19000,14.11000,14.17000,472500,0
07/10/2003,16:00:00,14.09000,14.09000,13.88000,13.92000,1603800,0
07/11/2003,16:00:00,13.92000,14.04000,13.92000,14.04000,212400,0
07/14/2003,16:00:00,14.19000,14.34000,14.19000,14.29000,683100,0
07/15/2003,16:00:00,14.36000,14.36000,14.11000,14.11000,2222100,0
07/16/2003,16:00:00,14.08000,14.16000,14.04000,14.12000,828000,0
07/17/2003,16:00:00,14.03000,14.03000,13.75000,13.75000,360000,0
07/18/2003,16:00:00,13.77000,13.93000,13.77000,13.93000,205200,0
07/21/2003,16:00:00,13.88000,13.88000,13.73000,13.75000,2148300,0
07/22/2003,16:00:00,13.78000,13.93000,13.77000,13.91000,1022400,0
07/23/2003,16:00:00,13.87000,13.87000,13.74000,13.82000,904500,0
07/24/2003,16:00:00,13.92000,14.01000,13.89000,13.89000,749700,0
07/25/2003,16:00:00,13.99000,14.12000,13.97000,14.12000,212400,0
07/28/2003,16:00:00,14.20000,14.24000,14.16000,14.19000,1040400,0
07/29/2003,16:00:00,14.22000,14.22000,14.10000,14.11000,805500,0
07/30/2003,16:00:00,14.08000,14.08000,13.98000,14.01000,56700,0
07/31/2003,16:00:00,14.03000,14.12000,14.03000,14.08000,339300,0
08/01/2003,16:00:00,14.11000,14.13000,14.09000,14.11000,441000,0
08/04/2003,16:00:00,14.13000,14.14000,14.00000,14.05000,394200,0
08/05/2003,16:00:00,14.05000,14.05000,13.90000,13.90000,290700,0
08/06/2003,16:00:00,13.89000,13.91000,13.80000,13.83000,371700,0
08/07/2003,16:00:00,13.93000,13.98000,13.90000,13.93000,288900,0
08/08/2003,16:00:00,14.05000,14.06000,13.99000,14.03000,153000,0
08/11/2003,16:00:00,14.11000,14.14000,14.06000,14.09000,665100,0
08/12/2003,16:00:00,14.11000,14.16000,14.09000,14.14000,727200,0
08/13/2003,16:00:00,14.32000,14.39000,14.25000,14.34000,721800,0
08/14/2003,16:00:00,14.35000,14.54000,14.35000,14.53000,404100,0
08/15/2003,16:00:00,14.39000,14.39000,14.39000,14.39000,48600,0
08/18/2003,16:00:00,14.52000,14.70000,14.51000,14.70000,1189800,0
08/19/2003,16:00:00,14.78000,14.78000,14.68000,14.77000,453600,0
08/20/2003,16:00:00,14.73000,14.77000,14.68000,14.77000,1125000,0
08/22/2003,16:00:00,15.22000,15.22000,15.07000,15.12000,1008000,0
08/25/2003,16:00:00,15.10000,15.10000,14.98000,15.00000,391500,0
08/26/2003,16:00:00,14.94000,14.94000,14.73000,14.82000,1186200,0
08/27/2003,16:00:00,14.84000,14.99000,14.79000,14.99000,629100,0
08/28/2003,16:00:00,15.04000,15.09000,14.95000,15.09000,441900,0
08/29/2003,16:00:00,15.19000,15.23000,15.19000,15.20000,417600,0
09/02/2003,16:00:00,15.33000,15.43000,15.31000,15.43000,1471500,0
09/03/2003,16:00:00,15.64000,15.64000,15.54000,15.55000,887400,0
09/04/2003,16:00:00,15.56000,15.63000,15.55000,15.61000,458100,0
09/05/2003,16:00:00,15.63000,15.63000,15.56000,15.59000,532800,0
09/08/2003,16:00:00,15.75000,15.91000,15.75000,15.89000,659700,0
09/09/2003,16:00:00,15.92000,15.92000,15.59000,15.61000,387900,0
09/10/2003,16:00:00,15.59000,15.59000,15.27000,15.35000,569700,0
09/11/2003,16:00:00,15.36000,15.49000,15.33000,15.33000,1097100,0
09/12/2003,16:00:00,15.38000,15.44000,15.28000,15.44000,948600,0
09/15/2003,16:00:00,15.46000,15.46000,15.17000,15.21000,809100,0
09/16/2003,16:00:00,15.37000,15.53000,15.33000,15.53000,1987200,0
09/17/2003,16:00:00,15.55000,15.57000,15.45000,15.46000,982800,0
09/19/2003,16:00:00,15.66000,15.66000,15.53000,15.57000,466200,0
09/22/2003,16:00:00,15.50000,15.50000,15.25000,15.31000,3884400,0
09/23/2003,16:00:00,15.33000,15.36000,15.31000,15.35000,453600,0
09/24/2003,16:00:00,15.55000,15.58000,15.37000,15.38000,789300,0
09/25/2003,16:00:00,15.38000,15.38000,15.15000,15.15000,530100,0
09/26/2003,16:00:00,15.15000,15.15000,15.04000,15.04000,2994300,0
09/29/2003,16:00:00,15.07000,15.16000,15.06000,15.15000,1071000,0
09/30/2003,16:00:00,15.25000,15.25000,15.06000,15.10000,2218500,0
10/01/2003,16:00:00,15.31000,15.50000,15.30000,15.50000,1123200,0
10/02/2003,16:00:00,15.65000,15.75000,15.61000,15.72000,1017900,0
10/03/2003,16:00:00,15.94000,15.95000,15.85000,15.88000,2016900,0
10/06/2003,16:00:00,15.96000,15.97000,15.89000,15.94000,356400,0
10/07/2003,16:00:00,15.99000,15.99000,15.89000,15.92000,529200,0
10/08/2003,16:00:00,16.06000,16.07000,16.02000,16.04000,351000,0
10/09/2003,16:00:00,16.30000,16.39000,16.28000,16.31000,987300,0
10/10/2003,16:00:00,16.40000,16.52000,16.40000,16.51000,1278000,0
10/13/2003,16:00:00,16.61000,16.78000,16.61000,16.76000,1638000,0
10/14/2003,16:00:00,16.71000,16.71000,16.43000,16.44000,1341000,0
10/16/2003,16:00:00,16.64000,16.68000,16.61000,16.64000,284400,0
10/17/2003,16:00:00,16.64000,16.64000,16.50000,16.53000,273600,0
10/20/2003,16:00:00,16.66000,16.68000,16.61000,16.63000,448200,0
10/21/2003,16:00:00,16.67000,16.71000,16.64000,16.71000,977400,0
10/22/2003,16:00:00,16.68000,16.68000,16.40000,16.46000,1390500,0
10/23/2003,16:00:00,16.22000,16.22000,16.11000,16.22000,849600,0
10/24/2003,16:00:00,16.11000,16.14000,16.06000,16.14000,1303200,0
10/27/2003,16:00:00,16.24000,16.33000,16.24000,16.32000,1175400,0
10/28/2003,16:00:00,16.53000,16.57000,16.49000,16.55000,625500,0
10/29/2003,16:00:00,16.60000,16.69000,16.57000,16.68000,775800,0
10/30/2003,16:00:00,16.76000,16.77000,16.62000,16.62000,603900,0
10/31/2003,16:00:00,16.64000,16.65000,16.47000,16.49000,305100,0
11/03/2003,16:00:00,16.78000,16.89000,16.76000,16.88000,1420164,0
11/04/2003,16:00:00,17.00000,17.00000,16.90000,16.93000,922644,0
11/05/2003,16:00:00,16.97000,17.00000,16.90000,16.95000,1408500,0
11/06/2003,16:00:00,16.88000,16.88000,16.75000,16.83000,745200,0
11/07/2003,16:00:00,16.85000,16.91000,16.83000,16.85000,659700,0
11/10/2003,16:00:00,16.81000,16.81000,16.61000,16.62000,644400,0
11/11/2003,16:00:00,16.49000,16.49000,16.34000,16.40000,731700,0
11/12/2003,16:00:00,16.51000,16.72000,16.49000,16.70000,657900,0
11/13/2003,16:00:00,16.81000,16.83000,16.68000,16.82000,972900,0
11/14/2003,16:00:00,16.79000,16.84000,16.68000,16.74000,3463200,0
11/17/2003,16:00:00,16.61000,16.61000,16.31000,16.41000,1896300,0
11/18/2003,16:00:00,16.52000,16.56000,16.44000,16.44000,1236600,0
11/19/2003,16:00:00,16.39000,16.39000,16.28000,16.34000,1089900,0
11/20/2003,16:00:00,16.19000,16.22000,16.11000,16.13000,505800,0
11/21/2003,16:00:00,16.18000,16.27000,16.18000,16.27000,363600,0
11/24/2003,16:00:00,16.27000,16.45000,16.24000,16.44000,1182600,0
11/25/2003,16:00:00,16.49000,16.54000,16.44000,16.50000,2041200,0
11/26/2003,16:00:00,16.65000,16.65000,16.56000,16.65000,1207800,0
11/28/2003,16:00:00,16.67000,16.85000,16.64000,16.80000,619200,0
12/01/2003,16:00:00,17.04000,17.28000,17.04000,17.28000,1340100,0
12/02/2003,16:00:00,17.28000,17.28000,17.18000,17.20000,2511900,0
12/03/2003,16:00:00,17.29000,17.31000,17.14000,17.14000,824400,0
12/04/2003,16:00:00,17.14000,17.14000,16.97000,17.03000,709200,0
12/05/2003,16:00:00,17.00000,17.04000,16.91000,16.99000,1263600,0
12/08/2003,16:00:00,16.97000,17.04000,16.96000,17.03000,753300,0
12/09/2003,16:00:00,17.12000,17.15000,16.96000,16.96000,1598400,0
12/10/2003,16:00:00,17.04000,17.06000,16.86000,16.89000,561600,0
12/11/2003,16:00:00,17.04000,17.21000,17.02000,17.20000,819000,0
12/12/2003,16:00:00,17.28000,17.28000,17.22000,17.28000,1101600,0
12/15/2003,16:00:00,17.42000,17.45000,17.24000,17.29000,1232100,0
12/16/2003,16:00:00,17.31000,17.31000,17.14000,17.22000,669600,0
12/17/2003,16:00:00,17.11000,17.11000,16.98000,17.02000,1114200,0
12/18/2003,16:00:00,17.09000,17.29000,17.09000,17.29000,657900,0
12/19/2003,16:00:00,17.25000,17.36000,17.25000,17.33000,559800,0
12/22/2003,16:00:00,17.32000,17.50000,17.28000,17.50000,1562400,0
12/23/2003,16:00:00,17.50000,17.55000,17.46000,17.55000,1328400,0
12/24/2003,16:00:00,17.60000,17.63000,17.57000,17.60000,279000,0
12/26/2003,16:00:00,17.67000,17.67000,17.63000,17.65000,216900,0
12/29/2003,16:00:00,17.78000,17.92000,17.76000,17.92000,1450800,0
12/30/2003,16:00:00,18.02000,18.09000,18.00000,18.00000,1374300,0
12/31/2003,16:00:00,18.09000,18.23000,18.09000,18.21000,979200,0
