Date,Time,Open,High,Low,Close,Vol,OI
01/29/2002,17:00:00,816.65000,816.65000,807.05000,807.05000,93,103
01/30/2002,17:00:00,815.25000,815.85000,798.35000,804.25000,368,343
01/31/2002,17:00:00,803.25000,813.25000,798.35000,812.55000,201,474
02/01/2002,17:00:00,812.55000,813.95000,809.15000,811.15000,48,562
02/04/2002,17:00:00,806.75000,806.75000,801.55000,802.55000,259,561
02/05/2002,17:00:00,806.75000,806.85000,796.45000,800.45000,116,523
02/06/2002,17:00:00,796.45000,802.95000,793.95000,796.05000,13,23
02/07/2002,17:00:00,800.75000,800.75000,787.25000,794.65000,82,655
02/08/2002,17:00:00,792.85000,804.35000,792.55000,804.35000,193,720
02/11/2002,17:00:00,803.15000,807.55000,802.85000,807.55000,136,748
02/12/2002,17:00:00,803.15000,809.75000,802.75000,808.95000,111,798
02/13/2002,17:00:00,808.75000,812.25000,805.05000,811.25000,48,798
02/14/2002,17:00:00,809.65000,815.35000,808.85000,813.05000,237,945
02/15/2002,17:00:00,809.75000,810.45000,805.45000,805.75000,241,942
02/19/2002,17:00:00,804.25000,804.25000,797.95000,798.55000,327,988
02/20/2002,17:00:00,804.25000,804.25000,795.65000,799.05000,501,995
02/21/2002,17:00:00,800.05000,805.85000,795.35000,804.15000,501,1060
02/22/2002,17:00:00,797.25000,804.25000,796.25000,802.75000,315,1077
02/25/2002,17:00:00,804.95000,807.55000,804.05000,807.55000,150,1085
02/26/2002,17:00:00,804.95000,812.45000,804.05000,811.25000,101,1031
02/27/2002,17:00:00,810.75000,818.05000,808.05000,815.05000,213,1055
02/28/2002,17:00:00,814.95000,818.15000,813.35000,814.35000,155,1073
03/01/2002,17:00:00,811.85000,823.15000,811.85000,823.05000,271,1158
03/04/2002,17:00:00,825.75000,833.15000,824.65000,832.25000,448,1181
03/05/2002,17:00:00,825.75000,837.45000,824.65000,835.75000,270,1295
03/06/2002,17:00:00,833.75000,838.75000,831.25000,836.75000,452,1445
03/07/2002,17:00:00,843.85000,845.65000,839.05000,839.75000,146,45
03/08/2002,17:00:00,843.65000,846.35000,841.15000,843.35000,178,107
03/11/2002,17:00:00,841.85000,844.85000,841.35000,844.85000,282,250
03/12/2002,17:00:00,841.85000,846.65000,836.85000,843.85000,397,307
03/13/2002,17:00:00,838.35000,844.15000,836.85000,840.15000,324,372
03/14/2002,17:00:00,840.35000,842.85000,837.45000,837.85000,112,406
03/15/2002,17:00:00,840.85000,844.75000,839.35000,843.45000,311,514
03/18/2002,17:00:00,846.35000,847.25000,843.05000,843.85000,254,542
03/19/2002,17:00:00,846.35000,850.45000,843.05000,848.55000,166,563
03/20/2002,17:00:00,849.85000,850.45000,843.35000,845.35000,720,656
03/21/2002,17:00:00,849.05000,849.05000,839.15000,840.95000,314,576
03/22/2002,17:00:00,845.35000,846.05000,841.55000,842.35000,231,499
03/25/2002,17:00:00,841.85000,842.15000,834.95000,836.05000,573,776
03/26/2002,17:00:00,841.85000,842.35000,833.15000,838.05000,497,711
03/27/2002,17:00:00,834.25000,845.75000,834.15000,843.35000,218,728
03/28/2002,17:00:00,854.35000,854.35000,844.95000,847.35000,90,747
04/01/2002,17:00:00,844.85000,844.85000,838.75000,844.85000,308,741
04/02/2002,17:00:00,844.85000,847.95000,838.75000,844.85000,493,1004
04/03/2002,17:00:00,843.15000,845.65000,835.45000,835.45000,336,1083
04/04/2002,17:00:00,841.05000,841.85000,832.85000,834.95000,216,1025
04/05/2002,17:00:00,837.85000,840.35000,835.55000,835.55000,440,938
04/08/2002,17:00:00,832.85000,842.35000,831.95000,842.35000,558,1087
04/09/2002,17:00:00,832.85000,845.85000,831.95000,842.45000,282,1125
04/10/2002,17:00:00,844.35000,849.75000,840.35000,847.65000,149,1129
04/11/2002,17:00:00,849.75000,849.85000,845.15000,846.95000,614,1323
04/12/2002,17:00:00,844.35000,848.75000,840.45000,848.65000,570,1366
04/15/2002,17:00:00,849.85000,851.85000,845.45000,849.05000,426,1371
04/16/2002,17:00:00,849.85000,854.85000,845.45000,854.55000,509,1415
04/17/2002,17:00:00,853.35000,860.05000,852.45000,855.95000,382,1546
04/18/2002,17:00:00,857.95000,860.05000,847.85000,853.85000,482,1552
04/19/2002,17:00:00,855.75000,856.65000,853.05000,855.15000,284,1570
04/22/2002,17:00:00,852.85000,852.85000,847.85000,848.05000,511,1551
04/23/2002,17:00:00,852.85000,852.85000,845.85000,848.35000,431,1446
04/24/2002,17:00:00,847.85000,850.85000,845.75000,845.75000,1136,1600
04/25/2002,17:00:00,847.85000,850.85000,837.75000,842.55000,720,1406
04/26/2002,17:00:00,854.45000,854.45000,834.85000,836.35000,528,1666
04/29/2002,17:00:00,837.85000,839.35000,834.25000,834.85000,496,1589
04/30/2002,17:00:00,835.65000,843.65000,835.65000,842.45000,749,1686
05/01/2002,17:00:00,843.75000,847.35000,837.95000,847.35000,501,1682
05/02/2002,17:00:00,847.85000,847.85000,844.65000,845.55000,305,1742
05/03/2002,17:00:00,843.75000,843.75000,838.65000,840.35000,375,1685
05/06/2002,17:00:00,840.85000,842.75000,831.35000,831.35000,377,1800
05/07/2002,17:00:00,834.35000,834.35000,829.05000,831.75000,568,1820
05/08/2002,17:00:00,836.85000,841.95000,836.85000,840.35000,535,2016
05/09/2002,17:00:00,843.35000,844.85000,827.85000,835.85000,542,1931
