Date,Time,Open,High,Low,Close,Vol,OI
09/12/1997,17:00:00,1649.50000,1668.00000,1645.00000,1650.25000,9759,4059
09/15/1997,17:00:00,1665.00000,1671.25000,1660.50000,1662.75000,8551,3818
09/16/1997,17:00:00,1662.75000,1691.50000,1661.75000,1687.50000,11749,5314
09/17/1997,17:00:00,1687.50000,1694.00000,1683.00000,1687.50000,10849,5516
09/18/1997,17:00:00,1687.25000,1702.00000,1686.25000,1689.50000,11588,6122
09/19/1997,17:00:00,1691.50000,1694.75000,1684.50000,1692.50000,9880,5836
09/22/1997,17:00:00,1691.75000,1703.50000,1691.75000,1697.50000,12076,5993
09/23/1997,17:00:00,1696.75000,1698.75000,1688.00000,1694.00000,10148,5679
09/24/1997,17:00:00,1693.00000,1702.00000,1683.50000,1685.00000,14580,6194
09/25/1997,17:00:00,1685.25000,1689.00000,1677.00000,1678.25000,14114,6132
09/26/1997,17:00:00,1678.00000,1688.00000,1678.00000,1685.00000,12049,5666
09/29/1997,17:00:00,1684.75000,1696.00000,1681.75000,1693.50000,11104,5722
09/30/1997,17:00:00,1692.50000,1696.75000,1684.25000,1686.25000,15239,5864
10/01/1997,17:00:00,1687.00000,1698.00000,1686.00000,1694.75000,14015,5725
10/02/1997,17:00:00,1694.75000,1701.00000,1692.50000,1700.25000,9650,5132
10/03/1997,17:00:00,1700.75000,1717.00000,1693.25000,1706.75000,13273,6276
10/06/1997,17:00:00,1711.50000,1715.25000,1708.25000,1712.25000,8704,6372
10/07/1997,17:00:00,1711.75000,1723.75000,1709.00000,1721.00000,11618,7345
10/08/1997,17:00:00,1721.00000,1723.25000,1706.25000,1713.50000,16119,7885
10/09/1997,17:00:00,1711.75000,1714.75000,1700.75000,1709.50000,9275,8003
10/10/1997,17:00:00,1710.50000,1712.50000,1695.50000,1708.25000,6506,8061
10/13/1997,17:00:00,1708.25000,1713.25000,1705.50000,1708.00000,3805,8576
10/14/1997,17:00:00,1707.75000,1713.00000,1700.00000,1708.75000,11923,9618
10/15/1997,17:00:00,1707.25000,1708.25000,1699.50000,1705.00000,9715,10107
10/16/1997,17:00:00,1705.00000,1712.75000,1686.75000,1690.75000,12998,11013
10/17/1997,17:00:00,1690.50000,1691.50000,1667.00000,1681.25000,13452,11763
10/20/1997,17:00:00,1680.00000,1694.50000,1676.50000,1693.75000,11527,11917
10/21/1997,17:00:00,1695.00000,1712.00000,1693.50000,1710.50000,10576,12755
10/22/1997,17:00:00,1710.50000,1712.00000,1702.00000,1705.50000,10172,12717
10/23/1997,17:00:00,1704.50000,1705.75000,1679.00000,1687.50000,13536,13601
