Date,Time,Open,High,Low,Close,Vol,OI
01/03/1991,16:00:00,5.82000,5.82000,5.82000,5.82000,100,0
01/04/1991,16:00:00,5.65000,5.66000,5.65000,5.65000,100,0
01/08/1991,16:00:00,5.63000,5.63000,5.62000,5.63000,100,0
01/09/1991,16:00:00,5.59000,5.60000,5.59000,5.59000,100,0
01/11/1991,16:00:00,5.67000,5.67000,5.66000,5.66000,100,0
01/14/1991,16:00:00,5.62000,5.63000,5.62000,5.62000,100,0
01/15/1991,16:00:00,5.57000,5.57000,5.57000,5.57000,100,0
01/16/1991,16:00:00,5.57000,5.57000,5.56000,5.57000,100,0
01/18/1991,16:00:00,5.85000,5.85000,5.84000,5.85000,100,0
01/22/1991,16:00:00,5.91000,5.91000,5.91000,5.91000,100,0
01/23/1991,16:00:00,5.88000,5.88000,5.88000,5.88000,100,0
01/25/1991,16:00:00,5.98000,5.98000,5.97000,5.98000,100,0
01/28/1991,16:00:00,6.02000,6.02000,6.02000,6.02000,100,0
01/29/1991,16:00:00,6.07000,6.07000,6.07000,6.07000,100,0
02/01/1991,16:00:00,6.04000,6.04000,6.03000,6.03000,100,0
02/04/1991,16:00:00,6.13000,6.13000,6.13000,6.13000,100,0
02/05/1991,16:00:00,6.25000,6.25000,6.25000,6.25000,100,0
02/06/1991,16:00:00,6.23000,6.23000,6.23000,6.23000,100,0
02/07/1991,16:00:00,6.25000,6.25000,6.25000,6.25000,100,0
02/12/1991,16:00:00,6.42000,6.43000,6.42000,6.42000,100,0
02/13/1991,16:00:00,6.46000,6.46000,6.45000,6.46000,100,0
02/14/1991,16:00:00,6.42000,6.42000,6.41000,6.42000,100,0
02/15/1991,16:00:00,6.44000,6.44000,6.44000,6.44000,100,0
02/19/1991,16:00:00,6.56000,6.56000,6.55000,6.56000,100,0
02/21/1991,16:00:00,6.41000,6.41000,6.41000,6.41000,100,0
02/27/1991,16:00:00,6.49000,6.49000,6.49000,6.49000,100,0
02/28/1991,16:00:00,6.58000,6.58000,6.58000,6.58000,100,0
03/01/1991,16:00:00,6.50000,6.50000,6.50000,6.50000,100,0
03/04/1991,16:00:00,6.38000,6.38000,6.38000,6.38000,100,0
03/05/1991,16:00:00,6.34000,6.34000,6.34000,6.34000,100,0
03/06/1991,16:00:00,6.48000,6.48000,6.48000,6.48000,100,0
03/08/1991,16:00:00,6.49000,6.49000,6.49000,6.49000,100,0
03/14/1991,16:00:00,6.57000,6.57000,6.57000,6.57000,100,0
03/18/1991,16:00:00,6.66000,6.67000,6.66000,6.67000,100,0
03/19/1991,16:00:00,6.66000,6.66000,6.66000,6.66000,100,0
03/20/1991,16:00:00,6.53000,6.53000,6.53000,6.53000,100,0
03/21/1991,16:00:00,6.55000,6.55000,6.55000,6.55000,100,0
03/22/1991,16:00:00,6.57000,6.57000,6.57000,6.57000,100,0
03/26/1991,16:00:00,6.60000,6.60000,6.59000,6.60000,100,0
03/27/1991,16:00:00,6.61000,6.61000,6.61000,6.61000,100,0
03/28/1991,16:00:00,6.67000,6.67000,6.66000,6.67000,100,0
04/01/1991,16:00:00,6.65000,6.65000,6.65000,6.65000,100,0
04/03/1991,16:00:00,6.75000,6.75000,6.75000,6.75000,100,0
04/05/1991,16:00:00,6.78000,6.79000,6.78000,6.78000,100,0
04/08/1991,16:00:00,6.74000,6.74000,6.74000,6.74000,100,0
04/09/1991,16:00:00,6.78000,6.79000,6.78000,6.78000,100,0
04/10/1991,16:00:00,6.75000,6.75000,6.74000,6.75000,100,0
04/11/1991,16:00:00,6.75000,6.75000,6.75000,6.75000,100,0
04/12/1991,16:00:00,6.75000,6.75000,6.74000,6.75000,100,0
04/16/1991,16:00:00,6.80000,6.80000,6.80000,6.80000,100,0
04/22/1991,16:00:00,6.93000,6.94000,6.93000,6.93000,100,0
04/24/1991,16:00:00,6.99000,6.99000,6.99000,6.99000,100,0
04/25/1991,16:00:00,7.03000,7.03000,7.03000,7.03000,100,0
04/26/1991,16:00:00,7.17000,7.17000,7.17000,7.17000,100,0
04/30/1991,16:00:00,7.15000,7.16000,7.15000,7.15000,100,0
05/01/1991,16:00:00,7.13000,7.13000,7.13000,7.13000,100,0
05/02/1991,16:00:00,7.05000,7.05000,7.05000,7.05000,100,0
05/03/1991,16:00:00,7.05000,7.05000,7.05000,7.05000,100,0
05/07/1991,16:00:00,7.17000,7.17000,7.16000,7.17000,100,0
05/08/1991,16:00:00,7.23000,7.23000,7.23000,7.23000,100,0
05/10/1991,16:00:00,7.25000,7.25000,7.25000,7.25000,100,0
05/16/1991,16:00:00,7.27000,7.27000,7.27000,7.27000,100,0
05/20/1991,16:00:00,7.19000,7.20000,7.19000,7.19000,100,0
05/22/1991,16:00:00,7.19000,7.19000,7.19000,7.19000,100,0
05/23/1991,16:00:00,6.99000,6.99000,6.99000,6.99000,100,0
05/24/1991,16:00:00,7.01000,7.01000,7.01000,7.01000,100,0
05/28/1991,16:00:00,6.96000,6.96000,6.96000,6.96000,100,0
05/30/1991,16:00:00,6.84000,6.84000,6.83000,6.84000,100,0
