Date,Time,Open,High,Low,Close,Vol,OI
01/03/1991,16:00:00,8.23000,8.24000,8.23000,8.23000,100,0
01/07/1991,16:00:00,8.16000,8.16000,8.16000,8.16000,100,0
01/08/1991,16:00:00,8.14000,8.15000,8.14000,8.14000,100,0
01/10/1991,16:00:00,8.18000,8.18000,8.18000,8.18000,100,0
01/16/1991,16:00:00,8.11000,8.11000,8.11000,8.11000,100,0
01/21/1991,16:00:00,8.16000,8.16000,8.16000,8.16000,100,0
01/24/1991,16:00:00,8.16000,8.17000,8.16000,8.16000,100,0
01/25/1991,16:00:00,8.18000,8.18000,8.17000,8.18000,100,0
01/30/1991,16:00:00,8.24000,8.25000,8.24000,8.25000,100,0
01/31/1991,16:00:00,8.25000,8.25000,8.25000,8.25000,100,0
02/05/1991,16:00:00,8.50000,8.50000,8.50000,8.50000,100,0
02/06/1991,16:00:00,8.66000,8.66000,8.66000,8.66000,100,0
02/08/1991,16:00:00,8.70000,8.70000,8.70000,8.70000,100,0
02/11/1991,16:00:00,8.85000,8.85000,8.85000,8.85000,100,0
02/13/1991,16:00:00,8.94000,8.94000,8.94000,8.94000,100,0
02/14/1991,16:00:00,8.86000,8.86000,8.86000,8.86000,100,0
02/19/1991,16:00:00,8.96000,8.96000,8.96000,8.96000,100,0
02/21/1991,16:00:00,8.81000,8.81000,8.81000,8.81000,100,0
02/22/1991,16:00:00,8.77000,8.77000,8.77000,8.77000,100,0
02/25/1991,16:00:00,8.72000,8.73000,8.72000,8.72000,100,0
02/28/1991,16:00:00,8.79000,8.79000,8.78000,8.79000,100,0
03/07/1991,16:00:00,9.01000,9.01000,9.01000,9.01000,100,0
03/12/1991,16:00:00,8.99000,8.99000,8.98000,8.99000,100,0
03/13/1991,16:00:00,9.00000,9.00000,9.00000,9.00000,100,0
03/15/1991,16:00:00,8.89000,8.89000,8.89000,8.89000,100,0
03/21/1991,16:00:00,8.78000,8.78000,8.78000,8.78000,100,0
03/22/1991,16:00:00,8.70000,8.70000,8.69000,8.70000,100,0
03/25/1991,16:00:00,8.67000,8.67000,8.66000,8.67000,100,0
03/26/1991,16:00:00,8.69000,8.69000,8.69000,8.69000,100,0
03/27/1991,16:00:00,8.72000,8.72000,8.72000,8.72000,100,0
04/01/1991,16:00:00,8.73000,8.73000,8.73000,8.73000,100,0
04/02/1991,16:00:00,8.82000,8.82000,8.82000,8.82000,100,0
04/03/1991,16:00:00,8.83000,8.83000,8.83000,8.83000,100,0
04/04/1991,16:00:00,8.84000,8.85000,8.84000,8.84000,100,0
04/08/1991,16:00:00,8.82000,8.83000,8.82000,8.82000,100,0
04/11/1991,16:00:00,8.82000,8.83000,8.82000,8.82000,100,0
04/15/1991,16:00:00,8.90000,8.90000,8.90000,8.90000,100,0
04/17/1991,16:00:00,8.99000,8.99000,8.98000,8.99000,100,0
04/19/1991,16:00:00,8.81000,8.82000,8.81000,8.81000,100,0
04/22/1991,16:00:00,8.77000,8.77000,8.77000,8.77000,100,0
04/23/1991,16:00:00,8.84000,8.84000,8.84000,8.84000,100,0
04/26/1991,16:00:00,8.88000,8.88000,8.88000,8.88000,100,0
04/29/1991,16:00:00,8.82000,8.82000,8.82000,8.82000,100,0
04/30/1991,16:00:00,8.82000,8.83000,8.82000,8.82000,100,0
05/01/1991,16:00:00,8.89000,8.90000,8.89000,8.89000,100,0
05/03/1991,16:00:00,8.88000,8.88000,8.88000,8.88000,100,0
05/06/1991,16:00:00,8.88000,8.88000,8.88000,8.88000,100,0
05/08/1991,16:00:00,8.86000,8.86000,8.86000,8.86000,100,0
05/10/1991,16:00:00,8.89000,8.90000,8.89000,8.89000,100,0
05/15/1991,16:00:00,8.78000,8.78000,8.78000,8.78000,100,0
05/17/1991,16:00:00,8.81000,8.81000,8.81000,8.81000,100,0
05/21/1991,16:00:00,8.81000,8.81000,8.81000,8.81000,100,0
05/23/1991,16:00:00,8.79000,8.79000,8.78000,8.79000,100,0
05/24/1991,16:00:00,8.83000,8.83000,8.83000,8.83000,100,0
05/28/1991,16:00:00,8.95000,8.95000,8.94000,8.95000,100,0
05/30/1991,16:00:00,9.02000,9.02000,9.01000,9.02000,100,0
06/03/1991,16:00:00,9.13000,9.13000,9.12000,9.13000,100,0
06/04/1991,16:00:00,9.11000,9.11000,9.11000,9.11000,100,0
06/05/1991,16:00:00,9.12000,9.12000,9.12000,9.12000,100,0
06/06/1991,16:00:00,9.17000,9.17000,9.16000,9.17000,100,0
06/07/1991,16:00:00,9.16000,9.16000,9.16000,9.16000,100,0
06/10/1991,16:00:00,9.11000,9.12000,9.11000,9.11000,100,0
06/11/1991,16:00:00,9.14000,9.14000,9.14000,9.14000,100,0
06/13/1991,16:00:00,9.11000,9.11000,9.10000,9.11000,100,0
06/14/1991,16:00:00,9.13000,9.13000,9.13000,9.13000,100,0
06/18/1991,16:00:00,9.13000,9.13000,9.13000,9.13000,100,0
06/19/1991,16:00:00,9.06000,9.06000,9.06000,9.06000,100,0
06/24/1991,16:00:00,8.92000,8.92000,8.92000,8.92000,100,0
07/02/1991,16:00:00,8.92000,8.92000,8.92000,8.92000,100,0
07/03/1991,16:00:00,8.88000,8.88000,8.88000,8.88000,100,0
07/05/1991,16:00:00,8.88000,8.88000,8.88000,8.88000,100,0
07/08/1991,16:00:00,8.90000,8.90000,8.90000,8.90000,100,0
07/09/1991,16:00:00,8.89000,8.90000,8.89000,8.89000,100,0
07/10/1991,16:00:00,8.90000,8.90000,8.90000,8.90000,100,0
07/11/1991,16:00:00,8.92000,8.92000,8.92000,8.92000,100,0
07/15/1991,16:00:00,8.99000,8.99000,8.99000,8.99000,100,0
07/18/1991,16:00:00,9.06000,9.06000,9.06000,9.06000,100,0
07/19/1991,16:00:00,9.02000,9.03000,9.02000,9.02000,100,0
07/22/1991,16:00:00,8.96000,8.96000,8.96000,8.96000,100,0
07/24/1991,16:00:00,8.97000,8.97000,8.97000,8.97000,100,0
07/25/1991,16:00:00,8.97000,8.98000,8.97000,8.97000,100,0
07/26/1991,16:00:00,8.99000,8.99000,8.98000,8.98000,100,0
07/29/1991,16:00:00,9.00000,9.00000,9.00000,9.00000,100,0
07/30/1991,16:00:00,9.04000,9.04000,9.03000,9.04000,100,0
08/01/1991,16:00:00,9.02000,9.02000,9.01000,9.02000,100,0
08/06/1991,16:00:00,8.96000,8.96000,8.96000,8.96000,100,0
08/07/1991,16:00:00,9.00000,9.00000,9.00000,9.00000,100,0
08/09/1991,16:00:00,8.94000,8.94000,8.93000,8.94000,100,0
08/13/1991,16:00:00,9.00000,9.00000,9.00000,9.00000,100,0
08/14/1991,16:00:00,9.06000,9.06000,9.05000,9.06000,100,0
08/16/1991,16:00:00,9.02000,9.02000,9.02000,9.02000,100,0
08/19/1991,16:00:00,8.92000,8.92000,8.92000,8.92000,100,0
08/20/1991,16:00:00,8.93000,8.93000,8.93000,8.93000,100,0
08/21/1991,16:00:00,9.02000,9.02000,9.02000,9.02000,100,0
08/22/1991,16:00:00,9.03000,9.03000,9.03000,9.03000,100,0
08/23/1991,16:00:00,9.06000,9.06000,9.06000,9.06000,100,0
08/27/1991,16:00:00,9.06000,9.06000,9.06000,9.06000,100,0
08/28/1991,16:00:00,9.07000,9.08000,9.07000,9.07000,100,0
08/30/1991,16:00:00,9.08000,9.09000,9.08000,9.08000,100,0
09/05/1991,16:00:00,8.99000,9.00000,8.99000,8.99000,100,0
09/06/1991,16:00:00,8.99000,9.00000,8.99000,8.99000,100,0
09/12/1991,16:00:00,8.90000,8.90000,8.89000,8.90000,100,0
09/17/1991,16:00:00,8.88000,8.88000,8.88000,8.88000,100,0
09/19/1991,16:00:00,8.85000,8.85000,8.85000,8.85000,100,0
09/20/1991,16:00:00,8.84000,8.84000,8.84000,8.84000,100,0
09/25/1991,16:00:00,8.80000,8.81000,8.80000,8.80000,100,0
09/26/1991,16:00:00,8.78000,8.78000,8.78000,8.78000,100,0
09/30/1991,16:00:00,8.82000,8.82000,8.82000,8.82000,100,0
10/03/1991,16:00:00,8.81000,8.82000,8.81000,8.81000,100,0
10/04/1991,16:00:00,8.79000,8.79000,8.79000,8.79000,100,0
10/08/1991,16:00:00,8.75000,8.75000,8.75000,8.75000,100,0
10/14/1991,16:00:00,8.81000,8.81000,8.80000,8.81000,100,0
10/16/1991,16:00:00,9.06000,9.06000,9.06000,9.06000,100,0
10/17/1991,16:00:00,9.06000,9.06000,9.05000,9.06000,100,0
10/18/1991,16:00:00,9.11000,9.11000,9.10000,9.10000,100,0
10/22/1991,16:00:00,9.06000,9.06000,9.06000,9.06000,100,0
10/24/1991,16:00:00,9.02000,9.02000,9.01000,9.02000,100,0
10/25/1991,16:00:00,8.97000,8.97000,8.97000,8.97000,100,0
10/28/1991,16:00:00,9.05000,9.05000,9.04000,9.05000,100,0
10/29/1991,16:00:00,9.13000,9.13000,9.13000,9.13000,100,0
