Date,Time,Open,High,Low,Close,Vol,OI
01/07/1991,16:00:00,3.93000,3.93000,3.93000,3.93000,100,0
01/18/1991,16:00:00,3.96000,3.97000,3.96000,3.97000,100,0
01/21/1991,16:00:00,3.98000,3.99000,3.98000,3.98000,100,0
01/24/1991,16:00:00,4.08000,4.08000,4.08000,4.08000,100,0
01/25/1991,16:00:00,4.16000,4.16000,4.16000,4.16000,100,0
01/28/1991,16:00:00,4.15000,4.15000,4.14000,4.15000,100,0
01/29/1991,16:00:00,4.15000,4.15000,4.15000,4.15000,100,0
01/30/1991,16:00:00,4.14000,4.15000,4.14000,4.14000,100,0
02/06/1991,16:00:00,4.37000,4.37000,4.37000,4.37000,100,0
02/07/1991,16:00:00,4.34000,4.34000,4.34000,4.34000,100,0
02/08/1991,16:00:00,4.35000,4.35000,4.35000,4.35000,100,0
02/11/1991,16:00:00,4.40000,4.40000,4.40000,4.40000,100,0
02/12/1991,16:00:00,4.41000,4.41000,4.41000,4.41000,100,0
02/14/1991,16:00:00,4.41000,4.41000,4.41000,4.41000,100,0
02/15/1991,16:00:00,4.42000,4.42000,4.41000,4.42000,100,0
02/19/1991,16:00:00,4.50000,4.50000,4.50000,4.50000,100,0
02/20/1991,16:00:00,4.54000,4.54000,4.53000,4.54000,100,0
02/21/1991,16:00:00,4.52000,4.52000,4.52000,4.52000,100,0
02/22/1991,16:00:00,4.50000,4.50000,4.50000,4.50000,100,0
02/25/1991,16:00:00,4.53000,4.53000,4.52000,4.53000,100,0
02/26/1991,16:00:00,4.55000,4.55000,4.54000,4.55000,100,0
03/04/1991,16:00:00,4.63000,4.63000,4.63000,4.63000,100,0
03/06/1991,16:00:00,4.74000,4.74000,4.74000,4.74000,100,0
03/11/1991,16:00:00,4.75000,4.75000,4.75000,4.75000,100,0
03/14/1991,16:00:00,4.70000,4.70000,4.69000,4.70000,100,0
03/18/1991,16:00:00,4.84000,4.85000,4.84000,4.84000,100,0
03/20/1991,16:00:00,4.79000,4.79000,4.78000,4.78000,100,0
03/22/1991,16:00:00,4.83000,4.83000,4.83000,4.83000,100,0
03/27/1991,16:00:00,4.81000,4.82000,4.81000,4.81000,100,0
03/28/1991,16:00:00,4.87000,4.87000,4.87000,4.87000,100,0
04/15/1991,16:00:00,4.86000,4.86000,4.86000,4.86000,100,0
04/17/1991,16:00:00,4.82000,4.82000,4.82000,4.82000,100,0
04/18/1991,16:00:00,4.83000,4.83000,4.83000,4.83000,100,0
04/19/1991,16:00:00,4.79000,4.79000,4.79000,4.79000,100,0
04/22/1991,16:00:00,4.66000,4.67000,4.66000,4.67000,100,0
04/26/1991,16:00:00,4.75000,4.75000,4.75000,4.75000,100,0
04/30/1991,16:00:00,4.71000,4.72000,4.71000,4.71000,100,0
05/02/1991,16:00:00,4.90000,4.90000,4.90000,4.90000,100,0
05/03/1991,16:00:00,4.88000,4.88000,4.88000,4.88000,100,0
05/08/1991,16:00:00,4.90000,4.90000,4.90000,4.90000,100,0
05/09/1991,16:00:00,4.88000,4.88000,4.88000,4.88000,100,0
05/10/1991,16:00:00,4.90000,4.90000,4.90000,4.90000,100,0
05/13/1991,16:00:00,4.93000,4.93000,4.93000,4.93000,100,0
05/15/1991,16:00:00,4.98000,4.98000,4.97000,4.98000,100,0
05/16/1991,16:00:00,5.09000,5.09000,5.08000,5.08000,100,0
05/17/1991,16:00:00,5.12000,5.12000,5.11000,5.12000,100,0
05/21/1991,16:00:00,5.07000,5.07000,5.07000,5.07000,100,0
05/22/1991,16:00:00,5.05000,5.05000,5.05000,5.05000,100,0
05/23/1991,16:00:00,4.97000,4.98000,4.97000,4.97000,100,0
05/28/1991,16:00:00,4.75000,4.75000,4.74000,4.75000,100,0
05/30/1991,16:00:00,4.88000,4.88000,4.88000,4.88000,100,0
06/03/1991,16:00:00,4.87000,4.87000,4.86000,4.87000,100,0
06/07/1991,16:00:00,4.81000,4.81000,4.81000,4.81000,100,0
06/10/1991,16:00:00,4.80000,4.80000,4.80000,4.80000,100,0
06/12/1991,16:00:00,4.81000,4.82000,4.81000,4.82000,100,0
06/17/1991,16:00:00,4.84000,4.85000,4.84000,4.85000,100,0
06/20/1991,16:00:00,4.79000,4.79000,4.78000,4.78000,100,0
06/24/1991,16:00:00,4.78000,4.78000,4.77000,4.78000,100,0
06/27/1991,16:00:00,4.85000,4.85000,4.84000,4.84000,100,0
06/28/1991,16:00:00,4.87000,4.88000,4.87000,4.88000,100,0
07/01/1991,16:00:00,4.96000,4.96000,4.96000,4.96000,100,0
07/02/1991,16:00:00,5.00000,5.00000,5.00000,5.00000,100,0
07/05/1991,16:00:00,5.14000,5.15000,5.14000,5.14000,100,0
07/08/1991,16:00:00,5.13000,5.13000,5.13000,5.13000,100,0
07/09/1991,16:00:00,5.17000,5.17000,5.16000,5.17000,100,0
07/10/1991,16:00:00,5.15000,5.15000,5.15000,5.15000,100,0
07/11/1991,16:00:00,5.13000,5.13000,5.13000,5.13000,100,0
07/12/1991,16:00:00,5.17000,5.17000,5.17000,5.17000,100,0
07/15/1991,16:00:00,5.23000,5.23000,5.23000,5.23000,100,0
07/16/1991,16:00:00,5.31000,5.31000,5.31000,5.31000,100,0
07/19/1991,16:00:00,5.30000,5.30000,5.29000,5.30000,100,0
07/22/1991,16:00:00,5.26000,5.26000,5.26000,5.26000,100,0
07/24/1991,16:00:00,5.34000,5.35000,5.34000,5.34000,100,0
07/25/1991,16:00:00,5.33000,5.33000,5.33000,5.33000,100,0
07/29/1991,16:00:00,5.32000,5.32000,5.32000,5.32000,100,0
07/30/1991,16:00:00,5.31000,5.31000,5.31000,5.31000,100,0
07/31/1991,16:00:00,5.32000,5.32000,5.32000,5.32000,100,0
08/02/1991,16:00:00,5.36000,5.37000,5.36000,5.36000,100,0
08/08/1991,16:00:00,5.34000,5.34000,5.33000,5.34000,100,0
08/09/1991,16:00:00,5.30000,5.30000,5.30000,5.30000,100,0
08/12/1991,16:00:00,5.36000,5.36000,5.35000,5.35000,100,0
08/15/1991,16:00:00,5.37000,5.38000,5.37000,5.37000,100,0
08/16/1991,16:00:00,5.36000,5.36000,5.35000,5.36000,100,0
08/19/1991,16:00:00,4.90000,4.90000,4.90000,4.90000,100,0
08/20/1991,16:00:00,5.06000,5.06000,5.06000,5.06000,100,0
08/22/1991,16:00:00,5.33000,5.33000,5.33000,5.33000,100,0
08/23/1991,16:00:00,5.31000,5.31000,5.31000,5.31000,100,0
08/27/1991,16:00:00,5.25000,5.25000,5.25000,5.25000,100,0
08/28/1991,16:00:00,5.25000,5.25000,5.25000,5.25000,100,0
08/29/1991,16:00:00,5.25000,5.25000,5.25000,5.25000,100,0
09/06/1991,16:00:00,5.25000,5.25000,5.25000,5.25000,100,0
09/09/1991,16:00:00,5.22000,5.23000,5.22000,5.22000,100,0
09/11/1991,16:00:00,5.27000,5.27000,5.27000,5.27000,100,0
09/12/1991,16:00:00,5.25000,5.25000,5.25000,5.25000,100,0
09/13/1991,16:00:00,5.25000,5.25000,5.25000,5.25000,100,0
09/24/1991,16:00:00,5.13000,5.13000,5.13000,5.13000,100,0
09/25/1991,16:00:00,5.13000,5.13000,5.13000,5.13000,100,0
09/27/1991,16:00:00,5.18000,5.18000,5.18000,5.18000,100,0
09/30/1991,16:00:00,5.21000,5.21000,5.20000,5.20000,100,0
10/02/1991,16:00:00,5.33000,5.33000,5.33000,5.33000,100,0
10/03/1991,16:00:00,5.35000,5.35000,5.35000,5.35000,100,0
10/04/1991,16:00:00,5.33000,5.33000,5.33000,5.33000,100,0
10/07/1991,16:00:00,5.32000,5.33000,5.32000,5.32000,100,0
10/08/1991,16:00:00,5.31000,5.31000,5.31000,5.31000,100,0
10/10/1991,16:00:00,5.29000,5.29000,5.29000,5.29000,100,0
10/11/1991,16:00:00,5.24000,5.25000,5.24000,5.24000,100,0
10/14/1991,16:00:00,5.25000,5.25000,5.25000,5.25000,100,0
10/15/1991,16:00:00,5.27000,5.27000,5.27000,5.27000,100,0
10/17/1991,16:00:00,5.23000,5.23000,5.22000,5.23000,100,0
10/21/1991,16:00:00,5.21000,5.21000,5.21000,5.21000,100,0
10/22/1991,16:00:00,5.18000,5.18000,5.18000,5.18000,100,0
10/23/1991,16:00:00,5.22000,5.23000,5.22000,5.22000,100,0
10/24/1991,16:00:00,5.19000,5.19000,5.19000,5.19000,100,0
10/25/1991,16:00:00,5.16000,5.17000,5.16000,5.17000,100,0
10/28/1991,16:00:00,5.18000,5.19000,5.18000,5.18000,100,0
10/30/1991,16:00:00,5.25000,5.25000,5.24000,5.25000,100,0
10/31/1991,16:00:00,5.27000,5.28000,5.27000,5.28000,100,0
11/01/1991,16:00:00,5.26000,5.26000,5.26000,5.26000,100,0
11/04/1991,16:00:00,5.32000,5.32000,5.32000,5.32000,100,0
11/06/1991,16:00:00,5.44000,5.44000,5.44000,5.44000,100,0
11/07/1991,16:00:00,5.46000,5.46000,5.45000,5.46000,100,0
11/08/1991,16:00:00,5.50000,5.50000,5.50000,5.50000,100,0
11/11/1991,16:00:00,5.50000,5.50000,5.50000,5.50000,100,0
11/14/1991,16:00:00,5.49000,5.49000,5.48000,5.49000,100,0
11/20/1991,16:00:00,5.49000,5.49000,5.49000,5.49000,100,0
11/26/1991,16:00:00,5.50000,5.50000,5.50000,5.50000,100,0
12/03/1991,16:00:00,5.36000,5.36000,5.36000,5.36000,100,0
12/04/1991,16:00:00,5.40000,5.40000,5.40000,5.40000,100,0
12/05/1991,16:00:00,5.38000,5.38000,5.38000,5.38000,100,0
12/06/1991,16:00:00,5.45000,5.45000,5.44000,5.45000,100,0
12/11/1991,16:00:00,5.35000,5.35000,5.34000,5.34000,100,0
12/12/1991,16:00:00,5.34000,5.34000,5.34000,5.34000,100,0
12/16/1991,16:00:00,5.44000,5.44000,5.44000,5.44000,100,0
12/18/1991,16:00:00,5.44000,5.45000,5.44000,5.44000,100,0
12/20/1991,16:00:00,5.39000,5.40000,5.39000,5.39000,100,0
12/23/1991,16:00:00,5.38000,5.38000,5.38000,5.38000,100,0
12/24/1991,16:00:00,5.45000,5.45000,5.45000,5.45000,100,0
12/26/1991,16:00:00,5.44000,5.44000,5.44000,5.44000,100,0
12/30/1991,16:00:00,5.55000,5.55000,5.55000,5.55000,100,0
12/31/1991,16:00:00,5.58000,5.58000,5.58000,5.58000,100,0
01/02/1992,16:00:00,5.59000,5.59000,5.59000,5.59000,100,0
01/03/1992,16:00:00,5.61000,5.62000,5.61000,5.61000,100,0
01/08/1992,16:00:00,5.67000,5.67000,5.66000,5.67000,100,0
01/14/1992,16:00:00,5.71000,5.72000,5.71000,5.71000,100,0
01/15/1992,16:00:00,5.75000,5.75000,5.75000,5.75000,100,0
01/16/1992,16:00:00,5.80000,5.80000,5.80000,5.80000,100,0
01/23/1992,16:00:00,6.09000,6.09000,6.09000,6.09000,100,0
01/24/1992,16:00:00,6.09000,6.09000,6.09000,6.09000,100,0
01/28/1992,16:00:00,6.08000,6.08000,6.08000,6.08000,100,0
01/31/1992,16:00:00,6.08000,6.09000,6.08000,6.09000,100,0
02/03/1992,16:00:00,6.19000,6.19000,6.19000,6.19000,100,0
02/04/1992,16:00:00,6.19000,6.19000,6.18000,6.19000,100,0
02/05/1992,16:00:00,6.19000,6.19000,6.19000,6.19000,100,0
02/10/1992,16:00:00,6.31000,6.32000,6.31000,6.32000,100,0
02/11/1992,16:00:00,6.25000,6.25000,6.25000,6.25000,100,0
02/13/1992,16:00:00,6.37000,6.37000,6.36000,6.36000,100,0
02/14/1992,16:00:00,6.36000,6.36000,6.36000,6.36000,100,0
02/17/1992,16:00:00,6.30000,6.30000,6.30000,6.30000,100,0
02/18/1992,16:00:00,6.33000,6.34000,6.33000,6.33000,100,0
02/19/1992,16:00:00,6.30000,6.30000,6.29000,6.30000,100,0
02/20/1992,16:00:00,6.28000,6.28000,6.28000,6.28000,100,0
02/26/1992,16:00:00,6.38000,6.38000,6.38000,6.38000,100,0
02/28/1992,16:00:00,6.57000,6.57000,6.56000,6.57000,100,0
03/02/1992,16:00:00,6.58000,6.58000,6.57000,6.58000,100,0
03/04/1992,16:00:00,6.60000,6.61000,6.60000,6.61000,100,0
03/06/1992,16:00:00,6.52000,6.52000,6.52000,6.52000,100,0
03/11/1992,16:00:00,6.66000,6.66000,6.66000,6.66000,100,0
03/12/1992,16:00:00,6.72000,6.72000,6.72000,6.72000,100,0
03/13/1992,16:00:00,6.77000,6.77000,6.76000,6.77000,100,0
03/16/1992,16:00:00,6.74000,6.75000,6.74000,6.74000,100,0
03/20/1992,16:00:00,6.66000,6.66000,6.66000,6.66000,100,0
03/23/1992,16:00:00,6.74000,6.74000,6.73000,6.74000,100,0
03/24/1992,16:00:00,6.72000,6.72000,6.72000,6.72000,100,0
03/26/1992,16:00:00,6.68000,6.68000,6.67000,6.68000,100,0
03/27/1992,16:00:00,6.65000,6.65000,6.64000,6.65000,100,0
03/30/1992,16:00:00,6.61000,6.61000,6.61000,6.61000,100,0
03/31/1992,16:00:00,6.54000,6.55000,6.54000,6.54000,100,0
04/01/1992,16:00:00,6.49000,6.49000,6.49000,6.49000,100,0
04/03/1992,16:00:00,6.50000,6.50000,6.50000,6.50000,100,0
04/06/1992,16:00:00,6.48000,6.49000,6.48000,6.48000,100,0
04/07/1992,16:00:00,6.52000,6.53000,6.52000,6.52000,100,0
