Date,Time,Open,High,Low,Close,Vol,OI
01/08/1991,16:00:00,25.71000,25.71000,25.71000,25.71000,50,0
01/11/1991,16:00:00,25.72000,25.72000,25.72000,25.72000,50,0
01/14/1991,16:00:00,24.65000,24.65000,24.64000,24.65000,50,0
01/15/1991,16:00:00,24.83000,24.84000,24.83000,24.83000,50,0
01/17/1991,16:00:00,26.50000,26.50000,26.50000,26.50000,50,0
01/18/1991,16:00:00,26.47000,26.47000,26.47000,26.47000,50,0
01/22/1991,16:00:00,25.91000,25.91000,25.90000,25.91000,50,0
01/23/1991,16:00:00,25.49000,25.50000,25.49000,25.49000,50,0
01/25/1991,16:00:00,25.31000,25.32000,25.30000,25.31000,50,0
01/28/1991,16:00:00,25.38000,25.39000,25.38000,25.39000,50,0
01/29/1991,16:00:00,25.17000,25.17000,25.17000,25.17000,50,0
02/01/1991,16:00:00,25.75000,25.75000,25.75000,25.75000,50,0
02/04/1991,16:00:00,26.15000,26.16000,26.15000,26.15000,50,0
02/05/1991,16:00:00,26.80000,26.80000,26.79000,26.80000,50,0
02/07/1991,16:00:00,27.50000,27.50000,27.50000,27.50000,50,0
02/08/1991,16:00:00,27.53000,27.53000,27.52000,27.53000,50,0
02/13/1991,16:00:00,28.50000,28.50000,28.50000,28.50000,50,0
02/14/1991,16:00:00,28.94000,28.94000,28.94000,28.94000,50,0
02/22/1991,16:00:00,29.98000,29.99000,29.98000,29.98000,50,0
02/26/1991,16:00:00,29.60000,29.61000,29.60000,29.60000,50,0
02/27/1991,16:00:00,29.39000,29.39000,29.39000,29.39000,50,0
02/28/1991,16:00:00,29.50000,29.50000,29.50000,29.50000,50,0
03/01/1991,16:00:00,28.57000,28.57000,28.56000,28.57000,50,0
03/05/1991,16:00:00,28.78000,28.78000,28.78000,28.78000,50,0
03/06/1991,16:00:00,29.18000,29.19000,29.18000,29.19000,50,0
03/07/1991,16:00:00,29.19000,29.19000,29.18000,29.19000,50,0
03/11/1991,16:00:00,28.65000,28.65000,28.65000,28.65000,50,0
03/15/1991,16:00:00,29.11000,29.11000,29.10000,29.11000,50,0
03/21/1991,16:00:00,27.94000,27.94000,27.94000,27.94000,50,0
