Date,Time,Open,High,Low,Close,Vol,OI
01/03/1991,16:00:00,50.30000,50.31000,50.30000,50.30000,25,0
01/09/1991,16:00:00,48.34000,48.34000,48.34000,48.34000,25,0
01/10/1991,16:00:00,48.45000,48.46000,48.44000,48.45000,25,0
01/15/1991,16:00:00,48.46000,48.48000,48.45000,48.46000,25,0
01/16/1991,16:00:00,46.88000,46.88000,46.88000,46.88000,25,0
01/18/1991,16:00:00,50.74000,50.74000,50.73000,50.74000,25,0
01/21/1991,16:00:00,50.21000,50.22000,50.20000,50.21000,25,0
01/28/1991,16:00:00,51.00000,51.00000,51.00000,51.00000,25,0
01/29/1991,16:00:00,51.00000,51.00000,51.00000,51.00000,25,0
01/30/1991,16:00:00,50.46000,50.46000,50.44000,50.46000,25,0
02/04/1991,16:00:00,50.93000,50.96000,50.92000,50.96000,25,0
02/05/1991,16:00:00,52.29000,52.32000,52.29000,52.29000,25,0
02/06/1991,16:00:00,53.50000,53.50000,53.50000,53.50000,25,0
02/07/1991,16:00:00,54.09000,54.10000,54.09000,54.09000,25,0
02/08/1991,16:00:00,54.87000,54.88000,54.85000,54.87000,25,0
02/12/1991,16:00:00,56.45000,56.45000,56.44000,56.45000,25,0
02/13/1991,16:00:00,56.27000,56.27000,56.25000,56.27000,25,0
02/14/1991,16:00:00,56.62000,56.62000,56.62000,56.62000,25,0
02/19/1991,16:00:00,57.50000,57.50000,57.50000,57.50000,25,0
02/20/1991,16:00:00,56.98000,56.98000,56.98000,56.98000,25,0
02/26/1991,16:00:00,56.29000,56.29000,56.29000,56.29000,25,0
02/27/1991,16:00:00,56.18000,56.20000,56.17000,56.19000,25,0
02/28/1991,16:00:00,57.00000,57.00000,57.00000,57.00000,25,0
03/04/1991,16:00:00,54.65000,54.66000,54.65000,54.65000,25,0
03/06/1991,16:00:00,55.17000,55.18000,55.16000,55.17000,25,0
03/07/1991,16:00:00,55.41000,55.42000,55.40000,55.41000,25,0
03/08/1991,16:00:00,55.50000,55.50000,55.50000,55.50000,25,0
03/11/1991,16:00:00,54.86000,54.87000,54.86000,54.86000,25,0
03/12/1991,16:00:00,55.78000,55.78000,55.77000,55.78000,25,0
03/13/1991,16:00:00,54.94000,54.94000,54.93000,54.94000,25,0
03/14/1991,16:00:00,55.66000,55.67000,55.66000,55.66000,25,0
03/15/1991,16:00:00,56.28000,56.28000,56.28000,56.28000,25,0
03/19/1991,16:00:00,56.00000,56.00000,56.00000,56.00000,25,0
03/21/1991,16:00:00,55.10000,55.10000,55.09000,55.10000,25,0
03/26/1991,16:00:00,54.10000,54.10000,54.10000,54.10000,25,0
03/27/1991,16:00:00,53.74000,53.74000,53.74000,53.74000,25,0
03/28/1991,16:00:00,53.00000,53.00000,53.00000,53.00000,25,0
04/01/1991,16:00:00,53.06000,53.08000,53.04000,53.07000,25,0
04/03/1991,16:00:00,55.92000,55.92000,55.92000,55.92000,25,0
04/05/1991,16:00:00,56.65000,56.65000,56.65000,56.65000,25,0
04/08/1991,16:00:00,55.96000,55.96000,55.95000,55.96000,25,0
04/09/1991,16:00:00,55.30000,55.32000,55.30000,55.30000,25,0
04/10/1991,16:00:00,55.31000,55.31000,55.31000,55.31000,25,0
04/12/1991,16:00:00,55.93000,55.94000,55.93000,55.93000,25,0
04/15/1991,16:00:00,56.82000,56.83000,56.81000,56.82000,25,0
04/17/1991,16:00:00,56.82000,56.82000,56.81000,56.82000,25,0
04/24/1991,16:00:00,54.34000,54.34000,54.33000,54.34000,25,0
