Date,Time,Open,High,Low,Close,Vol,OI
01/08/1991,16:00:00,8.17000,8.17000,8.17000,8.17000,100,0
01/09/1991,16:00:00,8.47000,8.47000,8.47000,8.47000,100,0
01/10/1991,16:00:00,8.18000,8.18000,8.18000,8.18000,100,0
01/16/1991,16:00:00,7.87000,7.87000,7.87000,7.87000,100,0
01/18/1991,16:00:00,8.50000,8.50000,8.50000,8.50000,100,0
01/22/1991,16:00:00,8.55000,8.56000,8.55000,8.56000,100,0
01/23/1991,16:00:00,8.40000,8.40000,8.40000,8.40000,100,0
01/24/1991,16:00:00,8.61000,8.61000,8.61000,8.61000,100,0
01/28/1991,16:00:00,8.66000,8.66000,8.66000,8.66000,100,0
01/30/1991,16:00:00,8.68000,8.68000,8.68000,8.68000,100,0
02/01/1991,16:00:00,8.83000,8.83000,8.83000,8.83000,100,0
02/04/1991,16:00:00,8.86000,8.86000,8.86000,8.86000,100,0
02/05/1991,16:00:00,9.01000,9.01000,9.01000,9.01000,100,0
02/06/1991,16:00:00,9.00000,9.00000,9.00000,9.00000,100,0
02/07/1991,16:00:00,9.04000,9.04000,9.04000,9.04000,100,0
02/08/1991,16:00:00,9.17000,9.17000,9.16000,9.17000,100,0
02/11/1991,16:00:00,9.28000,9.28000,9.27000,9.27000,100,0
02/15/1991,16:00:00,9.34000,9.35000,9.34000,9.34000,100,0
02/22/1991,16:00:00,9.51000,9.52000,9.51000,9.51000,100,0
02/26/1991,16:00:00,9.31000,9.31000,9.31000,9.31000,100,0
02/27/1991,16:00:00,9.40000,9.40000,9.40000,9.40000,100,0
02/28/1991,16:00:00,9.57000,9.57000,9.57000,9.57000,100,0
03/01/1991,16:00:00,9.42000,9.42000,9.42000,9.42000,100,0
03/04/1991,16:00:00,9.49000,9.50000,9.49000,9.49000,100,0
03/08/1991,16:00:00,9.71000,9.71000,9.70000,9.71000,100,0
03/11/1991,16:00:00,9.40000,9.40000,9.40000,9.40000,100,0
03/12/1991,16:00:00,9.47000,9.47000,9.47000,9.47000,100,0
03/15/1991,16:00:00,9.34000,9.34000,9.33000,9.33000,100,0
03/20/1991,16:00:00,8.79000,8.79000,8.78000,8.79000,100,0
03/21/1991,16:00:00,9.00000,9.00000,9.00000,9.00000,100,0
03/22/1991,16:00:00,8.91000,8.92000,8.91000,8.92000,100,0
03/26/1991,16:00:00,8.69000,8.69000,8.69000,8.69000,100,0
03/28/1991,16:00:00,8.77000,8.77000,8.77000,8.77000,100,0
03/29/1991,16:00:00,8.86000,8.86000,8.86000,8.86000,100,0
04/01/1991,16:00:00,8.90000,8.90000,8.90000,8.90000,100,0
04/03/1991,16:00:00,9.17000,9.18000,9.17000,9.17000,100,0
04/04/1991,16:00:00,9.11000,9.11000,9.11000,9.11000,100,0
04/05/1991,16:00:00,9.28000,9.28000,9.27000,9.28000,100,0
04/09/1991,16:00:00,9.13000,9.13000,9.13000,9.13000,100,0
04/10/1991,16:00:00,9.05000,9.05000,9.05000,9.05000,100,0
04/15/1991,16:00:00,9.10000,9.10000,9.10000,9.10000,100,0
04/16/1991,16:00:00,9.00000,9.00000,9.00000,9.00000,100,0
04/17/1991,16:00:00,9.15000,9.15000,9.15000,9.15000,100,0
04/18/1991,16:00:00,9.02000,9.02000,9.02000,9.02000,100,0
04/19/1991,16:00:00,8.68000,8.68000,8.68000,8.68000,100,0
04/23/1991,16:00:00,8.50000,8.50000,8.50000,8.50000,100,0
04/25/1991,16:00:00,8.48000,8.48000,8.47000,8.48000,100,0
04/29/1991,16:00:00,8.47000,8.47000,8.46000,8.47000,100,0
04/30/1991,16:00:00,8.60000,8.60000,8.59000,8.60000,100,0
05/02/1991,16:00:00,8.83000,8.83000,8.82000,8.83000,100,0
05/08/1991,16:00:00,8.80000,8.81000,8.80000,8.80000,100,0
05/10/1991,16:00:00,8.93000,8.93000,8.93000,8.93000,100,0
05/13/1991,16:00:00,8.86000,8.86000,8.86000,8.86000,100,0
05/20/1991,16:00:00,8.76000,8.77000,8.76000,8.77000,100,0
05/23/1991,16:00:00,8.72000,8.73000,8.72000,8.72000,100,0
05/24/1991,16:00:00,8.77000,8.77000,8.76000,8.77000,100,0
05/28/1991,16:00:00,8.79000,8.79000,8.78000,8.78000,100,0
05/29/1991,16:00:00,8.94000,8.94000,8.94000,8.94000,100,0
05/31/1991,16:00:00,8.91000,8.91000,8.91000,8.91000,100,0
06/05/1991,16:00:00,8.84000,8.85000,8.84000,8.84000,100,0
06/06/1991,16:00:00,8.82000,8.83000,8.82000,8.82000,100,0
06/07/1991,16:00:00,8.72000,8.73000,8.72000,8.72000,100,0
06/10/1991,16:00:00,8.69000,8.69000,8.69000,8.69000,100,0
06/11/1991,16:00:00,8.78000,8.79000,8.78000,8.78000,100,0
06/12/1991,16:00:00,8.61000,8.61000,8.61000,8.61000,100,0
06/13/1991,16:00:00,8.52000,8.52000,8.52000,8.52000,100,0
06/17/1991,16:00:00,8.50000,8.50000,8.50000,8.50000,100,0
06/19/1991,16:00:00,8.33000,8.33000,8.33000,8.33000,100,0
06/21/1991,16:00:00,8.33000,8.33000,8.33000,8.33000,100,0
06/24/1991,16:00:00,8.27000,8.27000,8.26000,8.27000,100,0
06/25/1991,16:00:00,8.25000,8.25000,8.25000,8.25000,100,0
