Date,Time,Open,High,Low,Close,Vol,OI
01/03/1991,16:00:00,17.86000,17.86000,17.86000,17.86000,50,0
01/04/1991,16:00:00,17.85000,17.85000,17.85000,17.85000,50,0
01/09/1991,16:00:00,17.75000,17.75000,17.75000,17.75000,50,0
01/14/1991,16:00:00,17.15000,17.16000,17.15000,17.15000,50,0
01/16/1991,16:00:00,16.97000,16.98000,16.96000,16.97000,50,0
01/17/1991,16:00:00,17.50000,17.50000,17.50000,17.50000,50,0
01/18/1991,16:00:00,17.57000,17.57000,17.57000,17.57000,50,0
01/22/1991,16:00:00,17.66000,17.67000,17.66000,17.67000,50,0
01/23/1991,16:00:00,17.63000,17.63000,17.63000,17.63000,50,0
01/24/1991,16:00:00,17.92000,17.93000,17.92000,17.92000,50,0
01/28/1991,16:00:00,18.11000,18.12000,18.10000,18.11000,50,0
01/29/1991,16:00:00,18.08000,18.08000,18.08000,18.08000,50,0
01/30/1991,16:00:00,18.25000,18.25000,18.25000,18.25000,50,0
01/31/1991,16:00:00,18.50000,18.50000,18.50000,18.50000,50,0
02/01/1991,16:00:00,18.63000,18.63000,18.63000,18.63000,50,0
02/04/1991,16:00:00,18.69000,18.69000,18.68000,18.69000,50,0
02/07/1991,16:00:00,19.47000,19.48000,19.47000,19.47000,50,0
02/08/1991,16:00:00,19.46000,19.46000,19.45000,19.46000,50,0
02/11/1991,16:00:00,19.83000,19.83000,19.82000,19.83000,50,0
02/12/1991,16:00:00,19.65000,19.65000,19.64000,19.65000,50,0
02/13/1991,16:00:00,19.72000,19.72000,19.72000,19.72000,50,0
02/14/1991,16:00:00,19.87000,19.88000,19.87000,19.87000,50,0
02/19/1991,16:00:00,19.75000,19.75000,19.75000,19.75000,50,0
02/20/1991,16:00:00,19.56000,19.56000,19.56000,19.56000,50,0
02/22/1991,16:00:00,19.79000,19.80000,19.78000,19.80000,50,0
02/26/1991,16:00:00,19.45000,19.45000,19.44000,19.45000,50,0
02/27/1991,16:00:00,19.63000,19.64000,19.63000,19.63000,50,0
02/28/1991,16:00:00,19.95000,19.95000,19.94000,19.95000,50,0
03/01/1991,16:00:00,19.85000,19.85000,19.84000,19.85000,50,0
03/08/1991,16:00:00,20.21000,20.21000,20.21000,20.21000,50,0
03/11/1991,16:00:00,20.00000,20.00000,20.00000,20.00000,50,0
03/15/1991,16:00:00,20.17000,20.18000,20.16000,20.18000,50,0
03/18/1991,16:00:00,19.73000,19.74000,19.73000,19.73000,50,0
03/19/1991,16:00:00,19.05000,19.06000,19.04000,19.04000,50,0
03/20/1991,16:00:00,18.98000,18.98000,18.97000,18.97000,50,0
03/21/1991,16:00:00,19.53000,19.54000,19.53000,19.53000,50,0
03/22/1991,16:00:00,19.13000,19.13000,19.12000,19.13000,50,0
03/25/1991,16:00:00,18.81000,18.81000,18.81000,18.81000,50,0
03/26/1991,16:00:00,18.65000,18.65000,18.64000,18.65000,50,0
03/27/1991,16:00:00,18.75000,18.75000,18.75000,18.75000,50,0
03/28/1991,16:00:00,18.66000,18.66000,18.65000,18.66000,50,0
03/29/1991,16:00:00,18.86000,18.86000,18.86000,18.86000,50,0
04/01/1991,16:00:00,18.86000,18.86000,18.86000,18.86000,50,0
04/02/1991,16:00:00,19.21000,19.22000,19.21000,19.21000,50,0
04/03/1991,16:00:00,19.67000,19.67000,19.67000,19.67000,50,0
04/04/1991,16:00:00,19.67000,19.68000,19.67000,19.67000,50,0
04/05/1991,16:00:00,20.06000,20.06000,20.05000,20.05000,50,0
04/09/1991,16:00:00,19.74000,19.74000,19.74000,19.74000,50,0
04/10/1991,16:00:00,19.75000,19.75000,19.75000,19.75000,50,0
