Date,Time,Open,High,Low,Close,Vol,OI
07/17/2000,16:00:00,19.94000,20.00000,19.94000,20.00000,10000,0
07/18/2000,16:00:00,19.94000,19.94000,19.94000,19.94000,10000,0
07/19/2000,16:00:00,19.44000,19.44000,19.44000,19.44000,10000,0
07/20/2000,16:00:00,19.88000,19.88000,19.88000,19.88000,5000,0
07/21/2000,16:00:00,20.00000,20.00000,20.00000,20.00000,200,0
07/24/2000,16:00:00,20.00000,20.00000,20.00000,20.00000,0,0
07/25/2000,16:00:00,20.00000,20.00000,20.00000,20.00000,0,0
07/26/2000,16:00:00,20.00000,20.00000,20.00000,20.00000,0,0
07/27/2000,16:00:00,19.75000,19.75000,19.75000,19.75000,100,0
07/28/2000,16:00:00,20.00000,20.00000,19.38000,19.38000,21300,0
07/31/2000,16:00:00,19.31000,19.38000,19.31000,19.38000,200,0
08/01/2000,16:00:00,19.00000,19.25000,19.00000,19.25000,7400,0
08/02/2000,16:00:00,19.00000,19.00000,19.00000,19.00000,100,0
08/03/2000,16:00:00,18.88000,18.88000,18.88000,18.88000,10000,0
08/04/2000,16:00:00,19.38000,19.63000,19.38000,19.63000,700,0
08/07/2000,16:00:00,19.56000,19.63000,19.44000,19.63000,1100,0
08/08/2000,16:00:00,19.63000,19.63000,19.63000,19.63000,0,0
08/10/2000,16:00:00,19.00000,19.00000,19.00000,19.00000,200,0
08/11/2000,16:00:00,19.44000,19.44000,19.44000,19.44000,200,0
08/14/2000,16:00:00,19.44000,19.44000,19.44000,19.44000,0,0
08/15/2000,16:00:00,20.25000,20.25000,20.00000,20.00000,5400,0
08/16/2000,16:00:00,20.00000,20.00000,20.00000,20.00000,0,0
08/17/2000,16:00:00,20.31000,20.31000,20.31000,20.31000,300,0
08/18/2000,16:00:00,19.75000,19.75000,19.75000,19.75000,200,0
08/21/2000,16:00:00,19.75000,19.75000,19.75000,19.75000,300,0
08/22/2000,16:00:00,19.75000,19.75000,19.75000,19.75000,0,0
08/24/2000,16:00:00,19.25000,19.25000,19.25000,19.25000,15000,0
08/25/2000,16:00:00,19.50000,19.63000,19.50000,19.63000,2200,0
08/28/2000,16:00:00,19.75000,19.75000,19.69000,19.69000,500,0
08/29/2000,16:00:00,19.00000,19.38000,19.00000,19.19000,27300,0
08/31/2000,16:00:00,19.81000,19.88000,19.75000,19.75000,2600,0
09/01/2000,16:00:00,19.75000,19.75000,19.75000,19.75000,4900,0
09/05/2000,16:00:00,19.63000,19.63000,19.63000,19.63000,300,0
09/06/2000,16:00:00,20.19000,20.25000,20.13000,20.25000,2700,0
09/07/2000,16:00:00,20.38000,20.38000,20.25000,20.31000,4400,0
09/08/2000,16:00:00,20.00000,20.00000,19.50000,19.50000,1100,0
09/11/2000,16:00:00,19.50000,20.06000,19.50000,20.00000,1400,0
09/12/2000,16:00:00,19.69000,19.69000,19.69000,19.69000,500,0
09/13/2000,16:00:00,19.38000,19.44000,19.25000,19.25000,2100,0
09/14/2000,16:00:00,19.00000,19.00000,19.00000,19.00000,1100,0
09/15/2000,16:00:00,18.44000,18.63000,18.44000,18.63000,10600,0
09/18/2000,16:00:00,18.38000,18.38000,18.13000,18.19000,1000,0
09/19/2000,16:00:00,18.00000,18.06000,18.00000,18.06000,10500,0
09/20/2000,16:00:00,17.63000,17.69000,17.63000,17.69000,400,0
09/21/2000,16:00:00,18.00000,18.00000,18.00000,18.00000,10000,0
09/22/2000,16:00:00,18.06000,18.06000,18.06000,18.06000,1800,0
09/25/2000,16:00:00,18.44000,18.44000,18.44000,18.44000,2000,0
09/26/2000,16:00:00,17.75000,18.25000,17.75000,18.25000,10700,0
09/27/2000,16:00:00,17.94000,17.94000,17.94000,17.94000,100,0
09/29/2000,16:00:00,18.13000,18.13000,18.13000,18.13000,300,0
10/02/2000,16:00:00,18.06000,18.06000,17.63000,17.81000,500,0
10/03/2000,16:00:00,17.56000,17.56000,17.56000,17.56000,5100,0
10/04/2000,16:00:00,17.56000,18.00000,17.56000,18.00000,200,0
10/05/2000,16:00:00,18.19000,18.19000,18.19000,18.19000,200,0
10/06/2000,16:00:00,18.00000,18.00000,18.00000,18.00000,200,0
10/09/2000,16:00:00,17.19000,17.19000,17.19000,17.19000,100,0
10/10/2000,16:00:00,17.75000,17.94000,17.50000,17.50000,900,0
