Date,Time,Open,High,Low,Close,Vol,OI
05/02/2006,14:05:00,263.22500,263.22500,263.22500,263.22500,3090,14585
05/15/2006,14:05:00,266.42500,266.42500,266.17500,266.17500,3402,18672
05/16/2006,14:05:00,266.17500,266.17500,266.17500,266.17500,1755,18747
05/18/2006,14:05:00,266.25000,266.25000,266.25000,266.25000,2971,18622
05/23/2006,14:05:00,265.02500,265.97500,265.02500,265.97500,1852,18152
05/24/2006,14:05:00,266.52500,266.52500,266.52500,266.52500,2969,18443
06/02/2006,14:05:00,269.17500,269.92500,269.17500,269.92500,1999,18568
06/09/2006,14:05:00,269.92500,269.92500,269.92500,269.92500,1348,7968
06/12/2006,14:05:00,267.60000,267.60000,267.60000,267.60000,2382,19283
06/13/2006,14:05:00,268.42500,268.42500,268.42500,268.42500,2422,14981
06/14/2006,14:05:00,268.07500,268.07500,268.07500,268.07500,1376,6579
06/19/2006,14:05:00,271.85000,271.85000,271.85000,271.85000,2215,13270
06/30/2006,14:05:00,274.27500,274.42500,274.27500,274.42500,1209,14507
07/12/2006,14:05:00,272.37500,273.32500,272.37500,273.32500,2810,15156
08/16/2006,14:05:00,275.80000,275.80000,275.80000,275.80000,2284,5911
08/25/2006,14:05:00,275.65000,275.65000,275.65000,275.65000,1052,14237
08/28/2006,14:05:00,275.45000,275.45000,275.45000,275.45000,1260,14337
08/29/2006,14:05:00,275.82500,275.82500,275.82500,275.82500,1797,14532
08/31/2006,14:05:00,275.02500,275.02500,275.02500,275.02500,2777,14370
09/01/2006,14:05:00,275.00000,275.00000,275.00000,275.00000,2418,14236
09/06/2006,14:05:00,276.90000,277.17500,276.90000,277.17500,3059,9916
09/08/2006,14:05:00,277.47500,277.47500,277.47500,277.47500,2818,13352
09/15/2006,14:05:00,274.22500,274.32500,274.22500,274.32500,3091,9903
09/20/2006,14:05:00,273.47500,273.47500,272.62500,272.62500,1825,6548
09/22/2006,14:05:00,272.17500,272.17500,272.17500,272.17500,2939,7650
10/02/2006,14:05:00,270.82500,270.82500,270.82500,270.82500,3201,12298
10/05/2006,14:05:00,270.20000,270.75000,270.20000,270.75000,2851,11613
10/10/2006,14:05:00,268.20000,268.20000,268.20000,268.20000,3463,8754
10/17/2006,14:05:00,264.42500,264.42500,264.42500,264.42500,3687,6829
10/23/2006,14:05:00,265.20000,265.20000,265.10000,265.10000,1896,6640
10/25/2006,14:05:00,264.00000,264.00000,264.00000,264.00000,2664,6622
10/26/2006,14:05:00,265.10000,265.10000,265.10000,265.10000,2749,5855
