Date,Time,Open,High,Low,Close,Vol,OI
01/05/1999,16:00:00,6977.00000,7045.00000,6931.00000,6975.00000,38862,0
01/06/1999,16:00:00,7077.00000,7196.00000,7033.00000,7171.00000,39598,0
01/07/1999,16:00:00,7172.00000,7207.00000,6993.00000,7078.00000,53472,0
01/08/1999,16:00:00,7117.00000,7193.00000,7083.00000,7113.00000,41145,0
01/11/1999,16:00:00,7167.00000,7221.00000,6979.00000,7004.00000,47595,0
01/12/1999,16:00:00,7044.00000,7065.00000,6908.00000,6922.00000,50889,0
01/13/1999,16:00:00,6882.00000,6923.00000,6564.00000,6718.00000,87445,0
01/14/1999,16:00:00,6805.00000,6812.00000,6582.00000,6627.00000,66938,0
01/15/1999,16:00:00,6557.00000,6716.00000,6467.00000,6711.00000,79376,0
01/18/1999,16:00:00,6788.00000,6807.00000,6723.00000,6791.00000,35669,0
01/19/1999,16:00:00,6786.00000,6854.00000,6689.00000,6744.00000,58280,0
01/20/1999,16:00:00,6832.00000,6921.00000,6810.00000,6921.00000,53030,0
01/21/1999,16:00:00,6857.00000,6953.00000,6821.00000,6886.00000,55929,0
01/22/1999,16:00:00,6817.00000,6827.00000,6681.00000,6721.00000,60844,0
01/25/1999,16:00:00,6647.00000,6742.00000,6593.00000,6687.00000,46408,0
01/26/1999,16:00:00,6758.00000,6789.00000,6652.00000,6722.00000,45493,0
01/27/1999,16:00:00,6807.00000,6833.00000,6747.00000,6751.00000,44962,0
01/28/1999,16:00:00,6669.00000,6851.00000,6668.00000,6839.00000,53091,0
01/29/1999,16:00:00,6847.00000,6917.00000,6828.00000,6898.00000,46801,0
02/01/1999,16:00:00,6991.00000,7010.00000,6930.00000,6968.00000,48582,0
02/02/1999,16:00:00,6907.00000,6966.00000,6863.00000,6865.00000,43668,0
02/03/1999,16:00:00,6847.00000,6889.00000,6765.00000,6797.00000,55634,0
02/04/1999,16:00:00,6872.00000,6923.00000,6771.00000,6772.00000,38767,0
02/05/1999,16:00:00,6707.00000,6816.00000,6688.00000,6813.00000,46228,0
02/08/1999,16:00:00,6877.00000,6887.00000,6708.00000,6767.00000,43004,0
02/09/1999,16:00:00,6792.00000,6817.00000,6547.00000,6556.00000,58833,0
02/10/1999,16:00:00,6557.00000,6571.00000,6450.00000,6522.00000,65979,0
02/11/1999,16:00:00,6566.00000,6588.00000,6493.00000,6574.00000,45499,0
02/12/1999,16:00:00,6638.00000,6700.00000,6555.00000,6595.00000,51308,0
02/15/1999,16:00:00,6567.00000,6595.00000,6507.00000,6591.00000,28669,0
02/16/1999,16:00:00,6624.00000,6656.00000,6580.00000,6599.00000,43041,0
02/17/1999,16:00:00,6576.00000,6576.00000,6474.00000,6528.00000,51056,0
02/18/1999,16:00:00,6501.00000,6587.00000,6494.00000,6567.00000,48046,0
02/19/1999,16:00:00,6577.00000,6626.00000,6478.00000,6541.00000,49018,0
02/22/1999,16:00:00,6582.00000,6621.00000,6524.00000,6602.00000,40738,0
02/23/1999,16:00:00,6667.00000,6752.00000,6652.00000,6719.00000,62144,0
02/24/1999,16:00:00,6694.00000,6791.00000,6680.00000,6769.00000,44674,0
02/25/1999,16:00:00,6718.00000,6725.00000,6603.00000,6606.00000,51301,0
02/26/1999,16:00:00,6622.00000,6657.00000,6546.00000,6603.00000,46385,0
03/01/1999,16:00:00,6643.00000,6665.00000,6442.00000,6467.00000,60871,0
03/02/1999,16:00:00,6515.00000,6535.00000,6406.00000,6497.00000,61578,0
03/03/1999,16:00:00,6492.00000,6515.00000,6354.00000,6362.00000,51727,0
03/04/1999,16:00:00,6417.00000,6427.00000,6301.00000,6412.00000,61105,0
03/05/1999,16:00:00,6490.00000,6584.00000,6432.00000,6550.00000,67809,0
03/08/1999,16:00:00,6562.00000,6581.00000,6464.00000,6483.00000,39116,0
03/09/1999,16:00:00,6532.00000,6570.00000,6425.00000,6485.00000,48113,0
03/10/1999,16:00:00,6517.00000,6526.00000,6394.00000,6431.00000,43643,0
03/11/1999,16:00:00,6447.00000,6504.00000,6408.00000,6492.00000,43973,0
03/12/1999,16:00:00,6737.00000,6769.00000,6672.00000,6738.00000,80124,0
03/15/1999,16:00:00,6717.00000,6784.00000,6687.00000,6744.00000,53317,0
03/16/1999,16:00:00,6732.00000,6823.00000,6723.00000,6787.00000,64226,0
03/17/1999,16:00:00,6775.00000,6825.00000,6750.00000,6759.00000,66718,0
03/18/1999,16:00:00,6732.00000,6742.00000,6679.00000,6724.00000,70473,0
03/19/1999,16:00:00,6792.00000,6882.00000,6792.00000,6831.00000,48253,0
03/22/1999,16:00:00,6782.00000,6801.00000,6733.00000,6756.00000,35274,0
03/23/1999,16:00:00,6713.00000,6752.00000,6574.00000,6586.00000,56871,0
03/24/1999,16:00:00,6537.00000,6561.00000,6466.00000,6512.00000,73832,0
03/25/1999,16:00:00,6527.00000,6601.00000,6511.00000,6581.00000,39707,0
03/26/1999,16:00:00,6588.00000,6606.00000,6444.00000,6527.00000,56887,0
03/29/1999,16:00:00,6522.00000,6590.00000,6493.00000,6587.00000,36510,0
03/30/1999,16:00:00,6602.00000,6633.00000,6529.00000,6563.00000,36142,0
03/31/1999,16:00:00,6558.00000,6611.00000,6548.00000,6572.00000,32878,0
04/01/1999,16:00:00,6537.00000,6630.00000,6476.00000,6621.00000,39398,0
04/06/1999,16:00:00,6666.00000,6752.00000,6641.00000,6744.00000,40967,0
04/07/1999,16:00:00,6716.00000,6775.00000,6701.00000,6722.00000,43081,0
04/08/1999,16:00:00,6764.00000,6792.00000,6704.00000,6782.00000,44939,0
04/09/1999,16:00:00,6837.00000,6891.00000,6807.00000,6869.00000,63101,0
04/12/1999,16:00:00,6801.00000,6902.00000,6792.00000,6868.00000,49538,0
04/13/1999,16:00:00,6935.00000,6942.00000,6875.00000,6927.00000,49134,0
04/14/1999,16:00:00,6917.00000,6946.00000,6858.00000,6892.00000,48892,0
04/15/1999,16:00:00,6870.00000,6933.00000,6862.00000,6896.00000,42290,0
04/16/1999,16:00:00,6917.00000,6922.00000,6834.00000,6867.00000,39318,0
04/19/1999,16:00:00,6871.00000,6970.00000,6871.00000,6960.00000,37267,0
04/20/1999,16:00:00,6898.00000,6910.00000,6789.00000,6807.00000,50445,0
04/21/1999,16:00:00,6848.00000,6885.00000,6813.00000,6882.00000,40007,0
04/22/1999,16:00:00,6918.00000,6976.00000,6914.00000,6933.00000,44816,0
04/23/1999,16:00:00,6957.00000,6979.00000,6887.00000,6910.00000,41566,0
04/26/1999,16:00:00,6939.00000,6997.00000,6920.00000,6982.00000,35493,0
04/27/1999,16:00:00,7006.00000,7081.00000,6965.00000,7074.00000,52360,0
04/28/1999,16:00:00,7051.00000,7081.00000,7022.00000,7048.00000,38633,0
04/29/1999,16:00:00,7032.00000,7065.00000,6998.00000,7042.00000,44616,0
04/30/1999,16:00:00,7041.00000,7119.00000,7037.00000,7092.00000,34863,0
05/03/1999,16:00:00,7059.00000,7108.00000,7051.00000,7096.00000,28237,0
05/04/1999,16:00:00,7137.00000,7167.00000,7067.00000,7077.00000,45160,0
05/05/1999,16:00:00,7052.00000,7083.00000,6980.00000,7013.00000,44507,0
05/06/1999,16:00:00,7057.00000,7089.00000,6973.00000,6981.00000,45878,0
05/07/1999,16:00:00,6992.00000,7022.00000,6937.00000,6998.00000,41320,0
05/10/1999,16:00:00,7032.00000,7041.00000,6900.00000,6972.00000,45672,0
05/11/1999,16:00:00,6961.00000,7016.00000,6941.00000,7016.00000,31284,0
05/12/1999,16:00:00,6994.00000,7020.00000,6889.00000,6947.00000,42566,0
05/14/1999,16:00:00,7004.00000,7022.00000,6868.00000,6877.00000,37859,0
05/17/1999,16:00:00,6872.00000,6877.00000,6794.00000,6816.00000,43680,0
05/18/1999,16:00:00,6846.00000,6869.00000,6818.00000,6852.00000,36483,0
05/19/1999,16:00:00,6837.00000,6912.00000,6821.00000,6903.00000,41355,0
05/20/1999,16:00:00,6913.00000,6957.00000,6897.00000,6957.00000,37431,0
05/21/1999,16:00:00,6925.00000,6982.00000,6910.00000,6952.00000,33240,0
05/25/1999,16:00:00,6897.00000,6897.00000,6817.00000,6868.00000,36738,0
05/26/1999,16:00:00,6802.00000,6906.00000,6801.00000,6886.00000,45801,0
05/27/1999,16:00:00,6907.00000,6911.00000,6755.00000,6767.00000,50597,0
05/28/1999,16:00:00,6757.00000,6777.00000,6704.00000,6766.00000,49041,0
05/31/1999,16:00:00,6772.00000,6786.00000,6723.00000,6766.00000,23925,0
06/01/1999,16:00:00,6762.00000,6800.00000,6678.00000,6695.00000,48007,0
06/02/1999,16:00:00,6732.00000,6743.00000,6670.00000,6742.00000,48536,0
06/04/1999,16:00:00,6788.00000,6829.00000,6722.00000,6828.00000,47084,0
06/07/1999,16:00:00,6829.00000,6923.00000,6786.00000,6915.00000,38940,0
06/08/1999,16:00:00,6927.00000,6947.00000,6892.00000,6909.00000,40821,0
06/09/1999,16:00:00,6880.00000,6974.00000,6875.00000,6953.00000,48161,0
06/10/1999,16:00:00,6953.00000,6990.00000,6882.00000,6904.00000,55095,0
06/11/1999,16:00:00,6912.00000,7009.00000,6906.00000,7007.00000,53786,0
06/14/1999,16:00:00,6969.00000,7007.00000,6960.00000,6982.00000,47427,0
06/15/1999,16:00:00,6970.00000,7059.00000,6932.00000,7047.00000,89008,0
06/16/1999,16:00:00,7026.00000,7091.00000,6994.00000,7075.00000,71352,0
06/17/1999,16:00:00,7092.00000,7131.00000,7079.00000,7118.00000,81895,0
06/18/1999,16:00:00,7169.00000,7232.00000,7157.00000,7178.00000,49183,0
06/21/1999,16:00:00,7147.00000,7235.00000,7147.00000,7208.00000,36517,0
06/22/1999,16:00:00,7190.00000,7217.00000,7150.00000,7207.00000,37418,0
06/23/1999,16:00:00,7191.00000,7191.00000,7114.00000,7134.00000,36491,0
06/24/1999,16:00:00,7141.00000,7177.00000,7050.00000,7052.00000,41166,0
06/25/1999,16:00:00,7039.00000,7084.00000,7011.00000,7078.00000,37314,0
06/28/1999,16:00:00,7070.00000,7090.00000,7011.00000,7082.00000,38013,0
06/29/1999,16:00:00,7087.00000,7124.00000,7063.00000,7102.00000,32533,0
06/30/1999,16:00:00,7112.00000,7145.00000,7082.00000,7087.00000,36123,0
07/01/1999,16:00:00,7192.00000,7229.00000,7152.00000,7209.00000,52401,0
07/02/1999,16:00:00,7212.00000,7257.00000,7180.00000,7256.00000,37572,0
07/05/1999,16:00:00,7285.00000,7377.00000,7278.00000,7355.00000,31117,0
07/06/1999,16:00:00,7317.00000,7371.00000,7311.00000,7344.00000,39065,0
07/07/1999,16:00:00,7327.00000,7351.00000,7277.00000,7322.00000,39100,0
07/08/1999,16:00:00,7319.00000,7376.00000,7274.00000,7339.00000,41933,0
07/09/1999,16:00:00,7339.00000,7394.00000,7325.00000,7367.00000,31537,0
07/12/1999,16:00:00,7412.00000,7417.00000,7361.00000,7374.00000,29416,0
07/13/1999,16:00:00,7374.00000,7374.00000,7279.00000,7300.00000,38830,0
07/14/1999,16:00:00,7316.00000,7374.00000,7296.00000,7331.00000,37859,0
07/15/1999,16:00:00,7340.00000,7396.00000,7324.00000,7334.00000,37990,0
07/16/1999,16:00:00,7345.00000,7364.00000,7292.00000,7322.00000,34762,0
07/19/1999,16:00:00,7351.00000,7380.00000,7322.00000,7338.00000,22804,0
07/20/1999,16:00:00,7324.00000,7372.00000,7203.00000,7212.00000,48335,0
07/21/1999,16:00:00,7182.00000,7191.00000,7119.00000,7147.00000,50596,0
07/22/1999,16:00:00,7132.00000,7165.00000,7037.00000,7082.00000,50817,0
07/23/1999,16:00:00,7058.00000,7114.00000,7013.00000,7014.00000,40855,0
07/26/1999,16:00:00,7015.00000,7052.00000,6872.00000,6911.00000,59301,0
07/27/1999,16:00:00,6910.00000,6971.00000,6905.00000,6926.00000,45309,0
07/28/1999,16:00:00,6943.00000,6979.00000,6917.00000,6938.00000,38674,0
07/29/1999,16:00:00,6939.00000,6939.00000,6742.00000,6748.00000,67173,0
07/30/1999,16:00:00,6792.00000,6823.00000,6747.00000,6817.00000,45745,0
08/02/1999,16:00:00,6767.00000,6864.00000,6681.00000,6855.00000,65128,0
08/03/1999,16:00:00,6797.00000,6850.00000,6767.00000,6810.00000,48707,0
