Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,63.18750,63.34375,62.87500,63.07813,30054,0
05/16/2001,17:00:00,63.07813,63.29688,62.95313,63.15625,23552,0
05/17/2001,17:00:00,63.21875,63.23438,62.68750,63.07813,25766,0
05/18/2001,17:00:00,63.09375,63.21875,62.79688,63.00000,19144,0
05/21/2001,17:00:00,62.96875,63.07813,62.81250,63.03125,14876,0
05/22/2001,17:00:00,63.04688,63.20313,63.03125,63.07813,20868,0
05/23/2001,17:00:00,63.73438,63.89063,63.67188,63.85938,15536,0
05/24/2001,17:00:00,63.84375,63.98438,63.35938,63.42188,23003,0
05/28/2001,17:00:00,63.65625,63.67188,63.28125,63.50000,18907,0
05/29/2001,17:00:00,63.57813,63.71875,63.35938,63.45313,23872,0
05/30/2001,17:00:00,62.79688,62.95313,62.76563,62.82813,15820,0
05/31/2001,17:00:00,62.89063,63.46875,62.85938,63.35938,25005,0
06/01/2001,17:00:00,63.40625,63.62500,63.12500,63.32813,26219,0
06/04/2001,17:00:00,63.34375,63.50000,63.32813,63.45313,22026,0
06/05/2001,17:00:00,63.43750,63.78125,63.34375,63.76563,25189,0
06/06/2001,17:00:00,63.67188,63.82813,63.56250,63.78125,26309,0
06/07/2001,17:00:00,63.78125,63.98438,63.57813,63.70313,31694,0
06/08/2001,17:00:00,63.57813,63.67188,63.35938,63.43750,23074,0
06/11/2001,17:00:00,63.43750,63.76563,63.43750,63.70313,20564,0
06/12/2001,17:00:00,63.71875,63.95313,63.70313,63.92188,23770,0
06/13/2001,17:00:00,63.93750,64.00000,63.64063,63.96875,23871,0
06/14/2001,17:00:00,63.98438,64.29688,63.96875,64.20313,26222,0
06/15/2001,17:00:00,64.21875,64.51563,64.18750,64.29688,31964,0
06/18/2001,17:00:00,64.31250,64.46875,64.23438,64.31250,18016,0
06/19/2001,17:00:00,64.29688,64.39063,64.01563,64.31250,24959,0
06/20/2001,17:00:00,64.34375,64.51563,64.28125,64.39063,21889,0
06/21/2001,17:00:00,64.40625,64.59375,64.35938,64.43750,27911,0
06/22/2001,17:00:00,64.51563,64.85938,64.48438,64.82813,24032,0
06/25/2001,17:00:00,64.85938,64.89063,64.60938,64.71875,17293,0
06/26/2001,17:00:00,64.73438,64.81250,64.17188,64.31250,27519,0
06/27/2001,17:00:00,64.31250,64.37500,63.89063,64.01563,33232,0
06/28/2001,17:00:00,63.98438,64.18750,63.35938,63.51563,46455,0
06/29/2001,17:00:00,63.53125,63.59375,63.20313,63.35938,34112,0
07/02/2001,17:00:00,63.34375,63.76563,63.29688,63.70313,17261,0
07/03/2001,17:00:00,63.79688,63.79688,63.51563,63.53125,21276,0
07/05/2001,17:00:00,63.59375,63.73438,63.34375,63.39063,25032,0
