Date,Time,Open,High,Low,Close,Vol,OI
10/23/2007,16:59:00,0.86758,0.87085,0.86006,0.86827,0,0
10/24/2007,16:59:00,0.86827,0.87495,0.86647,0.87448,0,0
10/25/2007,16:59:00,0.87447,0.87865,0.87089,0.87858,0,0
10/26/2007,16:59:00,0.87859,0.88363,0.87504,0.88346,0,0
10/29/2007,16:59:00,0.88364,0.88940,0.87452,0.87879,0,0
10/30/2007,16:59:00,0.87879,0.88098,0.87321,0.87628,0,0
10/31/2007,16:59:00,0.87619,0.88357,0.87474,0.88069,0,0
11/01/2007,16:59:00,0.88070,0.88310,0.86651,0.86733,0,0
11/02/2007,16:59:00,0.86733,0.87282,0.85562,0.86272,0,0
11/05/2007,16:59:00,0.86152,0.86320,0.85400,0.85895,0,0
11/06/2007,16:59:00,0.85895,0.86122,0.85291,0.85457,0,0
11/07/2007,16:59:00,0.85444,0.86531,0.84880,0.86357,0,0
11/08/2007,16:59:00,0.86269,0.86918,0.85676,0.86649,0,0
11/09/2007,16:59:00,0.86648,0.86760,0.85495,0.86096,0,0
11/12/2007,16:59:00,0.85543,0.85741,0.84268,0.84846,0,0
11/13/2007,16:59:00,0.84889,0.86355,0.84744,0.85892,0,0
11/14/2007,16:59:00,0.85844,0.86933,0.85766,0.86552,0,0
11/15/2007,16:59:00,0.86516,0.87524,0.86069,0.87263,0,0
11/16/2007,16:59:00,0.87375,0.87527,0.86501,0.86882,0,0
11/19/2007,16:59:00,0.87551,0.87593,0.86415,0.86954,0,0
11/20/2007,16:59:00,0.86882,0.87784,0.86275,0.87360,0,0
11/21/2007,16:59:00,0.87306,0.87633,0.85436,0.85920,0,0
11/22/2007,16:59:00,0.85861,0.86160,0.85382,0.85878,0,0
11/23/2007,16:59:00,0.85886,0.86843,0.85422,0.86718,0,0
11/26/2007,16:59:00,0.86912,0.87107,0.85834,0.86116,0,0
11/27/2007,16:59:00,0.86174,0.87463,0.85996,0.87387,0,0
11/28/2007,16:59:00,0.87378,0.87860,0.86853,0.87630,0,0
11/29/2007,16:59:00,0.87650,0.88013,0.86869,0.87960,0,0
11/30/2007,16:59:00,0.87960,0.88806,0.87882,0.88254,0,0
12/03/2007,16:59:00,0.88248,0.88596,0.87841,0.87963,0,0
12/04/2007,16:59:00,0.88008,0.88803,0.87473,0.88282,0,0
12/05/2007,16:59:00,0.88310,0.88623,0.87851,0.88002,0,0
12/06/2007,16:59:00,0.88045,0.88795,0.87870,0.88585,0,0
12/07/2007,16:59:00,0.88621,0.88784,0.87604,0.88053,0,0
12/10/2007,16:59:00,0.87778,0.89370,0.87637,0.89090,0,0
12/11/2007,16:59:00,0.89122,0.89840,0.88383,0.88623,0,0
12/12/2007,16:59:00,0.88603,0.89861,0.88340,0.89368,0,0
