Date,Time,Open,High,Low,Close,Vol,OI
04/10/1998,16:59:00,85.75000,86.05000,83.47000,84.47000,0,0
04/13/1998,16:59:00,84.61000,85.09000,83.75000,84.78000,0,0
04/14/1998,16:59:00,84.81000,84.94000,83.38000,83.69000,0,0
04/15/1998,16:59:00,83.63000,84.70000,83.48000,84.57000,0,0
04/16/1998,16:59:00,84.56000,86.37000,84.41000,86.12000,0,0
04/17/1998,16:59:00,86.14000,86.39000,85.40000,85.79000,0,0
04/20/1998,16:59:00,85.05000,85.70000,85.05000,85.35000,0,0
04/21/1998,16:59:00,85.38000,85.87000,85.11000,85.46000,0,0
04/22/1998,16:59:00,85.49000,85.77000,84.86000,85.02000,0,0
04/23/1998,16:59:00,84.98000,85.28000,84.69000,85.03000,0,0
04/24/1998,16:59:00,85.07000,85.67000,84.25000,85.45000,0,0
04/27/1998,16:59:00,85.23000,85.92000,84.86000,85.59000,0,0
04/28/1998,16:59:00,85.68000,85.70000,84.79000,84.91000,0,0
04/29/1998,16:59:00,84.94000,86.09000,84.88000,85.90000,0,0
04/30/1998,16:59:00,85.91000,86.68000,85.69000,86.35000,0,0
05/01/1998,16:59:00,86.27000,87.24000,86.22000,86.53000,0,0
05/04/1998,16:59:00,86.46000,86.54000,85.24000,85.39000,0,0
05/05/1998,16:59:00,85.40000,85.48000,84.07000,84.39000,0,0
05/06/1998,16:59:00,84.38000,85.06000,84.33000,84.72000,0,0
05/07/1998,16:59:00,84.69000,85.13000,84.32000,84.92000,0,0
05/08/1998,16:59:00,84.93000,85.05000,84.23000,84.52000,0,0
05/11/1998,16:59:00,84.30000,84.99000,83.87000,84.50000,0,0
05/12/1998,16:59:00,84.53000,85.17000,84.39000,84.77000,0,0
05/13/1998,16:59:00,84.81000,84.91000,84.04000,84.50000,0,0
05/14/1998,16:59:00,84.49000,84.55000,83.85000,84.10000,0,0
05/15/1998,16:59:00,84.08000,84.57000,83.52000,84.51000,0,0
05/18/1998,16:59:00,84.37000,85.32000,84.01000,85.01000,0,0
05/19/1998,16:59:00,84.97000,85.68000,84.66000,84.86000,0,0
05/20/1998,16:59:00,84.87000,85.60000,84.60000,85.00000,0,0
05/21/1998,16:59:00,85.02000,85.75000,84.67000,85.49000,0,0
05/22/1998,16:59:00,85.50000,86.02000,84.84000,85.11000,0,0
05/25/1998,16:59:00,85.87000,85.99000,85.05000,85.92000,0,0
05/26/1998,16:59:00,85.89000,86.01000,85.31000,85.53000,0,0
05/27/1998,16:59:00,85.50000,85.86000,84.95000,85.58000,0,0
05/28/1998,16:59:00,85.56000,86.57000,85.12000,86.41000,0,0
05/29/1998,16:59:00,86.40000,86.99000,86.19000,86.47000,0,0
06/01/1998,16:59:00,86.44000,86.59000,85.76000,85.87000,0,0
06/02/1998,16:59:00,85.86000,85.90000,85.02000,85.52000,0,0
06/03/1998,16:59:00,85.51000,85.54000,84.29000,84.69000,0,0
06/04/1998,16:59:00,84.68000,85.09000,83.91000,84.52000,0,0
06/05/1998,16:59:00,84.51000,85.22000,83.30000,84.00000,0,0
06/08/1998,16:59:00,83.95000,84.86000,83.64000,84.44000,0,0
06/09/1998,16:59:00,84.69000,84.76000,82.78000,82.78000,0,0
06/10/1998,16:59:00,82.71000,83.52000,81.86000,83.21000,0,0
