Date,Time,Open,High,Low,Close,Vol,OI
01/02/1980,16:59:00,1.10800,1.10800,1.10800,1.10800,0,0
01/03/1980,16:59:00,1.10940,1.10940,1.10940,1.10940,0,0
01/04/1980,16:59:00,1.10900,1.10900,1.10900,1.10900,0,0
01/07/1980,16:59:00,1.11320,1.11320,1.11320,1.11320,0,0
01/08/1980,16:59:00,1.11250,1.11250,1.11250,1.11250,0,0
01/09/1980,16:59:00,1.11300,1.11300,1.11300,1.11300,0,0
01/10/1980,16:59:00,1.11200,1.11200,1.11200,1.11200,0,0
01/11/1980,16:59:00,1.11100,1.11100,1.11100,1.11100,0,0
01/14/1980,16:59:00,1.11080,1.11080,1.11080,1.11080,0,0
01/15/1980,16:59:00,1.10850,1.10850,1.10850,1.10850,0,0
01/16/1980,16:59:00,1.11050,1.11050,1.11050,1.11050,0,0
01/17/1980,16:59:00,1.11000,1.11000,1.11000,1.11000,0,0
01/18/1980,16:59:00,1.11020,1.11020,1.11020,1.11020,0,0
01/21/1980,16:59:00,1.10950,1.10950,1.10950,1.10950,0,0
01/22/1980,16:59:00,1.10880,1.10880,1.10880,1.10880,0,0
01/23/1980,16:59:00,1.11150,1.11150,1.11150,1.11150,0,0
01/24/1980,16:59:00,1.10940,1.10940,1.10940,1.10940,0,0
01/25/1980,16:59:00,1.10830,1.10830,1.10830,1.10830,0,0
01/28/1980,16:59:00,1.10760,1.10760,1.10760,1.10760,0,0
01/29/1980,16:59:00,1.10580,1.10580,1.10580,1.10580,0,0
01/30/1980,16:59:00,1.10720,1.10720,1.10720,1.10720,0,0
01/31/1980,16:59:00,1.10670,1.10670,1.10670,1.10670,0,0
02/01/1980,16:59:00,1.10530,1.10530,1.10530,1.10530,0,0
02/04/1980,16:59:00,1.10620,1.10620,1.10620,1.10620,0,0
02/05/1980,16:59:00,1.10740,1.10740,1.10740,1.10740,0,0
02/06/1980,16:59:00,1.10820,1.10820,1.10820,1.10820,0,0
02/07/1980,16:59:00,1.10910,1.10910,1.10910,1.10910,0,0
02/08/1980,16:59:00,1.10730,1.10730,1.10730,1.10730,0,0
02/11/1980,16:59:00,1.10680,1.10680,1.10680,1.10680,0,0
02/13/1980,16:59:00,1.10650,1.10650,1.10650,1.10650,0,0
02/14/1980,16:59:00,1.10650,1.10650,1.10650,1.10650,0,0
02/15/1980,16:59:00,1.11200,1.11200,1.11200,1.11200,0,0
02/19/1980,16:59:00,1.10330,1.10330,1.10330,1.10330,0,0
02/20/1980,16:59:00,1.10280,1.10280,1.10280,1.10280,0,0
02/21/1980,16:59:00,1.10250,1.10250,1.10250,1.10250,0,0
02/22/1980,16:59:00,1.10100,1.10100,1.10100,1.10100,0,0
02/25/1980,16:59:00,1.10000,1.10000,1.10000,1.10000,0,0
02/26/1980,16:59:00,1.09850,1.09850,1.09850,1.09850,0,0
02/27/1980,16:59:00,1.09900,1.09900,1.09900,1.09900,0,0
02/28/1980,16:59:00,1.09900,1.09900,1.09900,1.09900,0,0
02/29/1980,16:59:00,1.09700,1.09700,1.09700,1.09700,0,0
03/03/1980,16:59:00,1.09630,1.09630,1.09630,1.09630,0,0
03/04/1980,16:59:00,1.09750,1.09750,1.09750,1.09750,0,0
03/05/1980,16:59:00,1.09700,1.09700,1.09700,1.09700,0,0
03/06/1980,16:59:00,1.09500,1.09500,1.09500,1.09500,0,0
03/07/1980,16:59:00,1.09500,1.09500,1.09500,1.09500,0,0
03/10/1980,16:59:00,1.09400,1.09400,1.09400,1.09400,0,0
03/11/1980,16:59:00,1.09590,1.09590,1.09590,1.09590,0,0
03/12/1980,16:59:00,1.09620,1.09620,1.09620,1.09620,0,0
03/13/1980,16:59:00,1.09450,1.09450,1.09450,1.09450,0,0
03/14/1980,16:59:00,1.09320,1.09320,1.09320,1.09320,0,0
03/17/1980,16:59:00,1.08950,1.08950,1.08950,1.08950,0,0
03/18/1980,16:59:00,1.08750,1.08750,1.08750,1.08750,0,0
03/19/1980,16:59:00,1.08620,1.08620,1.08620,1.08620,0,0
03/20/1980,16:59:00,1.08750,1.08750,1.08750,1.08750,0,0
03/21/1980,16:59:00,1.08630,1.08630,1.08630,1.08630,0,0
03/24/1980,16:59:00,1.08580,1.08580,1.08580,1.08580,0,0
03/25/1980,16:59:00,1.08550,1.08550,1.08550,1.08550,0,0
03/26/1980,16:59:00,1.08650,1.08650,1.08650,1.08650,0,0
03/27/1980,16:59:00,1.08290,1.08290,1.08290,1.08290,0,0
03/28/1980,16:59:00,1.08300,1.08300,1.08300,1.08300,0,0
03/31/1980,16:59:00,1.08180,1.08180,1.08180,1.08180,0,0
04/01/1980,16:59:00,1.07750,1.07750,1.07750,1.07750,0,0
04/02/1980,16:59:00,1.07120,1.07120,1.07120,1.07120,0,0
04/03/1980,16:59:00,1.07170,1.07170,1.07170,1.07170,0,0
04/04/1980,16:59:00,1.07000,1.07000,1.07000,1.07000,0,0
04/07/1980,16:59:00,1.06700,1.06700,1.06700,1.06700,0,0
04/08/1980,16:59:00,1.07300,1.07300,1.07300,1.07300,0,0
04/09/1980,16:59:00,1.08050,1.08050,1.08050,1.08050,0,0
04/10/1980,16:59:00,1.08500,1.08500,1.08500,1.08500,0,0
04/11/1980,16:59:00,1.09100,1.09100,1.09100,1.09100,0,0
04/14/1980,16:59:00,1.09300,1.09300,1.09300,1.09300,0,0
04/15/1980,16:59:00,1.09220,1.09220,1.09220,1.09220,0,0
04/16/1980,16:59:00,1.09450,1.09450,1.09450,1.09450,0,0
04/17/1980,16:59:00,1.09450,1.09450,1.09450,1.09450,0,0
04/18/1980,16:59:00,1.09680,1.09680,1.09680,1.09680,0,0
04/21/1980,16:59:00,1.09550,1.09550,1.09550,1.09550,0,0
04/22/1980,16:59:00,1.09650,1.09650,1.09650,1.09650,0,0
04/23/1980,16:59:00,1.10000,1.10000,1.10000,1.10000,0,0
04/24/1980,16:59:00,1.10600,1.10600,1.10600,1.10600,0,0
04/25/1980,16:59:00,1.10600,1.10600,1.10600,1.10600,0,0
04/28/1980,16:59:00,1.11050,1.11050,1.11050,1.11050,0,0
04/29/1980,16:59:00,1.11520,1.11520,1.11520,1.11520,0,0
04/30/1980,16:59:00,1.11500,1.11500,1.11500,1.11500,0,0
05/01/1980,16:59:00,1.11420,1.11420,1.11420,1.11420,0,0
05/02/1980,16:59:00,1.11340,1.11340,1.11340,1.11340,0,0
05/05/1980,16:59:00,1.11400,1.11400,1.11400,1.11400,0,0
05/06/1980,16:59:00,1.12100,1.12100,1.12100,1.12100,0,0
05/07/1980,16:59:00,1.12400,1.12400,1.12400,1.12400,0,0
05/08/1980,16:59:00,1.12380,1.12380,1.12380,1.12380,0,0
05/09/1980,16:59:00,1.12440,1.12440,1.12440,1.12440,0,0
05/12/1980,16:59:00,1.12800,1.12800,1.12800,1.12800,0,0
05/13/1980,16:59:00,1.12950,1.12950,1.12950,1.12950,0,0
05/14/1980,16:59:00,1.13050,1.13050,1.13050,1.13050,0,0
05/15/1980,16:59:00,1.12900,1.12900,1.12900,1.12900,0,0
05/16/1980,16:59:00,1.12700,1.12700,1.12700,1.12700,0,0
05/19/1980,16:59:00,1.12900,1.12900,1.12900,1.12900,0,0
05/20/1980,16:59:00,1.13150,1.13150,1.13150,1.13150,0,0
05/21/1980,16:59:00,1.13400,1.13400,1.13400,1.13400,0,0
05/22/1980,16:59:00,1.13720,1.13720,1.13720,1.13720,0,0
05/23/1980,16:59:00,1.14050,1.14050,1.14050,1.14050,0,0
05/27/1980,16:59:00,1.14850,1.14850,1.14850,1.14850,0,0
05/28/1980,16:59:00,1.14600,1.14600,1.14600,1.14600,0,0
05/29/1980,16:59:00,1.14600,1.14600,1.14600,1.14600,0,0
05/30/1980,16:59:00,1.14280,1.14280,1.14280,1.14280,0,0
06/02/1980,16:59:00,1.14650,1.14650,1.14650,1.14650,0,0
06/03/1980,16:59:00,1.14300,1.14300,1.14300,1.14300,0,0
06/04/1980,16:59:00,1.14400,1.14400,1.14400,1.14400,0,0
06/05/1980,16:59:00,1.14480,1.14480,1.14480,1.14480,0,0
06/06/1980,16:59:00,1.14800,1.14800,1.14800,1.14800,0,0
06/09/1980,16:59:00,1.15370,1.15370,1.15370,1.15370,0,0
06/10/1980,16:59:00,1.15360,1.15360,1.15360,1.15360,0,0
06/11/1980,16:59:00,1.15400,1.15400,1.15400,1.15400,0,0
06/12/1980,16:59:00,1.15430,1.15430,1.15430,1.15430,0,0
06/13/1980,16:59:00,1.15650,1.15650,1.15650,1.15650,0,0
06/16/1980,16:59:00,1.15650,1.15650,1.15650,1.15650,0,0
06/17/1980,16:59:00,1.15550,1.15550,1.15550,1.15550,0,0
06/18/1980,16:59:00,1.15650,1.15650,1.15650,1.15650,0,0
06/19/1980,16:59:00,1.15530,1.15530,1.15530,1.15530,0,0
06/20/1980,16:59:00,1.15520,1.15520,1.15520,1.15520,0,0
06/23/1980,16:59:00,1.15730,1.15730,1.15730,1.15730,0,0
06/24/1980,16:59:00,1.15580,1.15580,1.15580,1.15580,0,0
06/25/1980,16:59:00,1.15450,1.15450,1.15450,1.15450,0,0
06/26/1980,16:59:00,1.15580,1.15580,1.15580,1.15580,0,0
06/27/1980,16:59:00,1.15600,1.15600,1.15600,1.15600,0,0
06/30/1980,16:59:00,1.15500,1.15500,1.15500,1.15500,0,0
07/01/1980,16:59:00,1.15570,1.15570,1.15570,1.15570,0,0
07/02/1980,16:59:00,1.15710,1.15710,1.15710,1.15710,0,0
07/03/1980,16:59:00,1.15700,1.15700,1.15700,1.15700,0,0
07/07/1980,16:59:00,1.16050,1.16050,1.16050,1.16050,0,0
07/08/1980,16:59:00,1.15930,1.15930,1.15930,1.15930,0,0
07/09/1980,16:59:00,1.16030,1.16030,1.16030,1.16030,0,0
07/10/1980,16:59:00,1.16170,1.16170,1.16170,1.16170,0,0
07/11/1980,16:59:00,1.16220,1.16220,1.16220,1.16220,0,0
07/14/1980,16:59:00,1.16120,1.16120,1.16120,1.16120,0,0
07/15/1980,16:59:00,1.15940,1.15940,1.15940,1.15940,0,0
07/16/1980,16:59:00,1.16110,1.16110,1.16110,1.16110,0,0
07/17/1980,16:59:00,1.16160,1.16160,1.16160,1.16160,0,0
07/18/1980,16:59:00,1.16030,1.16030,1.16030,1.16030,0,0
07/21/1980,16:59:00,1.15160,1.15160,1.15160,1.15160,0,0
07/22/1980,16:59:00,1.16120,1.16120,1.16120,1.16120,0,0
07/23/1980,16:59:00,1.15780,1.15780,1.15780,1.15780,0,0
07/24/1980,16:59:00,1.15970,1.15970,1.15970,1.15970,0,0
07/25/1980,16:59:00,1.15870,1.15870,1.15870,1.15870,0,0
07/28/1980,16:59:00,1.15770,1.15770,1.15770,1.15770,0,0
07/29/1980,16:59:00,1.15620,1.15620,1.15620,1.15620,0,0
07/30/1980,16:59:00,1.15530,1.15530,1.15530,1.15530,0,0
07/31/1980,16:59:00,1.15150,1.15150,1.15150,1.15150,0,0
08/01/1980,16:59:00,1.15060,1.15060,1.15060,1.15060,0,0
08/04/1980,16:59:00,1.15150,1.15150,1.15150,1.15150,0,0
08/05/1980,16:59:00,1.15420,1.15420,1.15420,1.15420,0,0
08/06/1980,16:59:00,1.15620,1.15620,1.15620,1.15620,0,0
08/07/1980,16:59:00,1.15520,1.15520,1.15520,1.15520,0,0
08/08/1980,16:59:00,1.15520,1.15520,1.15520,1.15520,0,0
08/11/1980,16:59:00,1.15560,1.15560,1.15560,1.15560,0,0
08/12/1980,16:59:00,1.15780,1.15780,1.15780,1.15780,0,0
08/13/1980,16:59:00,1.15960,1.15960,1.15960,1.15960,0,0
08/14/1980,16:59:00,1.15900,1.15900,1.15900,1.15900,0,0
08/15/1980,16:59:00,1.15870,1.15870,1.15870,1.15870,0,0
08/18/1980,16:59:00,1.15570,1.15570,1.15570,1.15570,0,0
08/19/1980,16:59:00,1.15680,1.15680,1.15680,1.15680,0,0
08/20/1980,16:59:00,1.15820,1.15820,1.15820,1.15820,0,0
08/21/1980,16:59:00,1.15750,1.15750,1.15750,1.15750,0,0
08/22/1980,16:59:00,1.15780,1.15780,1.15780,1.15780,0,0
08/25/1980,16:59:00,1.15840,1.15840,1.15840,1.15840,0,0
08/26/1980,16:59:00,1.16180,1.16180,1.16180,1.16180,0,0
08/27/1980,16:59:00,1.16160,1.16160,1.16160,1.16160,0,0
08/28/1980,16:59:00,1.16500,1.16500,1.16500,1.16500,0,0
08/29/1980,16:59:00,1.16480,1.16480,1.16480,1.16480,0,0
09/02/1980,16:59:00,1.16860,1.16860,1.16860,1.16860,0,0
09/03/1980,16:59:00,1.16950,1.16950,1.16950,1.16950,0,0
09/04/1980,16:59:00,1.17070,1.17070,1.17070,1.17070,0,0
09/05/1980,16:59:00,1.16850,1.16850,1.16850,1.16850,0,0
09/08/1980,16:59:00,1.16960,1.16960,1.16960,1.16960,0,0
09/09/1980,16:59:00,1.16970,1.16970,1.16970,1.16970,0,0
09/10/1980,16:59:00,1.16970,1.16970,1.16970,1.16970,0,0
09/11/1980,16:59:00,1.17110,1.17110,1.17110,1.17110,0,0
09/12/1980,16:59:00,1.17260,1.17260,1.17260,1.17260,0,0
09/15/1980,16:59:00,1.17250,1.17250,1.17250,1.17250,0,0
09/16/1980,16:59:00,1.17170,1.17170,1.17170,1.17170,0,0
09/17/1980,16:59:00,1.17300,1.17300,1.17300,1.17300,0,0
09/18/1980,16:59:00,1.17190,1.17190,1.17190,1.17190,0,0
09/19/1980,16:59:00,1.17220,1.17220,1.17220,1.17220,0,0
09/22/1980,16:59:00,1.17120,1.17120,1.17120,1.17120,0,0
09/23/1980,16:59:00,1.16740,1.16740,1.16740,1.16740,0,0
09/24/1980,16:59:00,1.16770,1.16770,1.16770,1.16770,0,0
09/25/1980,16:59:00,1.17020,1.17020,1.17020,1.17020,0,0
09/26/1980,16:59:00,1.17000,1.17000,1.17000,1.17000,0,0
09/29/1980,16:59:00,1.16920,1.16920,1.16920,1.16920,0,0
09/30/1980,16:59:00,1.17100,1.17100,1.17100,1.17100,0,0
10/01/1980,16:59:00,1.17490,1.17490,1.17490,1.17490,0,0
10/02/1980,16:59:00,1.17500,1.17500,1.17500,1.17500,0,0
10/03/1980,16:59:00,1.17500,1.17500,1.17500,1.17500,0,0
10/06/1980,16:59:00,1.17630,1.17630,1.17630,1.17630,0,0
10/07/1980,16:59:00,1.17470,1.17470,1.17470,1.17470,0,0
10/08/1980,16:59:00,1.17590,1.17590,1.17590,1.17590,0,0
10/09/1980,16:59:00,1.17580,1.17580,1.17580,1.17580,0,0
10/10/1980,16:59:00,1.17600,1.17600,1.17600,1.17600,0,0
10/14/1980,16:59:00,1.17770,1.17770,1.17770,1.17770,0,0
10/15/1980,16:59:00,1.17620,1.17620,1.17620,1.17620,0,0
10/16/1980,16:59:00,1.17540,1.17540,1.17540,1.17540,0,0
10/17/1980,16:59:00,1.17530,1.17530,1.17530,1.17530,0,0
10/20/1980,16:59:00,1.17530,1.17530,1.17530,1.17530,0,0
10/21/1980,16:59:00,1.17470,1.17470,1.17470,1.17470,0,0
10/22/1980,16:59:00,1.17430,1.17430,1.17430,1.17430,0,0
10/23/1980,16:59:00,1.17300,1.17300,1.17300,1.17300,0,0
10/24/1980,16:59:00,1.17280,1.17280,1.17280,1.17280,0,0
10/27/1980,16:59:00,1.17000,1.17000,1.17000,1.17000,0,0
10/28/1980,16:59:00,1.16940,1.16940,1.16940,1.16940,0,0
10/29/1980,16:59:00,1.17110,1.17110,1.17110,1.17110,0,0
10/30/1980,16:59:00,1.17350,1.17350,1.17350,1.17350,0,0
10/31/1980,16:59:00,1.17200,1.17200,1.17200,1.17200,0,0
11/03/1980,16:59:00,1.17080,1.17080,1.17080,1.17080,0,0
11/05/1980,16:59:00,1.17110,1.17110,1.17110,1.17110,0,0
11/06/1980,16:59:00,1.17010,1.17010,1.17010,1.17010,0,0
11/07/1980,16:59:00,1.16580,1.16580,1.16580,1.16580,0,0
11/10/1980,16:59:00,1.16440,1.16440,1.16440,1.16440,0,0
11/12/1980,16:59:00,1.16800,1.16800,1.16800,1.16800,0,0
11/13/1980,16:59:00,1.17050,1.17050,1.17050,1.17050,0,0
11/14/1980,16:59:00,1.16820,1.16820,1.16820,1.16820,0,0
11/17/1980,16:59:00,1.16720,1.16720,1.16720,1.16720,0,0
11/18/1980,16:59:00,1.16600,1.16600,1.16600,1.16600,0,0
11/19/1980,16:59:00,1.16820,1.16820,1.16820,1.16820,0,0
11/20/1980,16:59:00,1.16740,1.16740,1.16740,1.16740,0,0
11/21/1980,16:59:00,1.16620,1.16620,1.16620,1.16620,0,0
11/24/1980,16:59:00,1.16730,1.16730,1.16730,1.16730,0,0
11/25/1980,16:59:00,1.16690,1.16690,1.16690,1.16690,0,0
11/26/1980,16:59:00,1.16520,1.16520,1.16520,1.16520,0,0
11/28/1980,16:59:00,1.16400,1.16400,1.16400,1.16400,0,0
12/01/1980,16:59:00,1.16220,1.16220,1.16220,1.16220,0,0
12/02/1980,16:59:00,1.16400,1.16400,1.16400,1.16400,0,0
12/03/1980,16:59:00,1.16340,1.16340,1.16340,1.16340,0,0
12/04/1980,16:59:00,1.16570,1.16570,1.16570,1.16570,0,0
12/05/1980,16:59:00,1.16580,1.16580,1.16580,1.16580,0,0
12/08/1980,16:59:00,1.16950,1.16950,1.16950,1.16950,0,0
12/09/1980,16:59:00,1.16700,1.16700,1.16700,1.16700,0,0
