Date,Time,Open,High,Low,Close,Vol,OI
11/25/1991,16:59:00,1.23740,1.24220,1.23210,1.24200,0,0
11/26/1991,16:59:00,1.24370,1.26500,1.23210,1.25400,0,0
11/27/1991,16:59:00,1.25310,1.25900,1.24890,1.25590,0,0
11/28/1991,16:59:00,1.25400,1.26050,1.25340,1.25810,0,0
11/29/1991,16:59:00,1.25850,1.27070,1.25810,1.26310,0,0
12/02/1991,16:59:00,1.25900,1.25980,1.25370,1.25710,0,0
12/03/1991,16:59:00,1.25760,1.26200,1.25340,1.25350,0,0
12/04/1991,16:59:00,1.25520,1.25950,1.24220,1.24260,0,0
12/05/1991,16:59:00,1.24260,1.24900,1.23240,1.23280,0,0
12/06/1991,16:59:00,1.23320,1.23750,1.21820,1.23420,0,0
12/09/1991,16:59:00,1.22360,1.22430,1.21880,1.22140,0,0
12/10/1991,16:59:00,1.21750,1.23440,1.21530,1.22530,0,0
12/11/1991,16:59:00,1.22910,1.23680,1.21800,1.21800,0,0
12/12/1991,16:59:00,1.21790,1.22650,1.21340,1.22520,0,0
12/13/1991,16:59:00,1.22110,1.23080,1.21780,1.22340,0,0
12/16/1991,16:59:00,1.22690,1.22700,1.21820,1.21860,0,0
12/17/1991,16:59:00,1.22080,1.22120,1.21130,1.21170,0,0
12/18/1991,16:59:00,1.21330,1.21710,1.20970,1.21410,0,0
12/19/1991,16:59:00,1.21500,1.21930,1.19390,1.19570,0,0
12/20/1991,16:59:00,1.19510,1.20100,1.17680,1.18060,0,0
12/23/1991,16:59:00,1.17530,1.17660,1.15690,1.16040,0,0
12/24/1991,16:59:00,1.16250,1.16830,1.16120,1.16470,0,0
12/26/1991,16:59:00,1.15630,1.16660,1.15590,1.16060,0,0
12/27/1991,16:59:00,1.15860,1.16840,1.15160,1.16460,0,0
12/30/1991,16:59:00,1.17200,1.17350,1.16250,1.17350,0,0
12/31/1991,16:59:00,1.17210,1.17290,1.16960,1.17210,0,0
01/02/1992,16:59:00,1.17700,1.18870,1.16910,1.18710,0,0
01/03/1992,16:59:00,1.18680,1.20200,1.17750,1.19550,0,0
01/06/1992,16:59:00,1.19630,1.19640,1.17520,1.17790,0,0
01/07/1992,16:59:00,1.17780,1.18590,1.17000,1.17090,0,0
01/08/1992,16:59:00,1.16930,1.18540,1.16890,1.17820,0,0
01/09/1992,16:59:00,1.17910,1.21840,1.17580,1.21020,0,0
01/10/1992,16:59:00,1.20990,1.22570,1.20040,1.22290,0,0
01/13/1992,16:59:00,1.22030,1.22480,1.20810,1.22080,0,0
01/14/1992,16:59:00,1.21800,1.23270,1.20800,1.23180,0,0
01/15/1992,16:59:00,1.22670,1.25920,1.22510,1.25010,0,0
01/16/1992,16:59:00,1.24990,1.25120,1.23540,1.24210,0,0
01/17/1992,16:59:00,1.24100,1.25410,1.21990,1.21990,0,0
01/20/1992,16:59:00,1.21940,1.23090,1.21700,1.22360,0,0
01/21/1992,16:59:00,1.22080,1.22520,1.21250,1.21810,0,0
01/22/1992,16:59:00,1.21810,1.22450,1.21350,1.22030,0,0
01/23/1992,16:59:00,1.22020,1.23710,1.21820,1.23150,0,0
01/24/1992,16:59:00,1.23170,1.23400,1.20140,1.21170,0,0
01/27/1992,16:59:00,1.21050,1.22740,1.20980,1.21990,0,0
01/28/1992,16:59:00,1.21930,1.22320,1.20610,1.21410,0,0
01/29/1992,16:59:00,1.21330,1.22020,1.20120,1.21920,0,0
01/30/1992,16:59:00,1.21800,1.22540,1.20860,1.22540,0,0
01/31/1992,16:59:00,1.22450,1.22760,1.21330,1.21500,0,0
02/03/1992,16:59:00,1.21870,1.21980,1.21220,1.21290,0,0
02/04/1992,16:59:00,1.21270,1.21500,1.19810,1.20390,0,0
02/05/1992,16:59:00,1.20330,1.20630,1.19550,1.19660,0,0
02/06/1992,16:59:00,1.19830,1.19850,1.19010,1.19460,0,0
02/07/1992,16:59:00,1.19110,1.19670,1.17900,1.18120,0,0
02/10/1992,16:59:00,1.18290,1.19720,1.18050,1.19620,0,0
02/11/1992,16:59:00,1.19410,1.20940,1.19410,1.20640,0,0
02/12/1992,16:59:00,1.20590,1.21980,1.20380,1.21720,0,0
02/13/1992,16:59:00,1.21730,1.23410,1.20880,1.23060,0,0
02/14/1992,16:59:00,1.22990,1.24100,1.22670,1.23730,0,0
02/17/1992,16:59:00,1.23080,1.23450,1.22120,1.23370,0,0
02/18/1992,16:59:00,1.23320,1.25390,1.23070,1.25000,0,0
02/19/1992,16:59:00,1.25000,1.25450,1.24800,1.25230,0,0
02/20/1992,16:59:00,1.25240,1.26520,1.25110,1.25340,0,0
02/21/1992,16:59:00,1.25330,1.26670,1.25230,1.26510,0,0
02/24/1992,16:59:00,1.26470,1.26890,1.25490,1.25680,0,0
02/25/1992,16:59:00,1.25240,1.25860,1.24720,1.25240,0,0
02/26/1992,16:59:00,1.27230,1.27610,1.26600,1.26810,0,0
02/27/1992,16:59:00,1.26740,1.26810,1.25540,1.25680,0,0
02/28/1992,16:59:00,1.25720,1.26620,1.25230,1.25680,0,0
03/02/1992,16:59:00,1.26320,1.26370,1.25170,1.25380,0,0
03/03/1992,16:59:00,1.26430,1.26730,1.26340,1.26430,0,0
03/04/1992,16:59:00,1.27800,1.27810,1.26780,1.27800,0,0
03/05/1992,16:59:00,1.27850,1.28740,1.27800,1.28550,0,0
03/06/1992,16:59:00,1.27850,1.28690,1.26980,1.27820,0,0
03/09/1992,16:59:00,1.26840,1.26870,1.26190,1.26360,0,0
03/10/1992,16:59:00,1.26170,1.27090,1.25620,1.26730,0,0
03/11/1992,16:59:00,1.26730,1.27380,1.25970,1.26080,0,0
03/12/1992,16:59:00,1.26000,1.27190,1.25960,1.26140,0,0
03/13/1992,16:59:00,1.26360,1.26540,1.25710,1.25750,0,0
03/16/1992,16:59:00,1.26400,1.26400,1.25490,1.25680,0,0
03/17/1992,16:59:00,1.25660,1.25850,1.24280,1.24970,0,0
03/18/1992,16:59:00,1.24970,1.25620,1.24670,1.25400,0,0
03/19/1992,16:59:00,1.25380,1.26860,1.25350,1.26860,0,0
03/20/1992,16:59:00,1.26620,1.27730,1.26590,1.26660,0,0
03/23/1992,16:59:00,1.26900,1.27400,1.26820,1.27100,0,0
03/24/1992,16:59:00,1.27090,1.27390,1.26820,1.27190,0,0
03/25/1992,16:59:00,1.27050,1.27180,1.26080,1.26380,0,0
03/26/1992,16:59:00,1.26380,1.27520,1.26290,1.27210,0,0
03/27/1992,16:59:00,1.27120,1.27500,1.25320,1.25320,0,0
03/30/1992,16:59:00,1.25790,1.26780,1.25640,1.26100,0,0
03/31/1992,16:59:00,1.25950,1.26500,1.25730,1.26020,0,0
04/01/1992,16:59:00,1.26060,1.27060,1.26060,1.26790,0,0
04/02/1992,16:59:00,1.26840,1.27020,1.25680,1.25950,0,0
04/03/1992,16:59:00,1.25990,1.26090,1.24980,1.25280,0,0
04/06/1992,16:59:00,1.25450,1.25700,1.24980,1.25560,0,0
04/07/1992,16:59:00,1.25460,1.26150,1.25250,1.25250,0,0
04/08/1992,16:59:00,1.25240,1.25800,1.25120,1.25590,0,0
04/09/1992,16:59:00,1.25700,1.26290,1.24850,1.25200,0,0
04/10/1992,16:59:00,1.25310,1.27220,1.25120,1.27070,0,0
04/13/1992,16:59:00,1.27260,1.28930,1.27160,1.28550,0,0
04/14/1992,16:59:00,1.28560,1.28870,1.27860,1.28780,0,0
04/15/1992,16:59:00,1.28820,1.30120,1.28380,1.29910,0,0
04/16/1992,16:59:00,1.29850,1.30830,1.29620,1.30560,0,0
04/17/1992,16:59:00,1.30700,1.30840,1.30420,1.30700,0,0
04/20/1992,16:59:00,1.30710,1.31340,1.29920,1.30240,0,0
04/21/1992,16:59:00,1.30650,1.31260,1.30250,1.30760,0,0
04/22/1992,16:59:00,1.30740,1.31240,1.29740,1.29970,0,0
04/23/1992,16:59:00,1.30060,1.30640,1.29660,1.29690,0,0
04/24/1992,16:59:00,1.29670,1.29730,1.28460,1.28910,0,0
04/27/1992,16:59:00,1.29170,1.29370,1.27280,1.27330,0,0
04/28/1992,16:59:00,1.27300,1.27890,1.26720,1.26920,0,0
04/29/1992,16:59:00,1.26990,1.27750,1.26580,1.27450,0,0
04/30/1992,16:59:00,1.27420,1.27870,1.26420,1.26820,0,0
05/01/1992,16:59:00,1.26840,1.27350,1.26070,1.26080,0,0
05/04/1992,16:59:00,1.26860,1.27090,1.26230,1.26910,0,0
05/05/1992,16:59:00,1.27060,1.27060,1.25990,1.26230,0,0
05/06/1992,16:59:00,1.26220,1.26580,1.25100,1.25170,0,0
05/07/1992,16:59:00,1.25120,1.26410,1.25100,1.26130,0,0
05/08/1992,16:59:00,1.26050,1.27510,1.25680,1.26880,0,0
05/11/1992,16:59:00,1.26870,1.26990,1.26390,1.26610,0,0
05/12/1992,16:59:00,1.26570,1.26710,1.24670,1.24760,0,0
05/13/1992,16:59:00,1.24780,1.25110,1.22860,1.23080,0,0
05/14/1992,16:59:00,1.23070,1.23380,1.22250,1.22860,0,0
05/15/1992,16:59:00,1.23130,1.23780,1.22480,1.23580,0,0
05/18/1992,16:59:00,1.23340,1.23340,1.22110,1.22330,0,0
05/19/1992,16:59:00,1.22510,1.23180,1.22080,1.22270,0,0
05/20/1992,16:59:00,1.22650,1.23310,1.22330,1.22990,0,0
05/21/1992,16:59:00,1.23140,1.24440,1.22920,1.24030,0,0
05/22/1992,16:59:00,1.23990,1.25240,1.23810,1.24280,0,0
05/25/1992,16:59:00,1.24230,1.24240,1.23860,1.24040,0,0
05/26/1992,16:59:00,1.23890,1.24110,1.22650,1.23360,0,0
05/27/1992,16:59:00,1.23500,1.24310,1.23420,1.23710,0,0
05/28/1992,16:59:00,1.22800,1.23370,1.22560,1.22800,0,0
05/29/1992,16:59:00,1.21320,1.21690,1.20630,1.20740,0,0
06/01/1992,16:59:00,1.20890,1.21340,1.20210,1.21340,0,0
06/02/1992,16:59:00,1.21190,1.22200,1.21000,1.21460,0,0
06/03/1992,16:59:00,1.21980,1.22510,1.21980,1.22420,0,0
06/04/1992,16:59:00,1.22200,1.22910,1.22200,1.22220,0,0
06/05/1992,16:59:00,1.21720,1.21990,1.21240,1.21700,0,0
06/08/1992,16:59:00,1.21810,1.21810,1.21590,1.21670,0,0
06/09/1992,16:59:00,1.21450,1.21930,1.21090,1.21720,0,0
06/10/1992,16:59:00,1.22030,1.22180,1.21370,1.21640,0,0
06/11/1992,16:59:00,1.21580,1.21580,1.19830,1.19950,0,0
06/12/1992,16:59:00,1.19970,1.20140,1.19320,1.19610,0,0
06/15/1992,16:59:00,1.19570,1.19570,1.18280,1.18670,0,0
06/16/1992,16:59:00,1.18910,1.18910,1.17680,1.17940,0,0
06/17/1992,16:59:00,1.17580,1.18920,1.17580,1.18690,0,0
06/18/1992,16:59:00,1.18720,1.19620,1.17870,1.18000,0,0
06/19/1992,16:59:00,1.18090,1.18790,1.17920,1.18640,0,0
06/22/1992,16:59:00,1.18700,1.19110,1.18250,1.18540,0,0
06/23/1992,16:59:00,1.18290,1.18640,1.17870,1.18560,0,0
06/24/1992,16:59:00,1.18660,1.18660,1.17020,1.17080,0,0
06/25/1992,16:59:00,1.17200,1.17500,1.15910,1.15970,0,0
06/26/1992,16:59:00,1.16280,1.16510,1.15510,1.15620,0,0
06/29/1992,16:59:00,1.15900,1.15900,1.14290,1.14850,0,0
06/30/1992,16:59:00,1.14820,1.15400,1.14350,1.14540,0,0
07/01/1992,16:59:00,1.14580,1.14620,1.13130,1.14010,0,0
07/02/1992,16:59:00,1.14040,1.14040,1.12050,1.12420,0,0
07/03/1992,16:59:00,1.12610,1.13190,1.12450,1.12910,0,0
07/06/1992,16:59:00,1.13370,1.14440,1.12660,1.12800,0,0
07/07/1992,16:59:00,1.12870,1.13070,1.11560,1.12210,0,0
07/08/1992,16:59:00,1.12240,1.13450,1.11760,1.12590,0,0
07/09/1992,16:59:00,1.12760,1.15240,1.12420,1.14720,0,0
07/10/1992,16:59:00,1.14940,1.15710,1.13340,1.13340,0,0
07/13/1992,16:59:00,1.13260,1.13350,1.11590,1.11630,0,0
07/14/1992,16:59:00,1.11870,1.13000,1.11560,1.12740,0,0
07/15/1992,16:59:00,1.12720,1.13150,1.11650,1.12340,0,0
07/16/1992,16:59:00,1.12550,1.12920,1.11340,1.11680,0,0
07/17/1992,16:59:00,1.11810,1.11860,1.09100,1.09410,0,0
07/20/1992,16:59:00,1.09120,1.11520,1.07130,1.11050,0,0
07/21/1992,16:59:00,1.11170,1.12150,1.09890,1.10980,0,0
07/22/1992,16:59:00,1.10820,1.11370,1.10070,1.10850,0,0
