Date,Time,Open,High,Low,Close,Vol,OI
04/10/1998,16:59:00,86.32000,86.62000,84.33000,85.11000,0,0
04/13/1998,16:59:00,84.96000,85.89000,84.26000,85.84000,0,0
04/14/1998,16:59:00,85.81000,87.11000,85.72000,86.64000,0,0
04/15/1998,16:59:00,86.62000,87.07000,86.37000,86.89000,0,0
04/16/1998,16:59:00,86.88000,87.79000,86.77000,87.51000,0,0
04/17/1998,16:59:00,87.54000,88.15000,87.31000,87.77000,0,0
04/20/1998,16:59:00,87.89000,88.57000,87.80000,88.21000,0,0
04/21/1998,16:59:00,88.23000,88.84000,87.95000,88.53000,0,0
04/22/1998,16:59:00,88.49000,88.90000,87.64000,87.68000,0,0
04/23/1998,16:59:00,87.63000,88.10000,87.14000,87.33000,0,0
04/24/1998,16:59:00,87.37000,88.15000,86.70000,88.05000,0,0
04/27/1998,16:59:00,87.88000,89.10000,87.66000,88.90000,0,0
04/28/1998,16:59:00,88.98000,89.09000,88.21000,88.33000,0,0
04/29/1998,16:59:00,88.35000,88.70000,88.15000,88.39000,0,0
04/30/1998,16:59:00,88.43000,88.61000,88.01000,88.48000,0,0
05/01/1998,16:59:00,88.39000,89.52000,88.37000,89.39000,0,0
05/04/1998,16:59:00,89.28000,89.51000,89.11000,89.25000,0,0
05/05/1998,16:59:00,89.28000,89.53000,88.73000,88.89000,0,0
05/06/1998,16:59:00,88.87000,90.45000,88.79000,90.26000,0,0
05/07/1998,16:59:00,90.24000,90.83000,90.16000,90.52000,0,0
05/08/1998,16:59:00,90.56000,90.69000,89.51000,89.73000,0,0
05/11/1998,16:59:00,89.78000,90.16000,89.24000,89.58000,0,0
05/12/1998,16:59:00,89.57000,90.64000,89.34000,90.44000,0,0
05/13/1998,16:59:00,90.45000,90.89000,90.34000,90.43000,0,0
05/14/1998,16:59:00,90.42000,91.03000,90.20000,90.30000,0,0
05/15/1998,16:59:00,90.28000,90.78000,90.14000,90.57000,0,0
05/18/1998,16:59:00,90.60000,91.85000,90.58000,91.37000,0,0
05/19/1998,16:59:00,91.39000,92.38000,91.38000,92.38000,0,0
05/20/1998,16:59:00,92.39000,92.58000,91.78000,92.03000,0,0
05/21/1998,16:59:00,92.05000,92.76000,91.58000,92.10000,0,0
05/22/1998,16:59:00,92.12000,92.92000,91.99000,92.66000,0,0
05/25/1998,16:59:00,92.82000,93.52000,92.82000,93.21000,0,0
05/26/1998,16:59:00,93.21000,93.82000,93.13000,93.67000,0,0
05/27/1998,16:59:00,93.67000,94.56000,93.15000,93.28000,0,0
05/28/1998,16:59:00,93.32000,94.19000,92.91000,94.08000,0,0
05/29/1998,16:59:00,94.04000,94.32000,93.38000,93.59000,0,0
06/01/1998,16:59:00,93.56000,94.81000,93.27000,94.60000,0,0
06/02/1998,16:59:00,94.59000,94.60000,93.50000,93.65000,0,0
06/03/1998,16:59:00,93.63000,94.14000,92.93000,93.90000,0,0
06/04/1998,16:59:00,93.86000,94.40000,93.49000,94.18000,0,0
06/05/1998,16:59:00,94.16000,94.91000,93.97000,94.64000,0,0
06/08/1998,16:59:00,94.65000,95.45000,94.63000,95.32000,0,0
06/09/1998,16:59:00,95.30000,95.37000,94.74000,95.16000,0,0
06/10/1998,16:59:00,95.14000,95.73000,94.60000,95.32000,0,0
06/11/1998,16:59:00,95.32000,96.40000,94.89000,96.32000,0,0
06/12/1998,16:59:00,96.32000,96.70000,96.00000,96.32000,0,0
06/15/1998,16:59:00,96.44000,97.39000,96.26000,97.14000,0,0
06/16/1998,16:59:00,97.13000,97.20000,95.25000,95.83000,0,0
06/17/1998,16:59:00,95.89000,99.15400,92.61000,98.41400,0,0
06/18/1998,16:59:00,98.52400,98.56400,91.36000,91.82000,0,0
06/19/1998,16:59:00,91.77000,91.96000,90.31000,91.53000,0,0
06/22/1998,16:59:00,92.25000,92.48000,91.57000,92.11000,0,0
06/23/1998,16:59:00,91.98000,92.69000,91.79000,92.47000,0,0
06/24/1998,16:59:00,92.39000,93.77000,92.29000,93.70000,0,0
06/25/1998,16:59:00,93.73000,94.09000,93.41000,93.82000,0,0
06/26/1998,16:59:00,93.88000,94.30000,92.92000,93.06000,0,0
