Date,Time,Open,High,Low,Close,Vol,OI
12/05/2000,16:59:00,1.62950,1.63830,1.62180,1.63540,0,0
12/06/2000,16:59:00,1.63480,1.63660,1.61320,1.62730,0,0
12/07/2000,16:59:00,1.62530,1.63330,1.61800,1.62670,0,0
12/08/2000,16:59:00,1.62580,1.63250,1.61570,1.62260,0,0
12/11/2000,16:59:00,1.61930,1.63000,1.61200,1.62320,0,0
12/12/2000,16:59:00,1.62280,1.62840,1.61440,1.61980,0,0
12/13/2000,16:59:00,1.62060,1.62880,1.60890,1.61980,0,0
12/14/2000,16:59:00,1.61900,1.63970,1.61870,1.63440,0,0
12/15/2000,16:59:00,1.63450,1.64630,1.62840,1.64340,0,0
12/18/2000,16:59:00,1.63980,1.65860,1.63760,1.65450,0,0
12/19/2000,16:59:00,1.65450,1.65760,1.63560,1.63980,0,0
12/20/2000,16:59:00,1.63980,1.65340,1.63280,1.65260,0,0
12/21/2000,16:59:00,1.65170,1.65960,1.63750,1.64630,0,0
12/22/2000,16:59:00,1.64610,1.66810,1.64230,1.66310,0,0
12/25/2000,16:59:00,1.65760,1.66910,1.65070,1.66360,0,0
12/26/2000,16:59:00,1.65760,1.66130,1.65760,1.66130,0,0
12/27/2000,16:59:00,1.66130,1.66910,1.65070,1.66360,0,0
12/28/2000,16:59:00,1.66130,1.66910,1.65070,1.66360,0,0
12/29/2000,16:59:00,1.68620,1.68620,1.65070,1.68540,0,0
01/01/2001,16:59:00,1.68620,1.68620,1.65070,1.68540,0,0
01/02/2001,16:59:00,1.68540,1.68620,1.68050,1.68370,0,0
01/03/2001,16:59:00,1.68540,1.68620,1.68050,1.68370,0,0
01/04/2001,16:59:00,1.68540,1.68620,1.68050,1.68370,0,0
01/05/2001,16:59:00,1.68620,1.68620,1.66410,1.67290,0,0
01/08/2001,16:59:00,1.67290,1.68260,1.66840,1.66860,0,0
01/09/2001,16:59:00,1.67050,1.67960,1.66620,1.67920,0,0
01/10/2001,16:59:00,1.67970,1.69960,1.67320,1.68860,0,0
01/11/2001,16:59:00,1.68820,1.70980,1.68820,1.69580,0,0
01/12/2001,16:59:00,1.69580,1.71200,1.69380,1.70690,0,0
01/15/2001,16:59:00,1.70690,1.72170,1.69050,1.70590,0,0
01/16/2001,16:59:00,1.70590,1.70590,1.68540,1.69770,0,0
01/17/2001,16:59:00,1.69690,1.70190,1.67760,1.69130,0,0
01/18/2001,16:59:00,1.69140,1.70090,1.68150,1.68280,0,0
01/19/2001,16:59:00,1.68330,1.69270,1.67420,1.67830,0,0
01/22/2001,16:59:00,1.67730,1.69020,1.67310,1.68720,0,0
01/23/2001,16:59:00,1.68800,1.69990,1.68560,1.69190,0,0
01/24/2001,16:59:00,1.69410,1.70500,1.68530,1.69550,0,0
01/25/2001,16:59:00,1.69510,1.69930,1.67720,1.69150,0,0
01/26/2001,16:59:00,1.69180,1.71750,1.68950,1.69810,0,0
01/29/2001,16:59:00,1.69860,1.69980,1.68300,1.68860,0,0
01/30/2001,16:59:00,1.68800,1.69740,1.68030,1.69290,0,0
01/31/2001,16:59:00,1.69310,1.70860,1.68990,1.69860,0,0
02/01/2001,16:59:00,1.69840,1.71210,1.68890,1.69550,0,0
02/02/2001,16:59:00,1.69580,1.70080,1.68710,1.69170,0,0
02/05/2001,16:59:00,1.69470,1.70980,1.69380,1.70350,0,0
02/06/2001,16:59:00,1.70370,1.70650,1.68810,1.69220,0,0
02/07/2001,16:59:00,1.69270,1.71130,1.68800,1.70000,0,0
02/08/2001,16:59:00,1.70160,1.71940,1.68730,1.70980,0,0
02/09/2001,16:59:00,1.71040,1.72930,1.70800,1.72330,0,0
02/12/2001,16:59:00,1.72040,1.73430,1.72040,1.72760,0,0
02/13/2001,16:59:00,1.72880,1.73210,1.71310,1.72730,0,0
02/14/2001,16:59:00,1.72650,1.74390,1.72370,1.74140,0,0
02/15/2001,16:59:00,1.74270,1.74460,1.72080,1.72490,0,0
02/16/2001,16:59:00,1.72450,1.73460,1.71320,1.72930,0,0
02/19/2001,16:59:00,1.72860,1.74360,1.72630,1.73930,0,0
02/20/2001,16:59:00,1.73930,1.74640,1.72760,1.73770,0,0
02/21/2001,16:59:00,1.73770,1.74950,1.72770,1.73170,0,0
02/22/2001,16:59:00,1.73170,1.73860,1.72040,1.72570,0,0
02/23/2001,16:59:00,1.72570,1.75590,1.72440,1.74320,0,0
02/26/2001,16:59:00,1.75850,1.75850,1.72920,1.74020,0,0
02/27/2001,16:59:00,1.74040,1.75390,1.73730,1.74340,0,0
02/28/2001,16:59:00,1.74340,1.75100,1.74340,1.74820,0,0
03/01/2001,16:59:00,1.74610,1.75100,1.73980,1.74820,0,0
03/02/2001,16:59:00,1.74610,1.77520,1.73980,1.76400,0,0
03/05/2001,16:59:00,1.77350,1.78590,1.76030,1.77330,0,0
03/06/2001,16:59:00,1.77340,1.81550,1.77130,1.80610,0,0
03/07/2001,16:59:00,1.80650,1.82900,1.80160,1.81690,0,0
03/08/2001,16:59:00,1.81710,1.83550,1.81590,1.82310,0,0
03/09/2001,16:59:00,1.82450,1.83590,1.81810,1.83320,0,0
03/12/2001,16:59:00,1.83440,1.84010,1.81860,1.82560,0,0
03/13/2001,16:59:00,1.82640,1.83840,1.80910,1.81560,0,0
03/14/2001,16:59:00,1.81640,1.84690,1.81230,1.83840,0,0
03/15/2001,16:59:00,1.83860,1.84920,1.80580,1.82010,0,0
03/16/2001,16:59:00,1.82020,1.82900,1.80450,1.81620,0,0
03/19/2001,16:59:00,1.81080,1.81680,1.78470,1.80290,0,0
03/20/2001,16:59:00,1.80290,1.81560,1.79150,1.80980,0,0
03/21/2001,16:59:00,1.80980,1.82200,1.79670,1.81490,0,0
03/22/2001,16:59:00,1.81450,1.82400,1.79090,1.79600,0,0
03/23/2001,16:59:00,1.79590,1.81700,1.78470,1.79260,0,0
03/26/2001,16:59:00,1.79110,1.81990,1.77540,1.79450,0,0
03/27/2001,16:59:00,1.79450,1.80540,1.78560,1.79140,0,0
03/28/2001,16:59:00,1.79110,1.80380,1.78320,1.79410,0,0
03/29/2001,16:59:00,1.79420,1.80170,1.78300,1.79650,0,0
03/30/2001,16:59:00,1.78560,1.81740,1.78500,1.80440,0,0
04/02/2001,16:59:00,1.80320,1.84280,1.79170,1.83190,0,0
04/03/2001,16:59:00,1.83190,1.85040,1.81800,1.84400,0,0
04/04/2001,16:59:00,1.84320,1.85540,1.81170,1.84340,0,0
04/05/2001,16:59:00,1.84330,1.84840,1.82270,1.82640,0,0
04/06/2001,16:59:00,1.82650,1.83200,1.80860,1.81460,0,0
04/09/2001,16:59:00,1.81440,1.83360,1.80670,1.82240,0,0
04/10/2001,16:59:00,1.82280,1.82420,1.78670,1.78810,0,0
04/11/2001,16:59:00,1.78840,1.79280,1.75410,1.76170,0,0
04/12/2001,16:59:00,1.76190,1.77050,1.74090,1.75360,0,0
04/13/2001,16:59:00,1.75440,1.76980,1.74650,1.74950,0,0
04/16/2001,16:59:00,1.74990,1.76940,1.72830,1.74140,0,0
04/17/2001,16:59:00,1.74100,1.75180,1.72450,1.75180,0,0
04/18/2001,16:59:00,1.75250,1.77400,1.74770,1.76340,0,0
04/19/2001,16:59:00,1.76270,1.76920,1.72550,1.74570,0,0
04/20/2001,16:59:00,1.74590,1.75480,1.72510,1.75270,0,0
04/23/2001,16:59:00,1.75200,1.79800,1.74060,1.76760,0,0
04/24/2001,16:59:00,1.76770,1.78940,1.76020,1.76920,0,0
04/25/2001,16:59:00,1.76940,1.78410,1.75580,1.76890,0,0
04/26/2001,16:59:00,1.76970,1.78420,1.74960,1.76460,0,0
04/27/2001,16:59:00,1.76380,1.76910,1.74550,1.75130,0,0
04/30/2001,16:59:00,1.75040,1.77090,1.72830,1.73660,0,0
05/01/2001,16:59:00,1.73700,1.74040,1.71780,1.72550,0,0
05/02/2001,16:59:00,1.72530,1.72750,1.70570,1.72300,0,0
05/03/2001,16:59:00,1.72360,1.72610,1.70360,1.71960,0,0
05/04/2001,16:59:00,1.71990,1.73010,1.71220,1.72060,0,0
05/07/2001,16:59:00,1.72270,1.72500,1.71330,1.72000,0,0
05/08/2001,16:59:00,1.72000,1.72020,1.69780,1.71260,0,0
05/09/2001,16:59:00,1.71280,1.71510,1.68510,1.68910,0,0
05/10/2001,16:59:00,1.68950,1.69990,1.67390,1.67840,0,0
05/11/2001,16:59:00,1.68000,1.68720,1.67080,1.67910,0,0
05/14/2001,16:59:00,1.68290,1.69650,1.67560,1.68500,0,0
05/15/2001,16:59:00,1.68470,1.69660,1.68120,1.68240,0,0
05/16/2001,16:59:00,1.68290,1.69710,1.66990,1.68540,0,0
05/17/2001,16:59:00,1.68550,1.68890,1.66220,1.67120,0,0
05/18/2001,16:59:00,1.67110,1.67610,1.65680,1.66050,0,0
05/21/2001,16:59:00,1.66210,1.66800,1.64570,1.66190,0,0
05/22/2001,16:59:00,1.66190,1.66860,1.64090,1.65280,0,0
05/23/2001,16:59:00,1.65310,1.66720,1.64780,1.65650,0,0
05/24/2001,16:59:00,1.65670,1.68170,1.64200,1.64430,0,0
05/25/2001,16:59:00,1.64450,1.65550,1.63840,1.64910,0,0
05/28/2001,16:59:00,1.64650,1.66040,1.64460,1.64900,0,0
05/29/2001,16:59:00,1.64940,1.66230,1.64760,1.64980,0,0
05/30/2001,16:59:00,1.64950,1.67560,1.64340,1.67100,0,0
05/31/2001,16:59:00,1.67060,1.68180,1.65950,1.66630,0,0
06/01/2001,16:59:00,1.66650,1.67920,1.65690,1.66730,0,0
06/04/2001,16:59:00,1.66380,1.67630,1.66190,1.66760,0,0
06/05/2001,16:59:00,1.66690,1.67870,1.65940,1.67330,0,0
06/06/2001,16:59:00,1.67320,1.67670,1.63840,1.64630,0,0
06/07/2001,16:59:00,1.64570,1.65010,1.63020,1.63820,0,0
06/08/2001,16:59:00,1.63820,1.63910,1.61200,1.61880,0,0
06/11/2001,16:59:00,1.61880,1.64070,1.60400,1.61660,0,0
06/12/2001,16:59:00,1.61620,1.62850,1.61090,1.62370,0,0
06/13/2001,16:59:00,1.62370,1.62740,1.60870,1.61790,0,0
06/14/2001,16:59:00,1.61490,1.64410,1.61090,1.63520,0,0
06/15/2001,16:59:00,1.63500,1.65050,1.62860,1.63900,0,0
06/18/2001,16:59:00,1.64120,1.65070,1.63300,1.64670,0,0
06/19/2001,16:59:00,1.64750,1.65050,1.63020,1.63830,0,0
06/20/2001,16:59:00,1.63800,1.65660,1.63690,1.63860,0,0
06/21/2001,16:59:00,1.64010,1.66280,1.63690,1.65450,0,0
06/22/2001,16:59:00,1.65570,1.66930,1.64530,1.65780,0,0
06/25/2001,16:59:00,1.65340,1.67090,1.64370,1.66240,0,0
06/26/2001,16:59:00,1.66240,1.67380,1.64990,1.65670,0,0
06/27/2001,16:59:00,1.65620,1.66700,1.65330,1.65840,0,0
06/28/2001,16:59:00,1.65970,1.67020,1.65190,1.67020,0,0
06/29/2001,16:59:00,1.66980,1.67870,1.65610,1.66430,0,0
07/02/2001,16:59:00,1.66130,1.69390,1.65270,1.65820,0,0
07/03/2001,16:59:00,1.65790,1.66040,1.63280,1.64100,0,0
07/04/2001,16:59:00,1.64030,1.64350,1.62780,1.63090,0,0
07/05/2001,16:59:00,1.63120,1.64580,1.60990,1.62810,0,0
07/06/2001,16:59:00,1.62830,1.67020,1.62380,1.66700,0,0
07/09/2001,16:59:00,1.66710,1.68070,1.65150,1.66430,0,0
07/10/2001,16:59:00,1.66630,1.68210,1.66160,1.67890,0,0
07/11/2001,16:59:00,1.67890,1.70620,1.67070,1.69200,0,0
07/12/2001,16:59:00,1.69220,1.70860,1.68050,1.69050,0,0
07/13/2001,16:59:00,1.68820,1.68900,1.67530,1.68180,0,0
07/16/2001,16:59:00,1.68060,1.68840,1.67020,1.67910,0,0
07/17/2001,16:59:00,1.67910,1.69910,1.67190,1.68900,0,0
07/18/2001,16:59:00,1.68900,1.70550,1.66730,1.69320,0,0
07/19/2001,16:59:00,1.69090,1.70740,1.68550,1.69830,0,0
07/20/2001,16:59:00,1.69820,1.73340,1.69380,1.72200,0,0
07/23/2001,16:59:00,1.71910,1.72570,1.70330,1.70870,0,0
07/24/2001,16:59:00,1.70870,1.72760,1.70510,1.71430,0,0
07/25/2001,16:59:00,1.71370,1.73710,1.71170,1.73200,0,0
07/26/2001,16:59:00,1.73250,1.73360,1.71970,1.72520,0,0
07/27/2001,16:59:00,1.72500,1.73710,1.70240,1.72580,0,0
07/30/2001,16:59:00,1.72800,1.73490,1.72270,1.72910,0,0
07/31/2001,16:59:00,1.72900,1.74170,1.71450,1.72000,0,0
08/01/2001,16:59:00,1.71970,1.72680,1.69530,1.70290,0,0
08/02/2001,16:59:00,1.70330,1.70940,1.68810,1.69790,0,0
08/03/2001,16:59:00,1.69760,1.71110,1.69380,1.70640,0,0
08/06/2001,16:59:00,1.70600,1.70990,1.69840,1.69950,0,0
08/07/2001,16:59:00,1.70240,1.70570,1.69410,1.70000,0,0
08/08/2001,16:59:00,1.69970,1.70370,1.68960,1.69780,0,0
08/09/2001,16:59:00,1.69690,1.75230,1.69600,1.74180,0,0
08/10/2001,16:59:00,1.74160,1.74680,1.72710,1.73670,0,0
08/13/2001,16:59:00,1.73970,1.74330,1.72740,1.73330,0,0
08/14/2001,16:59:00,1.73310,1.75380,1.70890,1.73020,0,0
08/15/2001,16:59:00,1.73050,1.73680,1.71830,1.73070,0,0
08/16/2001,16:59:00,1.73080,1.74540,1.72310,1.73680,0,0
08/17/2001,16:59:00,1.73710,1.74540,1.70470,1.71120,0,0
08/20/2001,16:59:00,1.70800,1.72050,1.70500,1.71470,0,0
08/21/2001,16:59:00,1.71440,1.72120,1.70370,1.71310,0,0
08/22/2001,16:59:00,1.71240,1.72070,1.70100,1.70710,0,0
08/23/2001,16:59:00,1.70690,1.72120,1.70270,1.71430,0,0
08/24/2001,16:59:00,1.71450,1.72400,1.70480,1.70960,0,0
08/27/2001,16:59:00,1.71340,1.72850,1.70980,1.72560,0,0
08/28/2001,16:59:00,1.72540,1.73030,1.71330,1.71820,0,0
08/29/2001,16:59:00,1.72100,1.72930,1.71350,1.71680,0,0
08/30/2001,16:59:00,1.71710,1.72570,1.70770,1.72300,0,0
08/31/2001,16:59:00,1.71920,1.73350,1.71560,1.71840,0,0
09/03/2001,16:59:00,1.71820,1.72570,1.71600,1.71840,0,0
09/04/2001,16:59:00,1.72120,1.72570,1.69630,1.70540,0,0
09/05/2001,16:59:00,1.70580,1.71920,1.69400,1.70650,0,0
09/06/2001,16:59:00,1.70620,1.72340,1.69730,1.72330,0,0
09/07/2001,16:59:00,1.72260,1.74480,1.71240,1.74290,0,0
09/10/2001,16:59:00,1.74170,1.76700,1.72530,1.75040,0,0
09/11/2001,16:59:00,1.74940,1.76170,1.73540,1.75560,0,0
09/12/2001,16:59:00,1.75520,1.76930,1.74590,1.75090,0,0
09/13/2001,16:59:00,1.75820,1.77070,1.75080,1.76590,0,0
09/14/2001,16:59:00,1.76600,1.78970,1.76100,1.78790,0,0
09/17/2001,16:59:00,1.80200,1.85910,1.79940,1.84220,0,0
09/18/2001,16:59:00,1.84220,1.87470,1.83780,1.86790,0,0
09/19/2001,16:59:00,1.86690,1.89450,1.86530,1.88800,0,0
09/20/2001,16:59:00,1.88800,1.88900,1.86860,1.88050,0,0
09/21/2001,16:59:00,1.88200,1.90950,1.86500,1.88630,0,0
09/24/2001,16:59:00,1.88700,1.89620,1.85530,1.86520,0,0
09/25/2001,16:59:00,1.86440,1.87570,1.85200,1.87070,0,0
09/26/2001,16:59:00,1.86680,1.88740,1.85000,1.88240,0,0
09/27/2001,16:59:00,1.88240,1.89630,1.87780,1.88330,0,0
09/28/2001,16:59:00,1.88330,1.88560,1.83590,1.85190,0,0
10/01/2001,16:59:00,1.84210,1.86390,1.83940,1.85050,0,0
10/02/2001,16:59:00,1.84970,1.86520,1.84430,1.85210,0,0
10/03/2001,16:59:00,1.85190,1.85940,1.83450,1.84570,0,0
10/04/2001,16:59:00,1.84540,1.84550,1.82660,1.83820,0,0
