Date,Time,Open,High,Low,Close,Vol,OI
01/05/1999,16:59:00,1.61500,1.62030,1.60790,1.61520,0,0
01/06/1999,16:59:00,1.61300,1.62400,1.60650,1.61800,0,0
01/07/1999,16:59:00,1.61560,1.63360,1.61000,1.61000,0,0
01/08/1999,16:59:00,1.61420,1.62000,1.60460,1.61750,0,0
01/11/1999,16:59:00,1.61000,1.62050,1.60670,1.61220,0,0
01/12/1999,16:59:00,1.61210,1.61750,1.60000,1.60450,0,0
01/13/1999,16:59:00,1.60440,1.60650,1.57800,1.58950,0,0
01/14/1999,16:59:00,1.58960,1.59910,1.58150,1.58610,0,0
01/15/1999,16:59:00,1.58530,1.60780,1.58090,1.59890,0,0
01/18/1999,16:59:00,1.60350,1.60940,1.59430,1.59970,0,0
01/19/1999,16:59:00,1.59860,1.60970,1.59370,1.59850,0,0
01/20/1999,16:59:00,1.59920,1.61110,1.59690,1.60550,0,0
01/21/1999,16:59:00,1.60560,1.60900,1.59660,1.60680,0,0
01/22/1999,16:59:00,1.60630,1.61010,1.59450,1.60300,0,0
01/25/1999,16:59:00,1.60110,1.61750,1.59000,1.60170,0,0
01/26/1999,16:59:00,1.60030,1.61000,1.59860,1.60590,0,0
01/27/1999,16:59:00,1.60660,1.61750,1.60120,1.61180,0,0
01/28/1999,16:59:00,1.61450,1.62060,1.59990,1.61310,0,0
01/29/1999,16:59:00,1.61300,1.61820,1.60630,1.60940,0,0
02/01/1999,16:59:00,1.61280,1.62670,1.60370,1.60790,0,0
02/02/1999,16:59:00,1.60660,1.60910,1.59500,1.60340,0,0
02/03/1999,16:59:00,1.60350,1.60850,1.59410,1.60310,0,0
02/04/1999,16:59:00,1.60190,1.60970,1.59370,1.60180,0,0
02/05/1999,16:59:00,1.60120,1.61010,1.58940,1.60030,0,0
02/08/1999,16:59:00,1.61750,1.61750,1.59260,1.60170,0,0
02/09/1999,16:59:00,1.60410,1.61560,1.59280,1.60100,0,0
02/10/1999,16:59:00,1.60010,1.60660,1.58800,1.59770,0,0
02/11/1999,16:59:00,1.59730,1.60570,1.59320,1.60320,0,0
02/12/1999,16:59:00,1.60310,1.61070,1.58870,1.59720,0,0
02/15/1999,16:59:00,1.59730,1.61750,1.59330,1.59760,0,0
02/16/1999,16:59:00,1.59770,1.60600,1.58770,1.59850,0,0
02/17/1999,16:59:00,1.59860,1.60370,1.59120,1.59780,0,0
