Date,Time,Open,High,Low,Close,Vol,OI
01/05/1999,16:59:00,0.71300,0.71710,0.70820,0.71130,0,0
01/06/1999,16:59:00,0.71050,0.71600,0.70040,0.70190,0,0
01/07/1999,16:59:00,0.70120,0.71150,0.70120,0.70940,0,0
01/08/1999,16:59:00,0.70920,0.71350,0.70340,0.70620,0,0
01/11/1999,16:59:00,0.71000,0.71000,0.70150,0.70610,0,0
01/12/1999,16:59:00,0.70580,0.71000,0.70170,0.70790,0,0
01/13/1999,16:59:00,0.70770,0.71190,0.70600,0.70810,0,0
01/14/1999,16:59:00,0.70820,0.70940,0.70450,0.70450,0,0
01/15/1999,16:59:00,0.70650,0.70800,0.69890,0.70120,0,0
01/18/1999,16:59:00,0.70230,0.70330,0.69960,0.70250,0,0
01/19/1999,16:59:00,0.70260,0.70340,0.69740,0.70080,0,0
01/20/1999,16:59:00,0.70070,0.70380,0.69870,0.70240,0,0
01/21/1999,16:59:00,0.70250,0.70470,0.70000,0.70260,0,0
01/22/1999,16:59:00,0.70210,0.70390,0.69930,0.70040,0,0
01/25/1999,16:59:00,0.70120,0.70120,0.69560,0.69630,0,0
01/26/1999,16:59:00,0.69610,0.69930,0.69530,0.69680,0,0
01/27/1999,16:59:00,0.69690,0.69950,0.69310,0.69490,0,0
01/28/1999,16:59:00,0.69550,0.69850,0.69030,0.69200,0,0
01/29/1999,16:59:00,0.69250,0.69430,0.68930,0.69040,0,0
02/01/1999,16:59:00,0.69420,0.69940,0.68800,0.68930,0,0
02/02/1999,16:59:00,0.68860,0.69690,0.68570,0.69290,0,0
02/03/1999,16:59:00,0.69460,0.69640,0.68850,0.69080,0,0
02/04/1999,16:59:00,0.69060,0.69200,0.68710,0.68960,0,0
02/05/1999,16:59:00,0.69000,0.69160,0.68730,0.68950,0,0
02/08/1999,16:59:00,0.68950,0.69160,0.68700,0.69000,0,0
02/09/1999,16:59:00,0.69090,0.69240,0.68850,0.69100,0,0
02/10/1999,16:59:00,0.69110,0.69790,0.69000,0.69560,0,0
02/11/1999,16:59:00,0.69570,0.69960,0.69070,0.69230,0,0
02/12/1999,16:59:00,0.69230,0.69340,0.69030,0.69030,0,0
02/15/1999,16:59:00,0.69120,0.69290,0.68750,0.68990,0,0
02/16/1999,16:59:00,0.68990,0.69150,0.68350,0.68620,0,0
02/17/1999,16:59:00,0.68600,0.68970,0.68420,0.68780,0,0
02/18/1999,16:59:00,0.68820,0.68940,0.68360,0.68490,0,0
02/19/1999,16:59:00,0.68480,0.68790,0.68020,0.68240,0,0
02/22/1999,16:59:00,0.68170,0.68440,0.67700,0.67840,0,0
02/23/1999,16:59:00,0.67830,0.68340,0.67700,0.68210,0,0
02/24/1999,16:59:00,0.68190,0.68960,0.67920,0.68820,0,0
02/25/1999,16:59:00,0.68830,0.69050,0.68540,0.68800,0,0
02/26/1999,16:59:00,0.68870,0.68950,0.68430,0.68780,0,0
