Date,Time,Open,High,Low,Close,Vol,OI
01/05/1999,16:59:00,132.24000,132.80000,129.96000,131.50000,0,0
01/06/1999,16:59:00,131.63000,132.92000,130.99000,131.27000,0,0
01/07/1999,16:59:00,131.10000,131.37000,128.24000,130.37000,0,0
01/08/1999,16:59:00,130.41000,130.97000,128.26000,128.42000,0,0
01/11/1999,16:59:00,128.05000,128.96000,124.57000,125.78000,0,0
01/12/1999,16:59:00,125.82000,130.37000,124.81000,130.25000,0,0
01/13/1999,16:59:00,130.24000,133.33000,129.15000,132.45000,0,0
01/14/1999,16:59:00,132.41000,133.92000,131.19000,132.62000,0,0
01/15/1999,16:59:00,132.38000,133.05000,130.98000,131.74000,0,0
01/18/1999,16:59:00,132.29000,133.68000,131.16000,132.18000,0,0
01/19/1999,16:59:00,132.18000,133.35000,131.52000,131.89000,0,0
01/20/1999,16:59:00,131.84000,132.65000,130.22000,130.53000,0,0
01/21/1999,16:59:00,130.50000,132.54000,129.96000,132.26000,0,0
01/22/1999,16:59:00,132.27000,133.41000,131.65000,132.78000,0,0
01/25/1999,16:59:00,132.68000,133.23000,131.22000,131.42000,0,0
01/26/1999,16:59:00,131.23000,132.61000,131.00000,131.51000,0,0
01/27/1999,16:59:00,131.52000,132.98000,130.77000,132.26000,0,0
01/28/1999,16:59:00,132.33000,133.18000,131.73000,132.65000,0,0
01/29/1999,16:59:00,132.63000,133.15000,131.54000,132.17000,0,0
02/01/1999,16:59:00,132.46000,132.92000,129.69000,130.24000,0,0
02/02/1999,16:59:00,130.20000,130.39000,127.09000,127.17000,0,0
02/03/1999,16:59:00,127.14000,128.13000,126.79000,128.01000,0,0
02/04/1999,16:59:00,128.02000,129.37000,126.22000,126.83000,0,0
02/05/1999,16:59:00,126.84000,128.25000,126.56000,127.45000,0,0
02/08/1999,16:59:00,127.41000,130.09000,127.00000,129.52000,0,0
02/09/1999,16:59:00,129.56000,130.24000,128.77000,128.84000,0,0
02/10/1999,16:59:00,128.84000,130.98000,128.71000,129.20000,0,0
02/11/1999,16:59:00,129.19000,129.83000,128.55000,128.78000,0,0
02/12/1999,16:59:00,128.77000,129.94000,127.98000,128.99000,0,0
02/15/1999,16:59:00,128.87000,130.34000,128.31000,130.03000,0,0
02/16/1999,16:59:00,130.09000,133.25000,130.00000,132.84000,0,0
02/17/1999,16:59:00,132.90000,134.20000,132.25000,133.31000,0,0
02/18/1999,16:59:00,133.29000,134.86000,133.14000,133.86000,0,0
02/19/1999,16:59:00,133.97000,135.03000,133.57000,134.32000,0,0
02/22/1999,16:59:00,134.08000,135.18000,132.59000,133.51000,0,0
02/23/1999,16:59:00,133.48000,133.83000,132.36000,133.45000,0,0
02/24/1999,16:59:00,133.48000,134.42000,132.77000,133.36000,0,0
02/25/1999,16:59:00,133.42000,134.38000,131.74000,131.99000,0,0
02/26/1999,16:59:00,132.00000,133.26000,130.15000,131.48000,0,0
03/01/1999,16:59:00,131.38000,131.94000,130.21000,130.40000,0,0
03/02/1999,16:59:00,130.50000,131.96000,130.38000,131.45000,0,0
03/03/1999,16:59:00,131.34000,133.21000,131.28000,133.14000,0,0
03/04/1999,16:59:00,133.16000,134.26000,132.63000,133.42000,0,0
03/05/1999,16:59:00,133.40000,133.59000,132.53000,132.83000,0,0
03/08/1999,16:59:00,132.97000,133.23000,131.61000,132.78000,0,0
03/09/1999,16:59:00,132.79000,132.79000,131.35000,131.80000,0,0
03/10/1999,16:59:00,131.80000,132.22000,130.90000,131.04000,0,0
03/11/1999,16:59:00,130.98000,132.14000,129.72000,131.66000,0,0
03/12/1999,16:59:00,131.64000,132.63000,129.42000,129.60000,0,0
03/15/1999,16:59:00,129.61000,130.28000,128.49000,128.67000,0,0
03/16/1999,16:59:00,128.66000,129.77000,127.30000,129.77000,0,0
03/17/1999,16:59:00,129.00000,130.81000,129.00000,130.41000,0,0
03/18/1999,16:59:00,130.42000,131.11000,128.81000,129.20000,0,0
03/19/1999,16:59:00,130.07000,130.07000,127.43000,127.67000,0,0
03/22/1999,16:59:00,127.90000,129.27000,127.33000,128.60000,0,0
03/23/1999,16:59:00,128.57000,129.58000,128.27000,128.92000,0,0
03/24/1999,16:59:00,128.90000,129.07000,128.01000,128.31000,0,0
03/25/1999,16:59:00,128.28000,128.89000,127.94000,128.05000,0,0
03/26/1999,16:59:00,128.07000,129.69000,127.86000,129.53000,0,0
03/29/1999,16:59:00,129.31000,130.79000,128.19000,129.04000,0,0
03/30/1999,16:59:00,129.11000,129.74000,128.61000,129.19000,0,0
03/31/1999,16:59:00,129.20000,129.55000,127.52000,127.83000,0,0
04/01/1999,16:59:00,127.91000,130.51000,127.21000,130.06000,0,0
04/02/1999,16:59:00,130.12000,130.44000,129.49000,130.07000,0,0
04/05/1999,16:59:00,129.84000,130.88000,129.84000,130.41000,0,0
04/06/1999,16:59:00,130.40000,131.19000,129.51000,130.69000,0,0
04/07/1999,16:59:00,130.81000,131.37000,130.17000,130.87000,0,0
04/08/1999,16:59:00,130.78000,131.42000,130.12000,130.25000,0,0
04/09/1999,16:59:00,130.29000,131.04000,129.73000,130.55000,0,0
04/12/1999,16:59:00,130.85000,130.91000,129.92000,130.16000,0,0
04/13/1999,16:59:00,130.22000,130.83000,128.88000,129.10000,0,0
04/14/1999,16:59:00,129.12000,129.59000,127.99000,128.53000,0,0
04/15/1999,16:59:00,128.56000,128.78000,126.35000,126.39000,0,0
04/16/1999,16:59:00,127.38000,127.48000,125.40000,126.03000,0,0
04/19/1999,16:59:00,126.18000,126.81000,124.87000,125.45000,0,0
04/20/1999,16:59:00,125.38000,126.62000,125.16000,126.30000,0,0
04/21/1999,16:59:00,126.31000,127.42000,125.82000,126.85000,0,0
04/22/1999,16:59:00,126.86000,128.04000,126.55000,127.31000,0,0
04/23/1999,16:59:00,127.37000,127.82000,126.41000,126.44000,0,0
04/26/1999,16:59:00,126.57000,127.10000,125.78000,126.63000,0,0
04/27/1999,16:59:00,126.68000,128.57000,126.29000,128.12000,0,0
04/28/1999,16:59:00,128.17000,128.33000,126.23000,126.63000,0,0
04/29/1999,16:59:00,126.59000,127.49000,125.90000,126.58000,0,0
04/30/1999,16:59:00,126.61000,127.12000,126.01000,126.28000,0,0
05/03/1999,16:59:00,126.27000,127.37000,126.17000,127.05000,0,0
05/04/1999,16:59:00,127.08000,128.53000,127.07000,128.46000,0,0
05/05/1999,16:59:00,128.48000,129.93000,128.27000,129.42000,0,0
05/06/1999,16:59:00,129.43000,130.78000,128.85000,130.00000,0,0
05/07/1999,16:59:00,130.03000,130.51000,129.43000,129.91000,0,0
05/10/1999,16:59:00,129.66000,130.75000,129.28000,130.05000,0,0
05/11/1999,16:59:00,130.03000,130.74000,129.46000,129.64000,0,0
05/12/1999,16:59:00,129.63000,129.83000,128.59000,128.83000,0,0
05/13/1999,16:59:00,128.89000,130.07000,128.83000,129.70000,0,0
05/14/1999,16:59:00,129.71000,131.04000,129.47000,130.93000,0,0
05/17/1999,16:59:00,130.81000,131.99000,130.81000,131.66000,0,0
05/18/1999,16:59:00,131.70000,132.06000,131.12000,131.80000,0,0
05/19/1999,16:59:00,131.80000,133.12000,131.31000,133.07000,0,0
05/20/1999,16:59:00,133.00000,133.30000,131.75000,132.04000,0,0
05/21/1999,16:59:00,132.02000,133.06000,130.22000,131.22000,0,0
05/24/1999,16:59:00,131.07000,132.04000,130.20000,130.61000,0,0
05/25/1999,16:59:00,130.62000,131.02000,129.64000,129.86000,0,0
05/26/1999,16:59:00,129.91000,130.08000,127.42000,127.85000,0,0
05/27/1999,16:59:00,127.81000,128.40000,124.96000,125.58000,0,0
05/28/1999,16:59:00,125.59000,127.09000,125.44000,126.72000,0,0
05/31/1999,16:59:00,126.02000,127.65000,126.02000,126.71000,0,0
06/01/1999,16:59:00,126.83000,127.17000,125.84000,126.10000,0,0
06/02/1999,16:59:00,126.09000,126.27000,124.70000,125.99000,0,0
06/03/1999,16:59:00,125.95000,127.05000,125.26000,125.62000,0,0
06/04/1999,16:59:00,125.58000,127.04000,124.96000,126.80000,0,0
06/07/1999,16:59:00,126.90000,126.91000,123.95000,124.17000,0,0
06/08/1999,16:59:00,124.16000,126.50000,124.07000,124.71000,0,0
06/09/1999,16:59:00,124.79000,125.20000,123.78000,124.94000,0,0
06/10/1999,16:59:00,125.06000,125.84000,122.88000,124.59000,0,0
06/11/1999,16:59:00,124.60000,125.18000,123.65000,124.01000,0,0
06/14/1999,16:59:00,124.06000,126.94000,123.82000,125.66000,0,0
06/15/1999,16:59:00,125.64000,126.58000,124.85000,125.70000,0,0
06/16/1999,16:59:00,125.67000,125.91000,123.51000,124.08000,0,0
06/17/1999,16:59:00,124.14000,124.97000,122.98000,123.65000,0,0
06/18/1999,16:59:00,123.69000,125.86000,122.54000,125.33000,0,0
06/21/1999,16:59:00,125.42000,127.37000,125.23000,126.38000,0,0
06/22/1999,16:59:00,126.37000,126.69000,125.23000,125.87000,0,0
06/23/1999,16:59:00,125.88000,126.58000,125.38000,125.85000,0,0
06/24/1999,16:59:00,125.84000,127.06000,125.18000,126.95000,0,0
06/25/1999,16:59:00,126.97000,127.43000,125.82000,126.62000,0,0
06/28/1999,16:59:00,126.71000,126.94000,125.36000,125.57000,0,0
06/29/1999,16:59:00,125.58000,126.03000,124.71000,124.87000,0,0
06/30/1999,16:59:00,124.94000,125.55000,124.43000,125.33000,0,0
07/01/1999,16:59:00,125.24000,126.03000,123.49000,123.92000,0,0
07/02/1999,16:59:00,123.91000,124.47000,123.52000,123.91000,0,0
07/05/1999,16:59:00,123.81000,126.02000,123.63000,125.15000,0,0
07/06/1999,16:59:00,125.16000,125.25000,124.21000,125.20000,0,0
07/07/1999,16:59:00,125.21000,125.48000,124.38000,124.65000,0,0
07/08/1999,16:59:00,124.99000,125.56000,124.43000,125.29000,0,0
07/09/1999,16:59:00,125.31000,125.75000,124.34000,124.63000,0,0
07/12/1999,16:59:00,124.91000,125.19000,123.64000,123.96000,0,0
07/13/1999,16:59:00,123.90000,124.83000,123.23000,123.51000,0,0
07/14/1999,16:59:00,123.49000,123.69000,122.63000,123.20000,0,0
07/15/1999,16:59:00,123.21000,124.03000,122.75000,123.43000,0,0
07/16/1999,16:59:00,123.13000,123.93000,122.89000,123.39000,0,0
07/19/1999,16:59:00,123.31000,123.60000,121.13000,122.12000,0,0
07/20/1999,16:59:00,122.12000,124.51000,121.61000,124.03000,0,0
07/21/1999,16:59:00,124.05000,125.06000,123.59000,124.43000,0,0
07/22/1999,16:59:00,124.41000,125.07000,122.43000,122.90000,0,0
07/23/1999,16:59:00,122.93000,123.43000,121.75000,122.35000,0,0
07/26/1999,16:59:00,122.94000,124.58000,122.47000,124.43000,0,0
07/27/1999,16:59:00,124.41000,124.98000,123.31000,123.85000,0,0
07/28/1999,16:59:00,123.73000,124.04000,122.66000,123.73000,0,0
07/29/1999,16:59:00,123.71000,124.00000,122.88000,123.65000,0,0
07/30/1999,16:59:00,123.62000,124.11000,122.42000,122.70000,0,0
08/02/1999,16:59:00,122.59000,123.35000,121.42000,122.28000,0,0
08/03/1999,16:59:00,122.33000,123.68000,122.14000,123.08000,0,0
08/04/1999,16:59:00,123.04000,124.47000,122.55000,123.33000,0,0
08/05/1999,16:59:00,123.32000,124.04000,122.75000,123.17000,0,0
08/06/1999,16:59:00,123.15000,123.82000,122.62000,123.24000,0,0
08/09/1999,16:59:00,123.69000,123.80000,122.45000,123.41000,0,0
08/10/1999,16:59:00,123.40000,123.76000,122.81000,122.95000,0,0
08/11/1999,16:59:00,122.91000,123.23000,122.51000,123.06000,0,0
08/12/1999,16:59:00,123.10000,124.15000,122.95000,123.05000,0,0
08/13/1999,16:59:00,123.04000,123.14000,122.10000,122.14000,0,0
08/16/1999,16:59:00,122.56000,122.58000,120.87000,121.04000,0,0
08/17/1999,16:59:00,121.15000,121.73000,119.64000,119.76000,0,0
08/18/1999,16:59:00,119.82000,120.15000,117.66000,117.88000,0,0
08/19/1999,16:59:00,117.94000,118.87000,116.59000,118.80000,0,0
08/20/1999,16:59:00,118.71000,119.58000,118.13000,118.71000,0,0
08/23/1999,16:59:00,118.35000,118.87000,116.90000,117.01000,0,0
08/24/1999,16:59:00,116.95000,118.27000,116.18000,116.63000,0,0
08/25/1999,16:59:00,116.62000,117.87000,115.55000,115.90000,0,0
08/26/1999,16:59:00,115.90000,117.00000,115.52000,116.98000,0,0
08/27/1999,16:59:00,116.96000,117.22000,115.97000,116.71000,0,0
08/30/1999,16:59:00,116.64000,117.27000,115.63000,116.15000,0,0
08/31/1999,16:59:00,116.17000,116.83000,114.80000,115.88000,0,0
09/01/1999,16:59:00,115.92000,116.79000,115.11000,115.38000,0,0
09/02/1999,16:59:00,115.42000,117.23000,115.00000,116.74000,0,0
09/03/1999,16:59:00,116.72000,117.87000,116.44000,116.82000,0,0
09/06/1999,16:59:00,116.81000,116.94000,115.68000,115.89000,0,0
09/07/1999,16:59:00,115.90000,117.85000,115.65000,117.28000,0,0
09/08/1999,16:59:00,117.27000,118.52000,117.10000,117.62000,0,0
09/09/1999,16:59:00,117.44000,117.79000,113.35000,113.60000,0,0
09/10/1999,16:59:00,113.64000,115.79000,112.66000,112.86000,0,0
09/13/1999,16:59:00,113.34000,113.34000,109.72000,111.08000,0,0
09/14/1999,16:59:00,111.10000,111.61000,108.94000,109.64000,0,0
09/15/1999,16:59:00,109.55000,109.90000,106.90000,108.99000,0,0
09/16/1999,16:59:00,108.98000,110.07000,107.67000,109.08000,0,0
09/17/1999,16:59:00,109.22000,111.75000,108.85000,111.05000,0,0
09/20/1999,16:59:00,112.46000,112.87000,109.66000,110.26000,0,0
09/21/1999,16:59:00,110.25000,111.71000,107.99000,110.00000,0,0
09/22/1999,16:59:00,109.98000,110.96000,108.38000,108.70000,0,0
09/23/1999,16:59:00,108.71000,109.43000,108.10000,108.63000,0,0
09/24/1999,16:59:00,109.23000,110.52000,108.56000,108.65000,0,0
09/27/1999,16:59:00,109.58000,111.43000,108.64000,111.08000,0,0
09/28/1999,16:59:00,111.10000,112.19000,110.32000,111.81000,0,0
09/29/1999,16:59:00,111.80000,114.07000,110.99000,113.95000,0,0
09/30/1999,16:59:00,113.99000,114.01000,112.17000,113.33000,0,0
10/01/1999,16:59:00,113.24000,113.90000,112.38000,112.86000,0,0
10/04/1999,16:59:00,112.83000,114.17000,111.86000,114.01000,0,0
10/05/1999,16:59:00,113.99000,114.68000,113.57000,114.14000,0,0
10/06/1999,16:59:00,114.12000,115.90000,113.83000,114.82000,0,0
