Date,Time,Open,High,Low,Close,Vol,OI
09/08/2008,16:59:00,9.45823,9.47528,9.42908,9.45023,0,0
09/09/2008,16:59:00,9.44973,9.52825,9.44833,9.52648,0,0
09/10/2008,16:59:00,9.52778,9.53358,9.49318,9.50238,0,0
09/11/2008,16:59:00,9.50218,9.54733,9.49458,9.52398,0,0
09/12/2008,16:59:00,9.52473,9.53370,9.50958,9.52288,0,0
09/15/2008,16:59:00,9.52869,9.62668,9.51753,9.62218,0,0
09/16/2008,16:59:00,9.62448,9.67065,9.60370,9.61444,0,0
09/17/2008,16:59:00,9.62523,9.64715,9.57388,9.61878,0,0
09/18/2008,16:59:00,9.62108,9.64813,9.58054,9.58848,0,0
09/19/2008,16:59:00,9.58048,9.59403,9.51358,9.55569,0,0
09/22/2008,16:59:00,9.55123,9.60219,9.51468,9.59452,0,0
09/23/2008,16:59:00,9.59473,9.64242,9.55698,9.62666,0,0
09/24/2008,16:59:00,9.61914,9.67928,9.59002,9.66998,0,0
09/25/2008,16:59:00,9.66543,9.68738,9.63680,9.64396,0,0
09/26/2008,16:59:00,9.64093,9.70023,9.63643,9.68393,0,0
09/29/2008,16:59:00,9.67842,9.79373,9.67652,9.78898,0,0
09/30/2008,16:59:00,9.78927,9.81194,9.74148,9.74523,0,0
10/01/2008,16:59:00,9.74423,9.76568,9.70328,9.74228,0,0
10/02/2008,16:59:00,9.74523,9.76638,9.68548,9.70213,0,0
10/03/2008,16:59:00,9.71333,9.72298,9.68888,9.71973,0,0
10/06/2008,16:59:00,9.71853,9.79155,9.71673,9.72528,0,0
10/07/2008,16:59:00,9.72853,9.74687,9.61456,9.69558,0,0
10/08/2008,16:59:00,9.69363,9.74752,9.65598,9.67894,0,0
10/09/2008,16:59:00,9.68033,9.69653,9.63698,9.68563,0,0
10/10/2008,16:59:00,9.68293,9.74158,9.59958,9.66128,0,0
10/13/2008,16:59:00,9.64110,9.72190,9.60560,9.69785,0,0
10/14/2008,16:59:00,9.68875,9.80445,9.65930,9.79980,0,0
10/15/2008,16:59:00,9.79755,9.99860,9.77910,9.99540,0,0
10/16/2008,16:59:00,10.13755,10.18070,9.90930,10.00165,0,0
10/17/2008,16:59:00,10.00330,10.10020,9.92530,9.95145,0,0
10/20/2008,16:59:00,9.92825,9.98870,9.82410,9.94800,0,0
10/21/2008,16:59:00,9.94125,10.16260,9.90965,10.15296,0,0
10/22/2008,16:59:00,10.15300,10.15479,10.01645,10.07670,0,0
10/23/2008,16:59:00,10.01150,10.12370,9.89085,9.89880,0,0
10/24/2008,16:59:00,9.92150,10.08070,9.90235,9.98320,0,0
10/27/2008,16:59:00,9.99130,10.10950,9.97180,9.99760,0,0
10/28/2008,16:59:00,10.00255,10.06629,9.92000,9.92825,0,0
10/29/2008,16:59:00,9.92450,9.93790,9.80629,9.84965,0,0
10/30/2008,16:59:00,9.85185,9.92910,9.75010,9.80825,0,0
10/31/2008,16:59:00,9.80570,9.94340,9.80550,9.87846,0,0
11/03/2008,16:59:00,9.85953,9.87367,9.81330,9.84653,0,0
11/04/2008,16:59:00,9.84153,9.92265,9.83240,9.88127,0,0
11/05/2008,16:59:00,9.88125,10.07947,9.87500,10.07700,0,0
11/06/2008,16:59:00,10.07521,10.10180,9.92450,10.06297,0,0
11/07/2008,16:59:00,10.06396,10.08740,9.98430,10.01530,0,0
11/10/2008,16:59:00,10.04600,10.06703,9.95040,10.00300,0,0
11/11/2008,16:59:00,10.00325,10.12265,9.95030,10.10830,0,0
11/12/2008,16:59:00,10.10810,10.16725,10.04200,10.10487,0,0
11/13/2008,16:59:00,10.10237,10.16590,9.99560,10.00854,0,0
11/14/2008,16:59:00,10.00850,10.04220,9.95300,10.03400,0,0
11/17/2008,16:59:00,10.06420,10.13970,9.98220,10.13720,0,0
11/18/2008,16:59:00,10.13820,10.20500,10.10570,10.13086,0,0
11/19/2008,16:59:00,10.13107,10.25110,10.12410,10.24000,0,0
11/20/2008,16:59:00,10.23990,10.38110,10.20668,10.37410,0,0
11/21/2008,16:59:00,10.37390,10.61085,10.25060,10.52560,0,0
11/24/2008,16:59:00,10.52060,10.53930,10.24042,10.26965,0,0
11/25/2008,16:59:00,10.29400,10.37580,10.20140,10.29940,0,0
11/26/2008,16:59:00,10.30050,10.37510,10.25040,10.32920,0,0
11/27/2008,16:59:00,10.32800,10.34166,10.23210,10.27690,0,0
11/28/2008,16:59:00,10.25440,10.34531,10.24870,10.27689,0,0
12/01/2008,16:59:00,10.30300,10.52840,10.25000,10.49072,0,0
12/02/2008,16:59:00,10.48466,10.56960,10.35280,10.42897,0,0
12/03/2008,16:59:00,10.42696,10.51330,10.36270,10.41438,0,0
12/04/2008,16:59:00,10.41438,10.62003,10.40325,10.55268,0,0
12/05/2008,16:59:00,10.55243,10.77350,10.53272,10.57730,0,0
12/08/2008,16:59:00,10.59310,10.62116,10.35800,10.42162,0,0
12/09/2008,16:59:00,10.42637,10.60450,10.38880,10.57969,0,0
12/10/2008,16:59:00,10.58550,10.64660,10.51440,10.61066,0,0
12/11/2008,16:59:00,10.58580,10.62361,10.54940,10.58775,0,0
12/12/2008,16:59:00,10.59190,10.81540,10.58400,10.72970,0,0
12/15/2008,16:59:00,10.69360,11.01543,10.67450,10.98743,0,0
12/16/2008,16:59:00,10.98918,11.25130,10.89369,11.13426,0,0
12/17/2008,16:59:00,11.13193,11.16490,10.91320,10.96580,0,0
12/18/2008,16:59:00,10.96630,11.19430,10.86040,11.00030,0,0
12/19/2008,16:59:00,11.00020,11.01608,10.79204,10.82270,0,0
12/22/2008,16:59:00,10.81230,11.03198,10.80700,11.01545,0,0
12/23/2008,16:59:00,11.01545,11.25950,10.93190,11.15000,0,0
12/24/2008,16:59:00,11.16500,11.38950,11.11060,11.14020,0,0
12/26/2008,16:59:00,11.15440,11.32010,11.15440,11.20140,0,0
12/29/2008,16:59:00,11.07860,11.12370,10.96150,10.98390,0,0
12/30/2008,16:59:00,10.98880,11.00325,10.89550,10.90890,0,0
12/31/2008,16:59:00,10.90279,10.97920,10.81990,10.92690,0,0
01/02/2009,16:59:00,10.87770,10.89700,10.70340,10.70710,0,0
01/05/2009,16:59:00,10.71450,10.79550,10.64370,10.70875,0,0
01/06/2009,16:59:00,10.71175,10.74192,10.53450,10.60913,0,0
01/07/2009,16:59:00,10.60428,10.68538,10.56450,10.68538,0,0
01/08/2009,16:59:00,10.68266,10.79440,10.64490,10.65350,0,0
01/09/2009,16:59:00,10.65050,10.75640,10.63880,10.67130,0,0
01/12/2009,16:59:00,10.65710,10.83025,10.65710,10.75050,0,0
01/13/2009,16:59:00,10.75050,10.95480,10.73870,10.92450,0,0
01/14/2009,16:59:00,10.92825,11.11080,10.82900,11.04150,0,0
01/15/2009,16:59:00,11.05692,11.18640,10.82593,10.82593,0,0
01/16/2009,16:59:00,10.82843,10.92005,10.72177,10.80750,0,0
01/19/2009,16:59:00,10.83383,10.89460,10.68970,10.86210,0,0
01/20/2009,16:59:00,10.86614,10.96010,10.83800,10.87520,0,0
01/21/2009,16:59:00,10.88520,10.89010,10.63580,10.65472,0,0
01/22/2009,16:59:00,10.65150,10.75330,10.54060,10.71790,0,0
01/23/2009,16:59:00,10.71810,10.76750,10.58050,10.60580,0,0
01/26/2009,16:59:00,10.61130,10.63690,10.48566,10.54908,0,0
01/27/2009,16:59:00,10.54213,10.67862,10.41190,10.63590,0,0
01/28/2009,16:59:00,10.63800,10.64560,10.52240,10.54985,0,0
01/29/2009,16:59:00,10.54800,10.61950,10.51150,10.58810,0,0
01/30/2009,16:59:00,10.59296,10.72430,10.58340,10.69650,0,0
02/02/2009,16:59:00,10.64770,10.76430,10.62940,10.73225,0,0
02/03/2009,16:59:00,10.73365,10.79420,10.65730,10.69850,0,0
02/04/2009,16:59:00,10.69710,10.73590,10.62320,10.66150,0,0
02/05/2009,16:59:00,10.66150,10.68160,10.55988,10.61366,0,0
02/06/2009,16:59:00,10.59823,10.59823,10.47073,10.47333,0,0
02/09/2009,16:59:00,10.47330,10.54030,10.42261,10.46100,0,0
02/10/2009,16:59:00,10.46130,10.66110,10.44560,10.64550,0,0
02/11/2009,16:59:00,10.64675,10.85360,10.63150,10.75550,0,0
02/12/2009,16:59:00,10.75678,10.84750,10.74381,10.77096,0,0
02/13/2009,16:59:00,10.77350,10.82570,10.74000,10.79430,0,0
02/16/2009,16:59:00,10.78315,10.96595,10.78150,10.93250,0,0
02/17/2009,16:59:00,10.92758,11.13890,10.92580,11.13525,0,0
02/18/2009,16:59:00,11.13592,11.16950,10.95610,10.99350,0,0
02/19/2009,16:59:00,10.99350,11.08500,10.85710,11.04970,0,0
02/20/2009,16:59:00,11.04591,11.21250,11.01058,11.20638,0,0
02/23/2009,16:59:00,11.20945,11.27070,11.09558,11.25670,0,0
02/24/2009,16:59:00,11.25565,11.44050,11.21940,11.30996,0,0
02/25/2009,16:59:00,11.30500,11.39780,11.23272,11.39330,0,0
02/26/2009,16:59:00,11.39160,11.46046,11.27500,11.44922,0,0
02/27/2009,16:59:00,11.44800,11.49500,11.37520,11.41746,0,0
03/02/2009,16:59:00,11.45575,11.61500,11.41500,11.61190,0,0
03/03/2009,16:59:00,11.61150,11.64725,11.45962,11.61629,0,0
03/04/2009,16:59:00,11.61630,11.62120,11.40447,11.40489,0,0
03/05/2009,16:59:00,11.40743,11.69051,11.38820,11.67978,0,0
03/06/2009,16:59:00,11.67590,11.78770,11.60434,11.63384,0,0
03/09/2009,16:59:00,11.64190,11.65496,11.48090,11.60503,0,0
03/10/2009,16:59:00,11.60503,11.62004,11.24795,11.26175,0,0
03/11/2009,16:59:00,11.25783,11.30490,11.19424,11.22050,0,0
03/12/2009,16:59:00,11.21850,11.32000,11.10260,11.11270,0,0
03/13/2009,16:59:00,11.10663,11.16000,11.02377,11.16000,0,0
03/16/2009,16:59:00,11.11000,11.17990,10.96450,11.06585,0,0
03/17/2009,16:59:00,11.06723,11.07850,10.95970,10.97950,0,0
03/18/2009,16:59:00,10.97950,11.00110,10.85375,10.87215,0,0
03/19/2009,16:59:00,10.87170,10.95700,10.84104,10.88554,0,0
03/20/2009,16:59:00,10.87640,11.14700,10.87180,11.08070,0,0
03/23/2009,16:59:00,11.05475,11.07720,10.85480,10.86420,0,0
03/24/2009,16:59:00,10.86645,10.97750,10.82940,10.94200,0,0
03/25/2009,16:59:00,10.94100,11.01580,10.88170,10.97875,0,0
03/26/2009,16:59:00,10.97185,10.98200,10.84524,10.84950,0,0
03/27/2009,16:59:00,10.84950,10.92500,10.76450,10.88470,0,0
03/30/2009,16:59:00,10.91370,11.01190,10.89130,10.96750,0,0
03/31/2009,16:59:00,10.96750,11.00520,10.90170,10.92400,0,0
04/01/2009,16:59:00,10.92410,10.97210,10.82790,10.83210,0,0
04/02/2009,16:59:00,10.82420,10.87913,10.77900,10.79685,0,0
04/03/2009,16:59:00,10.79960,10.85891,10.71095,10.72405,0,0
04/06/2009,16:59:00,10.72540,10.77604,10.65790,10.76540,0,0
04/07/2009,16:59:00,10.76850,10.91240,10.76034,10.85846,0,0
04/08/2009,16:59:00,10.85570,10.98255,10.84865,10.94730,0,0
04/09/2009,16:59:00,10.94665,10.98270,10.83480,10.87992,0,0
04/10/2009,16:59:00,10.87992,11.01850,10.86250,11.01850,0,0
04/13/2009,16:59:00,10.86470,10.92150,10.85504,10.91165,0,0
04/14/2009,16:59:00,10.91150,10.93121,10.80580,10.83815,0,0
04/15/2009,16:59:00,10.83958,10.96440,10.82160,10.91100,0,0
04/16/2009,16:59:00,10.90880,10.98775,10.87100,10.93750,0,0
04/17/2009,16:59:00,10.94715,11.07480,10.92750,11.01850,0,0
04/20/2009,16:59:00,11.02390,11.23820,11.01204,11.23230,0,0
04/21/2009,16:59:00,11.23125,11.28870,11.05000,11.05340,0,0
04/22/2009,16:59:00,11.05255,11.08045,10.91490,10.96000,0,0
04/23/2009,16:59:00,10.95754,11.02580,10.85950,10.86550,0,0
04/24/2009,16:59:00,10.86410,10.88729,10.72450,10.74350,0,0
04/27/2009,16:59:00,10.73355,10.81440,10.64725,10.65050,0,0
04/28/2009,16:59:00,10.65025,10.75750,10.62535,10.71475,0,0
04/29/2009,16:59:00,10.71750,10.77589,10.65533,10.68900,0,0
04/30/2009,16:59:00,10.68900,10.73370,10.58675,10.64215,0,0
05/01/2009,16:59:00,10.64215,10.70600,10.61104,10.66246,0,0
05/04/2009,16:59:00,10.65860,10.69505,10.55150,10.58210,0,0
05/05/2009,16:59:00,10.58633,10.63740,10.55629,10.59250,0,0
05/06/2009,16:59:00,10.58950,10.66460,10.52050,10.53130,0,0
05/07/2009,16:59:00,10.53225,10.57010,10.42750,10.55640,0,0
05/08/2009,16:59:00,10.56150,10.57004,10.41800,10.42470,0,0
05/11/2009,16:59:00,10.42275,10.63340,10.42260,10.62250,0,0
05/12/2009,16:59:00,10.62020,10.67380,10.58180,10.62500,0,0
05/13/2009,16:59:00,10.62225,10.78404,10.56656,10.75915,0,0
05/14/2009,16:59:00,10.75960,10.81350,10.66937,10.72309,0,0
05/15/2009,16:59:00,10.70466,10.73578,10.60079,10.67950,0,0
05/18/2009,16:59:00,10.67506,10.70730,10.44390,10.44750,0,0
05/19/2009,16:59:00,10.44750,10.50960,10.37174,10.44504,0,0
05/20/2009,16:59:00,10.44625,10.50726,10.38590,10.46800,0,0
05/21/2009,16:59:00,10.47024,10.53140,10.41840,10.44000,0,0
05/22/2009,16:59:00,10.44493,10.50220,10.39800,10.42724,0,0
05/25/2009,16:59:00,10.42740,10.49900,10.42005,10.48119,0,0
05/26/2009,16:59:00,10.47896,10.61276,10.47400,10.55995,0,0
05/27/2009,16:59:00,10.55993,10.70630,10.52440,10.69000,0,0
05/28/2009,16:59:00,10.68925,10.84419,10.67020,10.70975,0,0
05/29/2009,16:59:00,10.71600,10.77600,10.64770,10.67780,0,0
06/01/2009,16:59:00,10.68250,10.71496,10.46270,10.48750,0,0
06/02/2009,16:59:00,10.48490,10.73646,10.47920,10.71620,0,0
06/03/2009,16:59:00,10.72614,10.92350,10.66540,10.89950,0,0
06/04/2009,16:59:00,10.90030,10.98500,10.77400,10.81965,0,0
06/05/2009,16:59:00,10.81750,10.96789,10.81516,10.90300,0,0
06/08/2009,16:59:00,10.89480,10.96718,10.82800,10.90985,0,0
