Date,Time,Open,High,Low,Close,Vol,OI
01/06/1998,16:59:00,1.08000,1.08750,1.07950,1.08000,0,0
01/07/1998,16:59:00,1.08420,1.08650,1.07780,1.08420,0,0
01/08/1998,16:59:00,1.08440,1.08800,1.07920,1.08440,0,0
01/09/1998,16:59:00,1.08290,1.09260,1.08230,1.08290,0,0
01/12/1998,16:59:00,1.08350,1.09000,1.08080,1.08350,0,0
01/13/1998,16:59:00,1.08580,1.09000,1.08300,1.08580,0,0
01/14/1998,16:59:00,1.08480,1.08590,1.08120,1.08480,0,0
01/15/1998,16:59:00,1.07890,1.08720,1.07850,1.07890,0,0
01/16/1998,16:59:00,1.07880,1.08380,1.07870,1.07880,0,0
01/19/1998,16:59:00,1.07720,1.08120,1.07390,1.07720,0,0
01/20/1998,16:59:00,1.07500,1.07790,1.07330,1.07500,0,0
01/21/1998,16:59:00,1.08490,1.08520,1.07550,1.08490,0,0
01/22/1998,16:59:00,1.09210,1.09620,1.08490,1.09210,0,0
01/23/1998,16:59:00,1.10880,1.11050,1.09190,1.10880,0,0
01/26/1998,16:59:00,1.09830,1.12030,1.09190,1.09830,0,0
01/27/1998,16:59:00,1.10160,1.10420,1.09720,1.10160,0,0
01/28/1998,16:59:00,1.08740,1.10270,1.08740,1.08740,0,0
01/29/1998,16:59:00,1.08000,1.09220,1.07900,1.08000,0,0
01/30/1998,16:59:00,1.07830,1.08510,1.07710,1.07830,0,0
02/02/1998,16:59:00,1.08450,1.08510,1.07440,1.08450,0,0
02/03/1998,16:59:00,1.08850,1.08960,1.08190,1.08850,0,0
02/04/1998,16:59:00,1.09430,1.09620,1.08500,1.09430,0,0
02/05/1998,16:59:00,1.10270,1.10390,1.09360,1.10270,0,0
02/06/1998,16:59:00,1.08950,1.10300,1.08850,1.08950,0,0
02/09/1998,16:59:00,1.08500,1.09050,1.08350,1.08500,0,0
02/10/1998,16:59:00,1.09050,1.09050,1.08450,1.09050,0,0
02/11/1998,16:59:00,1.08500,1.09060,1.08230,1.08500,0,0
02/12/1998,16:59:00,1.09140,1.09250,1.08480,1.09140,0,0
02/13/1998,16:59:00,1.08620,1.09160,1.08190,1.08620,0,0
02/16/1998,16:59:00,1.08770,1.08800,1.08370,1.08770,0,0
02/17/1998,16:59:00,1.08240,1.08890,1.08200,1.08240,0,0
02/18/1998,16:59:00,1.08540,1.08720,1.08180,1.08540,0,0
02/19/1998,16:59:00,1.08820,1.08920,1.08370,1.08820,0,0
02/20/1998,16:59:00,1.08570,1.08880,1.08400,1.08570,0,0
02/23/1998,16:59:00,1.09990,1.10250,1.08350,1.09990,0,0
02/24/1998,16:59:00,1.09960,1.10000,1.09590,1.09960,0,0
02/25/1998,16:59:00,1.08770,1.09980,1.08740,1.08770,0,0
02/26/1998,16:59:00,1.08930,1.09210,1.08540,1.08930,0,0
02/27/1998,16:59:00,1.08790,1.09300,1.08790,1.08790,0,0
03/02/1998,16:59:00,1.09050,1.09720,1.08790,1.09050,0,0
03/03/1998,16:59:00,1.09280,1.09460,1.08830,1.09280,0,0
03/04/1998,16:59:00,1.08730,1.09340,1.08730,1.08730,0,0
