Date,Time,Open,High,Low,Close,Vol,OI
04/10/1998,16:59:00,2.53130,2.53690,2.52540,2.53310,0,0
04/13/1998,16:59:00,2.53350,2.53580,2.51610,2.51930,0,0
04/14/1998,16:59:00,2.51910,2.52530,2.50330,2.51620,0,0
04/15/1998,16:59:00,2.51540,2.52380,2.50190,2.51930,0,0
04/16/1998,16:59:00,2.52030,2.55010,2.51620,2.53940,0,0
04/17/1998,16:59:00,2.53900,2.54750,2.51590,2.52740,0,0
04/20/1998,16:59:00,2.52510,2.53100,2.50210,2.50860,0,0
04/21/1998,16:59:00,2.50830,2.51140,2.47570,2.47960,0,0
04/22/1998,16:59:00,2.47790,2.50080,2.47790,2.48710,0,0
04/23/1998,16:59:00,2.48770,2.48840,2.46070,2.48210,0,0
04/24/1998,16:59:00,2.48240,2.49680,2.47240,2.48540,0,0
04/27/1998,16:59:00,2.48710,2.49890,2.47740,2.48890,0,0
04/28/1998,16:59:00,2.48850,2.49780,2.47930,2.48890,0,0
04/29/1998,16:59:00,2.48860,2.51140,2.48490,2.50470,0,0
04/30/1998,16:59:00,2.50350,2.51460,2.49190,2.50810,0,0
05/01/1998,16:59:00,2.50940,2.51170,2.47660,2.48400,0,0
05/04/1998,16:59:00,2.47810,2.49230,2.47810,2.48340,0,0
05/05/1998,16:59:00,2.48380,2.48670,2.45400,2.46070,0,0
05/06/1998,16:59:00,2.45970,2.46770,2.44290,2.44560,0,0
05/07/1998,16:59:00,2.44650,2.45330,2.41570,2.42890,0,0
05/08/1998,16:59:00,2.42840,2.43240,2.40710,2.42680,0,0
05/11/1998,16:59:00,2.42130,2.43590,2.40970,2.42040,0,0
05/12/1998,16:59:00,2.41980,2.43140,2.41130,2.41740,0,0
05/13/1998,16:59:00,2.41840,2.43000,2.40910,2.41910,0,0
05/14/1998,16:59:00,2.41830,2.42210,2.39130,2.41420,0,0
05/15/1998,16:59:00,2.41370,2.42380,2.40670,2.41560,0,0
05/18/1998,16:59:00,2.42020,2.42260,2.40240,2.41300,0,0
05/19/1998,16:59:00,2.41230,2.41980,2.39580,2.39680,0,0
05/20/1998,16:59:00,2.39700,2.41660,2.39230,2.41130,0,0
05/21/1998,16:59:00,2.40860,2.41390,2.38380,2.38730,0,0
05/22/1998,16:59:00,2.38880,2.39960,2.38140,2.38600,0,0
05/25/1998,16:59:00,2.39050,2.39950,2.38220,2.39750,0,0
05/26/1998,16:59:00,2.39780,2.41190,2.39560,2.40640,0,0
05/27/1998,16:59:00,2.40650,2.41620,2.38550,2.40650,0,0
05/28/1998,16:59:00,2.40480,2.41110,2.39100,2.40260,0,0
05/29/1998,16:59:00,2.40110,2.42710,2.39530,2.41450,0,0
06/01/1998,16:59:00,2.42140,2.42610,2.40790,2.41870,0,0
06/02/1998,16:59:00,2.42350,2.43080,2.41510,2.42700,0,0
06/03/1998,16:59:00,2.42650,2.42710,2.41120,2.41730,0,0
06/04/1998,16:59:00,2.41690,2.43080,2.38950,2.40650,0,0
06/05/1998,16:59:00,2.40610,2.41970,2.40270,2.41360,0,0
06/08/1998,16:59:00,2.41180,2.41930,2.40210,2.41610,0,0
06/09/1998,16:59:00,2.41530,2.42450,2.40610,2.41780,0,0
06/10/1998,16:59:00,2.41760,2.43020,2.40790,2.42060,0,0
06/11/1998,16:59:00,2.42010,2.43920,2.41540,2.43400,0,0
06/12/1998,16:59:00,2.43380,2.45040,2.42550,2.44580,0,0
06/15/1998,16:59:00,2.44810,2.47120,2.43940,2.46650,0,0
06/16/1998,16:59:00,2.46740,2.47990,2.45660,2.46940,0,0
06/17/1998,16:59:00,2.47270,2.48850,2.46210,2.48530,0,0
06/18/1998,16:59:00,2.48430,2.50790,2.46750,2.50180,0,0
06/19/1998,16:59:00,2.50300,2.51290,2.49320,2.50710,0,0
06/22/1998,16:59:00,2.49600,2.51180,2.48950,2.50610,0,0
06/23/1998,16:59:00,2.50640,2.51230,2.49420,2.50840,0,0
06/24/1998,16:59:00,2.50800,2.52140,2.50090,2.51700,0,0
06/25/1998,16:59:00,2.51680,2.54360,2.50420,2.53270,0,0
06/26/1998,16:59:00,2.52920,2.54490,2.51920,2.54160,0,0
06/29/1998,16:59:00,2.53250,2.54900,2.53200,2.54490,0,0
06/30/1998,16:59:00,2.54460,2.54540,2.52560,2.54060,0,0
07/01/1998,16:59:00,2.53640,2.54360,2.53060,2.53320,0,0
07/02/1998,16:59:00,2.53410,2.54590,2.52970,2.53800,0,0
07/03/1998,16:59:00,2.53880,2.54680,2.51650,2.52050,0,0
07/06/1998,16:59:00,2.51770,2.51810,2.49400,2.49530,0,0
07/07/1998,16:59:00,2.49510,2.50360,2.48760,2.50160,0,0
07/08/1998,16:59:00,2.50020,2.50570,2.49760,2.50310,0,0
07/09/1998,16:59:00,2.50250,2.52040,2.49850,2.51900,0,0
07/10/1998,16:59:00,2.51850,2.51980,2.50710,2.51280,0,0
07/13/1998,16:59:00,2.50910,2.51480,2.49040,2.49060,0,0
07/14/1998,16:59:00,2.48960,2.49380,2.47930,2.48370,0,0
07/15/1998,16:59:00,2.48380,2.49200,2.46510,2.46700,0,0
07/16/1998,16:59:00,2.46620,2.47230,2.45880,2.46670,0,0
07/17/1998,16:59:00,2.46610,2.47820,2.46250,2.47050,0,0
07/20/1998,16:59:00,2.47310,2.48390,2.46510,2.47920,0,0
07/21/1998,16:59:00,2.47890,2.49390,2.47820,2.48340,0,0
07/22/1998,16:59:00,2.48210,2.48860,2.47670,2.48600,0,0
07/23/1998,16:59:00,2.48720,2.49350,2.48000,2.48360,0,0
07/24/1998,16:59:00,2.48370,2.49020,2.47420,2.48410,0,0
07/27/1998,16:59:00,2.48450,2.49390,2.47480,2.49280,0,0
07/28/1998,16:59:00,2.49330,2.49390,2.45070,2.45490,0,0
07/29/1998,16:59:00,2.45550,2.45660,2.43610,2.44030,0,0
07/30/1998,16:59:00,2.43840,2.44600,2.42420,2.44110,0,0
07/31/1998,16:59:00,2.44130,2.44780,2.42800,2.43800,0,0
08/03/1998,16:59:00,2.43330,2.45050,2.43110,2.43860,0,0
08/04/1998,16:59:00,2.44100,2.45320,2.43480,2.44010,0,0
08/05/1998,16:59:00,2.44160,2.44550,2.43220,2.43580,0,0
08/06/1998,16:59:00,2.43630,2.44400,2.42610,2.43670,0,0
08/07/1998,16:59:00,2.43980,2.44600,2.42970,2.43750,0,0
08/10/1998,16:59:00,2.43640,2.45020,2.43240,2.44840,0,0
08/11/1998,16:59:00,2.44860,2.44860,2.42610,2.43160,0,0
08/12/1998,16:59:00,2.43400,2.43590,2.41050,2.42110,0,0
08/13/1998,16:59:00,2.42060,2.43920,2.41220,2.41680,0,0
08/14/1998,16:59:00,2.41410,2.44740,2.41370,2.44050,0,0
08/17/1998,16:59:00,2.43800,2.44050,2.42020,2.43170,0,0
08/18/1998,16:59:00,2.43190,2.44450,2.42510,2.43840,0,0
08/19/1998,16:59:00,2.44010,2.45330,2.43290,2.44450,0,0
08/20/1998,16:59:00,2.44480,2.45870,2.43930,2.45640,0,0
08/21/1998,16:59:00,2.45750,2.46220,2.44730,2.46030,0,0
08/24/1998,16:59:00,2.45690,2.46410,2.45300,2.46100,0,0
08/25/1998,16:59:00,2.46410,2.46900,2.45790,2.46560,0,0
08/26/1998,16:59:00,2.46430,2.47020,2.45570,2.46520,0,0
08/27/1998,16:59:00,2.46460,2.47730,2.44280,2.44280,0,0
08/28/1998,16:59:00,2.44950,2.45570,2.41520,2.42010,0,0
08/31/1998,16:59:00,2.42580,2.43170,2.39400,2.42940,0,0
09/01/1998,16:59:00,2.41020,2.42680,2.39980,2.40990,0,0
09/02/1998,16:59:00,2.40970,2.41880,2.40140,2.41140,0,0
09/03/1998,16:59:00,2.41090,2.41200,2.37280,2.37760,0,0
09/04/1998,16:59:00,2.37610,2.39360,2.37380,2.37980,0,0
09/07/1998,16:59:00,2.37800,2.37800,2.34410,2.34960,0,0
09/08/1998,16:59:00,2.34980,2.35530,2.33650,2.33880,0,0
09/09/1998,16:59:00,2.34610,2.37150,2.34000,2.34200,0,0
09/10/1998,16:59:00,2.34750,2.35170,2.32140,2.34510,0,0
09/11/1998,16:59:00,2.34330,2.34650,2.32300,2.32600,0,0
09/14/1998,16:59:00,2.32620,2.35820,2.32150,2.34710,0,0
09/15/1998,16:59:00,2.35000,2.35300,2.32910,2.33650,0,0
09/16/1998,16:59:00,2.34050,2.35100,2.33030,2.33850,0,0
09/17/1998,16:59:00,2.33840,2.34160,2.32660,2.33940,0,0
09/18/1998,16:59:00,2.34020,2.34680,2.32840,2.34680,0,0
09/21/1998,16:59:00,2.34320,2.34320,2.31820,2.33780,0,0
09/22/1998,16:59:00,2.33720,2.34820,2.33110,2.33450,0,0
09/23/1998,16:59:00,2.34320,2.35850,2.33520,2.34200,0,0
09/24/1998,16:59:00,2.34260,2.36190,2.33760,2.35160,0,0
09/25/1998,16:59:00,2.34820,2.35650,2.33520,2.35220,0,0
09/28/1998,16:59:00,2.35980,2.37770,2.34210,2.37690,0,0
09/29/1998,16:59:00,2.36970,2.38150,2.36500,2.37150,0,0
09/30/1998,16:59:00,2.36800,2.37430,2.33950,2.34290,0,0
10/01/1998,16:59:00,2.34300,2.34700,2.31410,2.31670,0,0
10/02/1998,16:59:00,2.31660,2.32330,2.29110,2.30720,0,0
10/05/1998,16:59:00,2.29720,2.29840,2.25670,2.26160,0,0
10/06/1998,16:59:00,2.26180,2.28340,2.25230,2.25300,0,0
10/07/1998,16:59:00,2.25380,2.26430,2.22420,2.22930,0,0
10/08/1998,16:59:00,2.23030,2.26050,2.19930,2.25750,0,0
10/09/1998,16:59:00,2.25870,2.27230,2.23010,2.25750,0,0
10/12/1998,16:59:00,2.25560,2.27270,2.24420,2.26670,0,0
10/13/1998,16:59:00,2.26800,2.27150,2.25150,2.25840,0,0
10/14/1998,16:59:00,2.25870,2.28170,2.25180,2.27540,0,0
10/15/1998,16:59:00,2.27520,2.27800,2.24450,2.24560,0,0
10/16/1998,16:59:00,2.24430,2.24720,2.22320,2.23840,0,0
10/19/1998,16:59:00,2.24110,2.26160,2.23610,2.25690,0,0
10/20/1998,16:59:00,2.25490,2.30540,2.24840,2.30000,0,0
10/21/1998,16:59:00,2.29560,2.31450,2.27780,2.29580,0,0
10/22/1998,16:59:00,2.29610,2.30350,2.26760,2.27110,0,0
10/23/1998,16:59:00,2.27200,2.27790,2.25680,2.25890,0,0
10/26/1998,16:59:00,2.26420,2.27830,2.25550,2.27030,0,0
10/27/1998,16:59:00,2.26840,2.26940,2.25270,2.25800,0,0
10/28/1998,16:59:00,2.25470,2.26210,2.23580,2.25670,0,0
10/29/1998,16:59:00,2.25640,2.26130,2.24290,2.26130,0,0
10/30/1998,16:59:00,2.26110,2.27440,2.25150,2.26500,0,0
11/02/1998,16:59:00,2.26590,2.26590,2.24240,2.24610,0,0
11/03/1998,16:59:00,2.24750,2.25750,2.23870,2.25280,0,0
11/04/1998,16:59:00,2.25240,2.27300,2.24630,2.26790,0,0
11/05/1998,16:59:00,2.26800,2.26980,2.24900,2.26800,0,0
11/06/1998,16:59:00,2.26820,2.29510,2.26820,2.28750,0,0
11/09/1998,16:59:00,2.28570,2.32470,2.28440,2.32270,0,0
11/10/1998,16:59:00,2.32130,2.32620,2.29990,2.30190,0,0
11/11/1998,16:59:00,2.30310,2.31430,2.29280,2.29940,0,0
11/12/1998,16:59:00,2.29790,2.31480,2.29470,2.30460,0,0
11/13/1998,16:59:00,2.30670,2.32150,2.30070,2.30920,0,0
11/16/1998,16:59:00,2.31300,2.31530,2.29570,2.30560,0,0
11/17/1998,16:59:00,2.30310,2.31020,2.29490,2.30400,0,0
11/18/1998,16:59:00,2.30280,2.30780,2.28880,2.30210,0,0
11/19/1998,16:59:00,2.30350,2.31590,2.29260,2.31050,0,0
11/20/1998,16:59:00,2.30580,2.31760,2.30000,2.30760,0,0
11/23/1998,16:59:00,2.30960,2.33610,2.30690,2.32720,0,0
11/24/1998,16:59:00,2.32800,2.34120,2.32340,2.33380,0,0
11/25/1998,16:59:00,2.33460,2.34440,2.32200,2.33880,0,0
11/26/1998,16:59:00,2.33920,2.34340,2.32980,2.33530,0,0
11/27/1998,16:59:00,2.33600,2.34060,2.32130,2.33260,0,0
11/30/1998,16:59:00,2.33280,2.33650,2.29530,2.29740,0,0
12/01/1998,16:59:00,2.29760,2.29870,2.27120,2.28610,0,0
12/02/1998,16:59:00,2.28600,2.28870,2.27120,2.28050,0,0
12/03/1998,16:59:00,2.28030,2.29280,2.26150,2.26620,0,0
12/04/1998,16:59:00,2.26670,2.28700,2.26240,2.27980,0,0
