Date,Time,Open,High,Low,Close,Vol,OI
01/02/1980,16:59:00,2.24270,2.24270,2.24270,2.24270,0,0
01/03/1980,16:59:00,2.24000,2.24000,2.24000,2.24000,0,0
01/04/1980,16:59:00,2.23700,2.23700,2.23700,2.23700,0,0
01/07/1980,16:59:00,2.26150,2.26150,2.26150,2.26150,0,0
01/08/1980,16:59:00,2.26200,2.26200,2.26200,2.26200,0,0
01/09/1980,16:59:00,2.26600,2.26600,2.26600,2.26600,0,0
01/10/1980,16:59:00,2.25800,2.25800,2.25800,2.25800,0,0
01/11/1980,16:59:00,2.25700,2.25700,2.25700,2.25700,0,0
01/14/1980,16:59:00,2.27550,2.27550,2.27550,2.27550,0,0
01/15/1980,16:59:00,2.27650,2.27650,2.27650,2.27650,0,0
01/16/1980,16:59:00,2.27100,2.27100,2.27100,2.27100,0,0
01/17/1980,16:59:00,2.27700,2.27700,2.27700,2.27700,0,0
01/18/1980,16:59:00,2.28550,2.28550,2.28550,2.28550,0,0
01/21/1980,16:59:00,2.28350,2.28350,2.28350,2.28350,0,0
01/22/1980,16:59:00,2.27500,2.27500,2.27500,2.27500,0,0
01/23/1980,16:59:00,2.27750,2.27750,2.27750,2.27750,0,0
01/24/1980,16:59:00,2.27780,2.27780,2.27780,2.27780,0,0
01/25/1980,16:59:00,2.26100,2.26100,2.26100,2.26100,0,0
01/28/1980,16:59:00,2.24750,2.24750,2.24750,2.24750,0,0
01/29/1980,16:59:00,2.24950,2.24950,2.24950,2.24950,0,0
01/30/1980,16:59:00,2.26200,2.26200,2.26200,2.26200,0,0
01/31/1980,16:59:00,2.26670,2.26670,2.26670,2.26670,0,0
02/01/1980,16:59:00,2.27400,2.27400,2.27400,2.27400,0,0
02/04/1980,16:59:00,2.28650,2.28650,2.28650,2.28650,0,0
02/05/1980,16:59:00,2.29050,2.29050,2.29050,2.29050,0,0
02/06/1980,16:59:00,2.31200,2.31200,2.31200,2.31200,0,0
02/07/1980,16:59:00,2.30150,2.30150,2.30150,2.30150,0,0
02/08/1980,16:59:00,2.29800,2.29800,2.29800,2.29800,0,0
02/11/1980,16:59:00,2.30470,2.30470,2.30470,2.30470,0,0
02/13/1980,16:59:00,2.30800,2.30800,2.30800,2.30800,0,0
02/14/1980,16:59:00,2.31310,2.31310,2.31310,2.31310,0,0
02/15/1980,16:59:00,2.29500,2.29500,2.29500,2.29500,0,0
02/19/1980,16:59:00,2.27200,2.27200,2.27200,2.27200,0,0
02/20/1980,16:59:00,2.27940,2.27940,2.27940,2.27940,0,0
02/21/1980,16:59:00,2.28650,2.28650,2.28650,2.28650,0,0
02/22/1980,16:59:00,2.27450,2.27450,2.27450,2.27450,0,0
02/25/1980,16:59:00,2.27600,2.27600,2.27600,2.27600,0,0
02/26/1980,16:59:00,2.27670,2.27670,2.27670,2.27670,0,0
02/27/1980,16:59:00,2.28700,2.28700,2.28700,2.28700,0,0
02/28/1980,16:59:00,2.28480,2.28480,2.28480,2.28480,0,0
02/29/1980,16:59:00,2.27300,2.27300,2.27300,2.27300,0,0
03/03/1980,16:59:00,2.24200,2.24200,2.24200,2.24200,0,0
03/04/1980,16:59:00,2.23500,2.23500,2.23500,2.23500,0,0
03/05/1980,16:59:00,2.24000,2.24000,2.24000,2.24000,0,0
03/06/1980,16:59:00,2.23350,2.23350,2.23350,2.23350,0,0
03/07/1980,16:59:00,2.22700,2.22700,2.22700,2.22700,0,0
03/10/1980,16:59:00,2.21680,2.21680,2.21680,2.21680,0,0
03/11/1980,16:59:00,2.22650,2.22650,2.22650,2.22650,0,0
03/12/1980,16:59:00,2.23350,2.23350,2.23350,2.23350,0,0
03/13/1980,16:59:00,2.22300,2.22300,2.22300,2.22300,0,0
03/14/1980,16:59:00,2.21300,2.21300,2.21300,2.21300,0,0
03/17/1980,16:59:00,2.18750,2.18750,2.18750,2.18750,0,0
03/18/1980,16:59:00,2.18600,2.18600,2.18600,2.18600,0,0
03/19/1980,16:59:00,2.19050,2.19050,2.19050,2.19050,0,0
03/20/1980,16:59:00,2.19400,2.19400,2.19400,2.19400,0,0
03/21/1980,16:59:00,2.18350,2.18350,2.18350,2.18350,0,0
03/24/1980,16:59:00,2.18600,2.18600,2.18600,2.18600,0,0
03/25/1980,16:59:00,2.18850,2.18850,2.18850,2.18850,0,0
03/26/1980,16:59:00,2.18550,2.18550,2.18550,2.18550,0,0
03/27/1980,16:59:00,2.17400,2.17400,2.17400,2.17400,0,0
03/28/1980,16:59:00,2.16900,2.16900,2.16900,2.16900,0,0
03/31/1980,16:59:00,2.16000,2.16000,2.16000,2.16000,0,0
04/01/1980,16:59:00,2.15150,2.15150,2.15150,2.15150,0,0
04/02/1980,16:59:00,2.15400,2.15400,2.15400,2.15400,0,0
04/03/1980,16:59:00,2.13900,2.13900,2.13900,2.13900,0,0
04/04/1980,16:59:00,2.13500,2.13500,2.13500,2.13500,0,0
04/07/1980,16:59:00,2.14000,2.14000,2.14000,2.14000,0,0
04/08/1980,16:59:00,2.17900,2.17900,2.17900,2.17900,0,0
04/09/1980,16:59:00,2.18600,2.18600,2.18600,2.18600,0,0
04/10/1980,16:59:00,2.19150,2.19150,2.19150,2.19150,0,0
04/11/1980,16:59:00,2.19500,2.19500,2.19500,2.19500,0,0
04/14/1980,16:59:00,2.20350,2.20350,2.20350,2.20350,0,0
04/15/1980,16:59:00,2.18750,2.18750,2.18750,2.18750,0,0
04/16/1980,16:59:00,2.21700,2.21700,2.21700,2.21700,0,0
04/17/1980,16:59:00,2.21500,2.21500,2.21500,2.21500,0,0
04/18/1980,16:59:00,2.21850,2.21850,2.21850,2.21850,0,0
04/21/1980,16:59:00,2.24200,2.24200,2.24200,2.24200,0,0
04/22/1980,16:59:00,2.23450,2.23450,2.23450,2.23450,0,0
04/23/1980,16:59:00,2.26900,2.26900,2.26900,2.26900,0,0
04/24/1980,16:59:00,2.26350,2.26350,2.26350,2.26350,0,0
04/25/1980,16:59:00,2.27350,2.27350,2.27350,2.27350,0,0
04/28/1980,16:59:00,2.28300,2.28300,2.28300,2.28300,0,0
04/29/1980,16:59:00,2.26950,2.26950,2.26950,2.26950,0,0
04/30/1980,16:59:00,2.25850,2.25850,2.25850,2.25850,0,0
05/01/1980,16:59:00,2.25900,2.25900,2.25900,2.25900,0,0
05/02/1980,16:59:00,2.25550,2.25550,2.25550,2.25550,0,0
05/05/1980,16:59:00,2.27800,2.27800,2.27800,2.27800,0,0
05/06/1980,16:59:00,2.27950,2.27950,2.27950,2.27950,0,0
05/07/1980,16:59:00,2.28150,2.28150,2.28150,2.28150,0,0
05/08/1980,16:59:00,2.28500,2.28500,2.28500,2.28500,0,0
05/09/1980,16:59:00,2.26700,2.26700,2.26700,2.26700,0,0
05/12/1980,16:59:00,2.28100,2.28100,2.28100,2.28100,0,0
05/13/1980,16:59:00,2.27900,2.27900,2.27900,2.27900,0,0
05/14/1980,16:59:00,2.29750,2.29750,2.29750,2.29750,0,0
05/15/1980,16:59:00,2.30050,2.30050,2.30050,2.30050,0,0
05/16/1980,16:59:00,2.28400,2.28400,2.28400,2.28400,0,0
05/19/1980,16:59:00,2.28350,2.28350,2.28350,2.28350,0,0
05/20/1980,16:59:00,2.29100,2.29100,2.29100,2.29100,0,0
05/21/1980,16:59:00,2.33050,2.33050,2.33050,2.33050,0,0
