Date,Time,Open,High,Low,Close,Vol,OI
06/04/1999,16:59:00,0.81370,0.82350,0.81270,0.81530,0,0
06/07/1999,16:59:00,0.81860,0.82760,0.81860,0.82060,0,0
06/08/1999,16:59:00,0.82010,0.82280,0.80220,0.80250,0,0
06/09/1999,16:59:00,0.80170,0.81390,0.80170,0.81010,0,0
06/10/1999,16:59:00,0.81060,0.81910,0.80660,0.81660,0,0
06/11/1999,16:59:00,0.82110,0.82430,0.81650,0.81820,0,0
06/14/1999,16:59:00,0.81820,0.82550,0.81730,0.82270,0,0
06/15/1999,16:59:00,0.81720,0.82140,0.81530,0.81570,0,0
06/16/1999,16:59:00,0.81580,0.82890,0.81580,0.82650,0,0
06/17/1999,16:59:00,0.82990,0.83070,0.82460,0.82410,0,0
06/18/1999,16:59:00,0.81970,0.82420,0.81560,0.81510,0,0
06/21/1999,16:59:00,0.81420,0.82260,0.81420,0.81590,0,0
06/22/1999,16:59:00,0.81660,0.82150,0.81500,0.82140,0,0
06/23/1999,16:59:00,0.82130,0.82850,0.82130,0.82570,0,0
06/24/1999,16:59:00,0.82580,0.83080,0.81730,0.82240,0,0
06/25/1999,16:59:00,0.82290,0.82370,0.81760,0.81900,0,0
06/28/1999,16:59:00,0.82000,0.82540,0.82000,0.82500,0,0
06/29/1999,16:59:00,0.82530,0.82530,0.81950,0.81970,0,0
06/30/1999,16:59:00,0.81910,0.83000,0.81910,0.82670,0,0
07/01/1999,16:59:00,0.82730,0.84120,0.82650,0.83470,0,0
07/02/1999,16:59:00,0.83470,0.83740,0.83340,0.83540,0,0
07/06/1999,16:59:00,0.83360,0.83640,0.82040,0.81970,0,0
07/07/1999,16:59:00,0.81790,0.83030,0.81790,0.82650,0,0
07/08/1999,16:59:00,0.82950,0.83070,0.82320,0.82450,0,0
07/09/1999,16:59:00,0.82470,0.83260,0.82470,0.83100,0,0
07/12/1999,16:59:00,0.82910,0.83380,0.82910,0.82930,0,0
07/13/1999,16:59:00,0.82850,0.83270,0.82280,0.82250,0,0
07/14/1999,16:59:00,0.82330,0.82660,0.81980,0.81970,0,0
07/15/1999,16:59:00,0.81940,0.82710,0.81820,0.82490,0,0
07/16/1999,16:59:00,0.82600,0.82710,0.82190,0.82390,0,0
07/19/1999,16:59:00,0.82490,0.83760,0.80850,0.81040,0,0
07/20/1999,16:59:00,0.81130,0.81630,0.80350,0.80260,0,0
07/21/1999,16:59:00,0.80270,0.80640,0.80270,0.80470,0,0
07/22/1999,16:59:00,0.80460,0.80630,0.80370,0.80630,0,0
07/23/1999,16:59:00,0.80970,0.81490,0.80960,0.81160,0,0
07/26/1999,16:59:00,0.80830,0.80830,0.79000,0.79270,0,0
07/27/1999,16:59:00,0.79290,0.79480,0.78490,0.79040,0,0
07/28/1999,16:59:00,0.78790,0.79000,0.78320,0.78510,0,0
07/29/1999,16:59:00,0.78660,0.78890,0.78130,0.78740,0,0
07/30/1999,16:59:00,0.78700,0.79510,0.78690,0.78940,0,0
08/02/1999,16:59:00,0.78980,0.79060,0.78410,0.78660,0,0
08/03/1999,16:59:00,0.78770,0.79970,0.78770,0.79770,0,0
08/04/1999,16:59:00,0.79710,0.80470,0.79300,0.79640,0,0
08/05/1999,16:59:00,0.79410,0.79670,0.78620,0.79070,0,0
08/06/1999,16:59:00,0.78980,0.79260,0.78620,0.78540,0,0
08/09/1999,16:59:00,0.78550,0.79230,0.78550,0.79080,0,0
08/10/1999,16:59:00,0.79000,0.79100,0.78430,0.78760,0,0
08/11/1999,16:59:00,0.79020,0.79540,0.78660,0.79400,0,0
08/12/1999,16:59:00,0.79710,0.80020,0.79450,0.79380,0,0
08/13/1999,16:59:00,0.79220,0.80980,0.79220,0.80260,0,0
