Date,Time,Open,High,Low,Close,Vol,OI
09/07/2006,16:59:00,75.66000,75.79000,74.69000,75.10000,0,0
09/08/2006,16:59:00,75.10000,75.26000,73.97000,74.51000,0,0
09/11/2006,16:59:00,74.51000,75.34000,74.05000,75.17000,0,0
09/12/2006,16:59:00,75.11000,75.83000,74.91000,75.59000,0,0
09/13/2006,16:59:00,75.56000,76.20000,75.30000,75.99000,0,0
09/14/2006,16:59:00,75.96000,78.14000,75.96000,77.80000,0,0
09/15/2006,16:59:00,77.76000,78.24000,77.07000,77.92000,0,0
09/18/2006,16:59:00,77.70000,78.63000,77.70000,78.28000,0,0
09/19/2006,16:59:00,78.30000,78.33000,77.41000,77.57000,0,0
09/20/2006,16:59:00,77.54000,77.89000,76.68000,77.63000,0,0
09/21/2006,16:59:00,77.63000,77.93000,76.79000,76.92000,0,0
09/22/2006,16:59:00,76.92000,77.16000,76.34000,77.10000,0,0
09/25/2006,16:59:00,76.98000,78.10000,76.95000,78.08000,0,0
09/26/2006,16:59:00,78.11000,78.21000,76.87000,77.03000,0,0
09/27/2006,16:59:00,77.03000,77.41000,76.72000,77.00000,0,0
09/28/2006,16:59:00,77.02000,77.51000,76.91000,77.40000,0,0
09/29/2006,16:59:00,77.39000,77.60000,76.56000,77.17000,0,0
10/02/2006,16:59:00,77.10000,77.54000,76.68000,77.53000,0,0
10/03/2006,16:59:00,77.54000,77.84000,77.16000,77.51000,0,0
10/04/2006,16:59:00,77.52000,78.24000,77.44000,78.13000,0,0
10/05/2006,16:59:00,78.16000,78.31000,77.84000,78.13000,0,0
10/06/2006,16:59:00,78.16000,78.48000,77.89000,78.35000,0,0
10/09/2006,16:59:00,78.29000,78.41000,77.74000,78.21000,0,0
10/10/2006,16:59:00,78.23000,79.00000,78.23000,78.83000,0,0
10/11/2006,16:59:00,78.84000,79.10000,78.54000,78.94000,0,0
10/12/2006,16:59:00,78.95000,79.05000,78.48000,78.83000,0,0
10/13/2006,16:59:00,78.85000,78.98000,78.44000,78.55000,0,0
10/16/2006,16:59:00,78.60000,78.68000,78.17000,78.46000,0,0
10/17/2006,16:59:00,78.46000,79.02000,78.41000,78.80000,0,0
10/18/2006,16:59:00,78.76000,79.09000,78.28000,78.81000,0,0
10/19/2006,16:59:00,78.82000,79.06000,78.53000,78.96000,0,0
10/20/2006,16:59:00,78.96000,79.36000,78.84000,79.30000,0,0
10/23/2006,16:59:00,79.40000,79.49000,79.00000,79.21000,0,0
10/24/2006,16:59:00,79.24000,79.28000,78.90000,79.12000,0,0
10/25/2006,16:59:00,79.12000,79.17000,77.93000,78.03000,0,0
10/26/2006,16:59:00,78.05000,78.18000,77.49000,77.79000,0,0
10/27/2006,16:59:00,77.81000,78.11000,77.37000,77.81000,0,0
10/30/2006,16:59:00,77.74000,78.24000,77.52000,78.13000,0,0
10/31/2006,16:59:00,78.14000,78.47000,78.02000,78.30000,0,0
11/01/2006,16:59:00,78.36000,78.92000,78.16000,78.71000,0,0
11/02/2006,16:59:00,78.70000,79.00000,78.47000,78.96000,0,0
11/03/2006,16:59:00,78.97000,79.18000,78.67000,79.02000,0,0
11/06/2006,16:59:00,79.06000,79.20000,78.59000,79.09000,0,0
11/07/2006,16:59:00,79.12000,79.22000,78.63000,78.84000,0,0
11/08/2006,16:59:00,78.86000,78.91000,78.34000,78.41000,0,0
11/09/2006,16:59:00,78.43000,78.62000,78.17000,78.38000,0,0
11/10/2006,16:59:00,78.39000,78.47000,78.01000,78.34000,0,0
11/13/2006,16:59:00,78.29000,78.29000,77.75000,77.82000,0,0
11/14/2006,16:59:00,77.82000,77.97000,77.40000,77.87000,0,0
11/15/2006,16:59:00,77.89000,78.05000,77.64000,77.79000,0,0
11/16/2006,16:59:00,77.80000,78.70000,77.62000,78.50000,0,0
11/17/2006,16:59:00,78.52000,78.67000,77.97000,78.20000,0,0
11/20/2006,16:59:00,78.33000,79.06000,78.27000,79.01000,0,0
11/21/2006,16:59:00,79.01000,79.19000,78.76000,78.92000,0,0
11/22/2006,16:59:00,78.95000,78.97000,78.09000,78.32000,0,0
11/23/2006,16:59:00,78.32000,78.37000,77.60000,77.70000,0,0
11/24/2006,16:59:00,77.74000,78.13000,77.37000,77.79000,0,0
11/27/2006,16:59:00,77.69000,78.15000,77.51000,77.61000,0,0
11/28/2006,16:59:00,77.61000,79.11000,77.57000,78.97000,0,0
11/29/2006,16:59:00,78.99000,79.13000,78.41000,78.95000,0,0
11/30/2006,16:59:00,78.95000,79.38000,78.77000,79.19000,0,0
12/01/2006,16:59:00,79.20000,79.54000,78.75000,79.28000,0,0
12/04/2006,16:59:00,79.51000,79.70000,79.19000,79.52000,0,0
12/05/2006,16:59:00,79.56000,79.60000,78.55000,78.79000,0,0
12/06/2006,16:59:00,78.78000,79.14000,78.31000,79.02000,0,0
12/07/2006,16:59:00,79.07000,79.62000,78.80000,79.25000,0,0
12/08/2006,16:59:00,79.25000,80.37000,79.13000,79.84000,0,0
12/11/2006,16:59:00,79.84000,80.56000,79.55000,80.46000,0,0
12/12/2006,16:59:00,80.47000,80.88000,80.34000,80.85000,0,0
12/13/2006,16:59:00,80.85000,81.35000,80.66000,81.24000,0,0
12/14/2006,16:59:00,81.27000,81.59000,80.66000,81.09000,0,0
12/15/2006,16:59:00,81.09000,81.60000,80.92000,81.45000,0,0
12/18/2006,16:59:00,81.29000,81.63000,81.19000,81.52000,0,0
12/19/2006,16:59:00,81.54000,82.27000,81.32000,82.19000,0,0
12/20/2006,16:59:00,82.15000,82.67000,82.14000,82.23000,0,0
12/21/2006,16:59:00,82.28000,82.51000,81.95000,82.39000,0,0
12/22/2006,16:59:00,82.38000,83.27000,82.34000,83.12000,0,0
12/26/2006,16:59:00,83.57000,83.63000,83.17000,83.34000,0,0
12/27/2006,16:59:00,83.36000,83.53000,82.95000,83.40000,0,0
12/28/2006,16:59:00,83.47000,83.96000,83.13000,83.90000,0,0
12/29/2006,16:59:00,83.92000,84.16000,83.43000,83.82000,0,0
01/02/2007,16:59:00,83.66000,84.20000,83.62000,83.98000,0,0
01/03/2007,16:59:00,83.99000,84.65000,83.90000,84.24000,0,0
01/04/2007,16:59:00,84.29000,84.49000,82.95000,83.08000,0,0
01/05/2007,16:59:00,83.09000,83.12000,81.35000,81.44000,0,0
01/08/2007,16:59:00,81.61000,81.86000,80.96000,81.84000,0,0
01/09/2007,16:59:00,81.83000,82.66000,81.82000,82.56000,0,0
