Date,Time,Open,High,Low,Close,Vol,OI
01/02/1980,16:59:00,0.98500,0.98500,0.98500,0.98500,0,0
01/03/1980,16:59:00,0.98800,0.98800,0.98800,0.98800,0,0
01/04/1980,16:59:00,0.98600,0.98600,0.98600,0.98600,0,0
01/07/1980,16:59:00,0.99000,0.99000,0.99000,0.99000,0,0
01/08/1980,16:59:00,0.99050,0.99050,0.99050,0.99050,0,0
01/09/1980,16:59:00,0.99100,0.99100,0.99100,0.99100,0,0
01/10/1980,16:59:00,0.98900,0.98900,0.98900,0.98900,0,0
01/11/1980,16:59:00,0.99000,0.99000,0.99000,0.99000,0,0
01/14/1980,16:59:00,0.98800,0.98800,0.98800,0.98800,0,0
01/15/1980,16:59:00,0.98700,0.98700,0.98700,0.98700,0,0
01/16/1980,16:59:00,0.98680,0.98680,0.98680,0.98680,0,0
01/17/1980,16:59:00,0.98700,0.98700,0.98700,0.98700,0,0
01/18/1980,16:59:00,0.98700,0.98700,0.98700,0.98700,0,0
01/21/1980,16:59:00,0.98800,0.98800,0.98800,0.98800,0,0
01/22/1980,16:59:00,0.98700,0.98700,0.98700,0.98700,0,0
01/23/1980,16:59:00,0.98700,0.98700,0.98700,0.98700,0,0
01/24/1980,16:59:00,0.98650,0.98650,0.98650,0.98650,0,0
01/25/1980,16:59:00,0.98750,0.98750,0.98750,0.98750,0,0
01/28/1980,16:59:00,0.98300,0.98300,0.98300,0.98300,0,0
01/29/1980,16:59:00,0.98200,0.98200,0.98200,0.98200,0,0
01/30/1980,16:59:00,0.98200,0.98200,0.98200,0.98200,0,0
01/31/1980,16:59:00,0.98350,0.98350,0.98350,0.98350,0,0
02/01/1980,16:59:00,0.98200,0.98200,0.98200,0.98200,0,0
02/04/1980,16:59:00,0.98250,0.98250,0.98250,0.98250,0,0
02/05/1980,16:59:00,0.98500,0.98500,0.98500,0.98500,0,0
02/06/1980,16:59:00,0.98680,0.98680,0.98680,0.98680,0,0
02/07/1980,16:59:00,0.98850,0.98850,0.98850,0.98850,0,0
02/08/1980,16:59:00,0.98550,0.98550,0.98550,0.98550,0,0
