Date,Time,Open,High,Low,Close,Vol,OI
01/02/1980,16:59:00,1.16580,1.16580,1.16580,1.16580,0,0
01/03/1980,16:59:00,1.17030,1.17030,1.17030,1.17030,0,0
01/04/1980,16:59:00,1.16870,1.16870,1.16870,1.16870,0,0
01/07/1980,16:59:00,1.16940,1.16940,1.16940,1.16940,0,0
01/08/1980,16:59:00,1.16980,1.16980,1.16980,1.16980,0,0
01/09/1980,16:59:00,1.16860,1.16860,1.16860,1.16860,0,0
01/10/1980,16:59:00,1.16500,1.16500,1.16500,1.16500,0,0
01/11/1980,16:59:00,1.16500,1.16500,1.16500,1.16500,0,0
01/14/1980,16:59:00,1.16630,1.16630,1.16630,1.16630,0,0
01/15/1980,16:59:00,1.16580,1.16580,1.16580,1.16580,0,0
01/16/1980,16:59:00,1.16440,1.16440,1.16440,1.16440,0,0
01/17/1980,16:59:00,1.16130,1.16130,1.16130,1.16130,0,0
01/18/1980,16:59:00,1.16170,1.16170,1.16170,1.16170,0,0
01/21/1980,16:59:00,1.16110,1.16110,1.16110,1.16110,0,0
01/22/1980,16:59:00,1.15900,1.15900,1.15900,1.15900,0,0
01/23/1980,16:59:00,1.16030,1.16030,1.16030,1.16030,0,0
01/24/1980,16:59:00,1.15690,1.15690,1.15690,1.15690,0,0
01/25/1980,16:59:00,1.16090,1.16090,1.16090,1.16090,0,0
01/28/1980,16:59:00,1.16370,1.16370,1.16370,1.16370,0,0
01/29/1980,16:59:00,1.16380,1.16380,1.16380,1.16380,0,0
01/30/1980,16:59:00,1.16170,1.16170,1.16170,1.16170,0,0
01/31/1980,16:59:00,1.15850,1.15850,1.15850,1.15850,0,0
02/01/1980,16:59:00,1.15600,1.15600,1.15600,1.15600,0,0
02/04/1980,16:59:00,1.15880,1.15880,1.15880,1.15880,0,0
02/05/1980,16:59:00,1.16180,1.16180,1.16180,1.16180,0,0
02/06/1980,16:59:00,1.15970,1.15970,1.15970,1.15970,0,0
02/07/1980,16:59:00,1.15870,1.15870,1.15870,1.15870,0,0
02/08/1980,16:59:00,1.15900,1.15900,1.15900,1.15900,0,0
02/11/1980,16:59:00,1.15890,1.15890,1.15890,1.15890,0,0
02/13/1980,16:59:00,1.16150,1.16150,1.16150,1.16150,0,0
02/14/1980,16:59:00,1.15980,1.15980,1.15980,1.15980,0,0
02/15/1980,16:59:00,1.16210,1.16210,1.16210,1.16210,0,0
02/19/1980,16:59:00,1.15970,1.15970,1.15970,1.15970,0,0
02/20/1980,16:59:00,1.15520,1.15520,1.15520,1.15520,0,0
02/21/1980,16:59:00,1.15120,1.15120,1.15120,1.15120,0,0
02/22/1980,16:59:00,1.15290,1.15290,1.15290,1.15290,0,0
02/25/1980,16:59:00,1.15120,1.15120,1.15120,1.15120,0,0
02/26/1980,16:59:00,1.15040,1.15040,1.15040,1.15040,0,0
02/27/1980,16:59:00,1.14590,1.14590,1.14590,1.14590,0,0
02/28/1980,16:59:00,1.14640,1.14640,1.14640,1.14640,0,0
02/29/1980,16:59:00,1.14500,1.14500,1.14500,1.14500,0,0
03/03/1980,16:59:00,1.14300,1.14300,1.14300,1.14300,0,0
03/04/1980,16:59:00,1.15290,1.15290,1.15290,1.15290,0,0
03/05/1980,16:59:00,1.14730,1.14730,1.14730,1.14730,0,0
03/06/1980,16:59:00,1.15330,1.15330,1.15330,1.15330,0,0
