Date,Time,Open,High,Low,Close,Vol,OI
01/02/1980,16:59:00,1.57750,1.57750,1.57750,1.57750,0,0
01/03/1980,16:59:00,1.57200,1.57200,1.57200,1.57200,0,0
01/04/1980,16:59:00,1.57550,1.57550,1.57550,1.57550,0,0
01/07/1980,16:59:00,1.57000,1.57000,1.57000,1.57000,0,0
01/08/1980,16:59:00,1.57700,1.57700,1.57700,1.57700,0,0
01/09/1980,16:59:00,1.57400,1.57400,1.57400,1.57400,0,0
01/10/1980,16:59:00,1.57900,1.57900,1.57900,1.57900,0,0
01/11/1980,16:59:00,1.58300,1.58300,1.58300,1.58300,0,0
01/14/1980,16:59:00,1.58300,1.58300,1.58300,1.58300,0,0
01/15/1980,16:59:00,1.59500,1.59500,1.59500,1.59500,0,0
01/16/1980,16:59:00,1.58500,1.58500,1.58500,1.58500,0,0
01/17/1980,16:59:00,1.59300,1.59300,1.59300,1.59300,0,0
01/18/1980,16:59:00,1.59300,1.59300,1.59300,1.59300,0,0
01/21/1980,16:59:00,1.60450,1.60450,1.60450,1.60450,0,0
01/22/1980,16:59:00,1.60900,1.60900,1.60900,1.60900,0,0
01/23/1980,16:59:00,1.60600,1.60600,1.60600,1.60600,0,0
01/24/1980,16:59:00,1.60850,1.60850,1.60850,1.60850,0,0
01/25/1980,16:59:00,1.61600,1.61600,1.61600,1.61600,0,0
01/28/1980,16:59:00,1.61880,1.61880,1.61880,1.61880,0,0
01/29/1980,16:59:00,1.61700,1.61700,1.61700,1.61700,0,0
01/30/1980,16:59:00,1.62150,1.62150,1.62150,1.62150,0,0
01/31/1980,16:59:00,1.63800,1.63800,1.63800,1.63800,0,0
02/01/1980,16:59:00,1.63350,1.63350,1.63350,1.63350,0,0
02/04/1980,16:59:00,1.63100,1.63100,1.63100,1.63100,0,0
02/05/1980,16:59:00,1.62600,1.62600,1.62600,1.62600,0,0
02/06/1980,16:59:00,1.60600,1.60600,1.60600,1.60600,0,0
02/07/1980,16:59:00,1.61600,1.61600,1.61600,1.61600,0,0
02/08/1980,16:59:00,1.61900,1.61900,1.61900,1.61900,0,0
02/11/1980,16:59:00,1.61700,1.61700,1.61700,1.61700,0,0
02/13/1980,16:59:00,1.61330,1.61330,1.61330,1.61330,0,0
02/14/1980,16:59:00,1.61700,1.61700,1.61700,1.61700,0,0
02/15/1980,16:59:00,1.62900,1.62900,1.62900,1.62900,0,0
02/19/1980,16:59:00,1.63850,1.63850,1.63850,1.63850,0,0
02/20/1980,16:59:00,1.64400,1.64400,1.64400,1.64400,0,0
02/21/1980,16:59:00,1.64030,1.64030,1.64030,1.64030,0,0
02/22/1980,16:59:00,1.66200,1.66200,1.66200,1.66200,0,0
02/25/1980,16:59:00,1.66950,1.66950,1.66950,1.66950,0,0
02/26/1980,16:59:00,1.67050,1.67050,1.67050,1.67050,0,0
02/27/1980,16:59:00,1.66500,1.66500,1.66500,1.66500,0,0
02/28/1980,16:59:00,1.67200,1.67200,1.67200,1.67200,0,0
02/29/1980,16:59:00,1.70250,1.70250,1.70250,1.70250,0,0
03/03/1980,16:59:00,1.71500,1.71500,1.71500,1.71500,0,0
03/04/1980,16:59:00,1.72100,1.72100,1.72100,1.72100,0,0
03/05/1980,16:59:00,1.71050,1.71050,1.71050,1.71050,0,0
03/06/1980,16:59:00,1.71500,1.71500,1.71500,1.71500,0,0
03/07/1980,16:59:00,1.71500,1.71500,1.71500,1.71500,0,0
03/10/1980,16:59:00,1.73500,1.73500,1.73500,1.73500,0,0
03/11/1980,16:59:00,1.73450,1.73450,1.73450,1.73450,0,0
03/12/1980,16:59:00,1.72950,1.72950,1.72950,1.72950,0,0
