Date,Time,Open,High,Low,Close,Vol,OI
09/08/2008,16:59:00,6.60301,6.73878,6.54208,6.68883,0,0
09/09/2008,16:59:00,6.68661,6.75566,6.66309,6.73961,0,0
09/10/2008,16:59:00,6.74118,6.79253,6.71372,6.78738,0,0
09/11/2008,16:59:00,6.78928,6.86506,6.78678,6.80348,0,0
09/12/2008,16:59:00,6.79493,6.81302,6.68378,6.69840,0,0
09/15/2008,16:59:00,6.65473,6.79157,6.57155,6.75383,0,0
09/16/2008,16:59:00,6.75593,6.83738,6.73358,6.80124,0,0
09/17/2008,16:59:00,6.80314,6.83398,6.68168,6.71333,0,0
09/18/2008,16:59:00,6.71233,6.74998,6.60338,6.67828,0,0
09/19/2008,16:59:00,6.67853,6.76458,6.58641,6.58818,0,0
09/22/2008,16:59:00,6.58743,6.62278,6.44498,6.49333,0,0
09/23/2008,16:59:00,6.49469,6.58402,6.46128,6.56958,0,0
09/24/2008,16:59:00,6.57182,6.61753,6.53398,6.61038,0,0
09/25/2008,16:59:00,6.60948,6.62766,6.54239,6.60024,0,0
09/26/2008,16:59:00,6.59908,6.65578,6.56698,6.62038,0,0
09/29/2008,16:59:00,6.64778,6.78919,6.64432,6.78092,0,0
09/30/2008,16:59:00,6.78145,6.99008,6.76078,6.91413,0,0
10/01/2008,16:59:00,6.91449,6.96508,6.85698,6.95438,0,0
10/02/2008,16:59:00,6.95833,7.06098,6.94148,7.01923,0,0
10/03/2008,16:59:00,7.01748,7.07678,6.97928,7.04168,0,0
10/06/2008,16:59:00,7.10888,7.25768,7.08918,7.20188,0,0
10/07/2008,16:59:00,7.20338,7.22322,7.00374,7.13323,0,0
10/08/2008,16:59:00,7.13198,7.17773,7.02726,7.08348,0,0
10/09/2008,16:59:00,7.09168,7.12533,7.00588,7.11913,0,0
10/10/2008,16:59:00,7.11973,7.30238,7.06107,7.22438,0,0
10/13/2008,16:59:00,7.10530,7.20284,7.02796,7.14380,0,0
10/14/2008,16:59:00,7.13345,7.19640,7.02730,7.19390,0,0
10/15/2008,16:59:00,7.19350,7.40909,7.16260,7.40271,0,0
10/16/2008,16:59:00,7.49002,7.60270,7.35640,7.43260,0,0
10/17/2008,16:59:00,7.43115,7.53030,7.35970,7.42100,0,0
10/20/2008,16:59:00,7.39330,7.50320,7.26868,7.45550,0,0
10/21/2008,16:59:00,7.44874,7.77961,7.43775,7.77142,0,0
10/22/2008,16:59:00,7.77559,7.93515,7.74995,7.83630,0,0
10/23/2008,16:59:00,7.81090,7.94250,7.65225,7.66010,0,0
10/24/2008,16:59:00,7.70850,8.02461,7.69350,7.90330,0,0
10/27/2008,16:59:00,7.93150,8.17225,7.92760,7.99920,0,0
10/28/2008,16:59:00,8.03155,8.07755,7.79220,7.83000,0,0
10/29/2008,16:59:00,7.83155,7.83370,7.58162,7.60150,0,0
10/30/2008,16:59:00,7.59380,7.73510,7.36780,7.59494,0,0
10/31/2008,16:59:00,7.59518,7.81520,7.58935,7.75669,0,0
11/03/2008,16:59:00,7.73546,7.82915,7.61360,7.78635,0,0
11/04/2008,16:59:00,7.78789,7.86611,7.57333,7.60991,0,0
11/05/2008,16:59:00,7.60840,7.77633,7.58098,7.77603,0,0
11/06/2008,16:59:00,7.77470,7.93673,7.73880,7.91480,0,0
11/07/2008,16:59:00,7.91324,7.94150,7.77900,7.90877,0,0
11/10/2008,16:59:00,7.83955,7.86430,7.70432,7.84491,0,0
11/11/2008,16:59:00,7.84522,8.08520,7.78800,8.07260,0,0
11/12/2008,16:59:00,8.07470,8.13284,7.95190,8.08021,0,0
11/13/2008,16:59:00,8.07956,8.19260,7.78813,7.83504,0,0
11/14/2008,16:59:00,7.84467,7.97669,7.78080,7.96142,0,0
11/17/2008,16:59:00,8.02990,8.04030,7.86653,8.01570,0,0
11/18/2008,16:59:00,8.01450,8.10250,7.96985,8.02735,0,0
11/19/2008,16:59:00,8.02752,8.20150,7.91588,8.19990,0,0
11/20/2008,16:59:00,8.19870,8.34630,8.12350,8.32950,0,0
11/21/2008,16:59:00,8.33150,8.48084,8.12930,8.34570,0,0
11/24/2008,16:59:00,8.34943,8.36358,7.92940,7.93480,0,0
11/25/2008,16:59:00,7.93425,8.08640,7.81940,7.88770,0,0
11/26/2008,16:59:00,7.88760,8.08750,7.87935,8.01874,0,0
11/27/2008,16:59:00,8.02078,8.02773,7.91633,7.96500,0,0
11/28/2008,16:59:00,7.94512,8.16840,7.93703,8.09444,0,0
12/01/2008,16:59:00,8.10920,8.34680,8.07650,8.31954,0,0
12/02/2008,16:59:00,8.31348,8.41190,8.13944,8.20157,0,0
12/03/2008,16:59:00,8.20238,8.33160,8.17383,8.18854,0,0
12/04/2008,16:59:00,8.18951,8.39974,8.17450,8.25510,0,0
12/05/2008,16:59:00,8.25638,8.51254,8.23222,8.31897,0,0
12/08/2008,16:59:00,8.33012,8.33381,8.01820,8.04098,0,0
12/09/2008,16:59:00,8.04067,8.21455,8.04036,8.18380,0,0
12/10/2008,16:59:00,8.18450,8.20602,8.07440,8.14721,0,0
12/11/2008,16:59:00,8.12890,8.15186,7.90261,7.93362,0,0
12/12/2008,16:59:00,7.93789,8.10518,7.90775,8.03943,0,0
12/15/2008,16:59:00,8.01518,8.07730,7.91823,8.02534,0,0
12/16/2008,16:59:00,8.02095,8.14790,7.90630,7.94698,0,0
12/17/2008,16:59:00,7.94946,7.96290,7.59500,7.60170,0,0
12/18/2008,16:59:00,7.60144,7.75240,7.49815,7.73215,0,0
12/19/2008,16:59:00,7.72036,7.88987,7.63160,7.76994,0,0
12/22/2008,16:59:00,7.78085,7.91940,7.70846,7.89899,0,0
12/23/2008,16:59:00,7.89730,8.06797,7.80679,8.00540,0,0
12/24/2008,16:59:00,8.00870,8.15590,7.92971,7.95620,0,0
12/26/2008,16:59:00,7.96362,8.05860,7.93489,7.96883,0,0
12/29/2008,16:59:00,7.87650,7.89000,7.64598,7.88630,0,0
12/30/2008,16:59:00,7.88189,7.88622,7.68472,7.76150,0,0
12/31/2008,16:59:00,7.75530,7.89999,7.70716,7.81985,0,0
01/02/2009,16:59:00,7.84240,7.85926,7.68537,7.69110,0,0
01/05/2009,16:59:00,7.69878,7.93600,7.66704,7.85210,0,0
01/06/2009,16:59:00,7.85238,7.98600,7.83539,7.83595,0,0
01/07/2009,16:59:00,7.83798,7.89030,7.72446,7.82980,0,0
01/08/2009,16:59:00,7.82820,7.93780,7.75602,7.77335,0,0
01/09/2009,16:59:00,7.77145,7.96155,7.75673,7.91916,0,0
01/12/2009,16:59:00,7.90952,8.09431,7.90835,8.04414,0,0
01/13/2009,16:59:00,8.04444,8.31596,8.03758,8.28610,0,0
01/14/2009,16:59:00,8.28705,8.44410,8.13440,8.36890,0,0
01/15/2009,16:59:00,8.38277,8.51370,8.22836,8.25244,0,0
01/16/2009,16:59:00,8.24784,8.26961,8.07513,8.15591,0,0
01/19/2009,16:59:00,8.11734,8.31140,8.03411,8.31070,0,0
01/20/2009,16:59:00,8.30770,8.45950,8.28710,8.42502,0,0
01/21/2009,16:59:00,8.43530,8.46137,8.13878,8.17985,0,0
01/22/2009,16:59:00,8.17765,8.30571,8.08573,8.24330,0,0
01/23/2009,16:59:00,8.24420,8.41974,8.12560,8.17495,0,0
01/26/2009,16:59:00,8.17694,8.25643,7.95363,7.99760,0,0
01/27/2009,16:59:00,7.99691,8.12832,7.82560,8.07998,0,0
01/28/2009,16:59:00,8.08032,8.08281,7.91402,8.01114,0,0
01/29/2009,16:59:00,8.01260,8.18086,7.98736,8.17222,0,0
01/30/2009,16:59:00,8.17280,8.38442,8.16970,8.35929,0,0
02/02/2009,16:59:00,8.36712,8.42180,8.27920,8.35553,0,0
02/03/2009,16:59:00,8.35527,8.40197,8.19420,8.20247,0,0
02/04/2009,16:59:00,8.20130,8.35250,8.17398,8.29700,0,0
02/05/2009,16:59:00,8.29510,8.33290,8.22940,8.29578,0,0
02/06/2009,16:59:00,8.28669,8.28990,8.06336,8.09000,0,0
02/09/2009,16:59:00,8.07903,8.17648,7.96490,8.04470,0,0
02/10/2009,16:59:00,8.04270,8.29071,8.03130,8.24300,0,0
02/11/2009,16:59:00,8.24556,8.41440,8.21641,8.33302,0,0
02/12/2009,16:59:00,8.33289,8.50120,8.31406,8.37377,0,0
02/13/2009,16:59:00,8.37247,8.40723,8.31260,8.39208,0,0
02/16/2009,16:59:00,8.43536,8.58796,8.41888,8.53966,0,0
02/17/2009,16:59:00,8.53806,8.85349,8.53443,8.85095,0,0
02/18/2009,16:59:00,8.85030,8.88370,8.71390,8.77405,0,0
