Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,1087.50000,1087.70000,1086.90000,1087.40000,488,60804
05/16/2001,17:00:00,1087.50000,1091.30000,1087.20000,1091.30000,643,62060
05/17/2001,17:00:00,1091.20000,1092.90000,1090.70000,1092.90000,1075,67341
05/18/2001,17:00:00,1092.90000,1106.70000,1091.40000,1106.70000,430,72584
05/21/2001,17:00:00,1106.30000,1117.50000,1105.30000,1111.10000,5247,71036
05/22/2001,17:00:00,1105.40000,1106.80000,1101.40000,1102.50000,1811,68840
05/23/2001,17:00:00,1103.50000,1103.90000,1101.00000,1101.90000,408,39965
05/24/2001,17:00:00,1102.30000,1102.70000,1097.30000,1097.30000,324,53636
05/28/2001,17:00:00,1097.40000,1099.60000,1096.10000,1096.10000,942,60876
05/29/2001,17:00:00,1096.00000,1096.20000,1091.80000,1091.80000,193,77056
05/30/2001,17:00:00,1093.10000,1094.10000,1085.30000,1085.30000,589,71870
05/31/2001,17:00:00,1085.80000,1086.40000,1084.40000,1084.80000,549,69932
06/01/2001,17:00:00,1084.70000,1085.90000,1084.40000,1085.90000,259,70372
06/04/2001,17:00:00,1085.80000,1086.40000,1084.40000,1084.40000,122,67797
06/05/2001,17:00:00,1084.80000,1085.30000,1083.40000,1085.00000,247,68694
06/06/2001,17:00:00,1085.00000,1086.30000,1084.90000,1084.90000,226,69028
06/07/2001,17:00:00,1084.90000,1085.50000,1084.50000,1085.20000,56,69028
06/08/2001,17:00:00,1085.50000,1092.40000,1085.00000,1092.40000,144,72549
06/11/2001,17:00:00,1092.90000,1093.10000,1086.80000,1086.80000,497,70140
06/12/2001,17:00:00,1086.90000,1090.50000,1085.70000,1090.50000,421,71832
06/13/2001,17:00:00,1089.90000,1091.30000,1089.70000,1091.00000,372,72442
06/14/2001,17:00:00,1091.10000,1094.30000,1090.20000,1094.30000,123,76352
06/15/2001,17:00:00,1095.00000,1095.10000,1090.20000,1090.20000,389,76203
06/18/2001,17:00:00,1089.50000,1091.30000,1089.50000,1091.30000,105,73685
06/19/2001,17:00:00,1091.50000,1092.70000,1090.50000,1092.30000,165,74263
06/20/2001,17:00:00,1092.50000,1092.60000,1090.90000,1091.30000,380,77248
06/21/2001,17:00:00,1091.10000,1092.60000,1090.70000,1091.50000,553,76981
06/22/2001,17:00:00,1091.70000,1091.90000,1091.10000,1091.20000,280,77698
06/25/2001,17:00:00,1091.10000,1092.70000,1091.00000,1092.60000,127,77707
06/26/2001,17:00:00,1092.40000,1094.90000,1092.40000,1094.90000,189,79491
06/27/2001,17:00:00,1094.90000,1095.90000,1090.70000,1090.70000,227,78523
06/28/2001,17:00:00,1090.80000,1091.10000,1087.90000,1087.90000,1210,75109
06/29/2001,17:00:00,1088.40000,1089.40000,1087.90000,1089.20000,372,73887
07/02/2001,17:00:00,1089.40000,1089.40000,1087.50000,1088.00000,308,74873
07/03/2001,17:00:00,1087.90000,1088.10000,1086.20000,1086.20000,163,71100
07/05/2001,17:00:00,1085.60000,1086.70000,1083.70000,1083.70000,292,69912
07/06/2001,17:00:00,1083.90000,1084.50000,1083.20000,1084.50000,179,72032
07/09/2001,17:00:00,1085.00000,1085.40000,1084.20000,1084.90000,238,71896
07/10/2001,17:00:00,1084.90000,1085.80000,1084.60000,1084.60000,196,70746
07/11/2001,17:00:00,1084.40000,1086.70000,1084.00000,1086.70000,271,70822
07/12/2001,17:00:00,1086.90000,1087.10000,1085.00000,1085.00000,143,69575
07/13/2001,17:00:00,1085.30000,1085.50000,1084.60000,1085.50000,75,66537
07/16/2001,17:00:00,1085.50000,1086.60000,1085.30000,1085.30000,243,65261
07/17/2001,17:00:00,1085.50000,1086.50000,1085.20000,1086.50000,195,62687
07/18/2001,17:00:00,1086.60000,1088.70000,1086.10000,1088.70000,151,62051
07/19/2001,17:00:00,1089.30000,1090.00000,1087.60000,1087.60000,332,59597
07/20/2001,17:00:00,1087.70000,1089.50000,1087.20000,1089.50000,136,55644
07/23/2001,17:00:00,1088.10000,1088.10000,1088.10000,1088.10000,0,6892
07/24/2001,17:00:00,1086.90000,1087.90000,1086.90000,1087.90000,2,7233
07/25/2001,17:00:00,1087.90000,1087.90000,1087.90000,1087.90000,0,7254
07/26/2001,17:00:00,1085.70000,1085.70000,1084.20000,1084.20000,27,7482
07/27/2001,17:00:00,1084.80000,1085.40000,1084.10000,1085.40000,3,9638
07/30/2001,17:00:00,1084.60000,1084.60000,1082.80000,1082.80000,2,10132
07/31/2001,17:00:00,1083.50000,1084.40000,1082.80000,1084.40000,4,10206
08/01/2001,17:00:00,1084.40000,1085.50000,1084.40000,1085.50000,3,10613
08/02/2001,17:00:00,1086.00000,1086.20000,1085.50000,1085.50000,15,10727
08/03/2001,17:00:00,1084.90000,1086.00000,1084.90000,1086.00000,21,10728
08/06/2001,17:00:00,1085.30000,1085.30000,1085.10000,1085.10000,10,10627
08/07/2001,17:00:00,1085.00000,1085.10000,1085.00000,1085.10000,11,10608
08/08/2001,17:00:00,1085.10000,1085.10000,1085.10000,1085.10000,0,10540
08/09/2001,17:00:00,1085.80000,1085.80000,1085.80000,1085.80000,0,10615
08/10/2001,17:00:00,1091.50000,1091.90000,1090.20000,1091.90000,13,9908
08/13/2001,17:00:00,1091.90000,1091.90000,1091.90000,1091.90000,0,9815
08/14/2001,17:00:00,1093.70000,1093.70000,1093.70000,1093.70000,0,9918
08/15/2001,17:00:00,1093.60000,1095.00000,1093.50000,1093.50000,13,9935
08/16/2001,17:00:00,1093.80000,1093.80000,1092.90000,1092.90000,12,9506
08/17/2001,17:00:00,1093.50000,1097.00000,1093.50000,1097.00000,3,9516
08/20/2001,17:00:00,1096.50000,1096.70000,1093.60000,1093.60000,8,10023
08/21/2001,17:00:00,1094.10000,1095.00000,1092.50000,1092.50000,2,10016
08/22/2001,17:00:00,1095.00000,1095.00000,1092.40000,1092.40000,2,10016
08/23/2001,17:00:00,1092.10000,1092.80000,1092.10000,1092.80000,1,10095
08/24/2001,17:00:00,1093.40000,1093.40000,1090.00000,1090.00000,1,9917
08/27/2001,17:00:00,1090.00000,1090.00000,1090.00000,1090.00000,0,9801
08/28/2001,17:00:00,1089.80000,1089.80000,1089.40000,1089.50000,17,9745
08/29/2001,17:00:00,1089.40000,1090.90000,1089.40000,1090.90000,1,9734
08/30/2001,17:00:00,1090.50000,1092.60000,1090.50000,1092.60000,5,9687
08/31/2001,17:00:00,1093.20000,1093.20000,1091.60000,1091.60000,1,9489
09/04/2001,17:00:00,1090.60000,1090.60000,1088.80000,1088.80000,4,9449
09/05/2001,17:00:00,1089.00000,1089.20000,1088.80000,1089.20000,4,9875
09/06/2001,17:00:00,1089.10000,1090.20000,1089.00000,1090.20000,11,10025
09/07/2001,17:00:00,1090.40000,1090.40000,1090.30000,1090.30000,10,10022
09/10/2001,17:00:00,1090.30000,1090.30000,1090.30000,1090.30000,0,10022
09/11/2001,17:00:00,1089.00000,1089.00000,1089.00000,1089.00000,1,10022
09/14/2001,17:00:00,1098.50000,1107.80000,1098.50000,1107.50000,1888,8192
09/17/2001,17:00:00,1107.50000,1107.50000,1107.50000,1107.50000,0,7927
09/18/2001,17:00:00,1105.10000,1107.50000,1105.00000,1105.10000,12,7200
09/19/2001,17:00:00,1105.10000,1108.00000,1104.70000,1108.00000,40,7000
09/21/2001,17:00:00,1106.70000,1110.80000,1106.70000,1108.40000,45,7008
09/24/2001,17:00:00,1107.50000,1107.50000,1104.90000,1106.20000,6,92077
09/25/2001,17:00:00,1105.20000,1105.70000,1102.70000,1105.70000,254,93572
09/26/2001,17:00:00,1107.00000,1110.00000,1105.30000,1110.00000,505,97866
09/27/2001,17:00:00,1110.20000,1110.50000,1105.70000,1108.40000,556,99482
09/28/2001,17:00:00,1108.10000,1109.20000,1106.70000,1109.20000,119,102569
10/01/2001,17:00:00,1108.90000,1109.30000,1107.50000,1108.40000,250,103200
10/02/2001,17:00:00,1106.50000,1109.20000,1106.10000,1106.10000,999,98420
10/03/2001,17:00:00,1106.50000,1107.30000,1105.90000,1106.80000,706,100892
10/04/2001,17:00:00,1106.10000,1106.80000,1105.30000,1106.80000,460,100444
10/05/2001,17:00:00,1106.80000,1109.00000,1106.80000,1107.70000,412,102190
10/08/2001,17:00:00,1109.00000,1111.10000,1108.60000,1108.60000,1338,101517
10/09/2001,17:00:00,1108.70000,1109.00000,1104.90000,1104.90000,471,97642
10/10/2001,17:00:00,1105.20000,1106.00000,1101.90000,1101.90000,785,94407
10/11/2001,17:00:00,1101.00000,1102.10000,1097.70000,1097.80000,1498,94407
10/12/2001,17:00:00,1097.80000,1100.90000,1097.80000,1100.90000,1062,89944
10/15/2001,17:00:00,1100.50000,1102.00000,1097.90000,1097.90000,478,89855
10/16/2001,17:00:00,1097.90000,1098.70000,1097.40000,1098.10000,233,88781
10/17/2001,17:00:00,1098.00000,1099.20000,1097.60000,1099.20000,190,89362
10/18/2001,17:00:00,1099.40000,1100.10000,1095.00000,1095.00000,248,85617
10/19/2001,17:00:00,1095.40000,1096.20000,1094.00000,1095.90000,859,85421
10/22/2001,17:00:00,1096.10000,1096.10000,1091.30000,1091.30000,376,81364
10/23/2001,17:00:00,1091.50000,1092.00000,1090.70000,1091.70000,272,79414
10/24/2001,17:00:00,1091.60000,1092.60000,1091.50000,1091.50000,340,79353
10/25/2001,17:00:00,1091.50000,1093.40000,1091.30000,1093.40000,409,77991
10/26/2001,17:00:00,1092.90000,1093.50000,1092.70000,1093.50000,238,80108
10/29/2001,17:00:00,1093.60000,1094.90000,1093.30000,1094.90000,119,80755
10/30/2001,17:00:00,1095.00000,1097.20000,1094.70000,1096.40000,834,80013
10/31/2001,17:00:00,1096.40000,1097.60000,1095.70000,1095.70000,262,80181
11/01/2001,17:00:00,1095.70000,1096.10000,1094.80000,1095.90000,231,78755
11/02/2001,17:00:00,1095.90000,1096.90000,1095.80000,1096.00000,124,77050
11/05/2001,17:00:00,1095.20000,1096.00000,1094.50000,1094.70000,215,76030
11/06/2001,17:00:00,1095.00000,1095.40000,1094.60000,1095.40000,377,75054
11/07/2001,17:00:00,1096.20000,1097.10000,1095.70000,1096.50000,608,75239
11/08/2001,17:00:00,1096.40000,1096.50000,1092.30000,1092.30000,299,76766
11/09/2001,17:00:00,1092.90000,1093.40000,1092.30000,1092.90000,285,72251
11/12/2001,17:00:00,1092.90000,1093.80000,1092.90000,1093.80000,121,71331
11/13/2001,17:00:00,1094.10000,1094.70000,1092.80000,1093.20000,213,66193
11/14/2001,17:00:00,1092.80000,1094.70000,1092.60000,1093.20000,263,65025
11/15/2001,17:00:00,1093.00000,1093.30000,1090.50000,1090.50000,631,63028
11/16/2001,17:00:00,1090.30000,1090.90000,1089.50000,1090.10000,489,63028
11/19/2001,17:00:00,1090.10000,1090.10000,1088.10000,1088.10000,47,60557
11/20/2001,17:00:00,1088.20000,1089.10000,1087.70000,1088.40000,360,56361
11/21/2001,17:00:00,1088.50000,1088.90000,1087.90000,1088.30000,254,56361
11/23/2001,17:00:00,1088.30000,1088.30000,1088.30000,1088.30000,5,31746
11/26/2001,17:00:00,1087.80000,1088.40000,1087.70000,1087.70000,31,36960
11/27/2001,17:00:00,1087.80000,1088.90000,1087.80000,1088.60000,158,46518
11/28/2001,17:00:00,1089.20000,1090.30000,1088.70000,1089.40000,345,55464
11/29/2001,17:00:00,1089.70000,1090.10000,1089.00000,1089.00000,239,64372
11/30/2001,17:00:00,1089.20000,1089.80000,1088.00000,1089.20000,219,66099
