Date,Time,Open,High,Low,Close,Vol,OI
05/23/2006,16:00:00,37.75000,39.22000,37.75000,37.96000,620900,0
05/24/2006,16:00:00,37.13000,37.57000,35.87000,36.52000,638600,0
05/25/2006,16:00:00,37.18000,38.32000,36.98000,38.32000,367000,0
05/26/2006,16:00:00,38.74000,38.74000,37.77000,38.55000,269400,0
05/30/2006,16:00:00,39.50000,39.72000,38.11000,38.17000,559100,0
05/31/2006,16:00:00,38.90000,39.13000,38.12000,38.85000,350700,0
06/01/2006,16:00:00,37.20000,38.58000,37.17000,38.53000,641300,0
06/02/2006,16:00:00,39.31000,39.39000,38.80000,39.13000,277300,0
06/05/2006,16:00:00,40.27000,40.27000,38.10000,38.13000,436000,0
06/06/2006,16:00:00,38.03000,38.03000,36.72000,37.01000,663600,0
06/07/2006,16:00:00,36.31000,37.55000,35.82000,36.14000,484100,0
06/08/2006,16:00:00,35.27000,35.38000,33.62000,35.27000,812800,0
06/09/2006,16:00:00,35.75000,36.19000,34.86000,35.07000,542200,0
06/12/2006,16:00:00,35.48000,35.63000,33.76000,33.78000,584700,0
06/13/2006,16:00:00,32.66000,33.15000,31.82000,32.20000,1580900,0
06/14/2006,16:00:00,32.85000,33.50000,32.25000,33.03000,646800,0
06/15/2006,16:00:00,34.40000,35.05000,34.00000,34.94000,882200,0
06/16/2006,16:00:00,35.00000,35.00000,34.30000,34.57000,602300,0
06/19/2006,16:00:00,34.17000,34.47000,33.57000,33.60000,366100,0
06/20/2006,16:00:00,33.91000,34.73000,33.60000,34.34000,388500,0
06/21/2006,16:00:00,34.60000,36.04000,34.60000,35.86000,551000,0
06/22/2006,16:00:00,36.00000,36.21000,35.17000,35.64000,590000,0
06/23/2006,16:00:00,35.17000,36.50000,35.15000,36.28000,467800,0
06/26/2006,16:00:00,36.62000,36.80000,36.15000,36.63000,301500,0
06/27/2006,16:00:00,36.97000,37.05000,35.48000,35.48000,470200,0
06/28/2006,16:00:00,35.70000,35.93000,35.00000,35.31000,415200,0
06/29/2006,16:00:00,35.95000,37.96000,35.94000,37.96000,588500,0
06/30/2006,16:00:00,38.70000,39.06000,38.32000,38.70000,1069400,0
07/03/2006,16:00:00,39.40000,40.23000,39.32000,40.23000,561200,0
07/05/2006,16:00:00,40.10000,40.46000,38.85000,39.37000,685600,0
07/06/2006,16:00:00,39.50000,39.99000,39.04000,39.73000,411100,0
07/07/2006,16:00:00,39.68000,39.88000,38.95000,39.03000,500500,0
07/10/2006,16:00:00,38.39000,39.13000,38.25000,38.67000,401400,0
07/11/2006,16:00:00,39.03000,39.76000,38.79000,39.76000,512700,0
07/12/2006,16:00:00,40.11000,40.46000,39.37000,39.49000,519500,0
07/13/2006,16:00:00,39.48000,39.50000,38.28000,38.33000,647900,0
07/14/2006,16:00:00,38.90000,39.13000,38.34000,38.97000,459500,0
07/17/2006,16:00:00,38.32000,38.67000,37.40000,37.40000,777700,0
07/18/2006,16:00:00,37.89000,37.96000,36.43000,37.00000,800200,0
07/19/2006,16:00:00,36.90000,38.51000,36.90000,38.44000,517600,0
07/20/2006,16:00:00,38.21000,38.33000,36.83000,36.83000,415200,0
07/21/2006,16:00:00,37.08000,37.30000,35.81000,35.81000,646200,0
07/24/2006,16:00:00,35.50000,36.82000,35.19000,36.69000,1086500,0
07/25/2006,16:00:00,35.50000,36.82000,35.19000,36.69000,1088600,0
