Date,Time,Open,High,Low,Close,Vol,OI
11/19/2004,16:00:00,44.49000,44.92000,44.47000,44.78000,11655300,0
11/22/2004,16:00:00,44.75000,44.97000,44.74000,44.95000,11996000,0
11/23/2004,16:00:00,44.88000,44.92000,44.72000,44.75000,3169200,0
11/24/2004,16:00:00,44.93000,45.05000,44.79000,45.05000,6105100,0
11/26/2004,16:00:00,45.25000,45.60000,45.06000,45.29000,3097700,0
11/29/2004,16:00:00,45.10000,45.50000,45.08000,45.40000,3759000,0
11/30/2004,16:00:00,45.37000,45.41000,44.82000,45.12000,3859100,0
12/01/2004,16:00:00,45.28000,45.59000,45.26000,45.38000,2037500,0
12/02/2004,16:00:00,45.55000,45.57000,44.68000,44.95000,6457800,0
12/03/2004,16:00:00,45.04000,46.00000,44.80000,45.60000,4218300,0
12/06/2004,16:00:00,45.39000,45.47000,45.11000,45.17000,3103000,0
12/07/2004,16:00:00,45.30000,45.32000,45.07000,45.11000,3809400,0
12/08/2004,16:00:00,43.80000,44.02000,43.36000,44.01000,6150500,0
12/09/2004,16:00:00,43.75000,43.90000,43.20000,43.78000,3553400,0
12/10/2004,16:00:00,43.37000,43.60000,43.31000,43.44000,2464300,0
12/13/2004,16:00:00,43.61000,44.01000,43.51000,43.91000,1445100,0
12/14/2004,16:00:00,43.76000,43.80000,43.51000,43.55000,2240600,0
12/15/2004,16:00:00,44.10000,44.17000,43.92000,43.99000,2641400,0
12/16/2004,16:00:00,43.99000,44.05000,43.58000,43.68000,3269800,0
12/17/2004,16:00:00,43.93000,44.22000,43.78000,44.19000,1889300,0
12/20/2004,16:00:00,44.33000,44.37000,44.13000,44.34000,1942100,0
12/21/2004,16:00:00,44.13000,44.24000,44.05000,44.22000,1373400,0
12/22/2004,16:00:00,44.20000,44.23000,43.89000,44.02000,2706800,0
12/23/2004,16:00:00,44.17000,44.35000,44.05000,44.27000,639800,0
12/27/2004,16:00:00,44.29000,44.56000,44.27000,44.48000,2643700,0
12/28/2004,16:00:00,44.42000,44.47000,44.29000,44.37000,773200,0
12/29/2004,16:00:00,43.92000,44.02000,43.35000,43.66000,5633500,0
12/30/2004,16:00:00,43.50000,43.88000,43.49000,43.83000,1289700,0
12/31/2004,16:00:00,43.85000,43.94000,43.73000,43.80000,531600,0
01/03/2005,16:00:00,42.98000,43.17000,42.74000,43.02000,4750500,0
01/04/2005,16:00:00,42.80000,42.91000,42.46000,42.74000,3456800,0
01/05/2005,16:00:00,42.75000,42.88000,42.60000,42.67000,2108700,0
01/06/2005,16:00:00,42.48000,42.56000,42.07000,42.15000,2556400,0
01/07/2005,16:00:00,42.09000,42.39000,41.70000,41.84000,4492700,0
01/10/2005,16:00:00,41.99000,42.07000,41.89000,41.95000,1026100,0
01/11/2005,16:00:00,42.21000,42.28000,42.12000,42.21000,1507300,0
01/12/2005,16:00:00,42.52000,42.79000,42.48000,42.60000,1738000,0
01/13/2005,16:00:00,42.39000,42.60000,42.34000,42.60000,718300,0
