Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,1.71600,1.71700,1.71250,1.71500,16,44000
05/16/2001,17:00:00,1.71600,1.71650,1.71000,1.71650,51,44698
05/17/2001,17:00:00,1.72600,1.72850,1.71900,1.72850,87,44260
05/18/2001,17:00:00,1.72850,1.74750,1.72800,1.74750,93,41140
05/21/2001,17:00:00,1.74700,1.75950,1.74600,1.75300,255,34703
05/22/2001,17:00:00,1.76250,1.76250,1.75450,1.75450,65,35768
05/23/2001,17:00:00,1.75000,1.75050,1.74750,1.75050,34,36010
05/24/2001,17:00:00,1.75000,1.75500,1.74950,1.75350,59,34971
05/28/2001,17:00:00,1.75350,1.75550,1.74850,1.75250,22,34971
05/29/2001,17:00:00,1.75400,1.75400,1.72700,1.72700,34,36546
05/30/2001,17:00:00,1.72700,1.73000,1.72250,1.72250,78,36946
05/31/2001,17:00:00,1.72300,1.72600,1.71750,1.71750,32,37648
06/01/2001,17:00:00,1.71750,1.72000,1.71200,1.71200,34,39804
06/04/2001,17:00:00,1.71200,1.71500,1.71200,1.71200,18,40960
06/05/2001,17:00:00,1.71200,1.72150,1.71200,1.72150,53,41043
06/06/2001,17:00:00,1.72150,1.72400,1.71350,1.71350,28,41837
06/07/2001,17:00:00,1.71250,1.71550,1.71000,1.71000,78,41945
06/08/2001,17:00:00,1.71050,1.71400,1.69050,1.69050,323,45415
06/11/2001,17:00:00,1.69050,1.69500,1.69050,1.69150,12,45834
06/12/2001,17:00:00,1.69500,1.69500,1.68800,1.68800,23,46659
06/13/2001,17:00:00,1.68500,1.68900,1.68200,1.68450,46,46520
06/14/2001,17:00:00,1.68450,1.68700,1.68300,1.68700,9,47194
06/15/2001,17:00:00,1.68650,1.68700,1.67950,1.67950,18,47706
06/18/2001,17:00:00,1.67550,1.68050,1.67300,1.68050,16,47294
06/19/2001,17:00:00,1.68050,1.68550,1.68050,1.68550,15,47294
06/20/2001,17:00:00,1.68600,1.68600,1.67550,1.67550,38,42240
06/21/2001,17:00:00,1.67400,1.68150,1.67200,1.68150,7,42240
06/22/2001,17:00:00,1.68150,1.68200,1.67450,1.67450,25,40579
06/25/2001,17:00:00,1.68250,1.68250,1.68100,1.68150,2,34601
06/26/2001,17:00:00,1.67800,1.68700,1.67800,1.68700,3,40383
06/27/2001,17:00:00,1.68700,1.69050,1.68550,1.69050,91,45832
06/28/2001,17:00:00,1.69050,1.69100,1.67700,1.67700,37,49942
06/29/2001,17:00:00,1.67650,1.67850,1.67100,1.67350,85,49772
07/02/2001,17:00:00,1.67200,1.68100,1.66900,1.68100,61,49791
07/03/2001,17:00:00,1.68000,1.68000,1.67400,1.67400,1,49156
