Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,-1.10630,-1.10630,-1.10880,-1.10880,77,0
05/16/2001,17:00:00,-1.09030,-1.08930,-1.09680,-1.09180,128,0
05/17/2001,17:00:00,-1.08470,-1.08470,-1.09130,-1.09080,64,0
05/18/2001,17:00:00,-1.07580,-1.05740,-1.07680,-1.05740,50,0
05/21/2001,17:00:00,-1.05730,-1.05030,-1.05730,-1.05180,45,0
05/22/2001,17:00:00,-1.04930,-1.04680,-1.05290,-1.05290,161,0
05/23/2001,17:00:00,-1.05430,-1.04650,-1.05930,-1.04650,98,0
05/24/2001,17:00:00,-1.04680,-1.04530,-1.06770,-1.06770,170,0
05/28/2001,17:00:00,-1.06680,-1.06580,-1.08000,-1.08000,59,0
05/29/2001,17:00:00,-1.08030,-1.07420,-1.08710,-1.08710,16,0
05/30/2001,17:00:00,-1.08380,-1.07580,-1.08380,-1.08030,120,0
05/31/2001,17:00:00,-1.08340,-1.08080,-1.09480,-1.09380,292,0
06/01/2001,17:00:00,-1.08810,-1.08580,-1.10260,-1.10260,73,0
06/04/2001,17:00:00,-1.08260,-1.08180,-1.10260,-1.10260,103,0
06/05/2001,17:00:00,-1.10280,-1.09230,-1.10280,-1.09230,237,0
06/06/2001,17:00:00,-1.09480,-1.09480,-1.10780,-1.09540,486,0
06/07/2001,17:00:00,-1.09880,-1.09880,-1.10660,-1.10260,608,0
06/08/2001,17:00:00,-1.10110,-1.09530,-1.10110,-1.09530,34,0
06/11/2001,17:00:00,-1.09190,-1.07580,-1.09190,-1.07910,225,0
06/12/2001,17:00:00,-1.07930,-1.06010,-1.08180,-1.06010,113,0
06/13/2001,17:00:00,-1.06180,-1.05280,-1.06180,-1.06040,303,0
06/14/2001,17:00:00,-1.08490,-1.05110,-1.08640,-1.05110,74,0
06/15/2001,17:00:00,-1.05140,-1.04940,-1.07940,-1.07940,218,0
06/18/2001,17:00:00,-1.07890,-1.07790,-1.11290,-1.11290,39,0
06/19/2001,17:00:00,-1.11290,-1.10740,-1.11890,-1.10950,244,0
06/20/2001,17:00:00,-1.10890,-1.10890,-1.11590,-1.11390,128,0
06/21/2001,17:00:00,-1.14290,-1.13640,-1.14540,-1.14150,366,0
06/22/2001,17:00:00,-1.13890,-1.12740,-1.15000,-1.15000,172,0
06/25/2001,17:00:00,-1.14390,-1.14140,-1.14500,-1.14500,66,0
06/26/2001,17:00:00,-1.14500,-1.13990,-1.15200,-1.15200,116,0
06/27/2001,17:00:00,-1.15390,-1.15390,-1.16450,-1.16190,735,0
06/28/2001,17:00:00,-1.18790,-1.17440,-1.18790,-1.17710,437,0
06/29/2001,17:00:00,-1.17640,-1.16490,-1.17640,-1.16560,274,0
07/02/2001,17:00:00,-1.15290,-1.15090,-1.17310,-1.17310,67,0
07/03/2001,17:00:00,-1.17190,-1.16790,-1.17890,-1.16790,129,0
07/05/2001,17:00:00,-1.15920,-1.15690,-1.16440,-1.16000,237,0
07/06/2001,17:00:00,-1.15990,-1.14610,-1.16090,-1.14610,125,0
07/09/2001,17:00:00,-1.14240,-1.14240,-1.15600,-1.15600,13,0
