Date,Time,Open,High,Low,Close,Vol,OI
04/12/2007,16:00:00,104.42000,104.42000,104.35000,104.42000,6100,0
04/13/2007,16:00:00,104.39000,104.49000,104.23000,104.23000,3400,0
04/16/2007,16:00:00,104.27000,104.27000,104.15000,104.19000,7600,0
04/17/2007,16:00:00,104.15000,104.40000,104.14000,104.14000,28100,0
04/18/2007,16:00:00,104.16000,104.27000,104.15000,104.17000,6300,0
04/19/2007,16:00:00,104.20000,104.57000,104.06000,104.53000,47500,0
04/20/2007,16:00:00,104.50000,104.54000,104.45000,104.47000,4900,0
04/23/2007,16:00:00,104.56000,104.66000,104.45000,104.53000,1700,0
04/24/2007,16:00:00,104.59000,105.31000,104.42000,105.25000,398500,0
04/25/2007,16:00:00,105.31000,105.41000,105.28000,105.41000,16300,0
04/26/2007,16:00:00,105.49000,105.60000,105.29000,105.60000,48200,0
04/27/2007,16:00:00,105.59000,105.60000,105.51000,105.60000,8300,0
04/30/2007,16:00:00,105.56000,105.63000,105.33000,105.61000,15500,0
05/01/2007,16:00:00,105.27000,105.43000,105.27000,105.33000,8600,0
05/02/2007,16:00:00,105.39000,105.39000,105.20000,105.29000,4700,0
05/03/2007,16:00:00,105.38000,105.48000,105.20000,105.30000,17400,0
05/04/2007,16:00:00,105.38000,105.44000,105.21000,105.43000,4600,0
05/07/2007,16:00:00,105.30000,105.42000,105.30000,105.42000,4200,0
05/08/2007,16:00:00,105.54000,105.55000,105.45000,105.50000,16100,0
05/09/2007,16:00:00,105.59000,105.60000,105.16000,105.22000,9400,0
05/10/2007,16:00:00,105.70000,105.81000,105.51000,105.60000,17400,0
05/11/2007,16:00:00,105.61000,105.78000,105.56000,105.66000,12200,0
05/14/2007,16:00:00,105.70000,105.70000,105.55000,105.65000,11600,0
05/15/2007,16:00:00,105.70000,105.93000,105.57000,105.57000,39400,0
05/16/2007,16:00:00,105.85000,105.86000,105.82000,105.85000,78100,0
05/17/2007,16:00:00,105.93000,105.93000,105.69000,105.82000,14500,0
05/18/2007,16:00:00,105.95000,105.95000,105.85000,105.85000,5200,0
05/21/2007,16:00:00,105.95000,105.96000,105.85000,105.95000,14600,0
05/22/2007,16:00:00,106.09000,106.09000,105.73000,105.96000,10200,0
05/23/2007,16:00:00,105.92000,106.11000,105.70000,105.88000,22500,0
05/24/2007,16:00:00,106.04000,106.04000,105.85000,105.91000,17100,0
05/25/2007,16:00:00,105.97000,106.47000,105.80000,106.06000,7400,0
05/29/2007,16:00:00,105.58000,105.72000,105.58000,105.64000,4900,0
05/30/2007,16:00:00,105.94000,105.94000,105.75000,105.88000,4300,0
05/31/2007,16:00:00,105.78000,105.89000,105.65000,105.71000,6200,0
06/01/2007,16:00:00,105.11000,105.13000,104.95000,105.11000,13500,0
06/04/2007,16:00:00,105.20000,105.22000,105.02000,105.20000,21800,0
06/05/2007,16:00:00,105.14000,105.21000,105.05000,105.05000,4500,0
06/06/2007,16:00:00,105.00000,105.06000,104.88000,104.92000,74600,0
06/07/2007,16:00:00,104.41000,104.74000,104.20000,104.43000,12100,0
06/08/2007,16:00:00,104.21000,104.27000,103.92000,104.15000,17800,0
06/11/2007,16:00:00,104.07000,104.07000,103.60000,103.93000,2900,0
06/12/2007,16:00:00,103.77000,103.78000,103.07000,103.40000,67300,0
06/13/2007,16:00:00,103.69000,103.81000,102.87000,103.58000,24600,0
06/14/2007,16:00:00,103.34000,103.66000,103.16000,103.66000,18200,0
06/15/2007,16:00:00,103.58000,103.68000,103.50000,103.64000,13500,0
06/18/2007,16:00:00,103.91000,103.91000,103.40000,103.70000,14600,0
06/19/2007,16:00:00,103.68000,103.84000,103.36000,103.83000,19600,0
06/20/2007,16:00:00,103.36000,103.84000,102.91000,102.91000,16900,0
06/21/2007,16:00:00,103.00000,103.43000,103.00000,103.10000,13900,0
06/22/2007,16:00:00,103.22000,103.36000,102.84000,103.30000,27800,0
06/25/2007,16:00:00,103.21000,103.34000,102.65000,102.70000,29000,0
06/26/2007,16:00:00,102.94000,103.19000,102.70000,103.00000,43600,0
06/27/2007,16:00:00,102.79000,102.80000,102.48000,102.64000,6800,0
06/28/2007,16:00:00,102.62000,102.64000,101.93000,102.10000,9500,0
06/29/2007,16:00:00,102.10000,102.50000,101.81000,101.81000,14600,0
07/02/2007,16:00:00,101.70000,102.27000,101.40000,102.00000,19600,0
07/03/2007,16:00:00,101.70000,101.90000,101.60000,101.81000,11700,0
07/05/2007,16:00:00,101.85000,101.86000,100.98000,101.44000,14600,0
07/06/2007,16:00:00,101.44000,101.79000,101.11000,101.55000,8200,0
07/09/2007,16:00:00,101.88000,101.98000,101.39000,101.86000,8400,0
07/10/2007,16:00:00,101.42000,101.75000,101.00000,101.59000,19700,0
07/11/2007,16:00:00,101.62000,101.63000,100.56000,100.83000,17200,0
07/12/2007,16:00:00,100.98000,101.13000,100.71000,101.13000,8300,0
07/13/2007,16:00:00,101.30000,101.56000,101.00000,101.55000,5200,0
07/16/2007,16:00:00,101.57000,101.81000,101.26000,101.59000,17100,0
07/17/2007,16:00:00,101.27000,101.71000,101.22000,101.71000,10600,0
07/18/2007,16:00:00,101.67000,101.67000,100.80000,100.95000,15600,0
07/19/2007,16:00:00,101.05000,101.06000,101.03000,101.06000,6400,0
07/20/2007,16:00:00,100.98000,101.32000,100.59000,100.80000,18600,0
07/23/2007,16:00:00,100.70000,100.71000,100.50000,100.58000,9000,0
07/24/2007,16:00:00,100.28000,100.51000,99.86000,100.00000,44900,0
07/25/2007,16:00:00,99.62000,99.90000,98.68000,99.05000,28400,0
07/26/2007,16:00:00,98.50000,99.50000,96.39000,97.65000,43200,0
07/27/2007,16:00:00,96.70000,97.00000,95.49000,96.02000,44500,0
07/30/2007,16:00:00,96.99000,97.02000,96.35000,96.95000,24600,0
