Date,Time,Open,High,Low,Close,Vol,OI
02/12/2001,16:00:00,33.50000,34.67000,33.50000,34.50000,97200,0
02/13/2001,16:00:00,35.00000,35.40000,33.35000,33.48000,51600,0
02/14/2001,16:00:00,33.57000,33.57000,32.12000,32.90000,24600,0
02/15/2001,16:00:00,33.33000,33.33000,32.93000,33.25000,23400,0
02/16/2001,16:00:00,32.47000,32.82000,32.10000,32.25000,24300,0
02/20/2001,16:00:00,32.42000,32.42000,31.42000,31.82000,32700,0
02/21/2001,16:00:00,31.78000,32.75000,31.48000,31.48000,58800,0
02/22/2001,16:00:00,31.55000,31.78000,30.33000,30.33000,21000,0
02/23/2001,16:00:00,30.63000,31.62000,30.52000,31.62000,17100,0
02/26/2001,16:00:00,32.07000,33.32000,32.07000,33.18000,130500,0
02/27/2001,16:00:00,33.33000,33.33000,32.27000,32.33000,61200,0
02/28/2001,16:00:00,32.47000,33.10000,31.68000,32.30000,22200,0
03/01/2001,16:00:00,31.97000,31.97000,30.60000,31.73000,32400,0
03/02/2001,16:00:00,31.20000,32.65000,31.17000,31.92000,30000,0
03/05/2001,16:00:00,32.02000,32.18000,31.38000,31.62000,45300,0
03/06/2001,16:00:00,31.98000,32.13000,31.42000,31.57000,19500,0
03/07/2001,16:00:00,31.60000,31.60000,30.58000,30.68000,36600,0
03/08/2001,16:00:00,30.43000,30.44000,29.50000,29.65000,45300,0
03/09/2001,16:00:00,29.27000,29.97000,28.83000,28.83000,36300,0
03/12/2001,16:00:00,28.42000,28.42000,26.33000,26.33000,49500,0
03/13/2001,16:00:00,26.53000,27.47000,26.28000,27.30000,32100,0
03/14/2001,16:00:00,26.17000,27.75000,26.17000,26.78000,42900,0
03/15/2001,16:00:00,27.53000,27.53000,26.85000,26.85000,21600,0
03/16/2001,16:00:00,26.80000,26.80000,25.32000,25.32000,24000,0
03/19/2001,16:00:00,25.60000,26.42000,25.37000,26.42000,27300,0
03/20/2001,16:00:00,26.67000,26.67000,25.07000,25.07000,32400,0
03/21/2001,16:00:00,25.20000,25.20000,22.93000,23.08000,72600,0
03/22/2001,16:00:00,22.50000,22.63000,20.33000,22.63000,206700,0
03/23/2001,16:00:00,23.17000,23.80000,22.88000,23.80000,26700,0
03/26/2001,16:00:00,24.43000,25.32000,24.43000,24.88000,192000,0
03/27/2001,16:00:00,25.00000,25.65000,24.77000,25.65000,48300,0
03/28/2001,16:00:00,24.85000,25.53000,24.85000,25.03000,20700,0
03/29/2001,16:00:00,24.98000,25.98000,24.97000,25.01000,28800,0
03/30/2001,16:00:00,25.60000,25.63000,25.08000,25.47000,179700,0
04/02/2001,16:00:00,25.20000,25.22000,23.82000,23.83000,612600,0
04/03/2001,16:00:00,23.47000,23.62000,22.42000,22.53000,41700,0
04/04/2001,16:00:00,22.62000,23.13000,22.27000,22.53000,171300,0
04/05/2001,16:00:00,23.33000,24.37000,23.17000,24.33000,33600,0
04/06/2001,16:00:00,23.63000,25.02000,23.63000,24.07000,117600,0
04/09/2001,16:00:00,24.35000,24.83000,24.35000,24.75000,10500,0
04/10/2001,16:00:00,25.12000,26.20000,25.12000,26.07000,108300,0
04/11/2001,16:00:00,26.77000,26.77000,25.58000,25.73000,120600,0
04/12/2001,16:00:00,25.82000,27.10000,25.82000,27.08000,105000,0
04/16/2001,16:00:00,27.40000,27.52000,26.67000,26.67000,26100,0
04/17/2001,16:00:00,26.18000,27.47000,26.18000,27.37000,25500,0
04/18/2001,16:00:00,28.43000,29.62000,28.11000,29.50000,107100,0
04/19/2001,16:00:00,29.50000,29.50000,28.87000,29.50000,61200,0
04/20/2001,16:00:00,28.93000,28.97000,28.40000,28.77000,40800,0
04/23/2001,16:00:00,28.33000,28.47000,27.83000,27.98000,63900,0
04/24/2001,16:00:00,27.73000,27.80000,26.68000,26.68000,149100,0
04/25/2001,16:00:00,26.73000,28.08000,26.73000,27.85000,143400,0
04/26/2001,16:00:00,28.22000,28.63000,28.00000,28.00000,66900,0
04/27/2001,16:00:00,28.70000,29.32000,28.70000,29.13000,39900,0
04/30/2001,16:00:00,29.90000,31.07000,29.73000,30.42000,148800,0
05/01/2001,16:00:00,30.48000,30.78000,29.77000,30.65000,209700,0
05/02/2001,16:00:00,30.90000,30.93000,30.08000,30.66000,130800,0
05/03/2001,16:00:00,30.08000,30.08000,29.27000,29.32000,123900,0
05/04/2001,16:00:00,28.50000,30.40000,28.37000,30.40000,398400,0
05/07/2001,16:00:00,30.63000,30.95000,30.47000,30.62000,48600,0
05/08/2001,16:00:00,30.90000,30.95000,30.30000,30.78000,16500,0
