Date,Time,Open,High,Low,Close,Vol,OI
06/29/2000,16:00:00,51.75000,51.84000,51.03000,51.19000,212200,0
06/30/2000,16:00:00,51.22000,51.68000,50.80000,51.68000,1171800,0
07/03/2000,16:00:00,51.56000,52.41000,51.50000,52.41000,15800,0
07/05/2000,16:00:00,52.11000,52.13000,51.63000,51.81000,138800,0
07/06/2000,16:00:00,51.83000,52.42000,51.34000,52.42000,154600,0
07/07/2000,16:00:00,52.43000,52.95000,52.43000,52.75000,71800,0
07/10/2000,16:00:00,52.72000,53.22000,52.72000,53.03000,21400,0
07/11/2000,16:00:00,53.00000,53.30000,52.84000,53.03000,253200,0
07/12/2000,16:00:00,53.31000,54.09000,53.25000,54.09000,45200,0
07/13/2000,16:00:00,54.14000,54.27000,54.00000,54.27000,102600,0
07/14/2000,16:00:00,54.55000,54.55000,53.88000,54.31000,54800,0
07/17/2000,16:00:00,54.36000,54.59000,54.22000,54.50000,46600,0
07/18/2000,16:00:00,54.14000,54.14000,53.56000,53.56000,235400,0
07/19/2000,16:00:00,53.39000,53.39000,52.63000,52.63000,35400,0
07/20/2000,16:00:00,53.13000,53.50000,53.13000,53.50000,150400,0
07/21/2000,16:00:00,53.19000,53.19000,52.03000,52.03000,150600,0
07/24/2000,16:00:00,52.31000,52.31000,51.16000,51.19000,31800,0
07/25/2000,16:00:00,51.68000,51.68000,51.06000,51.38000,36600,0
07/26/2000,16:00:00,51.00000,51.13000,50.47000,51.13000,12000,0
07/27/2000,16:00:00,51.18000,51.18000,49.88000,49.88000,275000,0
07/28/2000,16:00:00,50.16000,50.16000,48.88000,49.00000,171600,0
07/31/2000,16:00:00,49.25000,50.25000,48.69000,50.25000,166400,0
08/01/2000,16:00:00,49.88000,50.06000,49.64000,49.92000,263400,0
08/02/2000,16:00:00,49.63000,50.28000,49.50000,50.00000,388600,0
08/03/2000,16:00:00,49.09000,50.06000,49.06000,50.06000,480400,0
08/04/2000,16:00:00,50.56000,50.58000,49.92000,50.22000,570400,0
08/07/2000,16:00:00,50.41000,51.15000,50.41000,51.15000,88200,0
08/08/2000,16:00:00,51.00000,51.19000,50.91000,50.91000,49600,0
08/09/2000,16:00:00,51.28000,51.28000,50.54000,50.54000,23000,0
08/10/2000,16:00:00,50.55000,50.59000,50.09000,50.25000,39800,0
08/11/2000,16:00:00,49.75000,51.13000,49.75000,51.13000,74000,0
08/14/2000,16:00:00,50.97000,51.56000,50.94000,51.55000,47800,0
08/15/2000,16:00:00,51.55000,51.63000,50.91000,50.91000,189200,0
08/16/2000,16:00:00,51.13000,51.53000,50.94000,51.16000,219400,0
08/17/2000,16:00:00,51.34000,51.84000,51.22000,51.63000,358800,0
08/18/2000,16:00:00,51.81000,51.94000,51.44000,51.55000,52200,0
08/21/2000,16:00:00,51.88000,51.92000,51.41000,51.73000,129200,0
08/22/2000,16:00:00,51.77000,52.09000,51.66000,51.66000,195600,0
08/23/2000,16:00:00,51.59000,51.75000,51.38000,51.73000,153000,0
08/24/2000,16:00:00,51.86000,52.63000,51.86000,52.34000,276200,0
08/25/2000,16:00:00,52.38000,52.69000,52.22000,52.56000,208600,0
08/28/2000,16:00:00,52.81000,53.13000,52.56000,52.66000,156000,0
08/29/2000,16:00:00,52.97000,53.13000,52.66000,53.13000,31600,0
08/30/2000,16:00:00,53.11000,53.43000,52.92000,53.22000,619000,0
08/31/2000,16:00:00,53.41000,54.16000,53.41000,53.75000,151200,0
09/01/2000,16:00:00,54.00000,54.28000,53.74000,54.19000,186800,0
09/05/2000,16:00:00,54.12000,54.28000,53.81000,53.81000,110400,0
09/06/2000,16:00:00,54.06000,54.06000,53.50000,53.58000,217800,0
09/07/2000,16:00:00,53.81000,54.41000,53.81000,54.38000,213800,0
09/08/2000,16:00:00,54.10000,54.22000,53.44000,53.44000,128600,0
09/11/2000,16:00:00,53.72000,53.92000,53.31000,53.50000,314600,0
09/12/2000,16:00:00,53.81000,53.81000,53.25000,53.33000,93000,0
09/13/2000,16:00:00,53.09000,53.69000,53.09000,53.59000,81200,0
09/14/2000,16:00:00,53.83000,54.11000,53.59000,53.91000,114000,0
09/15/2000,16:00:00,53.63000,53.69000,52.81000,52.91000,67000,0
09/18/2000,16:00:00,53.14000,53.14000,51.51000,51.66000,201400,0
09/19/2000,16:00:00,51.98000,52.72000,51.63000,52.50000,54800,0
09/20/2000,16:00:00,52.31000,52.31000,51.63000,51.91000,42600,0
09/21/2000,16:00:00,52.00000,52.00000,50.94000,50.94000,207400,0
09/22/2000,16:00:00,50.00000,51.59000,50.00000,51.59000,127600,0
09/25/2000,16:00:00,52.18000,52.18000,51.63000,51.66000,113800,0
09/26/2000,16:00:00,51.63000,51.63000,50.66000,50.92000,65200,0
09/27/2000,16:00:00,51.16000,51.41000,50.50000,50.69000,43600,0
09/28/2000,16:00:00,50.81000,52.16000,50.78000,52.06000,121000,0
09/29/2000,16:00:00,52.02000,52.20000,51.81000,51.81000,130400,0
10/02/2000,16:00:00,52.20000,52.20000,50.97000,50.97000,169600,0
10/03/2000,16:00:00,51.59000,51.59000,50.50000,50.50000,77200,0
10/04/2000,16:00:00,50.45000,50.81000,49.81000,50.58000,99800,0
10/05/2000,16:00:00,50.63000,50.81000,50.03000,50.06000,408800,0
10/06/2000,16:00:00,50.16000,50.16000,48.78000,48.84000,185600,0
10/09/2000,16:00:00,48.88000,48.88000,48.31000,48.73000,361800,0
10/10/2000,16:00:00,48.80000,49.05000,47.56000,47.56000,420400,0
10/11/2000,16:00:00,47.72000,47.81000,47.00000,47.41000,168200,0
10/12/2000,16:00:00,47.84000,47.84000,45.97000,45.97000,161400,0
10/13/2000,16:00:00,46.09000,48.14000,46.06000,47.75000,378800,0
10/16/2000,16:00:00,48.00000,48.53000,47.72000,48.13000,1098000,0
10/17/2000,16:00:00,48.13000,48.26000,46.57000,46.91000,265800,0
10/18/2000,16:00:00,45.82000,46.81000,45.63000,46.53000,343600,0
10/19/2000,16:00:00,47.28000,48.09000,47.28000,47.97000,150600,0
10/20/2000,16:00:00,48.34000,49.03000,48.32000,48.58000,264800,0
10/23/2000,16:00:00,48.84000,49.13000,48.66000,49.06000,143200,0
10/24/2000,16:00:00,49.22000,49.53000,48.34000,48.34000,73800,0
10/25/2000,16:00:00,48.25000,48.50000,47.27000,47.27000,33000,0
10/26/2000,16:00:00,47.71000,48.00000,46.84000,48.00000,105800,0
10/27/2000,16:00:00,47.63000,48.25000,47.63000,48.03000,138800,0
10/30/2000,16:00:00,47.94000,48.53000,47.53000,48.25000,73600,0
10/31/2000,16:00:00,48.44000,49.68000,48.44000,49.50000,285000,0
11/01/2000,16:00:00,49.34000,49.75000,49.28000,49.53000,528200,0
11/02/2000,16:00:00,49.89000,50.81000,49.88000,50.72000,211800,0
11/03/2000,16:00:00,50.80000,50.81000,50.38000,50.66000,224200,0
11/06/2000,16:00:00,51.09000,51.09000,50.22000,50.27000,68200,0
11/07/2000,16:00:00,50.30000,50.69000,50.06000,50.69000,79400,0
11/08/2000,16:00:00,50.72000,50.75000,49.78000,49.78000,192600,0
11/09/2000,16:00:00,49.38000,49.69000,48.53000,49.25000,249000,0
11/10/2000,16:00:00,49.38000,49.38000,48.00000,48.00000,189000,0
11/13/2000,16:00:00,47.50000,47.89000,46.31000,47.52000,160800,0
11/14/2000,16:00:00,48.44000,48.81000,48.38000,48.66000,129600,0
11/15/2000,16:00:00,48.72000,49.50000,48.56000,49.28000,542200,0
11/16/2000,16:00:00,48.64000,49.23000,47.84000,47.84000,165400,0
11/17/2000,16:00:00,48.50000,48.89000,48.03000,48.16000,215400,0
11/20/2000,16:00:00,47.69000,47.84000,46.88000,46.91000,79800,0
11/21/2000,16:00:00,47.06000,47.06000,46.44000,46.63000,84400,0
11/22/2000,16:00:00,46.28000,46.50000,45.47000,45.66000,123400,0
11/24/2000,16:00:00,46.20000,47.09000,46.06000,46.94000,82200,0
11/27/2000,16:00:00,47.91000,48.05000,47.06000,47.06000,235600,0
