Date,Time,Open,High,Low,Close,Vol,OI
06/20/2000,16:00:00,35.13000,35.18000,35.13000,35.18000,400,0
06/21/2000,16:00:00,35.39000,35.39000,35.35000,35.35000,20600,0
06/22/2000,16:00:00,35.37000,35.37000,35.37000,35.37000,400,0
06/23/2000,16:00:00,35.37000,35.37000,35.37000,35.37000,0,0
06/26/2000,16:00:00,35.13000,35.13000,34.88000,34.88000,2000,0
06/27/2000,16:00:00,35.36000,35.38000,35.36000,35.38000,2600,0
06/28/2000,16:00:00,35.38000,35.38000,35.38000,35.38000,0,0
06/29/2000,16:00:00,35.38000,35.38000,35.38000,35.38000,0,0
06/30/2000,16:00:00,35.80000,35.81000,35.38000,35.38000,2800,0
07/03/2000,16:00:00,35.42000,35.58000,35.42000,35.58000,45400,0
07/05/2000,16:00:00,35.63000,35.91000,35.59000,35.91000,32600,0
07/06/2000,16:00:00,35.75000,36.13000,35.75000,36.02000,6600,0
07/07/2000,16:00:00,36.11000,36.39000,36.11000,36.28000,8400,0
07/10/2000,16:00:00,36.36000,36.38000,36.25000,36.25000,10400,0
07/11/2000,16:00:00,36.23000,36.23000,36.23000,36.23000,200,0
07/12/2000,16:00:00,36.25000,36.25000,36.06000,36.06000,8800,0
07/13/2000,16:00:00,36.03000,36.03000,36.03000,36.03000,4000,0
07/14/2000,16:00:00,36.00000,36.03000,35.95000,35.95000,58000,0
07/17/2000,16:00:00,36.11000,36.11000,36.11000,36.11000,1200,0
07/18/2000,16:00:00,36.22000,36.22000,36.22000,36.22000,400,0
07/19/2000,16:00:00,35.73000,35.88000,35.63000,35.78000,98400,0
07/20/2000,16:00:00,35.91000,35.91000,35.83000,35.83000,2200,0
07/21/2000,16:00:00,36.33000,36.38000,36.31000,36.34000,3000,0
07/24/2000,16:00:00,36.50000,36.64000,36.44000,36.64000,5200,0
07/25/2000,16:00:00,36.66000,36.66000,36.63000,36.63000,5600,0
07/26/2000,16:00:00,36.75000,37.15000,36.75000,37.15000,5200,0
07/27/2000,16:00:00,37.20000,37.59000,37.20000,37.56000,121200,0
07/28/2000,16:00:00,37.55000,37.55000,37.55000,37.55000,200,0
07/31/2000,16:00:00,37.63000,37.63000,37.22000,37.30000,78800,0
08/01/2000,16:00:00,37.69000,38.09000,37.66000,38.09000,420400,0
08/02/2000,16:00:00,38.17000,38.17000,38.11000,38.16000,13800,0
08/03/2000,16:00:00,38.06000,38.06000,37.66000,37.88000,13400,0
08/04/2000,16:00:00,37.55000,37.55000,37.09000,37.28000,175200,0
08/07/2000,16:00:00,37.42000,37.55000,37.25000,37.28000,63800,0
08/08/2000,16:00:00,37.13000,37.41000,37.13000,37.34000,159800,0
08/09/2000,16:00:00,37.47000,37.47000,37.36000,37.38000,3800,0
08/10/2000,16:00:00,37.56000,37.61000,37.46000,37.58000,8200,0
08/11/2000,16:00:00,37.58000,37.67000,37.56000,37.63000,23600,0
08/14/2000,16:00:00,37.56000,37.72000,37.56000,37.72000,600,0
08/15/2000,16:00:00,37.56000,37.63000,37.50000,37.50000,17400,0
08/16/2000,16:00:00,37.50000,37.70000,37.50000,37.63000,13400,0
08/17/2000,16:00:00,37.73000,37.73000,37.68000,37.68000,3600,0
