Date,Time,Open,High,Low,Close,Vol,OI
12/05/2007,16:00:00,143.70000,143.70000,143.70000,143.70000,2000,0
12/06/2007,16:00:00,143.22000,143.34000,143.22000,143.34000,1033,0
12/07/2007,16:00:00,143.40000,143.43000,143.40000,143.43000,4266,0
12/10/2007,16:00:00,143.79000,144.12000,143.76000,144.12000,2566,0
12/11/2007,16:00:00,144.57000,144.69000,144.00000,144.00000,2133,0
12/12/2007,16:00:00,144.39000,144.39000,143.64000,143.64000,3500,0
12/13/2007,16:00:00,144.06000,144.06000,143.67000,143.67000,1966,0
12/14/2007,16:00:00,144.15000,144.15000,143.67000,143.67000,1000,0
12/17/2007,16:00:00,144.21000,144.21000,143.64000,143.79000,300,0
12/18/2007,16:00:00,144.36000,144.36000,144.18000,144.18000,66,0
12/19/2007,16:00:00,143.67000,144.09000,143.58000,144.09000,333,0
12/20/2007,16:00:00,144.42000,144.42000,143.87000,144.03000,600,0
12/21/2007,16:00:00,143.91000,144.33000,143.78000,143.78000,500,0
12/24/2007,16:00:00,143.88000,143.88000,143.61000,143.61000,1466,0
12/26/2007,16:00:00,143.70000,143.70000,143.37000,143.55000,733,0
12/28/2007,16:00:00,143.76000,143.76000,143.04000,143.67000,2400,0
12/31/2007,16:00:00,143.82000,143.94000,143.40000,143.61000,1266,0
01/02/2008,16:00:00,143.94000,143.97000,143.91000,143.91000,766,0
01/03/2008,16:00:00,144.06000,144.06000,142.65000,142.65000,1433,0
01/04/2008,16:00:00,143.19000,143.19000,140.49000,141.30000,6700,0
01/07/2008,16:00:00,142.41000,142.41000,141.24000,142.11000,1133,0
01/08/2008,16:00:00,142.80000,142.80000,141.00000,142.47000,1433,0
01/09/2008,16:00:00,141.72000,142.59000,141.09000,141.09000,1400,0
01/10/2008,16:00:00,141.30000,141.30000,138.00000,140.31000,12700,0
01/11/2008,16:00:00,140.55000,140.73000,138.78000,139.74000,1666,0
01/14/2008,16:00:00,140.19000,140.58000,139.69000,139.80000,566,0
01/15/2008,16:00:00,139.44000,139.44000,139.14000,139.14000,466,0
01/16/2008,16:00:00,140.37000,140.37000,139.89000,139.89000,1766,0
01/17/2008,16:00:00,138.60000,138.87000,136.80000,137.70000,1133,0
01/18/2008,16:00:00,138.00000,138.54000,137.80000,137.80000,600,0
01/22/2008,16:00:00,138.00000,138.00000,136.47000,137.97000,2600,0
01/23/2008,16:00:00,137.46000,138.03000,136.56000,137.94000,1400,0
01/24/2008,16:00:00,138.27000,138.45000,137.64000,137.64000,1533,0
01/25/2008,16:00:00,138.93000,138.93000,132.93000,136.11000,8533,0
01/28/2008,16:00:00,136.50000,137.25000,136.20000,137.22000,13045,0
01/29/2008,16:00:00,137.55000,137.70000,136.92000,137.40000,23200,0
01/30/2008,16:00:00,139.20000,141.00000,139.02000,139.80000,489539,0
01/31/2008,16:00:00,139.50000,140.40000,138.75000,140.25000,12488,0
02/01/2008,16:00:00,140.73000,143.88000,140.07000,140.07000,24089,0
02/04/2008,16:00:00,140.79000,140.94000,137.85000,138.00000,13712,0
02/05/2008,16:00:00,137.97000,137.97000,136.80000,137.61000,7983,0
02/06/2008,16:00:00,138.57000,138.57000,136.50000,137.25000,7163,0
02/07/2008,16:00:00,135.75000,136.95000,135.75000,136.32000,43400,0
02/08/2008,16:00:00,136.42000,136.42000,135.84000,136.14000,16002,0
02/11/2008,16:00:00,135.53000,135.69000,135.48000,135.69000,5376,0
02/12/2008,16:00:00,135.30000,136.05000,135.15000,136.05000,4533,0
02/13/2008,16:00:00,135.18000,136.20000,135.18000,135.90000,6900,0
02/14/2008,16:00:00,136.95000,137.37000,135.03000,136.05000,7300,0
02/15/2008,16:00:00,135.18000,135.45000,134.70000,135.45000,16958,0
02/19/2008,16:00:00,136.50000,136.50000,135.00000,136.11000,21939,0
02/20/2008,16:00:00,136.17000,136.17000,135.33000,135.90000,8572,0
02/21/2008,16:00:00,135.24000,135.90000,135.15000,135.48000,4811,0
02/22/2008,16:00:00,135.44000,135.57000,135.24000,135.57000,472797,0
02/25/2008,16:00:00,135.27000,136.20000,134.10000,135.30000,20730,0
02/26/2008,16:00:00,136.20000,136.44000,134.99000,135.57000,7936,0
02/27/2008,16:00:00,136.32000,136.32000,134.96000,135.15000,8900,0
02/28/2008,16:00:00,135.00000,135.45000,134.64000,135.12000,15656,0
02/29/2008,16:00:00,134.88000,136.47000,133.20000,134.55000,11895,0
03/03/2008,16:00:00,136.32000,138.72000,133.44000,134.37000,25556,0
03/04/2008,16:00:00,135.09000,135.18000,133.20000,133.93000,9580,0
03/05/2008,16:00:00,134.85000,134.85000,132.75000,134.13000,7033,0
03/06/2008,16:00:00,134.04000,134.10000,133.50000,134.07000,7767,0
03/07/2008,16:00:00,133.44000,133.77000,133.35000,133.69000,6931,0
03/10/2008,16:00:00,134.07000,134.07000,132.95000,133.35000,11500,0
03/11/2008,16:00:00,133.35000,133.77000,133.29000,133.50000,12835,0
03/12/2008,16:00:00,133.50000,133.50000,132.75000,132.90000,8953,0
03/13/2008,16:00:00,132.57000,132.57000,131.49000,132.00000,4769,0
03/14/2008,16:00:00,132.00000,132.27000,128.97000,130.77000,5158,0
03/17/2008,16:00:00,131.04000,131.04000,129.69000,130.20000,22633,0
03/18/2008,16:00:00,130.05000,131.97000,130.05000,131.25000,9734,0
03/19/2008,16:00:00,133.62000,133.62000,130.95000,130.95000,21866,0
03/20/2008,16:00:00,131.22000,131.82000,131.10000,131.82000,7800,0
03/24/2008,16:00:00,132.57000,132.96000,132.41000,132.77000,13396,0
03/25/2008,16:00:00,133.17000,133.50000,132.69000,133.44000,43203,0
03/26/2008,16:00:00,133.68000,135.09000,133.47000,133.56000,16211,0
03/27/2008,16:00:00,133.50000,134.03000,133.23000,133.41000,67263,0
03/28/2008,16:00:00,133.77000,134.46000,133.66000,134.25000,17830,0
03/31/2008,16:00:00,134.07000,134.40000,133.56000,134.25000,26233,0
