Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,1.23980,1.24270,1.23860,1.24000,7176,90182
05/16/2001,17:00:00,1.23940,1.24090,1.23800,1.23960,12190,93982
05/17/2001,17:00:00,1.24590,1.24650,1.24070,1.24570,11433,93118
05/18/2001,17:00:00,1.24570,1.24570,1.23720,1.23830,8915,93822
05/21/2001,17:00:00,1.23840,1.24560,1.23800,1.24540,11005,86063
05/22/2001,17:00:00,1.24490,1.24630,1.24040,1.24450,20700,95360
05/23/2001,17:00:00,1.24340,1.26740,1.24320,1.26420,16909,85364
05/24/2001,17:00:00,1.26160,1.27050,1.26020,1.26220,9147,83598
05/25/2001,17:00:00,1.25860,1.26050,1.25700,1.25820,7140,82771
05/28/2001,17:00:00,1.26360,1.26360,1.25410,1.25820,698,82771
05/29/2001,17:00:00,1.25840,1.26240,1.25270,1.26160,11171,84246
05/30/2001,17:00:00,1.25970,1.26180,1.25830,1.25980,17709,82984
05/31/2001,17:00:00,1.25900,1.27240,1.25830,1.26770,32809,81814
06/01/2001,17:00:00,1.27200,1.27200,1.26670,1.26810,8265,80527
06/04/2001,17:00:00,1.26710,1.26950,1.26260,1.26640,14067,79847
06/05/2001,17:00:00,1.26650,1.27060,1.25850,1.25930,18788,78818
06/06/2001,17:00:00,1.25970,1.26040,1.25570,1.25890,18642,77082
06/07/2001,17:00:00,1.26020,1.26380,1.25920,1.26100,11743,76712
06/08/2001,17:00:00,1.26050,1.26050,1.25390,1.25430,27857,68786
06/11/2001,17:00:00,1.25470,1.25500,1.24670,1.24780,13698,57358
06/12/2001,17:00:00,1.24900,1.25000,1.24680,1.24830,6722,50080
06/13/2001,17:00:00,1.24190,1.24940,1.23670,1.24660,18516,52664
06/14/2001,17:00:00,1.23820,1.25260,1.23770,1.25110,21046,58030
06/15/2001,17:00:00,1.24160,1.25420,1.23160,1.23920,9654,61962
06/18/2001,17:00:00,1.22440,1.23990,1.22440,1.23730,8736,59690
06/19/2001,17:00:00,1.22980,1.24180,1.22980,1.23890,12731,55628
06/20/2001,17:00:00,1.23700,1.23820,1.23220,1.23480,12629,57332
06/21/2001,17:00:00,1.23240,1.23260,1.22910,1.22990,8228,61851
06/22/2001,17:00:00,1.22860,1.23360,1.22790,1.22990,8420,61426
06/25/2001,17:00:00,1.23010,1.23420,1.22920,1.23350,7123,61513
06/26/2001,17:00:00,1.23410,1.23680,1.23200,1.23400,8922,61587
06/27/2001,17:00:00,1.23270,1.23390,1.22930,1.23050,12192,62313
06/28/2001,17:00:00,1.22950,1.23090,1.22570,1.22750,10488,66723
06/29/2001,17:00:00,1.22680,1.23370,1.22620,1.22710,15629,69353
07/02/2001,17:00:00,1.22670,1.23110,1.22540,1.22930,8248,69043
07/03/2001,17:00:00,1.23100,1.23420,1.22790,1.22930,9931,71061
07/05/2001,17:00:00,1.22920,1.23020,1.21980,1.22020,13599,76469
07/06/2001,17:00:00,1.22040,1.22220,1.21750,1.21850,11720,78645
07/09/2001,17:00:00,1.21900,1.22320,1.21880,1.22220,9277,87706
07/10/2001,17:00:00,1.22350,1.22360,1.21910,1.22250,9655,94567
07/11/2001,17:00:00,1.22210,1.23220,1.22010,1.22890,21150,92924
07/12/2001,17:00:00,1.22900,1.23450,1.22760,1.23240,14421,88844
07/13/2001,17:00:00,1.23170,1.23210,1.22420,1.22510,14286,90906
07/16/2001,17:00:00,1.22580,1.22590,1.22100,1.22150,9314,91310
07/17/2001,17:00:00,1.22120,1.22620,1.22010,1.22360,12605,101677
07/18/2001,17:00:00,1.22470,1.23200,1.22100,1.23090,21103,99651
07/19/2001,17:00:00,1.23090,1.23620,1.22920,1.23440,14862,98566
07/20/2001,17:00:00,1.23460,1.23890,1.23170,1.23810,16649,98624
07/23/2001,17:00:00,1.23590,1.23590,1.22690,1.22740,11563,99782
07/24/2001,17:00:00,1.22720,1.23110,1.22720,1.23080,8834,99101
07/25/2001,17:00:00,1.22940,1.23390,1.22710,1.23240,12317,99369
07/26/2001,17:00:00,1.23210,1.23520,1.22920,1.23160,8943,97536
07/27/2001,17:00:00,1.23160,1.23500,1.22870,1.23220,12127,96870
07/30/2001,17:00:00,1.23440,1.23460,1.22060,1.22220,13088,102843
07/31/2001,17:00:00,1.22200,1.22540,1.22150,1.22240,9227,104553
08/01/2001,17:00:00,1.22270,1.22640,1.22170,1.22520,9133,104811
08/02/2001,17:00:00,1.22530,1.23200,1.22470,1.23070,16982,104547
08/03/2001,17:00:00,1.23130,1.23380,1.22890,1.23120,10275,103487
08/06/2001,17:00:00,1.23120,1.23120,1.22730,1.22990,6448,103200
08/07/2001,17:00:00,1.22970,1.23280,1.22800,1.23230,6235,103200
08/08/2001,17:00:00,1.23170,1.23680,1.23090,1.23280,17138,103251
08/09/2001,17:00:00,1.23110,1.24670,1.22880,1.24310,28995,103620
08/10/2001,17:00:00,1.24290,1.24340,1.23770,1.24170,17439,98350
08/13/2001,17:00:00,1.24190,1.24590,1.23780,1.23860,12160,97451
08/14/2001,17:00:00,1.23860,1.24720,1.23320,1.24400,23582,99454
