Date,Time,Open,High,Low,Close,Vol,OI
01/03/1980,13:30:00,363.70000,363.95000,357.95000,358.95000,1440,7774
01/04/1980,13:30:00,360.95000,365.70000,360.70000,363.61000,1292,7552
01/07/1980,13:30:00,363.05000,366.45000,362.45000,366.03000,1016,7250
01/08/1980,13:30:00,367.95000,370.85000,366.45000,368.02000,1247,7180
01/09/1980,13:30:00,365.95000,366.85000,363.55000,363.61000,771,7184
01/10/1980,13:30:00,363.45000,367.35000,362.70000,366.95000,809,7054
01/11/1980,13:30:00,368.45000,371.20000,368.45000,370.47000,912,6902
01/14/1980,13:30:00,369.70000,369.95000,363.65000,366.43000,720,6867
01/15/1980,13:30:00,363.95000,364.45000,360.70000,360.81000,1180,6490
01/16/1980,13:30:00,359.96000,360.95000,358.70000,360.81000,1520,5641
01/17/1980,13:30:00,361.05000,362.20000,359.45000,361.38000,1005,5214
01/18/1980,13:30:00,361.38000,361.40000,358.70000,361.24000,1164,4738
01/21/1980,13:30:00,359.95000,360.40000,358.45000,360.14000,586,4666
01/22/1980,13:30:00,359.20000,359.70000,353.70000,354.89000,1091,4422
01/23/1980,13:30:00,351.95000,352.45000,348.25000,349.92000,1257,4273
01/24/1980,13:30:00,351.45000,352.70000,349.70000,352.52000,1295,4036
01/25/1980,13:30:00,350.45000,351.45000,347.55000,351.20000,1460,3922
01/28/1980,13:30:00,349.45000,354.20000,349.45000,352.93000,624,3762
01/29/1980,13:30:00,352.20000,352.95000,351.50000,352.45000,395,3712
01/30/1980,13:30:00,351.70000,352.75000,350.40000,352.45000,779,3513
01/31/1980,13:30:00,351.20000,353.95000,351.10000,353.84000,816,3489
02/01/1980,13:30:00,354.95000,356.20000,354.45000,356.06000,688,3497
02/04/1980,13:30:00,355.45000,356.69000,354.95000,356.40000,592,2905
02/05/1980,13:30:00,355.95000,356.70000,353.45000,353.45000,328,2908
02/06/1980,13:30:00,351.55000,355.45000,350.45000,355.05000,939,2912
02/07/1980,13:30:00,352.45000,354.95000,351.45000,353.63000,337,2914
02/08/1980,13:30:00,353.10000,355.45000,352.05000,353.80000,231,2890
02/11/1980,13:30:00,351.20000,353.35000,351.20000,352.73000,184,2810
02/13/1980,13:30:00,350.87000,352.07000,350.12000,351.23000,1175,5145
02/14/1980,13:30:00,350.37000,351.77000,350.37000,350.82000,732,5074
02/15/1980,13:30:00,352.37000,354.82000,352.37000,354.82000,1125,4884
02/19/1980,13:30:00,356.87000,358.62000,355.97000,358.37000,2306,4682
02/20/1980,13:30:00,356.92000,358.87000,356.92000,358.59000,1644,5147
02/21/1980,13:30:00,357.87000,360.17000,357.87000,359.77000,1966,5293
02/22/1980,13:30:00,360.87000,362.37000,360.87000,361.45000,1551,4911
02/25/1980,13:30:00,362.87000,364.27000,361.87000,363.95000,1741,5190
02/26/1980,13:30:00,364.17000,365.62000,363.52000,365.26000,1824,5357
02/27/1980,13:30:00,363.76000,368.37000,362.92000,364.71000,1674,5475
02/28/1980,13:30:00,363.77000,366.87000,363.62000,366.48000,1701,5681
02/29/1980,13:30:00,365.62000,367.37000,365.37000,367.13000,2744,5560
03/03/1980,13:30:00,366.62000,370.87000,366.37000,370.86000,1752,5439
03/04/1980,13:30:00,370.87000,374.62000,370.87000,374.62000,2291,5438
03/05/1980,13:30:00,377.37000,378.62000,377.12000,378.35000,2083,5323
03/06/1980,13:30:00,375.62000,376.17000,374.35000,374.35000,1522,5124
03/07/1980,13:30:00,371.86000,375.62000,371.37000,375.35000,3001,5347
03/10/1980,13:30:00,374.17000,376.62000,374.17000,376.07000,1838,4793
03/11/1980,13:30:00,374.17000,375.37000,372.92000,374.52000,2427,4696
03/12/1980,13:30:00,374.62000,376.47000,374.37000,374.82000,1641,4664
03/13/1980,13:30:00,373.37000,375.37000,370.87000,374.79000,2944,4727
03/14/1980,13:30:00,372.87000,374.87000,372.12000,374.42000,1754,4774
03/17/1980,13:30:00,372.87000,373.37000,371.37000,372.48000,1324,4562
03/18/1980,13:30:00,371.37000,372.87000,370.87000,371.16000,1052,4413
03/19/1980,13:30:00,372.27000,372.77000,371.37000,371.90000,1017,4376
03/20/1980,13:30:00,372.12000,374.37000,372.12000,374.25000,1461,4439
03/21/1980,13:30:00,375.37000,375.77000,374.37000,374.81000,1250,4371
03/24/1980,13:30:00,374.37000,374.37000,372.87000,373.40000,683,4281
03/25/1980,13:30:00,372.22000,372.47000,369.62000,371.57000,1262,4220
03/26/1980,13:30:00,369.87000,372.37000,369.87000,372.21000,1157,4261
03/27/1980,13:30:00,370.88000,371.87000,369.87000,371.45000,737,4211
03/28/1980,13:30:00,369.87000,370.12000,367.12000,369.11000,886,4348
03/31/1980,13:30:00,367.37000,367.62000,364.62000,366.12000,528,4003
04/01/1980,13:30:00,364.87000,367.87000,361.62000,362.86000,572,3892
04/02/1980,13:30:00,363.12000,363.37000,362.37000,363.19000,414,3749
04/03/1980,13:30:00,363.87000,368.37000,363.87000,367.91000,946,3565
04/07/1980,13:30:00,367.17000,370.87000,367.17000,370.10000,457,3510
04/08/1980,13:30:00,368.87000,370.57000,368.87000,370.21000,410,3282
04/09/1980,13:30:00,370.22000,370.37000,367.87000,368.58000,314,3205
04/10/1980,13:30:00,369.12000,369.77000,367.87000,369.59000,523,3071
04/11/1980,13:30:00,370.87000,371.87000,370.12000,370.63000,498,3042
04/14/1980,13:30:00,370.00000,370.10000,368.25000,369.89000,1307,3391
04/15/1980,13:30:00,368.51000,370.20000,368.51000,369.46000,1383,3530
04/16/1980,13:30:00,369.25000,369.90000,368.25000,369.23000,1510,3741
04/17/1980,13:30:00,369.00000,369.40000,368.25000,369.11000,1594,3782
04/18/1980,13:30:00,369.00000,369.25000,368.55000,369.15000,1611,3621
04/21/1980,13:30:00,369.25000,369.50000,368.05000,369.04000,1635,3873
04/22/1980,13:30:00,368.40000,369.75000,367.50000,369.60000,2668,4683
04/23/1980,13:30:00,369.70000,369.95000,368.60000,368.93000,2088,4889
04/24/1980,13:30:00,368.50000,369.00000,367.00000,367.50000,1926,4781
04/25/1980,13:30:00,368.50000,368.75000,366.00000,366.16000,1809,4572
04/28/1980,13:30:00,365.25000,366.00000,363.00000,363.05000,992,4569
04/29/1980,13:30:00,362.55000,363.00000,360.00000,360.61000,2227,4023
04/30/1980,13:30:00,361.50000,361.80000,360.50000,361.15000,952,4169
05/01/1980,13:30:00,361.25000,364.00000,359.00000,363.83000,3931,4208
05/02/1980,13:30:00,363.83000,367.83000,362.26000,367.83000,5268,4507
05/05/1980,13:30:00,367.25000,371.50000,367.00000,371.44000,3168,4330
05/06/1980,13:30:00,370.55000,372.90000,370.50000,370.84000,2921,4315
05/07/1980,13:30:00,370.00000,372.00000,370.00000,371.91000,3265,4799
05/08/1980,13:30:00,371.25000,373.00000,370.80000,372.92000,3206,4736
05/09/1980,13:30:00,373.50000,376.75000,373.50000,376.50000,2477,4667
05/12/1980,13:30:00,376.50000,377.40000,375.25000,375.97000,2517,4605
05/13/1980,13:30:00,374.75000,375.50000,374.00000,374.92000,2669,4678
05/14/1980,13:30:00,374.10000,378.80000,371.50000,378.46000,4129,4338
05/15/1980,13:30:00,378.00000,380.50000,377.65000,379.57000,3062,4662
05/16/1980,13:30:00,379.65000,381.00000,377.20000,379.31000,2783,4926
05/19/1980,13:30:00,377.50000,378.00000,375.31000,375.36000,2033,5158
05/20/1980,13:30:00,373.50000,378.00000,373.50000,376.71000,1093,5049
05/21/1980,13:30:00,377.50000,377.70000,375.20000,375.31000,1196,4845
05/22/1980,13:30:00,376.50000,378.35000,376.50000,378.24000,1295,4943
05/23/1980,13:30:00,377.90000,379.50000,376.51000,377.15000,1042,4931
05/27/1980,13:30:00,377.10000,377.75000,373.50000,373.98000,843,4845
05/28/1980,13:30:00,373.55000,375.00000,372.50000,374.00000,713,4839
05/29/1980,13:30:00,373.75000,373.75000,373.10000,373.59000,873,4768
