Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,32.34400,32.43400,32.33900,32.38900,2583,0
05/16/2001,17:00:00,32.49500,32.53400,32.35400,32.37400,5873,0
05/17/2001,17:00:00,32.12400,32.13900,32.01400,32.04900,2634,0
05/18/2001,17:00:00,32.09400,32.12500,32.03400,32.12500,779,0
05/21/2001,17:00:00,32.07400,32.09400,32.01900,32.05900,947,0
05/22/2001,17:00:00,31.94400,31.96200,31.89000,31.95700,2433,0
05/23/2001,17:00:00,31.96400,31.97900,31.92400,31.94700,880,0
05/24/2001,17:00:00,31.95900,32.01000,31.94400,32.00900,1893,0
05/28/2001,17:00:00,31.88800,31.88900,31.80700,31.80700,3394,0
05/29/2001,17:00:00,31.77900,31.77900,31.70400,31.72900,907,0
05/30/2001,17:00:00,31.63900,31.67900,31.55900,31.56400,2297,0
05/31/2001,17:00:00,31.83400,31.90900,31.68400,31.74800,3728,0
06/01/2001,17:00:00,31.73200,31.76400,31.64500,31.76400,1573,0
06/04/2001,17:00:00,31.82400,31.90300,31.79400,31.90300,1123,0
06/05/2001,17:00:00,31.93200,32.01300,31.92400,31.97400,3269,0
06/06/2001,17:00:00,31.72400,31.74900,31.63500,31.63500,1883,0
06/07/2001,17:00:00,31.64400,31.67900,31.58200,31.66400,1362,0
06/08/2001,17:00:00,31.62400,31.75600,31.60400,31.75600,1031,0
06/11/2001,17:00:00,31.81400,32.01300,31.80900,32.01300,1190,0
06/12/2001,17:00:00,32.01400,32.06300,31.91000,31.93800,1605,0
06/13/2001,17:00:00,32.14200,32.16900,32.04900,32.08400,1715,0
06/14/2001,17:00:00,31.91400,31.92900,31.82000,31.87200,2014,0
06/15/2001,17:00:00,31.86900,31.89400,31.78900,31.81300,1646,0
06/18/2001,17:00:00,31.68900,31.73400,31.63900,31.68800,674,0
06/19/2001,17:00:00,31.67900,31.74900,31.62500,31.73900,1585,0
06/20/2001,17:00:00,31.71900,31.72900,31.62900,31.62900,1764,0
06/21/2001,17:00:00,31.47900,31.51900,31.45400,31.49400,1579,0
06/22/2001,17:00:00,31.58400,31.61400,31.55100,31.55100,208,0
06/25/2001,17:00:00,31.51400,31.51400,31.44500,31.45500,217,0
06/26/2001,17:00:00,31.27000,31.29600,31.23900,31.25000,553,0
06/27/2001,17:00:00,31.23000,31.23000,31.15600,31.16900,695,0
06/28/2001,17:00:00,31.05400,31.06900,30.97400,30.98900,1205,0
06/29/2001,17:00:00,31.02900,31.02900,30.84500,30.84500,644,0
07/02/2001,17:00:00,30.83900,30.94900,30.75200,30.86600,1222,0
07/03/2001,17:00:00,30.89900,30.95000,30.87400,30.95000,1104,0
07/05/2001,17:00:00,30.99900,31.02400,30.88500,30.88500,197,0
07/06/2001,17:00:00,30.91900,30.96700,30.90500,30.96700,880,0
07/09/2001,17:00:00,30.95000,30.99300,30.89900,30.90200,822,0
