Date,Time,Open,High,Low,Close,Vol,OI
06/23/1999,17:00:00,5564.50000,5589.00000,5539.50000,5583.50000,4625,685
06/24/1999,17:00:00,5584.50000,5587.50000,5533.00000,5542.50000,4395,762
06/25/1999,17:00:00,5540.50000,5577.00000,5518.50000,5539.00000,2751,1003
06/28/1999,17:00:00,5548.50000,5592.00000,5538.00000,5588.00000,4239,1235
06/29/1999,17:00:00,5584.50000,5629.00000,5576.50000,5618.50000,3371,1299
06/30/1999,17:00:00,5618.00000,5673.00000,5593.00000,5651.50000,2785,1387
07/01/1999,17:00:00,5650.50000,5681.50000,5619.50000,5670.00000,2456,1445
07/02/1999,17:00:00,5669.50000,5704.50000,5654.50000,5701.00000,1247,1497
07/06/1999,17:00:00,5697.00000,5734.50000,5671.50000,5690.50000,2911,1524
07/07/1999,17:00:00,5689.50000,5700.00000,5665.50000,5687.00000,3440,1674
07/08/1999,17:00:00,5743.50000,5761.50000,5713.50000,5728.50000,3650,2165
07/09/1999,17:00:00,5716.50000,5744.00000,5708.50000,5742.00000,2126,2158
07/12/1999,17:00:00,5743.50000,5761.50000,5713.50000,5730.00000,3650,2165
07/13/1999,17:00:00,5734.00000,5734.00000,5697.00000,5719.50000,2552,2235
07/14/1999,17:00:00,5717.00000,5762.50000,5706.50000,5760.00000,3067,2379
07/15/1999,17:00:00,5759.50000,5781.00000,5753.00000,5777.50000,2875,2329
07/16/1999,17:00:00,5776.00000,5814.00000,5771.00000,5798.50000,1798,2484
07/19/1999,17:00:00,5798.50000,5813.50000,5766.50000,5780.00000,2699,2634
07/20/1999,17:00:00,5773.00000,5775.00000,5673.50000,5677.50000,3934,2652
07/21/1999,17:00:00,5680.50000,5712.00000,5666.50000,5692.50000,3047,2742
07/22/1999,17:00:00,5694.50000,5697.50000,5623.00000,5632.50000,3224,2719
07/23/1999,17:00:00,5629.50000,5657.50000,5608.00000,5634.00000,2485,2787
07/26/1999,17:00:00,5635.50000,5641.50000,5573.50000,5580.50000,2851,2934
07/27/1999,17:00:00,5579.50000,5657.00000,5579.50000,5631.00000,3644,2856
07/28/1999,17:00:00,5635.00000,5680.50000,5616.50000,5662.50000,3190,2960
07/29/1999,17:00:00,5663.50000,5666.50000,5593.50000,5612.00000,3528,3146
07/30/1999,17:00:00,5620.50000,5651.50000,5601.00000,5601.00000,2712,3233
08/02/1999,17:00:00,5601.00000,5649.50000,5585.00000,5598.50000,3088,3329
08/03/1999,17:00:00,5599.00000,5627.00000,5548.50000,5581.50000,4979,3561
08/04/1999,17:00:00,5582.00000,5598.00000,5536.50000,5539.00000,3463,3688
08/05/1999,17:00:00,5540.50000,5569.50000,5488.50000,5569.50000,4686,3885
08/06/1999,17:00:00,5567.00000,5598.00000,5535.50000,5546.50000,3736,3892
08/09/1999,17:00:00,5544.50000,5568.50000,5517.50000,5520.50000,4108,3922
