Date,Time,Open,High,Low,Close,Vol,OI
01/03/1980,14:00:00,-15.70000,-15.10000,-17.40000,-17.20000,729,4975
01/04/1980,14:00:00,-16.65000,-14.25000,-16.75000,-15.25000,629,5103
01/07/1980,14:00:00,-18.15000,-18.05000,-20.25000,-19.80000,1000,4939
01/08/1980,14:00:00,-20.95000,-20.35000,-21.25000,-20.90000,837,4821
01/09/1980,14:00:00,-21.15000,-19.75000,-21.25000,-20.75000,450,4821
01/10/1980,14:00:00,-20.80000,-20.70000,-24.05000,-23.60000,1200,4663
01/11/1980,14:00:00,-24.05000,-22.55000,-24.05000,-23.35000,518,4696
01/14/1980,14:00:00,-23.75000,-22.65000,-24.55000,-23.15000,646,4336
01/15/1980,14:00:00,-22.25000,-21.55000,-22.65000,-22.20000,417,4179
01/16/1980,14:00:00,-22.05000,-21.95000,-23.05000,-22.30000,274,4136
01/17/1980,14:00:00,-22.55000,-21.60000,-22.55000,-22.30000,339,4210
01/18/1980,14:00:00,-22.80000,-22.80000,-27.30000,-24.25000,774,4073
01/21/1980,14:00:00,-23.80000,-23.00000,-24.25000,-23.80000,269,4007
01/22/1980,14:00:00,-23.55000,-23.40000,-24.45000,-23.75000,296,4032
01/23/1980,14:00:00,-24.05000,-22.80000,-24.05000,-22.90000,246,4078
01/24/1980,14:00:00,-22.30000,-22.25000,-23.65000,-22.80000,284,4095
01/25/1980,14:00:00,-23.15000,-23.15000,-24.75000,-24.05000,240,4070
01/28/1980,14:00:00,-25.05000,-24.95000,-27.65000,-26.85000,643,3752
01/29/1980,14:00:00,-26.45000,-25.10000,-26.55000,-25.80000,322,3775
01/30/1980,14:00:00,-25.55000,-25.15000,-26.75000,-26.55000,249,3681
01/31/1980,14:00:00,-24.80000,-23.85000,-25.05000,-24.70000,559,3666
02/01/1980,14:00:00,-22.55000,-22.35000,-26.55000,-26.25000,640,3699
02/04/1980,14:00:00,-26.30000,-25.25000,-27.15000,-25.60000,456,3492
02/05/1980,14:00:00,-26.55000,-24.90000,-26.55000,-26.05000,403,3292
02/06/1980,14:00:00,-25.85000,-25.65000,-26.95000,-26.95000,304,3324
02/07/1980,14:00:00,-27.25000,-26.55000,-27.25000,-26.90000,209,3228
02/08/1980,14:00:00,-26.80000,-25.60000,-27.15000,-26.65000,181,3274
02/11/1980,14:00:00,-28.55000,-25.55000,-30.55000,-29.90000,603,3120
02/12/1980,14:00:00,-28.85000,-28.35000,-29.80000,-29.45000,310,3000
02/13/1980,14:00:00,-29.55000,-29.55000,-30.50000,-29.55000,231,2883
02/14/1980,14:00:00,-29.95000,-29.55000,-30.00000,-29.90000,106,2779
02/15/1980,14:00:00,-30.05000,-28.25000,-30.05000,-28.55000,157,2673
02/19/1980,14:00:00,-29.25000,-28.85000,-29.55000,-29.55000,166,2565
02/20/1980,14:00:00,-29.35000,-27.65000,-29.95000,-27.90000,151,2508
02/21/1980,14:00:00,-28.20000,-27.75000,-28.65000,-28.35000,66,2453
02/22/1980,14:00:00,-27.55000,-27.55000,-29.30000,-28.95000,99,2362
02/25/1980,14:00:00,-28.35000,-28.05000,-28.70000,-28.25000,225,2201
02/26/1980,14:00:00,-27.25000,-26.65000,-28.15000,-28.00000,224,1772
02/27/1980,14:00:00,-28.15000,-27.30000,-28.30000,-27.55000,101,1805
02/28/1980,14:00:00,-27.50000,-27.10000,-27.55000,-27.15000,110,1815
02/29/1980,14:00:00,-26.95000,-26.55000,-27.45000,-27.40000,161,1835
03/03/1980,14:00:00,-22.40000,-22.40000,-22.40000,-22.40000,71,1837
03/04/1980,14:00:00,-17.40000,-17.40000,-17.40000,-17.40000,275,1883
03/05/1980,14:00:00,-12.40000,-12.40000,-12.40000,-12.40000,436,1842
03/06/1980,14:00:00,-13.05000,-12.45000,-16.65000,-15.70000,1073,1893
03/07/1980,14:00:00,-14.55000,-12.35000,-15.55000,-13.60000,775,1851
03/10/1980,14:00:00,-15.05000,-14.85000,-18.60000,-18.60000,444,1786
03/11/1980,14:00:00,-19.55000,-17.35000,-19.55000,-17.45000,591,1635
03/12/1980,14:00:00,-17.30000,-14.25000,-17.30000,-15.40000,404,1659
03/13/1980,14:00:00,-14.90000,-14.65000,-16.85000,-15.55000,403,1583
03/14/1980,14:00:00,-14.85000,-14.85000,-16.15000,-15.60000,251,1720
03/17/1980,14:00:00,-16.15000,-16.15000,-17.80000,-16.30000,244,1799
03/18/1980,14:00:00,-16.55000,-15.60000,-17.45000,-16.00000,232,1809
03/19/1980,14:00:00,-15.45000,-15.35000,-16.95000,-16.75000,121,1768
03/20/1980,14:00:00,-17.35000,-15.85000,-17.50000,-16.40000,94,1738
03/21/1980,14:00:00,-17.40000,-15.65000,-17.40000,-17.05000,121,1699
03/24/1980,14:00:00,-18.80000,-18.65000,-20.55000,-20.55000,421,1691
03/25/1980,14:00:00,-20.25000,-20.00000,-20.65000,-20.45000,206,1675
03/26/1980,14:00:00,-20.35000,-19.25000,-20.35000,-19.40000,146,1680
03/27/1980,14:00:00,-19.05000,-18.95000,-20.65000,-19.45000,201,1676
03/28/1980,14:00:00,-20.80000,-20.65000,-22.95000,-22.55000,271,1685
03/31/1980,14:00:00,-23.80000,-23.55000,-25.55000,-24.85000,245,1585
04/01/1980,14:00:00,-25.35000,-25.10000,-26.85000,-25.85000,191,1583
04/02/1980,14:00:00,-25.10000,-24.60000,-25.30000,-24.85000,91,1559
04/03/1980,14:00:00,-24.25000,-23.80000,-24.35000,-24.05000,105,1530
04/07/1980,14:00:00,-23.95000,-23.75000,-24.55000,-23.95000,61,1514
04/08/1980,14:00:00,-23.90000,-22.55000,-24.00000,-23.30000,116,1468
04/09/1980,14:00:00,-23.05000,-22.95000,-24.35000,-23.45000,100,1418
