Date,Time,Open,High,Low,Close,Vol,OI
05/21/2001,17:00:00,894.70000,897.80000,893.30000,897.80000,21,0
05/23/2001,17:00:00,886.90000,888.90000,886.90000,888.90000,1,0
05/28/2001,17:00:00,893.80000,896.80000,893.80000,896.80000,1,0
05/30/2001,17:00:00,893.80000,893.80000,887.90000,887.90000,12,0
05/31/2001,17:00:00,885.90000,886.00000,877.90000,877.90000,47,0
06/01/2001,17:00:00,876.80000,880.70000,863.60000,863.60000,130,0
06/04/2001,17:00:00,864.30000,866.70000,859.80000,866.70000,84,0
06/05/2001,17:00:00,866.70000,866.70000,857.90000,857.90000,4,0
06/06/2001,17:00:00,859.80000,859.80000,857.80000,857.80000,13,0
06/07/2001,17:00:00,857.80000,857.80000,857.80000,857.80000,0,0
06/08/2001,17:00:00,863.10000,863.10000,863.10000,863.10000,0,0
06/11/2001,17:00:00,868.40000,868.40000,868.40000,868.40000,0,0
06/12/2001,17:00:00,858.80000,858.80000,853.50000,853.50000,2,0
06/13/2001,17:00:00,850.80000,853.70000,849.80000,853.70000,12,0
06/14/2001,17:00:00,853.70000,853.70000,853.70000,853.70000,0,0
06/15/2001,17:00:00,854.80000,858.80000,854.80000,858.00000,2,0
06/18/2001,17:00:00,857.80000,857.80000,855.20000,855.20000,1,0
06/19/2001,17:00:00,855.70000,855.70000,852.90000,854.50000,48,0
06/20/2001,17:00:00,854.50000,854.50000,854.50000,854.50000,0,0
06/21/2001,17:00:00,859.30000,859.30000,859.30000,859.30000,0,0
06/22/2001,17:00:00,855.80000,855.80000,848.80000,848.80000,70,0
06/25/2001,17:00:00,856.30000,856.30000,856.30000,856.30000,0,0
06/26/2001,17:00:00,845.70000,845.70000,845.70000,845.70000,0,0
06/27/2001,17:00:00,844.30000,844.30000,844.30000,844.30000,0,0
06/28/2001,17:00:00,840.40000,840.40000,838.60000,838.60000,2,0
06/29/2001,17:00:00,838.60000,838.60000,838.60000,838.60000,0,0
07/02/2001,17:00:00,835.90000,835.90000,835.90000,835.90000,0,0
07/03/2001,17:00:00,830.30000,834.20000,830.30000,834.20000,2,0
07/05/2001,17:00:00,834.20000,834.20000,834.20000,834.20000,0,0
07/06/2001,17:00:00,829.30000,829.30000,829.30000,829.30000,0,0
07/09/2001,17:00:00,840.00000,840.00000,836.90000,836.90000,7,0
07/10/2001,17:00:00,837.80000,837.80000,833.30000,833.60000,40,0
07/11/2001,17:00:00,833.60000,845.50000,833.60000,845.50000,7,0
07/12/2001,17:00:00,844.80000,844.80000,840.30000,840.30000,22,0
07/13/2001,17:00:00,840.30000,840.30000,840.30000,840.30000,0,0
07/16/2001,17:00:00,833.30000,833.70000,833.30000,833.70000,11,0
07/17/2001,17:00:00,833.30000,833.30000,822.30000,822.30000,2,0
07/18/2001,17:00:00,822.80000,822.80000,805.30000,805.30000,47,0
07/19/2001,17:00:00,798.40000,798.40000,793.80000,794.40000,21,0
07/20/2001,17:00:00,794.40000,794.40000,794.40000,794.40000,0,0
07/23/2001,17:00:00,786.30000,786.30000,778.30000,778.30000,10,0
07/24/2001,17:00:00,780.30000,788.40000,778.30000,788.40000,3,0
07/25/2001,17:00:00,785.80000,789.90000,780.40000,789.90000,16,0
07/26/2001,17:00:00,787.40000,789.10000,787.40000,789.10000,20,0
07/27/2001,17:00:00,789.10000,789.10000,789.10000,789.10000,0,0
07/30/2001,17:00:00,783.40000,783.40000,755.30000,755.30000,20,0
07/31/2001,17:00:00,755.80000,758.30000,755.30000,756.70000,31,0
08/01/2001,17:00:00,756.30000,759.30000,754.30000,756.60000,19,0
08/02/2001,17:00:00,756.30000,763.80000,751.30000,763.80000,17,0
08/03/2001,17:00:00,763.80000,763.80000,763.80000,763.80000,0,0
08/06/2001,17:00:00,762.90000,762.90000,762.90000,762.90000,0,0
08/07/2001,17:00:00,742.40000,747.30000,722.70000,722.70000,45,0
08/08/2001,17:00:00,722.30000,723.80000,722.30000,723.80000,15,0
08/09/2001,17:00:00,720.30000,723.50000,717.30000,718.70000,16,0
08/10/2001,17:00:00,719.30000,732.90000,719.30000,732.90000,6,0
08/13/2001,17:00:00,735.30000,738.20000,735.30000,736.10000,23,0
08/14/2001,17:00:00,735.80000,735.80000,723.80000,723.80000,41,0
08/15/2001,17:00:00,720.90000,720.90000,707.30000,713.70000,52,0
08/16/2001,17:00:00,709.30000,724.20000,702.40000,724.20000,53,0
08/17/2001,17:00:00,726.30000,733.10000,726.30000,733.10000,44,0
08/20/2001,17:00:00,725.40000,725.40000,717.80000,717.80000,23,0
08/21/2001,17:00:00,717.30000,725.60000,713.40000,725.60000,29,0
08/22/2001,17:00:00,729.20000,729.20000,729.20000,729.20000,10,0
08/23/2001,17:00:00,735.20000,743.80000,735.20000,743.80000,44,0
08/24/2001,17:00:00,745.60000,748.20000,735.20000,735.20000,56,0
08/27/2001,17:00:00,737.80000,740.40000,737.80000,740.40000,9,0
08/28/2001,17:00:00,740.40000,740.40000,740.40000,740.40000,0,0
08/29/2001,17:00:00,742.30000,744.30000,741.90000,741.90000,3,0
08/30/2001,17:00:00,740.30000,740.30000,722.60000,722.60000,45,0
08/31/2001,17:00:00,722.30000,726.60000,720.30000,725.30000,18,0
09/04/2001,17:00:00,725.30000,725.30000,725.30000,725.30000,0,0
09/06/2001,17:00:00,721.30000,721.30000,719.70000,719.70000,9,0
09/07/2001,17:00:00,718.30000,726.30000,718.20000,726.30000,10,0
09/10/2001,17:00:00,726.30000,726.30000,726.30000,726.30000,0,0
09/11/2001,17:00:00,720.80000,722.20000,720.80000,721.30000,6,0
09/14/2001,17:00:00,744.30000,757.30000,744.30000,757.30000,116,0
09/18/2001,17:00:00,765.30000,767.40000,765.30000,767.40000,8,0
09/19/2001,17:00:00,769.80000,769.80000,769.80000,769.80000,31,0
09/24/2001,17:00:00,765.70000,765.70000,765.70000,765.70000,0,0
09/25/2001,17:00:00,755.30000,755.30000,744.40000,744.40000,5,0
09/26/2001,17:00:00,732.40000,732.40000,732.40000,732.40000,0,0
09/27/2001,17:00:00,732.30000,732.30000,727.40000,727.40000,1,0
09/28/2001,17:00:00,727.40000,727.40000,717.30000,718.60000,7,0
10/01/2001,17:00:00,718.30000,718.30000,704.80000,704.80000,6,0
10/02/2001,17:00:00,709.30000,709.30000,698.30000,705.00000,69,0
10/03/2001,17:00:00,705.80000,711.80000,704.30000,709.30000,78,0
10/08/2001,17:00:00,721.30000,721.30000,721.30000,721.30000,0,0
10/09/2001,17:00:00,716.80000,721.30000,710.00000,710.00000,10,0
10/10/2001,17:00:00,709.80000,710.30000,709.80000,710.30000,5,0
10/11/2001,17:00:00,714.80000,724.90000,712.30000,724.90000,12,0
10/12/2001,17:00:00,724.90000,729.30000,724.90000,729.30000,1,0
