Date,Time,Open,High,Low,Close,Vol,OI
03/11/1999,16:00:00,50.85000,51.13000,49.72000,50.72000,9010800,0
03/12/1999,16:00:00,50.54000,50.57000,49.07000,49.47000,8375800,0
03/15/1999,16:00:00,49.85000,50.97000,49.32000,50.91000,6369000,0
03/16/1999,16:00:00,51.13000,51.57000,50.57000,51.35000,4905800,0
03/17/1999,16:00:00,51.35000,51.41000,50.82000,50.97000,3965000,0
03/18/1999,16:00:00,50.91000,52.01000,50.90000,51.97000,4848400,0
03/19/1999,16:00:00,52.66000,52.66000,50.60000,50.63000,7160400,0
03/22/1999,16:00:00,50.85000,50.97000,49.91000,50.01000,5024800,0
03/23/1999,16:00:00,49.72000,49.91000,48.13000,48.22000,10962400,0
03/24/1999,16:00:00,48.66000,49.91000,47.91000,49.88000,8447000,0
03/25/1999,16:00:00,50.66000,51.72000,50.33000,51.72000,8133800,0
03/26/1999,16:00:00,51.29000,51.88000,50.94000,51.16000,8256200,0
03/29/1999,16:00:00,51.79000,53.07000,51.47000,53.04000,5113800,0
03/30/1999,16:00:00,52.97000,53.41000,52.44000,52.66000,4940600,0
03/31/1999,16:00:00,53.54000,53.60000,51.72000,51.88000,8256600,0
04/01/1999,16:00:00,53.41000,53.47000,52.10000,52.97000,8715800,0
04/05/1999,16:00:00,53.84000,54.99000,53.51000,54.91000,5697200,0
04/06/1999,16:00:00,54.85000,55.63000,54.38000,55.02000,7522400,0
04/07/1999,16:00:00,55.54000,55.66000,53.26000,54.44000,11923600,0
04/08/1999,16:00:00,54.35000,55.15000,53.22000,54.88000,7952400,0
04/09/1999,16:00:00,54.79000,55.35000,54.63000,55.22000,4946800,0
04/12/1999,16:00:00,53.91000,55.22000,53.85000,54.85000,10934000,0
04/13/1999,16:00:00,55.19000,55.32000,53.66000,54.10000,9962200,0
04/14/1999,16:00:00,54.79000,54.85000,51.92000,52.22000,21252000,0
04/15/1999,16:00:00,52.41000,53.03000,50.54000,52.94000,17650600,0
04/16/1999,16:00:00,52.82000,52.82000,51.10000,51.38000,17274000,0
04/19/1999,16:00:00,51.72000,52.16000,48.42000,48.94000,19460600,0
04/20/1999,16:00:00,48.72000,50.47000,48.26000,50.07000,17413600,0
04/21/1999,16:00:00,50.54000,52.60000,49.85000,52.57000,10940400,0
04/22/1999,16:00:00,53.07000,54.16000,52.72000,54.01000,13630600,0
04/23/1999,16:00:00,53.72000,55.13000,53.16000,54.72000,7064400,0
04/26/1999,16:00:00,55.10000,56.41000,54.92000,56.00000,5421000,0
04/27/1999,16:00:00,56.41000,56.69000,54.42000,55.13000,16482800,0
04/28/1999,16:00:00,54.41000,54.85000,52.98000,53.22000,7676800,0
04/29/1999,16:00:00,52.91000,53.29000,51.66000,52.79000,19148200,0
04/30/1999,16:00:00,52.79000,53.82000,51.22000,53.13000,15295200,0
05/03/1999,16:00:00,52.97000,53.19000,51.95000,52.85000,11109800,0
05/04/1999,16:00:00,52.94000,53.79000,51.69000,51.85000,14355200,0
05/05/1999,16:00:00,52.04000,53.41000,50.54000,53.41000,11394200,0
05/06/1999,16:00:00,53.10000,53.57000,51.17000,51.41000,13480600,0
05/07/1999,16:00:00,52.10000,52.54000,50.97000,52.29000,15247800,0
05/10/1999,16:00:00,52.72000,53.27000,52.10000,52.72000,9760400,0
05/11/1999,16:00:00,53.35000,54.04000,53.04000,53.75000,8800800,0
05/12/1999,16:00:00,54.00000,55.07000,52.41000,54.88000,12507400,0
05/13/1999,16:00:00,55.32000,55.41000,53.60000,53.85000,9864000,0
05/14/1999,16:00:00,52.79000,53.38000,52.41000,52.60000,11718200,0
05/17/1999,16:00:00,52.35000,53.79000,51.83000,53.78000,9906800,0
05/18/1999,16:00:00,53.72000,54.04000,52.94000,53.72000,9267800,0
05/19/1999,16:00:00,53.75000,54.32000,52.91000,54.32000,7985600,0
05/20/1999,16:00:00,54.40000,54.40000,52.79000,52.79000,5517400,0
05/21/1999,16:00:00,52.94000,53.10000,52.00000,52.23000,10471600,0
05/24/1999,16:00:00,52.38000,52.47000,50.60000,50.79000,8698800,0
05/25/1999,16:00:00,50.88000,51.60000,49.04000,49.25000,17771200,0
05/26/1999,16:00:00,49.91000,50.65000,48.35000,50.65000,26772000,0
05/27/1999,16:00:00,50.44000,51.34000,49.66000,50.60000,23334800,0
05/28/1999,16:00:00,50.91000,51.66000,50.25000,51.44000,12969800,0
06/01/1999,16:00:00,51.35000,51.60000,50.00000,50.27000,6960200,0
06/02/1999,16:00:00,50.25000,51.41000,48.98000,51.15000,11996600,0
06/03/1999,16:00:00,51.54000,51.54000,50.10000,50.50000,11147800,0
06/04/1999,16:00:00,50.79000,52.13000,50.79000,51.97000,12987200,0
06/07/1999,16:00:00,52.34000,53.38000,52.22000,53.07000,11491800,0
06/08/1999,16:00:00,53.19000,53.44000,51.45000,51.72000,8134800,0
06/09/1999,16:00:00,51.91000,52.72000,51.88000,52.60000,8384400,0
06/10/1999,16:00:00,52.04000,52.35000,51.36000,51.88000,8249000,0
06/11/1999,16:00:00,52.35000,52.40000,50.72000,51.10000,16567600,0
06/14/1999,16:00:00,51.38000,51.38000,50.10000,50.22000,14136800,0
06/15/1999,16:00:00,50.34000,51.28000,50.19000,50.97000,9147800,0
06/16/1999,16:00:00,52.25000,53.62000,52.19000,53.62000,15060200,0
06/17/1999,16:00:00,52.91000,54.47000,52.91000,54.04000,14826800,0
06/18/1999,16:00:00,53.72000,54.63000,53.63000,54.47000,5392800,0
06/21/1999,16:00:00,54.85000,56.13000,54.75000,56.12000,10565200,0
06/22/1999,16:00:00,55.79000,56.50000,54.60000,54.61000,10862800,0
06/23/1999,16:00:00,54.42000,55.41000,54.13000,55.28000,9607000,0
06/24/1999,16:00:00,55.25000,55.29000,53.97000,54.17000,14988800,0
