Date,Time,Open,High,Low,Close,Vol,OI
05/15/2001,17:00:00,-3.13700,-3.13580,-3.14230,-3.13930,245,0
05/16/2001,17:00:00,-3.14180,-3.12180,-3.14230,-3.13430,1305,0
05/17/2001,17:00:00,-3.15980,-3.15980,-3.16880,-3.16680,327,0
05/18/2001,17:00:00,-3.12280,-3.07780,-3.12280,-3.07780,271,0
05/21/2001,17:00:00,-3.08280,-3.06280,-3.08280,-3.06680,142,0
05/22/2001,17:00:00,-3.04680,-3.04070,-3.04930,-3.04680,213,0
05/23/2001,17:00:00,-3.04680,-3.03130,-3.05080,-3.04180,467,0
05/24/2001,17:00:00,-2.99180,-2.97440,-2.99180,-2.97880,342,0
05/28/2001,17:00:00,-3.03580,-3.03180,-3.04040,-3.04040,96,0
05/29/2001,17:00:00,-3.03580,-3.02730,-3.07100,-3.07100,62,0
05/30/2001,17:00:00,-3.18480,-3.18180,-3.18530,-3.18530,72,0
05/31/2001,17:00:00,-3.20080,-3.20080,-3.21680,-3.20100,267,0
06/01/2001,17:00:00,-3.20080,-3.19580,-3.21380,-3.21380,438,0
06/04/2001,17:00:00,-3.18180,-3.18180,-3.23910,-3.23910,196,0
06/05/2001,17:00:00,-3.23630,-3.22980,-3.24140,-3.24140,223,0
06/06/2001,17:00:00,-3.24280,-3.23280,-3.26640,-3.26640,501,0
06/07/2001,17:00:00,-3.26980,-3.25830,-3.27280,-3.25830,188,0
06/08/2001,17:00:00,-3.25180,-3.24680,-3.25850,-3.25850,97,0
06/11/2001,17:00:00,-3.25430,-3.23890,-3.26340,-3.26340,450,0
06/12/2001,17:00:00,-3.27080,-3.25170,-3.27080,-3.25170,86,0
06/13/2001,17:00:00,-3.25490,-3.25490,-3.27350,-3.27350,888,0
06/14/2001,17:00:00,-3.26610,-3.26410,-3.26980,-3.26680,274,0
06/15/2001,17:00:00,-3.26810,-3.26570,-3.27010,-3.26570,110,0
06/18/2001,17:00:00,-3.26310,-3.26310,-3.28710,-3.28710,20,0
06/19/2001,17:00:00,-3.28570,-3.28490,-3.29060,-3.28490,67,0
06/20/2001,17:00:00,-3.29160,-3.28860,-3.34830,-3.34830,240,0
06/21/2001,17:00:00,-3.34460,-3.34360,-3.35040,-3.34610,85,0
06/22/2001,17:00:00,-3.36410,-3.35610,-3.36410,-3.36360,54,0
06/25/2001,17:00:00,-3.36360,-3.34840,-3.36360,-3.34840,22,0
06/26/2001,17:00:00,-3.34810,-3.34460,-3.36070,-3.36070,36,0
06/27/2001,17:00:00,-3.36070,-3.36070,-3.42420,-3.42420,274,0
06/28/2001,17:00:00,-3.41360,-3.40860,-3.42060,-3.42060,371,0
06/29/2001,17:00:00,-3.41060,-3.40300,-3.41720,-3.40300,439,0
07/02/2001,17:00:00,-3.39660,-3.39360,-3.42380,-3.42380,95,0
07/03/2001,17:00:00,-3.42270,-3.41670,-3.43010,-3.41670,26,0
07/05/2001,17:00:00,-3.40960,-3.39760,-3.40960,-3.40960,321,0
07/06/2001,17:00:00,-3.40760,-3.38190,-3.40760,-3.38190,128,0
07/09/2001,17:00:00,-3.38460,-3.38420,-3.38950,-3.38920,11,0
07/10/2001,17:00:00,-3.38910,-3.38810,-3.41150,-3.41150,82,0
07/11/2001,17:00:00,-3.41250,-3.40780,-3.42250,-3.40780,203,0
07/12/2001,17:00:00,-3.40860,-3.40660,-3.41030,-3.41030,101,0
07/13/2001,17:00:00,-3.38410,-3.38410,-3.40560,-3.40560,187,0
07/16/2001,17:00:00,-3.40760,-3.40130,-3.40960,-3.40130,19,0
07/17/2001,17:00:00,-3.40460,-3.39710,-3.40510,-3.40310,37,0
07/18/2001,17:00:00,-3.40460,-3.40460,-3.42520,-3.42520,123,0
07/19/2001,17:00:00,-3.42870,-3.42310,-3.43980,-3.43980,112,0
07/20/2001,17:00:00,-3.44560,-3.41830,-3.44560,-3.41830,198,0
07/23/2001,17:00:00,-3.41830,-3.41830,-3.41830,-3.41830,0,0
07/24/2001,17:00:00,-3.42560,-3.41900,-3.42760,-3.41900,24,0
07/25/2001,17:00:00,-3.41960,-3.39420,-3.42260,-3.39420,220,0
07/26/2001,17:00:00,-3.39460,-3.38310,-3.39560,-3.38310,245,0
07/27/2001,17:00:00,-3.38310,-3.38060,-3.39560,-3.38970,150,0
07/30/2001,17:00:00,-3.39010,-3.38830,-3.39450,-3.39450,17,0
07/31/2001,17:00:00,-3.39110,-3.39110,-3.40970,-3.40970,98,0
08/01/2001,17:00:00,-3.40870,-3.37260,-3.40870,-3.39750,416,0
08/02/2001,17:00:00,-3.39660,-3.36660,-3.39660,-3.36660,188,0
08/03/2001,17:00:00,-3.36660,-3.36160,-3.36860,-3.36610,308,0
08/06/2001,17:00:00,-3.36460,-3.36400,-3.36720,-3.36720,41,0
08/07/2001,17:00:00,-3.36860,-3.35810,-3.36860,-3.36410,352,0
08/08/2001,17:00:00,-3.36360,-3.35760,-3.37370,-3.37370,454,0
08/09/2001,17:00:00,-3.37460,-3.36330,-3.37560,-3.36330,110,0
